"Date","buy.PG","Price"
2008-03-28,83,69.44
2008-10-10,85,59.56
2009-02-06,75,54
2009-03-20,74,45.59
2009-05-29,78,51.94
2009-06-05,58,53.18
2009-06-12,58,52.55
2009-06-19,58,50.64
2009-06-26,59,51.75
2009-07-10,60,52.22
2009-07-17,61,55.92
2009-09-11,61,55.64
2009-09-18,53,57.32
2009-09-25,53,58.01
2009-10-02,53,56.75
2009-10-09,53,57.56
2009-10-16,74,57.44
2009-10-23,56,57.64
2009-10-30,56,58
2009-11-06,56,61.04
2009-11-13,52,61.61
2009-11-20,52,61.8
2009-11-27,52,62.48
2010-01-08,64,60.44
2010-01-15,58,60.82
2010-01-22,57,60.31
2010-01-29,51,61.55
2010-02-05,51,61.3
2010-02-12,51,61.76
2010-02-19,51,63.45
2010-02-26,51,63.28
2010-03-05,51,63.69
2010-03-12,60,63.32
2010-03-19,69,63.84
2010-03-26,79,63.69
2010-04-09,58,62.73
2010-04-16,47,62.85
2010-04-23,47,63.54
2010-04-30,47,62.16
2010-06-18,53,61.3
2010-06-25,57,59.79
2010-07-02,68,59.38
2010-07-09,78,61.75
2010-07-16,94,61.99
2010-07-23,58,61.91
2010-07-30,58,61.16
2010-08-06,58,60.02
2010-08-13,58,59.82
2010-08-20,68,59.98
2010-10-08,48,61.86
2010-10-15,47,62.76
2010-10-22,47,63.4
2010-10-29,47,63.57
2010-11-05,47,65
2010-11-12,62,64.33
2010-11-19,77,64.05
2010-11-26,54,62.13
2010-12-03,56,62.33
2010-12-10,72,63.2
2010-12-17,46,64.81
2010-12-31,48,64.33
2011-01-07,42,64.5
2011-01-14,44,65.53
2011-01-21,39,65.91
2011-01-28,36,64.2
2011-02-04,37,63.61
2011-02-11,35,64.73
2011-02-18,42,64.3
2011-02-25,45,62.84
2011-03-04,48,62.03
2011-03-11,38,61.49
2011-03-18,38,60.6
2011-03-25,65,60.88
2011-04-01,52,62.08
2011-04-08,38,61.9
2011-04-15,38,64.18
2011-04-29,51,64.9
2011-05-06,60,65.27
2011-05-13,70,66.86
2011-05-20,38,67.36
2011-05-27,38,66.2
2011-06-03,74,65.43
2011-06-10,44,64.7
2011-06-17,37,64.69
2011-06-24,41,62.59
2011-07-01,35,64.27
2011-07-08,35,64.93
2011-07-15,56,64.83
2011-07-22,55,64.25
2011-07-29,41,61.49
2011-08-05,52,60.59
2011-08-12,44,61.14
2011-08-19,51,60.96
2011-08-26,39,62.57
2011-09-02,39,62.55
2011-09-09,39,61.84
2011-09-16,40,64.33
2011-09-23,41,61.25
2011-09-30,31,63.18
2011-10-07,43,63.91
2011-10-14,30,64.89
2011-10-21,31,66.26
2011-10-28,37,64.73
2011-11-04,38,63.03
2011-11-11,39,63.89
2011-11-18,32,63.24
2011-11-25,45,61
2011-12-02,53,64.66
2011-12-09,32,64.97
2011-12-16,53,65.14
2011-12-23,52,66.67
2011-12-30,52,66.71
2012-01-06,50,66.36
2012-01-13,59,65.81
2012-01-20,47,66.23
2012-01-27,33,64.3
2012-02-03,38,62.77
2012-02-10,46,63.88
2012-02-17,33,64.91
2012-02-24,30,66.71
2012-03-02,38,66.67
2012-03-09,50,66.93
2012-03-16,38,67.25
2012-03-23,38,67.43
2012-03-30,38,67.21
2012-04-13,31,65.81
2012-04-20,40,67.51
2012-04-27,38,64.44
2012-05-04,47,64.28
2012-05-11,43,63.68
2012-05-18,54,63.52
2012-05-25,38,62.49
2012-06-01,41,61.55
2012-06-08,48,62.75
2012-06-15,37,62.88
2012-06-22,49,59.83
2012-06-29,46,61.25
2012-07-06,33,61.28
2012-07-13,46,65.09
2012-07-20,43,64.73
2012-07-27,47,65.09
2012-08-03,63,65.5
2012-08-10,55,66.77
2012-08-17,44,67
2012-08-24,52,67.02
2012-08-31,48,67.19
2012-09-07,52,68.52
2012-09-14,57,69.16
2012-09-21,28,69.42
2012-09-28,56,69.36
2012-10-05,40,69.63
2012-10-12,49,67.94
2012-10-19,56,68.57
2012-10-26,52,69.44
2012-11-02,51,69.19
2012-11-09,34,67.01
2012-11-16,46,66.82
2012-11-23,66,69.59
2012-11-30,45,69.83
2012-12-07,59,70.29
2012-12-14,61,69.93
2012-12-21,46,68.72
2012-12-28,64,67.15
2013-01-04,61,69.09
2013-01-11,45,69.22
2013-01-18,55,69.94
2013-01-25,54,73.25
2013-02-01,42,75.92
2013-02-08,56,75.75
2013-02-15,60,76.54
2013-02-22,49,76.99
2013-03-01,50,76.49
2013-03-08,46,77.18
2013-03-15,68,76.34
2013-03-22,54,77.27
2013-04-05,46,78.23
2013-04-12,47,80.08
2013-04-19,45,81.43
2013-04-26,50,77.1
2013-05-03,51,78.19
2013-05-10,59,78.76
2013-05-17,56,80.02
2013-05-24,67,81.88
2013-05-31,50,76.76
2013-06-07,49,77.75
2013-06-14,32,78.03
2013-06-21,43,77.43
2013-06-28,43,76.99
2013-07-05,40,78.34
2013-07-12,47,81.55
2013-07-19,73,81.37
2013-07-26,62,80.39
