"Date","buy.RF","Price"
2006-02-24,67,35.08
2006-03-03,100,34.43
2006-08-04,50,37.04
2006-12-01,38,36.77
2006-12-08,35,36.71
2007-06-08,28,34.5
2007-06-15,29,34.5
2007-06-22,30,33.52
2007-06-29,28,33.1
2007-07-06,28,33.75
2007-07-13,28,34.05
2007-09-07,30,30.42
2007-09-14,32,30.76
2007-09-21,34,30.51
2007-09-28,31,29.48
2007-10-05,23,31.01
2007-10-12,23,29.56
2007-10-19,23,26.4
2007-10-26,25,27.02
2007-11-02,26,25.24
2007-11-09,26,25.03
2007-11-16,26,24.32
2007-11-23,24,24.22
2007-11-30,24,26.43
2007-12-07,28,26.44
2007-12-14,26,24
2007-12-21,28,24.4
2007-12-28,46,23.59
2008-01-04,28,20.8
2008-01-11,44,20.47
2008-01-18,27,19.19
2008-01-25,21,22.79
2008-02-01,22,25.73
2008-02-08,24,23.21
2008-02-15,25,22.93
2008-02-22,29,23.11
2008-02-29,20,21.2
2008-03-07,20,20.36
2008-03-14,26,20.25
2008-03-28,22,19.65
2008-04-04,34,20.91
2008-04-11,29,19.77
2008-04-18,36,21.6
2008-04-25,19,22.22
2008-05-02,19,23.47
2008-05-09,19,21.17
2008-05-16,19,20.17
2008-05-23,19,18.66
2008-05-30,24,17.82
2008-06-06,29,15.45
2008-06-13,20,13.28
2008-06-20,20,11.22
2008-06-27,20,10.78
2008-07-11,28,8.54
2008-07-18,22,10.11
2008-07-25,20,9.08
2008-08-01,26,9.53
2008-08-08,28,9.64
2008-08-15,27,9.1
2008-08-22,27,8.48
2008-08-29,24,9.27
2008-09-05,24,11.09
2008-09-12,21,11.69
2008-09-19,27,19.8
2008-09-26,25,14
2008-10-03,25,13.52
2008-10-10,17,9.14
2008-10-17,24,10.77
2008-10-24,21,8.94
2008-10-31,21,11.09
2008-11-07,22,10.96
2008-11-14,17,9.67
2008-11-21,17,7.95
2008-11-28,17,10.19
2008-12-05,18,9.56
2008-12-12,22,8.86
2008-12-19,40,8.07
2008-12-26,24,8.24
2009-01-02,22,8.61
2009-01-09,22,7.17
2009-01-16,20,6.07
2009-01-23,20,4.66
