"Date","COV","Price"
2007-06-15,39,46.5
2007-06-22,49,42.77
2007-06-29,51,43.1
2007-07-06,49,42.31
2007-07-13,38,44
2007-07-20,47,42.37
2007-07-27,41,39.3
2007-08-03,35,41.08
2007-08-10,37,40.06
2007-08-17,37,38.5
2007-08-24,38,40.23
2007-08-31,42,39.83
2007-09-07,42,39.9
2007-09-14,35,42.06
2007-09-21,44,42.5
2007-09-28,43,41.5
2007-10-05,44,41.19
2007-10-12,47,41.6
2007-10-19,39,40
2007-10-26,42,41
2007-11-02,44,40.65
2007-11-09,39,39.44
2007-11-16,44,39.58
2007-11-23,50,38.35
2007-11-30,46,40.11
2007-12-07,46,42.22
2007-12-14,41,43.9
2007-12-21,36,44.92
2007-12-28,32,44.77
2008-01-04,39,42.89
2008-01-11,38,44.92
2008-01-18,44,43.38
2008-01-25,41,42.5
2008-02-01,44,43.58
2008-02-08,42,43.55
2008-02-15,40,43.24
2008-02-22,42,43.6
2008-02-29,44,42.79
2008-03-07,50,41.46
2008-03-14,50,42.4
2008-03-28,45,43.99
2008-04-04,44,45.62
2008-04-11,42,45
2008-04-18,45,46.56
2008-04-25,47,46.88
2008-05-02,38,47.48
2008-05-09,45,48.79
2008-05-16,38,49.85
2008-05-23,48,47.68
2008-05-30,48,50.09
2008-06-06,44,48.57
2008-06-13,42,49.22
2008-06-20,43,47.03
2008-06-27,45,47.39
2008-07-11,41,48.86
2008-07-18,43,49.03
2008-07-25,44,49.96
2008-08-01,35,49.46
2008-08-08,44,53.76
2008-08-15,39,53.88
2008-08-22,41,54.33
2008-08-29,45,54.07
2008-09-05,43,52.96
2008-09-12,38,56.24
2008-09-19,38,53.85
2008-09-26,40,54.91
2008-10-03,36,52.19
2008-10-10,37,42.15
2008-10-17,39,46.13
2008-10-24,37,41.42
2008-10-31,37,44.29
2008-11-07,31,42.88
2008-11-14,33,38.1
2008-11-21,35,33.92
2008-11-28,37,36.85
2008-12-05,35,36.11
2008-12-12,38,34.4
2008-12-19,32,36.5
2008-12-26,25,34.37
2009-01-02,27,37.37
2009-01-09,36,36.96
2009-01-16,41,36.73
2009-01-23,42,34.97
2009-01-30,41,38.34
