"Date","Jacobs.Engineering.Group","Price"
2007-02-09,100,90.3
2007-04-20,81,50.44
2007-06-15,67,59.52
2007-08-24,85,64.8
2007-08-31,60,66.09
2007-09-07,60,66.06
2007-09-14,60,71
2007-09-21,60,77.16
2007-09-28,60,75.58
2007-11-16,65,77.9
2007-11-23,60,77.61
2007-11-30,60,83.77
2007-12-07,60,94.08
2007-12-14,65,95.31
2007-12-21,69,96.33
2007-12-28,74,98.08
2008-01-04,79,96.61
2008-01-11,83,88.71
2008-01-18,88,74.21
2008-01-25,67,77.18
2008-02-01,51,80.22
2008-04-11,53,77.23
2008-04-18,48,85.11
2008-04-25,49,89.21
2008-05-02,51,88.47
2008-05-09,52,86.76
2008-05-16,53,96.45
2008-08-22,53,75.79
2008-08-29,52,73.82
2008-09-05,49,64.57
2008-09-12,49,64.61
2008-09-19,49,64.41
2008-09-26,66,55.04
2008-10-03,48,44.6
2008-10-10,60,35.78
2008-10-17,47,38.1
2008-10-24,45,30.48
2008-10-31,45,36.43
2008-11-07,53,35.6
2008-11-14,61,31.01
2008-11-21,45,29.36
2008-11-28,49,44.77
2008-12-05,52,42.43
2008-12-12,45,46.8
2008-12-19,49,45.99
2008-12-26,54,44.65
2009-01-02,59,50.42
2009-01-09,50,51.15
2009-01-16,50,48.36
2009-01-23,49,40.71
2009-01-30,46,38.67
2009-02-06,64,42.04
2009-02-13,44,40.41
2009-02-20,37,35.65
2009-02-27,41,33.74
2009-03-06,44,32.71
2009-03-13,51,40.35
2009-03-20,41,37.31
2009-03-27,43,41.32
2009-04-03,51,43.17
2009-04-17,45,46.6
2009-04-24,41,45.66
2009-05-01,41,38.11
2009-05-08,43,42.37
2009-05-15,46,38.58
2009-05-22,42,38.36
2009-05-29,43,42.9
2009-06-05,53,43.62
2009-06-12,46,44.33
2009-06-19,52,42.27
2009-06-26,48,41.37
2009-07-10,79,37.28
2009-07-17,36,39.99
2009-07-24,54,42.28
2009-07-31,36,40.98
2009-08-07,47,43.74
2009-08-14,47,43.78
2009-08-21,53,46.79
2009-08-28,59,44.65
2009-09-04,50,44.85
2009-09-11,37,46.64
2009-09-18,49,48.53
2009-09-25,36,45.16
2009-10-02,37,43.51
2009-10-09,38,44.09
2009-10-16,41,46.17
2009-10-23,47,46.92
2009-10-30,65,42.29
2009-11-06,49,43.81
2009-11-13,67,43.95
2009-11-20,30,36.59
2009-11-27,35,35.58
2009-12-04,40,34.94
2009-12-11,45,34.57
2009-12-18,55,37.74
2010-01-08,43,41.74
2010-01-15,43,40.27
2010-01-22,37,39.66
2010-01-29,30,37.79
2010-02-05,62,35.93
2010-02-12,31,36.5
2010-02-19,31,39.32
2010-02-26,38,38.8
2010-03-05,39,41.44
2010-03-12,44,43.55
2010-03-19,44,43.1
2010-03-26,55,44.87
2010-04-09,49,47.61
2010-04-16,44,46.9
2010-04-23,39,49.21
2010-04-30,45,48.22
2010-05-07,39,42.35
2010-05-14,37,46.11
2010-05-21,37,42.06
2010-05-28,32,41.76
2010-06-04,43,40.14
2010-06-11,37,40.82
2010-06-18,32,41.62
2010-06-25,42,39.5
2010-07-02,52,35.43
2010-07-09,33,37.97
2010-07-16,33,36.19
2010-07-23,33,39.3
2010-07-30,27,36.57
2010-08-06,39,36.71
2010-08-13,51,35.16
2010-08-20,27,35.4
2010-08-27,36,35.54
2010-09-03,26,37.12
2010-09-10,26,36.84
2010-09-17,27,36.11
2010-09-24,32,37.41
2010-10-01,26,39.01
2010-10-08,29,40.23
2010-10-15,31,39.38
2010-10-22,23,39.21
2010-10-29,23,38.61
2010-11-05,30,42.48
2010-11-12,37,41.72
2010-11-19,28,40.33
2010-11-26,23,38.91
2010-12-03,32,41.28
2010-12-10,34,42.86
2010-12-17,36,43.52
2010-12-31,38,45.85
2011-01-07,39,45.27
2011-01-14,26,51.02
2011-01-21,26,49.72
2011-01-28,26,49.95
2011-02-04,39,52.1
2011-02-11,42,52.14
2011-02-18,36,51.55
2011-02-25,29,49.67
