"Date","buy.CVS","Price"
2005-01-21,23,45.89
2005-06-10,28,29.03
2005-06-17,20,29.54
2005-06-24,25,28.7
2005-08-05,23,29.93
2005-08-12,24,29.52
2005-09-30,19,29.01
2005-10-07,21,25.58
2005-10-14,18,24.98
2005-10-21,22,26.13
2005-10-28,17,25.12
2005-11-04,18,27.02
2005-11-11,19,27.08
2005-11-18,20,26.92
2005-11-25,20,27.96
2005-12-02,21,27.28
2005-12-09,23,27.91
2005-12-16,27,28.26
2005-12-23,32,27.14
2005-12-30,18,26.42
2006-01-06,18,27.14
2006-01-13,18,26.75
2006-01-20,35,27.13
2006-01-27,16,28.07
2006-02-03,28,29.23
2006-02-10,16,27.9
2006-02-17,18,28.6
2006-02-24,14,28.21
2006-03-03,14,28.7
2006-03-10,17,30.4
2006-03-17,20,29.6
2006-03-24,17,29.05
2006-03-31,15,29.87
2006-04-07,17,31.18
2006-04-21,21,29.38
2006-04-28,19,29.72
2006-05-05,16,30.96
2006-05-12,16,29.26
2006-05-19,16,28.62
2006-05-26,16,28.59
2006-06-02,16,29.24
2006-06-09,16,29.21
2006-06-16,15,30.19
2006-06-23,28,29.2
2006-06-30,17,30.7
2006-07-07,17,30.46
2006-07-14,18,31.68
2006-07-21,20,31.99
2006-07-28,22,32.59
2006-08-04,13,33.8
2006-08-11,25,33.97
2006-08-18,13,33.87
2006-08-25,21,32.96
2006-09-01,23,33.96
2006-09-08,23,35.5
2006-09-15,12,34.74
2006-09-22,18,33.03
2006-09-29,17,32.12
2006-10-06,16,29.32
2006-10-13,16,31.09
2006-10-20,18,30.69
2006-10-27,14,31.2
2006-11-03,22,28.79
2006-11-10,19,28.96
2006-11-17,11,29.07
2006-11-24,24,27.97
2006-12-01,14,28.67
2006-12-08,23,30.23
2006-12-15,31,30.52
2006-12-22,32,31.25
2006-12-29,29,30.91
2007-01-05,29,31.17
2007-01-12,20,31.94
2007-01-19,23,33.28
2007-01-26,23,32.97
2007-02-02,20,33.19
2007-02-09,19,32.91
2007-02-16,21,32.73
2007-02-23,16,32.48
2007-03-02,10,30.94
2007-03-09,20,32.6
2007-03-16,15,32.94
2007-03-23,18,34.57
2007-03-30,18,34.14
2007-04-13,17,35.13
2007-04-20,22,34.97
2007-04-27,19,36.73
2007-05-04,25,35.94
2007-05-11,24,37.31
2007-05-18,23,38.46
2007-05-25,23,39.08
2007-06-01,27,38.55
2007-06-08,27,37.86
2007-06-15,27,37.63
2007-06-22,16,36.55
2007-06-29,17,36.45
2007-07-06,22,36.76
2007-07-13,23,36.36
2007-07-20,30,35.66
2007-07-27,22,35.14
2007-08-03,23,36.43
2007-08-10,25,38
2007-08-17,27,36.82
2007-08-24,30,36.8
2007-08-31,30,37.82
2007-09-07,19,37.19
2007-09-14,31,37.83
2007-09-21,25,37.83
2007-09-28,16,39.63
2007-10-05,24,38.94
2007-10-12,25,39.9
2007-10-19,25,39.14
2007-10-26,22,41.42
2007-11-02,28,41.75
2007-11-09,28,41.56
2007-11-16,19,42.21
2007-11-23,33,41.94
2007-11-30,28,40.09
2007-12-07,41,40.04
2007-12-14,27,39.2
2007-12-21,43,39.65
2007-12-28,44,40
2008-01-04,30,37.27
2008-01-11,27,36.77
2008-01-18,27,36.92
2008-01-25,23,35.56
2008-02-01,23,39.9
2008-02-08,21,39.56
2008-02-15,31,39.72
2008-02-22,23,40.16
2008-02-29,29,40.38
2008-03-07,22,38.91
2008-03-14,25,38.61
2008-03-28,22,40.85
2008-04-04,28,40.3
2008-04-11,26,40.15
2008-04-18,36,40.58
2008-04-25,25,40.93
2008-05-02,23,40.43
2008-05-09,27,41.34
2008-05-16,21,43.42
2008-05-23,36,42.15
2008-05-30,23,42.79
2008-06-06,30,42.64
2008-06-13,31,42.62
2008-06-20,36,41.36
2008-06-27,27,39.77
2008-07-11,32,38.64
2008-07-18,36,37.36
2008-07-25,31,38.34
2008-08-01,29,35.75
2008-08-08,29,38.62
2008-08-15,36,38.59
2008-08-22,37,37.63
2008-08-29,22,36.6
2008-09-05,41,35.86
2008-09-12,29,37.64
2008-09-19,27,36.11
2008-09-26,29,34.98
2008-10-03,29,31.93
2008-10-10,30,30.88
2008-10-17,37,26.91
2008-10-24,35,27.77
2008-10-31,30,30.65
2008-11-07,28,30.3
2008-11-14,36,29.31
2008-11-21,30,26.39
2008-11-28,51,28.93
2008-12-05,39,27.88
2008-12-12,46,28.45
2008-12-19,48,26.96
2008-12-26,62,26.73
2009-01-02,39,29.38
2009-01-09,36,25.69
2009-01-16,40,26.83
2009-01-23,38,27.73
2009-01-30,40,26.88
2009-02-06,46,29.04
2009-02-13,37,27.47
2009-02-20,33,27.82
2009-02-27,35,25.74
2009-03-06,30,24.46
2009-03-13,34,26.53
2009-03-20,31,26.69
2009-03-27,41,28.26
2009-04-03,27,28.45
2009-04-17,34,30.14
2009-04-24,40,29.73
2009-05-01,30,32.26
2009-05-08,35,32.12
2009-05-15,34,30.8
2009-05-22,36,29.53
2009-05-29,40,29.8
2009-06-05,37,30.19
2009-06-12,41,30.35
2009-06-19,47,31.77
2009-06-26,42,31.36
2009-07-10,41,30.9
