"Date","buy.TEL","Price"
2007-08-17,100,35.1
2007-10-05,88,36.05
2007-10-12,85,37
2007-10-19,85,36.24
2007-10-26,78,33.7
2007-11-02,78,35.37
2008-02-08,70,34.6
2008-06-06,75,38.29
2008-09-26,76,27.39
2008-10-03,56,25.65
2008-10-10,56,20.37
2008-10-17,56,20.14
2008-10-24,56,17.69
2008-10-31,57,19.44
2008-11-07,57,17.68
2008-11-14,54,14.5
2008-11-21,57,14.6
2008-11-28,60,16.48
2008-12-05,81,17.27
2008-12-12,65,16.06
2008-12-19,65,15.72
2008-12-26,67,15.23
2009-01-02,52,17.23
2009-01-09,52,16.92
2009-01-16,52,15.82
2009-01-23,51,15.64
2009-01-30,51,14.16
2009-02-06,50,14.77
2009-02-13,50,13.85
2009-02-20,50,11.01
2009-02-27,52,9.48
2009-03-06,54,7.88
2009-03-13,49,9.51
2009-03-20,49,10.35
2009-03-27,53,11.98
2009-04-03,54,12.82
2009-04-17,78,16.23
2009-04-24,78,17.05
2009-05-01,78,17.74
2009-05-08,78,17.95
2009-05-15,67,16.8
2009-05-22,66,16.86
2009-05-29,66,17.37
2009-06-05,66,19.86
2009-06-12,66,19.87
2009-06-19,57,20.22
2009-06-26,57,18.35
2009-07-10,48,16.68
2009-07-17,48,18.77
2009-07-24,68,20.5
2009-07-31,49,21.47
2009-08-07,49,22.26
2009-08-14,53,22.74
2009-08-21,48,23.55
2009-08-28,55,23.42
2009-09-04,63,22.93
2009-09-11,48,23.79
2009-09-18,48,23.8
2009-09-25,48,22.56
2009-10-02,52,21.12
2009-10-09,56,22.61
2009-10-16,46,23.64
2009-10-23,46,23.26
2009-10-30,50,21.25
2009-11-06,50,22.77
2009-11-13,61,24.12
2009-11-20,73,23.84
2009-11-27,46,23.46
2009-12-04,44,23.8
2009-12-11,51,23.92
2009-12-18,57,23.26
2010-01-08,44,25
2010-01-15,41,25.24
2010-01-22,41,24.98
2010-01-29,41,24.88
2010-02-05,60,24.6
2010-02-12,47,25.3
2010-02-19,47,26.4
2010-02-26,47,25.63
2010-03-05,78,25.79
2010-03-12,59,26.64
2010-03-19,59,27.5
2010-03-26,59,27.68
2010-04-09,62,29.05
2010-04-16,55,28.49
2010-04-23,55,29.57
2010-04-30,49,32.12
2010-05-07,60,27.98
2010-05-14,76,28.99
2010-05-21,76,27.93
2010-05-28,69,28.82
2010-06-04,50,28.13
2010-06-11,42,28.83
2010-06-18,42,28.82
2010-06-25,58,27.55
