"Date","Amazon.com.Inc","Price"
2007-02-23,90,40.78
2007-12-07,51,94.31
2008-02-01,63,74.63
2008-03-28,46,69.76
2008-04-04,46,76.87
2008-04-11,46,71.99
2008-07-18,47,69.12
2008-07-25,58,78.31
2008-08-01,68,75.75
2008-08-08,79,80.51
2008-08-15,89,86.4
2008-08-22,100,85.26
2008-11-14,42,41.75
2008-11-21,44,37.87
2008-11-28,47,42.7
2009-02-27,43,64.79
2009-03-06,42,61.69
2009-03-13,42,68.63
2009-03-20,42,69.96
2009-03-27,42,70.52
2009-04-03,42,78.17
2009-04-17,36,78.05
2009-04-24,37,84.46
2009-05-01,39,78.96
2009-05-08,41,77.95
2009-05-15,34,73.6
2009-05-22,33,75.64
2009-05-29,33,77.99
2009-06-05,33,87.56
2009-06-12,33,84.08
2009-07-24,37,86.49
2009-07-31,34,85.76
2009-08-07,48,85.32
2009-08-14,41,83.58
2009-08-21,36,85
2009-08-28,36,82.76
2009-09-04,38,78.87
2009-09-11,41,84.54
2009-09-18,53,90.28
2009-09-25,33,90.52
2009-10-02,33,89.85
2009-10-09,30,95.71
2009-10-16,31,95.32
2009-10-23,31,118.49
2009-10-30,31,118.81
2009-11-06,32,126.2
2009-11-13,43,132.97
2009-11-20,72,129.66
2009-11-27,54,131.74
2009-12-04,54,137.58
2009-12-11,40,134.15
2009-12-18,76,128.48
2010-01-08,46,133.52
2010-01-15,46,127.14
2010-01-22,46,121.43
2010-01-29,32,125.41
2010-02-05,26,117.39
2010-02-12,26,119.66
2010-02-19,40,117.52
2010-02-26,44,118.4
2010-03-05,39,128.91
2010-03-12,47,131.82
2010-03-19,29,130.35
2010-03-26,34,135.06
2010-04-09,33,140.06
2010-04-16,36,142.17
2010-04-23,42,143.63
2010-04-30,48,137.1
2010-05-07,27,124.98
2010-05-14,27,128.53
2010-05-21,27,122.72
2010-05-28,27,125.46
2010-06-04,27,122.77
2010-06-11,27,123.03
2010-06-18,27,125.83
2010-06-25,30,121
2010-07-02,35,109.14
2010-09-03,26,138.79
2010-09-10,28,142.44
2010-09-17,30,148.32
2010-09-24,30,160.73
2010-10-01,43,153.71
2010-10-08,29,155.55
2010-10-15,29,164.64
2010-10-22,29,169.13
2010-10-29,42,165.23
2010-11-05,24,170.77
2010-11-12,24,165.68
2010-11-19,24,164.82
2010-11-26,29,177.2
2010-12-03,45,175.68
2010-12-10,35,175.62
2010-12-17,26,177.58
2010-12-31,36,180
2011-01-07,41,185.49
2011-01-14,25,188.75
2011-01-21,24,177.42
2011-01-28,24,171.14
2011-02-04,19,175.93
2011-02-11,23,189.25
2011-02-18,27,186.5
2011-02-25,31,177.24
2011-03-04,35,171.67
2011-03-11,29,168.07
2011-03-18,29,161.82
2011-03-25,26,170.98
2011-04-01,26,180.13
2011-04-08,26,184.71
2011-04-15,26,180.01
2011-04-29,22,195.81
2011-05-06,21,197.6
2011-05-13,25,202.56
2011-05-20,29,198.65
2011-05-27,22,194.13
2011-06-03,21,188.32
2011-06-10,21,186.53
2011-06-17,29,186.37
2011-06-24,21,192.55
2011-07-01,22,209.49
2011-07-08,22,218.28
2011-07-15,24,212.87
2011-07-22,49,216.52
2011-07-29,24,222.52
2011-08-05,24,202.7
2011-08-12,23,202.3
2011-08-19,25,178.93
2011-08-26,26,199.27
2011-09-02,24,210
2011-09-09,32,211.39
2011-09-16,41,239.3
2011-09-23,32,223.61
2011-09-30,46,216.23
2011-10-07,19,224.74
2011-10-14,25,246.71
2011-10-21,17,234.78
2011-10-28,36,217.32
2011-11-04,29,216.48
2011-11-11,36,217.39
2011-11-18,27,197.14
2011-11-25,26,182.4
2011-12-02,30,196.03
2011-12-09,20,193.03
2011-12-16,30,181.26
2011-12-23,23,177.28
2011-12-30,32,173.1
2012-01-06,22,182.61
2012-01-13,24,178.42
2012-01-20,34,190.93
2012-01-27,33,195.37
2012-02-03,33,187.68
2012-02-10,29,185.54
2012-02-17,19,182.5
2012-02-24,26,179.13
2012-03-02,31,179.3
2012-03-09,33,184.32
2012-03-16,23,185.05
2012-03-23,25,195.04
2012-03-30,16,202.51
2012-04-13,19,188.46
2012-04-20,26,189.98
2012-04-27,32,226.85
2012-05-04,20,223.99
2012-05-11,24,227.68
2012-05-18,17,213.85
2012-05-25,25,212.89
2012-06-01,18,208.22
2012-06-08,17,218.48
2012-06-15,18,218.35
2012-06-22,17,222.16
2012-06-29,24,228.35
2012-07-06,27,225.05
2012-07-13,30,218.39
2012-07-20,18,228.29
2012-07-27,15,237.32
2012-08-03,19,234.97
2012-08-10,22,232.75
2012-08-17,23,241.17
2012-08-24,25,245.74
2012-08-31,21,248.27
2012-09-07,25,259.14
2012-09-14,18,261.27
2012-09-21,21,257.47
2012-09-28,27,254.32
2012-10-05,27,258.51
2012-10-12,26,242.36
2012-10-19,30,240
2012-10-26,35,238.24
2012-11-02,21,232.42
2012-11-09,18,226.31
2012-11-16,25,225.23
2012-11-23,17,239.88
2012-11-30,24,252.05
2012-12-07,21,253.27
2012-12-14,38,249.19
2012-12-21,33,256.92
2012-12-28,18,245.18
2013-01-04,17,259.15
2013-01-11,17,267.94
2013-01-18,20,272.12
2013-01-25,19,283.99
2013-02-01,28,265
2013-02-08,15,261.95
2013-02-15,19,265.09
2013-02-22,14,265.42
2013-03-01,21,265.74
2013-03-08,19,274.19
2013-03-15,20,261.82
2013-03-22,22,257.75
2013-04-05,14,255.48
2013-04-12,28,272.87
2013-04-19,12,260.32
2013-04-26,28,254.81
2013-05-03,26,258.05
2013-05-10,16,263.63
2013-05-17,27,269.9
2013-05-24,21,261.74
2013-05-31,20,269.2
2013-06-07,17,276.87
2013-06-14,17,273.99
2013-06-21,23,273.36
2013-06-28,15,277.69
2013-07-05,23,285.88
2013-07-12,18,307.55
2013-07-19,18,305.23
2013-07-26,20,312.01
2013-08-02,14,304.21
2013-08-09,20,297.26
2013-08-16,20,284.82
2013-08-23,35,290.01
2013-08-30,21,280.98
2013-09-06,27,295.86
2013-09-13,13,297.92
2013-09-20,19,316.34
2013-09-27,16,316.01
2013-10-04,15,319.04
2013-10-11,17,310.89
2013-10-18,22,328.93
2013-10-25,20,363.39
2013-11-01,23,359
2013-11-08,27,350.31
2013-11-15,16,369.17
2013-11-22,18,372.31
2013-11-29,23,393.62
2013-12-06,21,386.95
2013-12-13,18,384.24
2013-12-20,22,402.2
2013-12-27,16,398.08
2014-01-03,16,396.44
2014-01-10,21,397.66
2014-01-17,20,399.61
2014-01-24,17,387.6
2014-01-31,15,358.69
2014-02-07,13,361.08
2014-02-14,19,357.35
2014-02-21,18,346.76
2014-02-28,17,362.1
2014-03-07,18,372.06
2014-03-14,21,373.74
2014-03-21,17,360.62
2014-03-28,15,338.29
2014-04-04,24,323
2014-04-11,20,311.73
2014-04-25,24,303.83
