"Date","Colgate.Palmolive","Price"
2004-02-06,68,54.8
2004-02-13,68,55.03
2004-02-20,68,56.05
2004-04-02,53,55.62
2004-04-16,57,55.75
2004-04-23,57,56.64
2004-04-30,79,57.88
2004-05-07,52,57.63
2004-05-14,54,55.75
2004-05-21,55,57.23
2004-05-28,56,57.2
2004-06-04,52,56.92
2004-06-18,56,58.38
2004-06-25,57,57.35
2004-07-02,58,58.38
2004-07-09,63,57.76
2004-07-16,68,56.32
2004-07-23,74,52.64
2004-07-30,77,53.2
2004-08-06,80,51.75
2004-08-13,58,51.73
2004-08-20,58,52.66
2004-08-27,58,53.95
2004-09-03,58,54.85
2004-09-10,58,54.4
2004-09-17,54,54.33
2004-09-24,54,45.15
2004-10-01,67,45.12
2004-10-08,58,44.15
2004-10-15,75,43.93
2004-10-22,69,45.7
2004-10-29,55,44.62
2004-11-05,56,46.91
2004-11-12,67,47.62
2004-11-19,77,46.22
2004-11-26,60,45.9
2004-12-03,57,46.9
2004-12-10,89,50.46
2004-12-17,42,49.92
2004-12-31,68,51.16
2005-01-07,61,50.08
2005-01-14,61,50.08
2005-01-21,61,49.8
2005-01-28,37,51.66
2005-02-04,66,54.83
2005-02-11,40,54.65
2005-02-18,40,53.2
2005-02-25,77,52.6
2005-03-04,84,52.84
2005-03-11,42,52.34
2005-03-18,42,52.14
2005-04-01,47,51.52
2005-04-08,73,53.54
2005-04-15,100,52.82
2005-04-22,35,51.38
2005-04-29,68,49.79
2005-05-06,50,49.17
2005-05-13,50,48.6
2005-05-20,50,51.12
2005-05-27,51,50.06
2005-06-03,46,49.09
2005-06-10,46,49.76
2005-06-17,57,49.33
2005-06-24,69,50.6
2005-07-01,34,50.05
2005-07-08,34,50.46
2005-07-15,48,51.55
2005-07-22,44,51.98
2005-07-29,47,52.94
2005-08-05,47,52.62
2005-08-12,47,52.8
2005-08-19,54,52.12
2005-08-26,45,52.17
2005-09-02,31,52.49
2005-09-09,53,53.34
2005-09-16,41,53.62
2005-09-23,42,52.08
2005-09-30,51,52.79
2005-10-07,61,52.64
2005-10-14,52,52.4
2005-10-21,28,52.03
2005-10-28,28,53.14
2005-11-04,36,51.85
2005-11-11,54,53.63
2005-11-18,40,53.86
2005-11-25,50,54.05
2005-12-02,44,54.96
2005-12-09,47,55.04
2005-12-16,29,55.94
2005-12-23,29,55.5
2005-12-30,33,54.85
2006-01-06,44,54.82
2006-01-13,37,54.75
2006-01-20,36,53.7
2006-01-27,31,55.99
2006-02-03,34,54.54
2006-02-10,46,54.02
2006-02-17,41,54.8
2006-02-24,23,54.62
2006-03-03,43,54.86
2006-03-10,42,57.72
2006-03-17,40,56.69
2006-03-24,39,57.8
2006-03-31,33,57.1
2006-04-07,24,57.55
2006-04-21,30,56.86
2006-04-28,44,59.12
2006-05-05,47,60.33
2006-05-12,50,59.24
2006-05-19,38,59.47
2006-05-26,30,60.73
2006-06-02,22,60.22
2006-06-09,22,61.51
2006-06-16,29,60.69
2006-06-23,31,60.07
2006-06-30,31,59.9
2006-07-07,41,60.88
2006-07-14,39,61.01
2006-07-21,27,62.07
2006-07-28,26,59.67
2006-08-04,26,58.44
2006-08-11,39,59.51
2006-08-18,29,59
2006-08-25,29,58.79
2006-09-01,20,60.65
2006-09-08,24,60.76
2006-09-15,31,62.14
2006-09-22,36,61.6
2006-09-29,41,62.1
2006-10-06,34,62.65
2006-10-13,39,60.8
2006-10-20,29,60.74
2006-10-27,22,63.31
2006-11-03,22,63.67
2006-11-10,22,65.24
