"Date","Host.Hotels...Resorts","Price"
2005-07-29,100,18.65
2005-11-18,72,17.46
2006-01-20,64,19.67
2006-04-21,73,20.52
2006-04-28,70,21.02
2006-05-05,63,21.39
2006-05-12,63,20.5
2006-05-19,63,20.07
2006-05-26,81,20.21
2006-06-02,65,20.71
2006-06-09,65,20.9
2006-06-16,72,21.27
2006-06-23,64,21.08
2006-06-30,71,21.87
2006-07-07,67,22.32
2006-07-14,77,21.89
2006-07-21,72,21.82
2006-07-28,78,21.56
2006-08-04,58,22.41
2006-08-11,69,20.69
2006-08-18,70,21.75
2006-08-25,72,21.72
2006-09-01,59,22.31
2006-09-08,57,22.66
2006-09-15,57,22.73
2006-09-22,50,22.83
2006-09-29,60,22.93
2006-10-06,56,23.59
2006-10-13,59,22.56
2006-10-20,63,22.95
2006-10-27,52,23.58
2006-11-03,52,22.93
2006-11-10,52,23.43
2006-11-17,52,23.95
2006-11-24,52,25.6
2006-12-01,72,24.98
2006-12-08,49,24.69
2006-12-15,49,24.37
2006-12-22,49,24.2
2006-12-29,55,24.55
2007-01-05,60,23.97
2007-01-12,47,24.93
2007-01-19,68,25.17
2007-01-26,89,25.66
2007-02-02,70,27.27
2007-02-09,44,27.99
2007-02-16,45,27.63
2007-02-23,46,26.5
2007-03-02,47,25.28
2007-03-09,51,25.69
2007-03-16,56,26.3
2007-03-23,55,26.87
2007-03-30,55,26.31
2007-04-13,52,26.54
2007-04-20,42,26.36
2007-04-27,44,26.04
2007-05-04,45,25.2
2007-05-11,46,25.05
2007-05-18,61,23.61
2007-05-25,67,23.6
2007-06-01,43,25.36
2007-06-08,50,24.27
2007-06-15,57,23.92
2007-06-22,51,23.02
2007-06-29,57,23.12
2007-07-06,62,25.17
2007-07-13,90,24.82
2007-07-20,84,23.56
2007-07-27,50,20.78
2007-08-03,57,21.3
2007-08-10,54,21.54
2007-08-17,64,21.98
2007-08-24,79,22.35
2007-08-31,47,22.29
2007-09-07,40,21.41
2007-09-14,61,21.75
2007-09-21,70,22.32
2007-09-28,34,22.44
2007-10-05,59,23.08
2007-10-12,73,22.98
2007-10-19,52,21.34
2007-10-26,54,22.37
2007-11-02,92,21.06
2007-11-09,29,19.1
2007-11-16,48,18.83
2007-11-23,33,18.31
2007-11-30,48,19.19
2007-12-07,54,19.35
2007-12-14,34,17.38
2007-12-21,43,17.65
2007-12-28,52,16.71
2008-01-04,33,16.08
2008-01-11,42,16.68
2008-01-18,41,15.58
2008-01-25,40,16.16
2008-02-01,51,17.28
2008-02-08,49,16.8
2008-02-15,43,16.91
2008-02-22,40,16.43
2008-02-29,47,16.19
2008-03-07,41,16.39
2008-03-14,49,16.3
2008-03-28,52,16.21
2008-04-04,59,17.33
2008-04-11,46,17.05
2008-04-18,56,17.17
2008-04-25,62,17.29
2008-05-02,45,18.04
2008-05-09,44,17.27
2008-05-16,38,18.47
2008-05-23,35,17.27
2008-05-30,40,17.19
2008-06-06,39,16.03
2008-06-13,79,15.55
2008-06-20,46,14.53
2008-06-27,78,13.8
2008-07-11,49,12.01
2008-07-18,71,12.61
2008-07-25,71,13.09
2008-08-01,72,13.16
2008-08-08,60,13.8
2008-08-15,64,14.01
2008-08-22,48,14
2008-08-29,40,14.3
2008-09-05,29,14.32
2008-09-12,44,15.44
2008-09-19,28,15.99
2008-09-26,37,13.95
2008-10-03,48,11.4
2008-10-10,49,9.28
2008-10-17,22,9.19
2008-10-24,28,7.5
2008-10-31,25,10.34
2008-11-07,25,9.07
2008-11-14,21,7.15
2008-11-21,45,5.94
2008-11-28,29,7.52
2008-12-05,29,7.58
2008-12-12,30,7.25
2008-12-19,43,7.74
2008-12-26,29,7.42
2009-01-02,31,7.73
2009-01-09,39,7.22
2009-01-16,49,6.77
2009-01-23,60,5.89
2009-01-30,36,5.38
2009-02-06,31,5.49
2009-02-13,23,4.38
2009-02-20,45,4.15
2009-02-27,47,3.7
2009-03-06,43,3.54
2009-03-13,35,4.65
2009-03-20,55,3.78
2009-03-27,38,4.25
2009-04-03,48,5.01
2009-04-17,34,6.46
2009-04-24,65,7.8
2009-05-01,43,7.54
2009-05-08,34,9.56
2009-05-15,28,7.67
2009-05-22,52,8.2
2009-05-29,26,9.38
2009-06-05,24,9.56
2009-06-12,24,9.18
2009-06-19,57,7.66
2009-06-26,58,8.09
2009-07-10,40,7.44
2009-07-17,48,8.03
2009-07-24,66,8.6
2009-07-31,40,9.08
2009-08-07,56,10.86
2009-08-14,49,10.39
2009-08-21,45,10.58
2009-08-28,42,10.21
2009-09-04,37,9.53
2009-09-11,28,10.55
2009-09-18,39,11.55
2009-09-25,36,11.03
2009-10-02,30,10.69
2009-10-09,52,11.43
2009-10-16,38,11.19
2009-10-23,28,10.57
2009-10-30,31,10.11
2009-11-06,34,9.78
2009-11-13,38,10.62
2009-11-20,27,10.06
2009-11-27,25,10.06
2009-12-04,22,10.95
2009-12-11,27,10.56
2009-12-18,29,11.31
2010-01-08,30,12.49
2010-01-15,41,11.98
2010-01-22,39,11.08
2010-01-29,32,10.6
2010-02-05,32,10.9
2010-02-12,31,11.27
2010-02-19,46,11.71
2010-02-26,41,11.71
2010-03-05,38,12.54
2010-03-12,32,13.09
2010-03-19,25,13.55
2010-03-26,45,14.6
2010-04-09,41,15.12
2010-04-16,36,14.61
2010-04-23,33,16.54
2010-04-30,36,16.26
2010-05-07,33,14.74
2010-05-14,51,14.89
2010-05-21,48,14.08
2010-05-28,32,14.26
2010-06-04,46,13.65
2010-06-11,57,14.83
2010-06-18,48,15.51
2010-06-25,41,14.42
2010-07-02,48,13.07
2010-07-09,39,14.21
2010-07-16,30,13.45
2010-07-23,71,14.21
2010-07-30,44,14.34
2010-08-06,41,14.53
2010-08-13,38,13.68
2010-08-20,40,13.43
2010-08-27,33,13.49
2010-09-03,34,14.16
2010-09-10,30,14.21
2010-09-17,40,14.46
2010-09-24,55,14.56
2010-10-01,29,14.65
2010-10-08,29,15.6
2010-10-15,32,16.11
2010-10-22,43,16.21
2010-10-29,17,15.89
2010-11-05,29,17.12
2010-11-12,31,15.84
2010-11-19,18,16.11
2010-11-26,25,16.36
2010-12-03,33,16.89
2010-12-10,31,17.19
2010-12-17,26,17.25
2010-12-31,18,17.87
2011-01-07,30,18.24
2011-01-14,33,18.49
2011-01-21,40,18.14
2011-01-28,32,17.88
2011-02-04,35,19.05
2011-02-11,33,19.77
2011-02-18,31,18.9
2011-02-25,30,18.38
2011-03-04,32,17.67
2011-03-11,37,17.52
2011-03-18,43,17.48
2011-03-25,30,17.71
2011-04-01,22,17.42
2011-04-08,41,16.7
2011-04-15,37,17.02
2011-04-29,39,17.79
2011-05-06,35,17.36
2011-05-13,32,16.97
2011-05-20,25,16.99
2011-05-27,34,17.59
2011-06-03,36,16.89
2011-06-10,34,15.8
2011-06-17,30,16.09
2011-06-24,48,16.14
2011-07-01,42,17.63
