"Date","buy.DRI","Price"
2010-01-22,83,36.16
2010-04-30,90,44.75
2010-06-11,100,43.29
2010-06-18,88,44.48
2010-06-25,88,39
2010-07-02,88,38.48
2010-07-09,88,39.43
2010-07-16,79,39.76
2011-01-28,62,45.18
2011-02-04,65,48.99
2011-02-11,68,49.49
2011-04-08,68,46.89
2011-04-15,63,47.69
2011-04-29,63,46.97
2011-06-24,61,48.51
2011-10-14,68,46.66
2011-10-21,76,47.17
2011-10-28,68,48.5
2011-11-04,68,47.36
2011-11-11,68,47.41
2011-11-18,68,46.47
2011-11-25,57,44.6
2011-12-02,57,47.53
2011-12-09,57,43.21
2011-12-16,57,43.68
2011-12-23,54,45.7
2011-12-30,54,45.58
2012-01-06,54,44.34
2012-01-13,54,44.56
2012-01-20,48,46.75
2012-01-27,48,46.13
2012-02-03,48,48.52
2012-02-10,48,49.45
2012-02-17,71,50.9
2012-02-24,71,49.19
2012-03-02,71,49.76
2012-03-09,71,51.46
2012-03-16,71,52.51
2012-03-23,68,50.92
2012-03-30,68,51.16
2012-04-13,69,50.28
2012-04-20,47,49.93
2012-04-27,47,50.44
2012-05-04,47,50.62
2012-05-11,47,50.63
2012-05-18,50,51.13
2012-05-25,53,53.06
2012-06-01,54,49.87
2012-06-08,55,50.02
2012-06-15,56,51.46
2012-06-22,63,50.04
2012-06-29,70,50.63
2012-07-06,47,50.79
2012-07-13,47,50.22
2012-07-20,56,51.1
2012-07-27,48,51.99
2012-08-03,53,52.45
2012-08-10,58,52.85
2012-08-17,63,53.87
2012-08-24,55,52.35
2012-08-31,55,51.95
2012-09-07,55,53.49
2012-09-14,50,54.04
2012-09-21,50,57.21
2012-09-28,63,55.75
2012-10-05,67,55.09
2012-10-12,43,54.35
2012-10-19,43,53.83
2012-10-26,52,52.54
2012-11-02,47,52.63
2012-11-09,43,51.61
2012-11-16,43,50.92
2012-11-23,41,53.53
2012-11-30,41,52.88
2012-12-07,70,46.66
2012-12-14,51,46.46
2012-12-21,51,45.13
2012-12-28,40,44.44
2013-01-04,40,46.46
2013-01-11,40,44.92
2013-01-18,46,45.38
2013-01-25,51,45.87
2013-02-01,39,46.84
2013-02-08,43,47.36
2013-02-15,42,45.15
2013-02-22,42,46.23
2013-03-01,42,46.18
2013-03-08,41,47.33
2013-03-15,41,49.37
2013-03-22,42,49.62
2013-04-05,46,50.54
2013-04-12,49,50.26
2013-04-19,51,48.89
2013-04-26,53,50.99
2013-05-03,42,52.82
2013-05-10,38,53.56
2013-05-17,38,53.43
2013-05-24,87,52.83
2013-05-31,50,51.8
2013-06-07,49,54.23
2013-06-14,49,52.54
2013-06-21,49,50.12
2013-06-28,49,50.48
2013-07-05,55,51.33
2013-07-12,66,50.43
2013-07-19,51,49.49
2013-07-26,58,48.93
2013-08-02,57,49.88
2013-09-27,40,46.7
2013-10-04,42,46.72
2013-10-11,43,50.5
2013-10-18,50,52.07
2013-10-25,56,51.7
2013-11-01,49,51.48
2013-11-08,49,52.16
2013-11-15,35,53.5
2013-11-22,35,53.87
2013-11-29,38,53.33
2013-12-06,41,52.48
2013-12-13,35,51.63
2013-12-20,47,51.09
2013-12-27,41,54.33
2014-01-03,41,53.01
2014-01-10,41,52.12
2014-01-17,41,50.96
2014-01-24,43,50.1
2014-01-31,51,49.44
2014-02-07,59,48.26
2014-02-14,63,48.38
2014-02-21,37,51.01
2014-02-28,40,51.06
2014-03-07,43,49.95
2014-03-14,45,49.22
2014-03-21,46,50.66
2014-03-28,39,50.62
2014-04-04,41,51.24
2014-04-11,43,48.46
2014-04-25,48,49.92
