"Date","FB","Price"
2012-05-18,57,38.23
2012-05-25,58,31.91
2012-06-01,59,27.72
2012-06-08,56,27.1
2012-06-15,55,30.01
2012-06-22,57,33.05
2012-06-29,57,31.1
2012-07-06,58,31.73
2012-07-13,56,30.72
2012-07-20,54,28.76
2012-07-27,57,23.71
2012-08-03,59,21.09
2012-08-10,59,21.81
2012-08-17,62,19.05
2012-08-24,58,19.41
2012-08-31,59,18.06
2012-09-07,60,18.98
2012-09-14,58,22
2012-09-21,60,22.86
2012-09-28,59,21.66
2012-10-05,65,20.91
2012-10-12,73,19.52
2012-10-19,73,19
2012-10-26,75,21.94
2012-11-02,79,21.18
2012-11-09,77,19.21
2012-11-16,78,23.56
2012-11-23,76,24
2012-11-30,77,28
2012-12-07,76,27.49
2012-12-14,79,26.81
2012-12-21,83,26.26
2012-12-28,90,25.91
2013-01-04,85,28.76
2013-01-11,77,31.72
2013-01-18,79,29.66
2013-01-25,80,31.54
2013-02-01,78,29.73
2013-02-08,79,28.55
2013-02-15,81,28.32
2013-02-22,81,27.13
2013-03-01,80,27.78
2013-03-08,82,27.96
2013-03-15,82,26.65
2013-03-22,83,25.73
2013-04-05,84,27.39
2013-04-12,83,27.4
2013-04-19,83,25.73
2013-04-26,85,26.85
2013-05-03,85,28.31
2013-05-10,86,26.68
2013-05-17,87,26.25
2013-05-24,85,24.31
2013-05-31,87,24.35
2013-06-07,87,23.29
2013-06-14,88,23.63
2013-06-21,88,24.53
2013-06-28,89,24.88
2013-07-05,87,24.37
2013-07-12,87,25.91
2013-07-19,88,25.88
2013-07-26,88,34.01
2013-08-02,89,38.05
2013-08-09,84,38.5
2013-08-16,88,37.08
2013-08-23,88,40.55
2013-08-30,91,41.29
2013-09-06,88,43.95
2013-09-13,87,44.31
2013-09-20,86,47.49
2013-09-27,88,51.24
2013-10-04,87,51.04
2013-10-11,86,49.11
2013-10-18,89,54.22
2013-10-25,84,51.95
2013-11-01,88,49.75
2013-11-08,88,47.53
2013-11-15,88,49.01
2013-11-22,86,46.23
2013-11-29,87,47.01
2013-12-06,88,47.94
2013-12-13,91,53.32
2013-12-20,91,55.12
2013-12-27,100,55.44
2014-01-03,97,54.56
2014-01-10,90,57.94
2014-01-17,89,56.3
2014-01-24,90,54.45
2014-01-31,91,62.57
2014-02-07,87,64.32
2014-02-14,92,67.09
2014-02-21,90,68.59
2014-02-28,90,68.46
2014-03-07,90,69.8
2014-03-14,89,67.72
2014-03-21,93,67.24
2014-03-28,93,60.01
2014-04-04,93,56.75
2014-04-11,93,58.53
2014-04-25,94,57.71
