"Date","IR","Price"
2004-02-06,59,66.39
2004-02-13,57,66.63
2004-02-20,60,66.32
2004-02-27,59,66.48
2004-03-05,64,66.98
2004-03-12,54,64.51
2004-03-19,61,65.6
2004-03-26,59,66.6
2004-04-02,58,69.83
2004-04-16,56,72.68
2004-04-23,60,69.4
2004-04-30,62,64.55
2004-05-07,56,63.99
2004-05-14,61,63.07
2004-05-21,56,62.12
2004-05-28,58,65.3
2004-06-04,56,66.57
2004-06-18,56,68.6
2004-06-25,52,68.18
2004-07-02,52,66.34
2004-07-09,51,65.11
2004-07-16,53,66.65
2004-07-23,52,66.29
2004-07-30,55,68.69
2004-08-06,56,63.3
2004-08-13,52,62.2
2004-08-20,51,63.48
2004-08-27,52,66.21
2004-09-03,53,67.3
2004-09-10,57,67
2004-09-17,58,66.25
2004-09-24,55,64.82
2004-10-01,58,68.69
2004-10-08,55,68.95
2004-10-15,58,67.81
2004-10-22,55,66.13
2004-10-29,56,68.44
2004-11-05,57,71.89
2004-11-12,59,74.58
2004-11-19,58,73.52
2004-11-26,59,74.99
2004-12-03,60,76.47
2004-12-10,59,76.8
2004-12-17,58,79.85
2004-12-31,55,80.3
2005-01-07,56,75.25
2005-01-14,57,76.95
2005-01-21,55,73.83
2005-01-28,59,73.82
2005-02-04,59,80.78
2005-02-11,59,81.28
2005-02-18,55,80.8
2005-02-25,59,83
2005-03-04,62,87.33
2005-03-11,57,84.25
2005-03-18,60,84.2
2005-04-01,55,79.72
2005-04-08,60,80.46
2005-04-15,61,76.25
2005-04-22,60,79.78
2005-04-29,66,76.87
2005-05-06,58,78.79
2005-05-13,58,75.96
2005-05-20,57,79.06
2005-05-27,58,78.4
2005-06-03,55,75.47
2005-06-10,59,74.47
2005-06-17,55,74.65
2005-06-24,50,71.6
2005-07-01,51,72
2005-07-08,51,73.83
2005-07-15,53,74.78
2005-07-22,51,76.7
2005-07-29,50,78.17
2005-08-05,51,78.44
2005-08-12,50,79.79
2005-08-19,47,79.06
2005-08-26,50,77.33
2005-09-02,47,40.21
2005-09-09,51,41.05
2005-09-16,56,39.58
2005-09-23,55,39.4
2005-09-30,56,38.23
2005-10-07,58,37.51
2005-10-14,59,36.79
2005-10-21,59,36.73
2005-10-28,58,37.51
2005-11-04,54,37.8
2005-11-11,61,39.44
2005-11-18,61,39.76
2005-11-25,59,40
2005-12-02,62,40.7
2005-12-09,61,39.96
2005-12-16,58,40.85
2005-12-23,50,41.08
2005-12-30,52,40.37
2006-01-06,53,41
2006-01-13,56,40.37
2006-01-20,58,38.69
2006-01-27,57,39
2006-02-03,59,39.58
2006-02-10,59,39.07
2006-02-17,56,40.81
2006-02-24,60,42.11
2006-03-03,59,41.45
2006-03-10,58,41.63
2006-03-17,60,43.02
2006-03-24,58,43.45
2006-03-31,59,41.79
2006-04-07,62,42.79
2006-04-21,58,44.01
2006-04-28,69,43.75
2006-05-05,57,47.02
2006-05-12,58,46.83
2006-05-19,58,44.93
2006-05-26,58,45.53
2006-06-02,56,44.27
2006-06-09,54,40.65
2006-06-16,52,41.25
2006-06-23,50,41.06
2006-06-30,47,42.78
2006-07-07,47,40.6
2006-07-14,48,37.25
2006-07-21,49,36.06
2006-07-28,50,35.86
2006-08-04,48,37.97
2006-08-11,48,36.99
2006-08-18,47,38.94
2006-08-25,48,37.27
2006-09-01,49,38.6
2006-09-08,53,38.35
2006-09-15,54,38.54
2006-09-22,54,36.89
2006-09-29,55,37.98
2006-10-06,57,40.2
2006-10-13,56,40.27
2006-10-20,57,38.1
2006-10-27,53,37.45
2006-11-03,55,36.87
2006-11-10,59,37.46
2006-11-17,57,38.4
2006-11-24,56,39.23
2006-12-01,60,38.3
2006-12-08,59,40.75
2006-12-15,58,39.18
2006-12-22,55,38.44
2006-12-29,50,39.13
2007-01-05,51,39.39
2007-01-12,56,40.69
2007-01-19,55,41.49
2007-01-26,56,41.74
2007-02-02,57,43.84
2007-02-09,55,42.27
2007-02-16,55,44.4
2007-02-23,59,45.2
2007-03-02,58,42.61
2007-03-09,60,42.56
2007-03-16,59,42.96
2007-03-23,58,45.42
2007-03-30,59,43.37
2007-04-13,57,44.74
2007-04-20,64,45.41
2007-04-27,66,46.05
2007-05-04,56,46.41
2007-05-11,60,46.64
2007-05-18,60,49.03
2007-05-25,57,48.75
2007-06-01,56,51.69
2007-06-08,57,51.15
2007-06-15,57,52.36
2007-06-22,50,55.73
2007-06-29,53,54.82
2007-07-06,56,54.89
2007-07-13,54,55.2
2007-07-20,55,54.67
2007-07-27,55,48.14
2007-08-03,55,50.09
2007-08-10,56,48.44
2007-08-17,51,48.44
2007-08-24,51,52.07
2007-08-31,55,51.93
2007-09-07,57,51.51
2007-09-14,61,52.32
2007-09-21,59,53.8
2007-09-28,59,54.47
2007-10-05,58,55.55
2007-10-12,61,53.08
2007-10-19,61,49.49
2007-10-26,60,50.94
2007-11-02,60,50.55
2007-11-09,64,48.91
2007-11-16,62,48.8
2007-11-23,70,48.7
2007-11-30,71,51.64
2007-12-07,70,51.87
2007-12-14,62,49.18
2007-12-21,60,45.88
2007-12-28,53,46.69
2008-01-04,56,42.61
2008-01-11,66,40.49
2008-01-18,65,37.14
2008-01-25,63,38.75
2008-02-01,65,39.2
2008-02-08,65,37.38
2008-02-15,63,39.31
2008-02-22,65,39.37
2008-02-29,68,41.86
2008-03-07,71,42.87
2008-03-14,67,43.15
2008-03-28,60,43.82
2008-04-04,66,46.58
2008-04-11,68,43.24
2008-04-18,70,45.9
2008-04-25,73,43.1
2008-05-02,69,44.99
2008-05-09,63,42.52
2008-05-16,66,45.85
2008-05-23,63,42.77
2008-05-30,62,44.04
2008-06-06,60,42.7
2008-06-13,62,39.76
2008-06-20,61,38.94
2008-06-27,57,36.87
2008-07-11,61,34.73
2008-07-18,60,36
2008-07-25,57,36.3
2008-08-01,57,36.92
2008-08-08,62,39.38
2008-08-15,56,40.17
2008-08-22,58,37.96
2008-08-29,59,36.93
2008-09-05,62,35.48
2008-09-12,64,35.95
2008-09-19,63,36.43
2008-09-26,64,32.02
2008-10-03,67,27.38
2008-10-10,66,20.17
2008-10-17,66,20.57
2008-10-24,68,17.07
2008-10-31,64,18.45
2008-11-07,64,17
2008-11-14,69,15.11
2008-11-21,69,12.84
2008-11-28,67,15.68
2008-12-05,69,15.44
2008-12-12,69,15.63
2008-12-19,64,16.33
2008-12-26,57,16.66
2009-01-02,56,18.82
2009-01-09,70,20.02
2009-01-16,70,18
2009-01-23,70,16.68
2009-01-30,70,16.21
2009-02-06,69,16.44
2009-02-13,69,17.39
2009-02-20,72,15.83
2009-02-27,70,14.18
2009-03-06,78,11.84
2009-03-13,75,13.87
2009-03-20,73,13.91
2009-03-27,75,14.95
2009-04-03,76,16.54
2009-04-17,75,17.35
2009-04-24,76,21.86
2009-05-01,79,21.9
2009-05-08,70,23.25
2009-05-15,72,20.55
2009-05-22,71,21.15
2009-05-29,69,20.23
2009-06-05,68,22.78
2009-06-12,68,23.06
2009-06-19,70,21.7
2009-06-26,63,21.35
2009-07-10,67,19.88
2009-07-17,66,21.69
2009-07-24,64,27.48
2009-07-31,65,28.88
2009-08-07,66,28.81
2009-08-14,66,28.91
2009-08-21,63,31.02
2009-08-28,65,31.06
2009-09-04,67,31.24
2009-09-11,70,32.09
2009-09-18,69,32.08
2009-09-25,70,30.81
2009-10-02,69,29.7
2009-10-09,72,32.36
2009-10-16,71,33.69
2009-10-23,71,34.81
2009-10-30,69,31.59
2009-11-06,71,33.84
2009-11-13,76,36.86
2009-11-20,73,36
2009-11-27,72,35.24
2009-12-04,72,35.78
2009-12-11,74,35.63
2009-12-18,69,35.62
2010-01-08,71,36.61
2010-01-15,73,37.06
2010-01-22,75,35.24
2010-01-29,74,32.46
2010-02-05,74,32.91
2010-02-12,75,31.26
2010-02-19,71,33.36
2010-02-26,73,31.91
2010-03-05,76,33.94
2010-03-12,73,34.81
2010-03-19,75,34.87
2010-03-26,77,34.64
2010-04-09,75,37.33
2010-04-16,79,37.16
2010-04-23,80,37.1
2010-04-30,88,36.98
2010-05-07,74,35.24
2010-05-14,74,38.75
2010-05-21,75,35.88
2010-05-28,75,37.31
2010-06-04,76,37.23
2010-06-11,72,37.71
2010-06-18,69,39.42
2010-06-25,67,38
2010-07-02,68,33.32
2010-07-09,68,34.04
2010-07-16,67,34.37
2010-07-23,67,37.29
2010-07-30,65,37.46
2010-08-06,67,37.59
2010-08-13,68,35.29
2010-08-20,66,35.22
2010-08-27,68,33.85
2010-09-03,68,34.67
2010-09-10,71,34.59
2010-09-17,70,34.89
2010-09-24,70,35.29
2010-10-01,72,35.91
2010-10-08,72,38.65
2010-10-15,70,38.74
2010-10-22,69,39.35
2010-10-29,71,39.31
2010-11-05,71,41.03
2010-11-12,73,42.01
2010-11-19,73,40.91
2010-11-26,72,40.83
2010-12-03,71,42.91
2010-12-10,73,44.41
2010-12-17,71,47
2010-12-31,65,47.09
2011-01-07,73,46.6
2011-01-14,74,46.82
2011-01-21,77,45.62
2011-01-28,74,46.12
2011-02-04,75,47.9
2011-02-11,78,47.49
2011-02-18,76,47.1
2011-02-25,76,45.18
2011-03-04,80,44.87
2011-03-11,74,46.53
2011-03-18,77,46.61
2011-03-25,79,48.18
2011-04-01,80,48.32
2011-04-08,82,47.98
2011-04-15,83,46.78
2011-04-29,90,50.5
2011-05-06,74,50.08
2011-05-13,74,50.12
2011-05-20,76,49.18
2011-05-27,76,49.53
2011-06-03,73,46.86
2011-06-10,71,44.09
2011-06-17,72,43.65
2011-06-24,70,43.13
2011-07-01,71,47.06
2011-07-08,71,46.02
2011-07-15,73,44.75
2011-07-22,71,40.38
2011-07-29,72,37.42
2011-08-05,71,31.86
2011-08-12,73,30.39
2011-08-19,73,27.56
2011-08-26,71,31.56
2011-09-02,71,32.38
2011-09-09,74,32.27
2011-09-16,77,35.7
2011-09-23,75,31
2011-09-30,75,28.09
2011-10-07,74,27.74
2011-10-14,75,30.53
2011-10-21,78,27.94
2011-10-28,75,32.34
2011-11-04,73,32.46
2011-11-11,75,31.41
2011-11-18,75,31.2
2011-11-25,76,29.17
2011-12-02,78,33.23
2011-12-09,76,33.18
2011-12-16,75,30.65
2011-12-23,73,31.24
2011-12-30,68,30.47
2012-01-06,74,32.02
2012-01-13,77,33.94
2012-01-20,77,34.01
2012-01-27,76,35.16
2012-02-03,78,37.52
2012-02-10,79,37.98
2012-02-17,77,40.92
2012-02-24,76,40.48
2012-03-02,81,39.7
2012-03-09,82,39.24
2012-03-16,83,41.08
2012-03-23,78,40.43
2012-03-30,82,41.35
2012-04-13,81,39.68
2012-04-20,82,40.61
2012-04-27,86,42.61
2012-05-04,80,41.97
2012-05-11,77,43.22
2012-05-18,79,40.15
2012-05-25,76,42.16
2012-06-01,76,39.9
2012-06-08,76,40.79
2012-06-15,76,39.09
2012-06-22,74,40.19
2012-06-29,75,42.18
2012-07-06,75,42.55
2012-07-13,74,40.96
2012-07-20,74,40.25
2012-07-27,76,42.42
2012-08-03,75,42.6
2012-08-10,76,45.08
2012-08-17,74,46.4
2012-08-24,79,46.92
2012-08-31,75,46.76
2012-09-07,79,46.13
2012-09-14,82,46.18
2012-09-21,79,46.91
2012-09-28,78,44.82
2012-10-05,79,45.09
2012-10-12,78,44.31
2012-10-19,78,46.35
2012-10-26,78,46.38
2012-11-02,75,47.02
2012-11-09,77,45.86
2012-11-16,76,45.29
2012-11-23,75,48.23
2012-11-30,76,48.78
2012-12-07,76,48.69
2012-12-14,77,47.6
2012-12-21,73,47.11
2012-12-28,67,46.88
2013-01-04,71,49.77
2013-01-11,80,49.6
2013-01-18,78,50.63
2013-01-25,80,51.47
2013-02-01,80,52.36
2013-02-08,80,53.43
2013-02-15,77,53.03
2013-02-22,79,52.61
2013-03-01,84,51.93
2013-03-08,84,54.31
2013-03-15,82,55.39
2013-03-22,83,55.51
2013-04-05,82,54.01
2013-04-12,85,56.16
2013-04-19,85,53.9
2013-04-26,90,53.98
2013-05-03,87,54.11
2013-05-10,79,56.39
2013-05-17,80,58.04
2013-05-24,81,57.15
2013-05-31,81,57.53
2013-06-07,79,58.04
2013-06-14,82,56.43
2013-06-21,78,55.04
2013-06-28,77,55.52
2013-07-05,78,57.75
2013-07-12,82,59.09
2013-07-19,83,62.95
2013-07-26,80,61.15
2013-08-02,80,62.51
2013-08-09,81,61.01
2013-08-16,81,60.93
2013-08-23,79,61.48
2013-08-30,80,59.14
2013-09-06,79,61.77
2013-09-13,87,63.56
2013-09-20,82,65.5
2013-09-27,80,65.42
2013-10-04,79,66.09
2013-10-11,87,65.74
2013-10-18,83,66.85
2013-10-25,85,67.85
2013-11-01,84,67.74
2013-11-08,85,67.7
2013-11-15,87,68.53
2013-11-22,86,68.84
2013-11-29,84,71.42
2013-12-06,84,56.69
2013-12-13,87,56.82
2013-12-20,84,60.12
2013-12-27,70,61.17
2014-01-03,76,61.32
2014-01-10,84,62.65
2014-01-17,86,62.32
2014-01-24,85,58.11
2014-01-31,86,58.79
2014-02-07,86,59.76
2014-02-14,89,58.43
2014-02-21,86,59.41
2014-02-28,88,61.14
2014-03-07,86,61.94
2014-03-14,89,56.9
2014-03-21,88,58.86
2014-03-28,90,56.54
2014-04-04,92,56.49
2014-04-11,94,54.39
2014-04-25,90,58.77
