"Date","MSI","Price"
2004-02-06,77,16.94
2004-02-13,82,17.22
2004-02-20,81,17.67
2004-02-27,80,18.45
2004-03-05,81,18.08
2004-03-12,79,17.09
2004-03-19,75,16.94
2004-03-26,78,16.98
2004-04-02,73,18.75
2004-04-16,72,16.58
2004-04-23,72,20.43
2004-04-30,71,18.25
2004-05-07,71,18.73
2004-05-14,68,18.89
2004-05-21,65,19.59
2004-05-28,67,19.77
2004-06-04,74,19.77
2004-06-18,66,17.34
2004-06-25,72,18.28
2004-07-02,67,17.77
2004-07-09,69,17.5
2004-07-16,72,15.8
2004-07-23,72,15.28
2004-07-30,73,15.93
2004-08-06,82,14.74
2004-08-13,79,14.21
2004-08-20,81,16.05
2004-08-27,80,16.59
2004-09-03,80,16.14
2004-09-10,79,16.69
2004-09-17,76,17.01
2004-09-24,74,17.83
2004-10-01,84,18.77
2004-10-08,76,18.41
2004-10-15,76,18.45
2004-10-22,74,16.56
2004-10-29,75,17.26
2004-11-05,78,17.07
2004-11-12,77,18.1
2004-11-19,78,17.94
2004-11-26,83,19
2004-12-03,78,17.85
2004-12-10,79,16.34
2004-12-17,77,17
2004-12-31,100,17.2
2005-01-07,83,16.69
2005-01-14,80,17.03
2005-01-21,78,15.63
2005-01-28,77,15.5
2005-02-04,73,16.26
2005-02-11,76,15.91
2005-02-18,74,15.5
2005-02-25,72,15.59
2005-03-04,70,15.11
2005-03-11,70,15.27
2005-03-18,71,15.01
2005-04-01,63,14.89
2005-04-08,64,15.2
2005-04-15,61,14.75
2005-04-22,62,15.78
2005-04-29,62,15.34
2005-05-06,61,15.69
2005-05-13,62,16.21
2005-05-20,61,17.25
2005-05-27,63,17.34
2005-06-03,61,17.74
2005-06-10,59,18.06
2005-06-17,64,18.21
2005-06-24,62,18.55
2005-07-01,61,18.27
2005-07-08,61,18.54
2005-07-15,63,19.5
2005-07-22,65,20
2005-07-29,61,21.18
2005-08-05,64,21.57
2005-08-12,62,21.44
2005-08-19,63,20.45
2005-08-26,65,21.12
2005-09-02,63,22
2005-09-09,60,22.88
2005-09-16,60,23.68
2005-09-23,61,22.79
2005-09-30,56,22.03
2005-10-07,61,21.6
2005-10-14,62,20.16
2005-10-21,61,20.7
2005-10-28,63,21.09
2005-11-04,61,23.08
2005-11-11,61,23.56
2005-11-18,60,23.86
2005-11-25,61,24.77
2005-12-02,60,23.59
2005-12-09,61,23.41
2005-12-16,63,22.41
2005-12-23,63,23.49
2005-12-30,71,22.59
2006-01-06,63,24.34
2006-01-13,61,24.03
2006-01-20,57,22.48
2006-01-27,57,22.5
2006-02-03,57,21.17
2006-02-10,54,21.6
2006-02-17,55,21.49
2006-02-24,57,21.69
2006-03-03,55,21.98
2006-03-10,55,20.88
2006-03-17,53,22.25
2006-03-24,51,22.33
2006-03-31,51,22.91
2006-04-07,50,23.52
2006-04-21,46,22.07
2006-04-28,45,21.35
2006-05-05,45,22.3
2006-05-12,43,21.64
2006-05-19,45,20.42
2006-05-26,46,21.28
2006-06-02,46,21.76
2006-06-09,46,20.59
2006-06-16,44,20.08
2006-06-23,44,19.88
2006-06-30,44,20.15
2006-07-07,45,19.81
2006-07-14,45,18.69
2006-07-21,45,20.4
2006-07-28,47,22.49
2006-08-04,48,23.1
2006-08-11,48,22.69
2006-08-18,52,23.8
2006-08-25,50,22.74
2006-09-01,52,23.41
2006-09-08,49,23.7
2006-09-15,49,24.85
2006-09-22,47,24.8
2006-09-29,47,25
2006-10-06,48,25.64
2006-10-13,48,26.2
2006-10-20,48,23.61
2006-10-27,49,23.17
2006-11-03,50,22.46
2006-11-10,48,21.38
2006-11-17,48,22.38
2006-11-24,49,22.46
2006-12-01,48,21.86
2006-12-08,48,21.09
2006-12-15,48,20.71
2006-12-22,49,20.26
2006-12-29,56,20.56
2007-01-05,51,18.94
2007-01-12,49,18.01
2007-01-19,47,19.27
2007-01-26,47,18.38
2007-02-02,46,19.85
2007-02-09,47,19.57
2007-02-16,47,19.26
2007-02-23,47,19.15
2007-03-02,46,18.64
2007-03-09,46,18.47
2007-03-16,45,18.19
2007-03-23,45,17.75
2007-03-30,45,17.67
2007-04-13,44,17.74
2007-04-20,43,18.21
2007-04-27,42,17.57
2007-05-04,43,18.08
2007-05-11,42,18.32
2007-05-18,42,18.79
2007-05-25,41,18.39
2007-06-01,42,18.36
2007-06-08,43,17.89
2007-06-15,42,18.35
2007-06-22,41,17.89
2007-06-29,41,17.7
2007-07-06,42,17.84
2007-07-13,43,17.9
2007-07-20,43,17.95
2007-07-27,43,16.95
2007-08-03,45,16.35
2007-08-10,43,16.61
2007-08-17,43,16.31
2007-08-24,44,16.74
2007-08-31,45,16.95
2007-09-07,44,17.13
2007-09-14,44,16.97
2007-09-21,44,17.89
2007-09-28,44,18.53
2007-10-05,43,18.81
2007-10-12,44,19.13
2007-10-19,44,18.7
2007-10-26,42,19.24
2007-11-02,47,17.95
2007-11-09,46,16.48
2007-11-16,46,16.61
2007-11-23,54,15.71
2007-11-30,53,15.97
2007-12-07,54,16.3
2007-12-14,48,16
2007-12-21,48,16.3
2007-12-28,52,16.28
2008-01-04,49,15.07
2008-01-11,49,14.64
2008-01-18,46,13.33
2008-01-25,46,10.73
2008-02-01,45,12.69
2008-02-08,43,11.26
2008-02-15,43,11.28
2008-02-22,43,11.36
2008-02-29,42,9.97
2008-03-07,43,9.82
2008-03-14,43,9.55
2008-03-28,41,9.21
2008-04-04,41,9.67
2008-04-11,41,9.04
2008-04-18,40,9.25
2008-04-25,41,9.24
2008-05-02,38,10.03
2008-05-09,39,9.76
2008-05-16,41,10.07
2008-05-23,42,9.1
2008-05-30,43,9.33
2008-06-06,46,8.93
2008-06-13,44,9.13
