"Date","LH","Price"
2004-02-06,67,41.04
2004-02-13,62,39
2004-02-20,63,38.12
2004-02-27,64,39.19
2004-03-05,59,38.73
2004-03-12,46,38.05
2004-03-19,72,38.52
2004-03-26,57,38.9
2004-04-02,54,39.2
2004-04-16,66,39.1
2004-04-23,47,40.39
2004-04-30,64,39.74
2004-05-07,70,39.41
2004-05-14,64,39.02
2004-05-21,55,39.93
2004-05-28,58,41.36
2004-06-04,59,41.59
2004-06-18,61,42.47
2004-06-25,69,40.6
2004-07-02,64,39.4
2004-07-09,60,38.29
2004-07-16,66,38.47
2004-07-23,59,39.81
2004-07-30,56,39.16
2004-08-06,58,38.75
2004-08-13,65,38.65
2004-08-20,67,40.03
2004-08-27,58,41.29
2004-09-03,64,41.73
2004-09-10,55,41.81
2004-09-17,59,42.44
2004-09-24,62,43.72
2004-10-01,59,43.7
2004-10-08,56,42.95
2004-10-15,65,41.41
2004-10-22,50,43
2004-10-29,53,45.8
2004-11-05,62,47.3
2004-11-12,46,47.34
2004-11-19,51,47.01
2004-11-26,61,47.89
2004-12-03,56,48
2004-12-10,55,49.17
2004-12-17,59,49.39
2004-12-31,46,49.82
2005-01-07,57,47.85
2005-01-14,53,48.27
2005-01-21,66,47.25
2005-01-28,65,47.43
2005-02-04,68,49.74
2005-02-11,61,49.31
2005-02-18,61,49.3
2005-02-25,61,48.12
2005-03-04,62,47.56
2005-03-11,63,46.08
2005-03-18,59,45.4
2005-04-01,68,48.06
2005-04-08,46,49.48
2005-04-15,70,47.87
2005-04-22,60,48.81
2005-04-29,53,49.5
2005-05-06,68,50.69
2005-05-13,76,48.72
2005-05-20,57,50.01
2005-05-27,61,48.68
2005-06-03,78,48.7
2005-06-10,60,48.8
2005-06-17,57,50.08
2005-06-24,63,49.15
2005-07-01,65,49.61
2005-07-08,60,49.89
2005-07-15,61,50.1
2005-07-22,61,51.75
2005-07-29,57,50.67
2005-08-05,71,49.25
2005-08-12,62,49.62
2005-08-19,57,49.5
2005-08-26,63,49.07
2005-09-02,68,48.71
2005-09-09,63,48.65
2005-09-16,66,48.01
2005-09-23,64,48.07
2005-09-30,62,48.71
2005-10-07,64,48.51
2005-10-14,55,48.22
2005-10-21,63,49.32
2005-10-28,61,48.02
2005-11-04,65,48.1
2005-11-11,63,48.97
2005-11-18,58,50.69
2005-11-25,54,51.35
2005-12-02,61,51.41
2005-12-09,64,54.58
2005-12-16,60,54.54
2005-12-23,66,54.41
2005-12-30,56,53.85
2006-01-06,59,55
2006-01-13,58,56.93
2006-01-20,66,56.71
2006-01-27,64,58.23
2006-02-03,71,56.85
2006-02-10,55,56.36
2006-02-17,61,58.77
2006-02-24,69,58.31
2006-03-03,68,58.39
2006-03-10,72,57.32
2006-03-17,62,58.15
2006-03-24,64,59.32
2006-03-31,60,58.48
2006-04-07,62,57.45
2006-04-21,64,58.5
2006-04-28,63,57.1
2006-05-05,66,57.74
2006-05-12,66,58.52
2006-05-19,66,59.29
2006-05-26,62,59.03
2006-06-02,50,59.93
2006-06-09,62,60.86
2006-06-16,55,61.29
2006-06-23,60,61.29
2006-06-30,59,62.23
2006-07-07,67,62.06
2006-07-14,60,62.21
2006-07-21,67,62.15
2006-07-28,67,64.07
2006-08-04,64,65.69
2006-08-11,64,66.37
2006-08-18,64,68.06
2006-08-25,71,68.43
2006-09-01,64,68.15
2006-09-08,67,67.01
2006-09-15,59,66.82
2006-09-22,66,66.84
2006-09-29,64,65.57
2006-10-06,68,66.69
2006-10-13,60,66.15
2006-10-20,62,68.1
2006-10-27,66,68.15
2006-11-03,61,66.96
2006-11-10,66,67.87
2006-11-17,57,69.6
2006-11-24,67,69.2
2006-12-01,60,70.84
2006-12-08,61,72.05
2006-12-15,61,71.89
2006-12-22,63,73.94
2006-12-29,50,73.47
2007-01-05,53,73.49
2007-01-12,63,73
2007-01-19,65,73.08
2007-01-26,70,71.46
2007-02-02,62,73.53
2007-02-09,65,73.84
2007-02-16,57,80.37
2007-02-23,65,80.38
2007-03-02,57,68.36
2007-03-09,63,68.75
2007-03-16,69,70.86
2007-03-23,63,71.83
2007-03-30,62,72.63
2007-04-13,65,73.11
2007-04-20,63,74.07
2007-04-27,64,78.92
2007-05-04,66,78.14
2007-05-11,65,78.37
2007-05-18,56,78.43
2007-05-25,66,78.63
2007-06-01,63,79.74
2007-06-08,61,78.24
2007-06-15,68,79.92
2007-06-22,67,78.7
2007-06-29,65,78.26
2007-07-06,64,81.4
2007-07-13,68,81.08
2007-07-20,64,79.81
2007-07-27,59,74.15
2007-08-03,70,76.75
2007-08-10,69,76.11
2007-08-17,68,75.25
2007-08-24,67,75.85
2007-08-31,66,77.66
2007-09-07,70,77.74
2007-09-14,69,79.6
2007-09-21,71,77.61
2007-09-28,68,78.23
2007-10-05,64,77.57
2007-10-12,64,77.93
2007-10-19,69,76.28
2007-10-26,67,69.54
2007-11-02,63,68.52
2007-11-09,68,69.2
2007-11-16,64,69.72
2007-11-23,74,69.59
2007-11-30,71,72.67
2007-12-07,70,73.1
2007-12-14,62,74.6
2007-12-21,59,76.68
2007-12-28,54,75.55
2008-01-04,59,73.35
2008-01-11,67,78.55
2008-01-18,64,74.94
2008-01-25,68,73.5
2008-02-01,67,74.21
2008-02-08,65,79.11
2008-02-15,68,79.76
2008-02-22,72,79.29
2008-02-29,67,77.31
2008-03-07,86,77.57
2008-03-14,66,75.05
2008-03-28,65,73
2008-04-04,69,73.88
2008-04-11,70,74.18
2008-04-18,74,74.75
2008-04-25,69,74.89
2008-05-02,65,76.08
2008-05-09,68,77.04
2008-05-16,68,75.93
2008-05-23,69,75.46
2008-05-30,67,73.79
2008-06-06,71,73.88
2008-06-13,72,73.75
2008-06-20,65,69.92
2008-06-27,67,69.28
2008-07-11,71,67.4
2008-07-18,74,70.03
2008-07-25,69,67.92
2008-08-01,69,67.83
2008-08-08,72,71.68
2008-08-15,68,73.13
2008-08-22,73,72.4
2008-08-29,71,73.15
2008-09-05,71,72.99
2008-09-12,80,74.08
2008-09-19,70,73.55
2008-09-26,69,69.53
2008-10-03,70,66.33
2008-10-10,66,54.34
2008-10-17,68,59.62
2008-10-24,72,60.15
2008-10-31,68,61.49
2008-11-07,69,63.66
2008-11-14,73,64.62
2008-11-21,73,59.71
2008-11-28,68,63.36
2008-12-05,70,63.78
2008-12-12,65,62.2
2008-12-19,67,63.1
2008-12-26,60,62.93
2009-01-02,56,64.93
2009-01-09,64,60.85
2009-01-16,69,60.8
2009-01-23,64,57.56
2009-01-30,70,59.2
2009-02-06,72,61.75
2009-02-13,69,62.85
2009-02-20,73,62.12
2009-02-27,76,55.01
2009-03-06,74,54.99
2009-03-13,74,57.14
2009-03-20,78,56.76
2009-03-27,75,58.11
2009-04-03,74,59.17
2009-04-17,75,62.43
2009-04-24,78,61.12
2009-05-01,75,62.95
2009-05-08,78,65.26
2009-05-15,86,61.66
2009-05-22,78,59.81
2009-05-29,80,60.96
2009-06-05,82,61.25
