"Date","Charles.Schwab","Price"
2004-02-06,76,12.49
2004-02-13,65,12.6
2004-02-20,72,12.59
2004-02-27,69,12.24
2004-03-05,78,12.16
2004-03-12,79,11.39
2004-03-19,71,11.31
2004-03-26,54,11.26
2004-04-02,85,11.93
2004-04-16,72,10.99
2004-04-23,65,10.96
2004-04-30,54,10.29
2004-05-07,57,9.93
2004-05-14,54,9.69
2004-05-21,50,9.54
2004-05-28,53,9.8
2004-06-04,56,9.32
2004-06-18,65,9.26
2004-06-25,55,9.8
2004-07-02,68,9.36
2004-07-09,44,8.79
2004-07-16,60,8.4
2004-07-23,64,8.57
2004-07-30,54,8.78
2004-08-06,60,8.32
2004-08-13,54,8.6
2004-08-20,58,9.93
2004-08-27,52,9.76
2004-09-03,51,9.35
2004-09-10,45,9.62
2004-09-17,53,9.24
2004-09-24,47,9.1
2004-10-01,45,9.22
2004-10-08,54,8.7
2004-10-15,48,8.97
2004-10-22,49,8.81
2004-10-29,49,9.15
2004-11-05,55,9.72
2004-11-12,57,10.43
2004-11-19,62,10.29
2004-11-26,49,10.91
2004-12-03,59,10.9
2004-12-10,57,11.26
2004-12-17,64,11.75
2004-12-31,75,11.96
2005-01-07,67,11.47
2005-01-14,50,11.12
2005-01-21,56,10.95
2005-01-28,55,11.1
2005-02-04,58,10.38
2005-02-11,58,10.77
2005-02-18,50,10.73
2005-02-25,53,10.72
2005-03-04,59,10.93
2005-03-11,60,10.9
2005-03-18,59,10.46
2005-04-01,49,10.45
2005-04-08,52,10.59
2005-04-15,64,10.12
2005-04-22,47,9.9
2005-04-29,49,10.35
2005-05-06,54,10.33
2005-05-13,42,10.9
2005-05-20,46,11.54
2005-05-27,52,11.33
2005-06-03,44,11.68
2005-06-10,48,11.72
2005-06-17,56,11.73
2005-06-24,57,11.6
2005-07-01,48,11.33
2005-07-08,48,12.5
2005-07-15,58,12.74
2005-07-22,63,13.81
2005-07-29,64,13.7
2005-08-05,56,13.28
2005-08-12,56,13.86
2005-08-19,60,14.13
2005-08-26,50,13.47
