"Date","AME","Price"
2004-02-06,57,50.39
2004-02-13,53,49.99
2004-02-20,43,49.7
2004-02-27,54,49.65
2004-03-05,53,24.99
2004-03-12,63,24.15
2004-03-19,56,23.57
2004-03-26,47,24.39
2004-04-02,49,26.59
2004-04-16,59,26.8
2004-04-23,46,27.62
2004-04-30,63,26.5
2004-05-07,65,25.91
2004-05-14,51,25.93
2004-05-21,47,26.38
2004-05-28,52,27.01
2004-06-04,56,27.15
2004-06-18,55,29.45
2004-06-25,54,30.18
2004-07-02,53,30.18
2004-07-09,68,30.74
2004-07-16,60,30.39
2004-07-23,60,30.91
2004-07-30,53,30.84
2004-08-06,55,28.94
2004-08-13,55,28.7
2004-08-20,59,29.14
2004-08-27,45,29.02
2004-09-03,58,28.72
2004-09-10,51,30
2004-09-17,61,30.7
2004-09-24,55,29.6
2004-10-01,53,30.45
2004-10-08,49,30.46
2004-10-15,52,30.4
2004-10-22,51,33.01
2004-10-29,53,32.92
2004-11-05,59,33.51
2004-11-12,50,33.95
2004-11-19,58,34.05
2004-11-26,54,33.52
2004-12-03,69,32.91
2004-12-10,57,34.72
2004-12-17,51,35.54
2004-12-31,54,35.67
2005-01-07,62,34.35
2005-01-14,65,35
2005-01-21,56,34.27
2005-01-28,51,37.19
2005-02-04,66,39.57
2005-02-11,57,38.4
2005-02-18,59,37.66
2005-02-25,64,38.03
2005-03-04,57,39.99
2005-03-11,62,40.42
2005-03-18,62,41.14
2005-04-01,68,39.97
2005-04-08,64,40.02
2005-04-15,61,38.05
2005-04-22,63,38.46
2005-04-29,52,37.87
2005-05-06,57,38.36
2005-05-13,61,36.75
2005-05-20,67,38.56
2005-05-27,54,38.84
2005-06-03,57,38.22
2005-06-10,59,38.85
2005-06-17,58,41.05
2005-06-24,60,40.15
2005-07-01,57,42.33
2005-07-08,56,42.02
2005-07-15,62,41.9
2005-07-22,66,41.47
2005-07-29,59,41.2
2005-08-05,59,39.41
2005-08-12,55,39.81
2005-08-19,61,39.27
2005-08-26,61,39.75
2005-09-02,60,40.02
2005-09-09,65,40.63
2005-09-16,63,40.57
2005-09-23,60,41.7
2005-09-30,68,42.97
2005-10-07,54,43.14
2005-10-14,58,42.91
2005-10-21,59,41.47
2005-10-28,63,40.4
2005-11-04,67,41.45
2005-11-11,68,42.77
2005-11-18,64,42.25
2005-11-25,53,42.95
2005-12-02,56,43.53
2005-12-09,64,43.31
2005-12-16,64,42.81
2005-12-23,59,42.85
2005-12-30,67,42.54
2006-01-06,67,44.55
2006-01-13,68,44.45
2006-01-20,65,42.65
2006-01-27,68,40.7
2006-02-03,61,41.19
2006-02-10,65,41.71
2006-02-17,67,42.75
2006-02-24,66,43.05
2006-03-03,61,44.81
2006-03-10,62,43.04
2006-03-17,62,43.55
2006-03-24,62,43.32
2006-03-31,63,44.96
2006-04-07,66,46.23
2006-04-21,63,50.25
2006-04-28,61,49.27
2006-05-05,62,50.54
2006-05-12,63,48.14
2006-05-19,74,47.32
2006-05-26,63,45.81
2006-06-02,63,47.11
2006-06-09,63,43
2006-06-16,64,44.96
2006-06-23,69,45.68
2006-06-30,62,47.38
2006-07-07,66,45.22
2006-07-14,61,42
2006-07-21,62,40.55
2006-07-28,69,42.56
2006-08-04,66,42.35
2006-08-11,64,40.92
2006-08-18,61,42.12
2006-08-25,68,41.1
2006-09-01,64,43.07
2006-09-08,67,43
2006-09-15,67,43.42
2006-09-22,75,42.9
2006-09-29,71,43.55
2006-10-06,68,44.99
2006-10-13,69,48.73
2006-10-20,67,46.35
2006-10-27,62,46.96
2006-11-03,65,46.11
2006-11-10,64,47.25
2006-11-17,67,47.9
2006-11-24,64,49.24
2006-12-01,67,32.07
2006-12-08,62,31.95
2006-12-15,67,31.69
2006-12-22,72,31.2
2006-12-29,69,31.84
2007-01-05,63,30.99
2007-01-12,63,31.56
2007-01-19,62,31.93
2007-01-26,65,34.16
2007-02-02,68,34.97
2007-02-09,63,34.5
2007-02-16,67,35.12
2007-02-23,67,35.8
2007-03-02,62,33.23
2007-03-09,71,33.77
2007-03-16,68,34.5
2007-03-23,70,35.05
2007-03-30,67,34.54
2007-04-13,65,34.24
2007-04-20,71,36.28
2007-04-27,64,36.53
2007-05-04,66,37.15
2007-05-11,66,36.4
2007-05-18,72,36.96
2007-05-25,71,36.57
2007-06-01,66,38.21
2007-06-08,74,38.19
2007-06-15,75,39.06
2007-06-22,66,37.41
2007-06-29,70,39.68
2007-07-06,72,40.68
2007-07-13,67,41.83
2007-07-20,70,41.41
2007-07-27,66,38.43
2007-08-03,64,39
2007-08-10,65,38.97
2007-08-17,70,38.17
2007-08-24,71,39.67
2007-08-31,66,39.99
2007-09-07,64,39.88
2007-09-14,67,40.29
2007-09-21,67,41.94
2007-09-28,70,43.22
2007-10-05,70,44.55
2007-10-12,73,44.82
2007-10-19,64,45.09
2007-10-26,68,46.41
2007-11-02,73,46.61
2007-11-09,72,47.07
2007-11-16,63,44.87
2007-11-23,65,42.95
2007-11-30,70,44
2007-12-07,68,47.54
2007-12-14,70,46.56
2007-12-21,69,47.08
2007-12-28,66,46.82
2008-01-04,71,45.18
2008-01-11,69,41.92
2008-01-18,72,38.95
2008-01-25,72,43.74
2008-02-01,77,44.49
2008-02-08,71,42.57
2008-02-15,77,42.7
2008-02-22,74,43.27
2008-02-29,71,42.59
2008-03-07,73,41.72
2008-03-14,69,41.93
2008-03-28,71,43.1
2008-04-04,74,45.1
2008-04-11,74,43.92
2008-04-18,75,46.92
2008-04-25,73,49.04
2008-05-02,77,48.93
2008-05-09,76,49.16
2008-05-16,75,52.98
2008-05-23,76,49.17
2008-05-30,76,51.3
2008-06-06,71,51.22
2008-06-13,74,51.57
2008-06-20,75,51.29
2008-06-27,79,47.2
2008-07-11,72,47.16
2008-07-18,70,50.3
2008-07-25,75,48.88
2008-08-01,69,47.44
2008-08-08,72,47.55
2008-08-15,73,48.32
2008-08-22,74,49.15
2008-08-29,70,48.54
2008-09-05,72,45.07
2008-09-12,72,44.74
2008-09-19,79,44.2
2008-09-26,73,40.74
2008-10-03,76,37.33
2008-10-10,73,33.33
2008-10-17,77,34.43
2008-10-24,76,30.55
2008-10-31,78,33.25
2008-11-07,73,30.86
2008-11-14,82,29.8
2008-11-21,77,30
2008-11-28,73,34.93
2008-12-05,76,31.33
2008-12-12,77,28.77
2008-12-19,74,29.85
2008-12-26,67,29.06
2009-01-02,76,31.67
2009-01-09,74,30.22
2009-01-16,76,32.5
2009-01-23,76,31.73
2009-01-30,75,31.96
2009-02-06,75,33.09
2009-02-13,71,31.77
2009-02-20,78,28.38
2009-02-27,80,26.46
2009-03-06,78,27.31
2009-03-13,81,29.18
2009-03-20,79,30.07
2009-03-27,80,31.92
2009-04-03,74,33.48
