"Date","ACE.Limited","Price"
2004-07-02,100,41.9
2005-07-08,72,45.4
2006-01-27,46,53.64
2006-03-10,42,54.93
2006-05-26,41,52.67
2006-06-02,41,50.94
2006-06-09,41,50.12
2006-06-16,41,48.6
2006-06-23,41,48.56
2006-06-30,41,50.59
2006-09-15,40,55.39
2006-09-22,36,54.42
2006-09-29,39,54.73
2006-10-06,43,56.28
2006-10-13,38,58.3
2006-10-20,38,56.65
2006-10-27,38,57.77
2006-11-03,38,56.58
2006-11-10,37,57.62
2006-11-17,37,57.8
2006-11-24,37,57.62
2006-12-01,41,56.38
2006-12-08,38,58.11
2006-12-15,32,60.72
2006-12-22,35,60.18
2006-12-29,37,60.57
2007-01-05,40,59.13
2007-01-12,42,58.8
2007-01-19,38,59.3
2007-01-26,30,58.23
2007-02-02,41,58.72
2007-02-09,31,58.23
2007-02-16,29,58.66
2007-02-23,32,57.59
2007-03-02,33,55.42
2007-03-09,31,55.01
2007-03-16,31,54.97
2007-03-23,37,56.87
2007-03-30,44,57.06
2007-04-13,40,58.15
2007-04-20,36,58.53
2007-04-27,36,60.38
2007-05-04,36,59.9
2007-05-11,30,62.2
2007-05-18,30,61.74
2007-05-25,30,61.33
2007-06-01,28,61.45
2007-06-08,30,61.28
2007-06-15,33,62.37
2007-06-22,28,62.49
2007-06-29,30,62.52
2007-07-06,33,62.6
2007-07-13,36,61.77
2007-07-20,28,60.55
2007-07-27,35,57.33
2007-08-03,35,54.72
2007-08-10,46,56.65
2007-08-17,25,57.5
2007-08-24,24,60
2007-08-31,26,57.76
2007-09-07,28,56.16
2007-09-14,23,57.95
2007-09-21,27,59.41
2007-09-28,27,60.57
2007-10-05,27,62.2
2007-10-12,28,63
2007-10-19,30,58.92
2007-10-26,42,60.66
2007-11-02,26,57.94
2007-11-09,41,58.53
2007-11-16,32,58.16
2007-11-23,25,58.78
2007-11-30,28,59.83
2007-12-07,32,60.84
2007-12-14,20,59.51
2007-12-21,37,61.91
2007-12-28,28,61.9
2008-01-04,28,60.74
2008-01-11,36,60.18
2008-01-18,37,56.49
2008-01-25,48,57.64
2008-02-01,19,59.32
2008-02-08,29,57.3
2008-02-15,19,57.81
2008-02-22,28,58.42
2008-02-29,37,56.24
2008-03-07,26,54.91
2008-03-14,27,53.66
2008-03-28,20,54.47
2008-04-04,31,57.02
2008-04-11,38,56.19
2008-04-18,32,59.18
2008-04-25,20,59.16
2008-05-02,21,61.5
2008-05-09,22,59.74
2008-05-16,38,61.28
2008-05-23,19,58.67
2008-05-30,21,60.07
2008-06-06,42,61.22
2008-06-13,36,60.73
2008-06-20,29,57.11
2008-06-27,33,55.24
2008-07-11,39,49.3
2008-07-18,35,49.03
2008-07-25,50,47.9
2008-08-01,44,51.38
2008-08-08,35,54.11
2008-08-15,34,52.13
2008-08-22,48,51.66
2008-08-29,38,52.61
2008-09-05,39,52.3
2008-09-12,28,52.12
2008-09-19,41,66
2008-09-26,31,57.3
2008-10-03,18,52.75
2008-10-10,30,40.75
2008-10-17,30,46.58
2008-10-24,23,48.51
2008-10-31,43,57.36
2008-11-07,37,53.4
2008-11-14,47,52.7
2008-11-21,36,45.85
2008-11-28,23,52.25
2008-12-05,25,51.83
2008-12-12,32,47.11
2008-12-19,23,52.06
2008-12-26,25,51.92
2009-01-02,27,53.03
2009-01-09,27,49.75
2009-01-16,40,49.77
2009-01-23,35,44.13
2009-01-30,34,43.66
2009-02-06,25,44.47
2009-02-13,36,42.33
2009-02-20,59,39.38
2009-02-27,28,36.51
2009-03-06,37,32.5
2009-03-13,20,36.61
2009-03-20,33,38.68
2009-03-27,32,40.15
2009-04-03,30,43.87
2009-04-17,24,45.96
2009-04-24,31,44
2009-05-01,27,45.84
2009-05-08,46,43.52
2009-05-15,48,43.12
2009-05-22,16,43.94
2009-05-29,26,43.99
2009-06-05,29,46.01
2009-06-12,26,44.98
2009-06-19,32,42.9
2009-06-26,36,43.96
2009-07-10,39,41.8
2009-07-17,37,44.44
2009-07-24,23,48.4
2009-07-31,26,49.06
2009-08-07,18,50.54
2009-08-14,20,49.29
2009-08-21,24,50.52
2009-08-28,23,52.38
2009-09-04,19,51.56
2009-09-11,33,51.24
2009-09-18,29,50.03
2009-09-25,24,51.46
2009-10-02,23,53.76
2009-10-09,31,54.51
2009-10-16,28,54.85
2009-10-23,34,54.38
2009-10-30,23,51.36
2009-11-06,28,51.28
2009-11-13,34,51.5
2009-11-20,34,49.73
2009-11-27,33,48.18
2009-12-04,38,48.81
2009-12-11,24,50.21
2009-12-18,31,48.85
2010-01-08,25,47.5
2010-01-15,16,48.21
2010-01-22,21,47.89
2010-01-29,26,49.27
2010-02-05,44,48.33
2010-02-12,26,48.81
2010-02-19,29,50.39
2010-02-26,34,49.99
2010-03-05,33,51.49
2010-03-12,29,50.2
2010-03-19,31,52.7
2010-03-26,24,52.76
2010-04-09,31,53.44
2010-04-16,24,52.62
2010-04-23,31,53.13
2010-04-30,30,53.19
2010-05-07,21,50.54
2010-05-14,24,53.03
2010-05-21,36,49.94
2010-05-28,15,49.16
2010-06-04,33,48.44
2010-06-11,27,51.26
2010-06-18,19,53.08
2010-06-25,28,53.2
2010-07-02,29,50.83
2010-07-09,25,54.69
2010-07-16,22,53.7
2010-07-23,29,52.75
2010-07-30,34,53.08
2010-08-06,24,53.56
2010-08-13,37,53.42
2010-08-20,28,53.51
2010-08-27,25,54.34
2010-09-03,32,55.24
2010-09-10,25,55.55
2010-09-17,27,57.9
2010-09-24,33,58.05
2010-10-01,30,58.19
2010-10-08,26,58.91
2010-10-15,26,59.67
2010-10-22,32,60.38
2010-10-29,34,59.42
2010-11-05,31,61.88
2010-11-12,26,59.8
2010-11-19,16,60.45
2010-11-26,26,58.91
2010-12-03,22,59.43
2010-12-10,18,60.28
2010-12-17,28,61.05
2010-12-31,19,62.25
2011-01-07,23,61.26
2011-01-14,20,60.79
2011-01-21,28,60.51
2011-01-28,24,61.17
2011-02-04,26,63.06
2011-02-11,35,63.44
2011-02-18,26,65.74
2011-02-25,21,63.28
2011-03-04,24,62.69
2011-03-11,28,61.39
2011-03-18,24,60.83
2011-03-25,27,62.37
2011-04-01,33,65.84
2011-04-08,37,65.79
2011-04-15,23,65.88
2011-04-29,30,67.25
2011-05-06,35,67.24
2011-05-13,31,67.8
2011-05-20,30,68.61
2011-05-27,36,68.58
2011-06-03,24,68.1
2011-06-10,36,65.99
2011-06-17,32,64.31
2011-06-24,27,63.95
2011-07-01,38,66.26
2011-07-08,30,65.64
2011-07-15,31,64.57
2011-07-22,32,65.78
2011-07-29,42,66.98
2011-08-05,29,63.18
2011-08-12,37,62.73
2011-08-19,24,59.98
2011-08-26,29,62.4
2011-09-02,22,62.22
2011-09-09,27,61.6
2011-09-16,23,62.86
2011-09-23,34,59.7
2011-09-30,26,60.6
2011-10-07,24,60.34
2011-10-14,38,63.15
2011-10-21,41,70.19
2011-10-28,25,72.86
2011-11-04,25,72.04
2011-11-11,30,71.24
2011-11-18,31,67.88
2011-11-25,26,64.93
2011-12-02,24,68.38
2011-12-09,28,69.37
2011-12-16,21,66.74
2011-12-23,26,70.47
2011-12-30,34,70.12
2012-01-06,26,70.03
2012-01-13,24,69.76
2012-01-20,16,72.67
2012-01-27,26,69.46
2012-02-03,36,74.21
2012-02-10,32,73.08
2012-02-17,28,73.58
2012-02-24,28,73.13
2012-03-02,33,72.45
2012-03-09,23,71.68
2012-03-16,21,72.27
2012-03-23,30,72.75
2012-03-30,27,73.2
2012-04-13,25,71.56
2012-04-20,25,75.3
2012-04-27,29,76.36
2012-05-04,25,76.44
2012-05-11,24,76.27
2012-05-18,30,72.02
2012-05-25,28,73.18
2012-06-01,29,70.22
2012-06-08,26,72.85
2012-06-15,26,72.75
2012-06-22,35,72.28
2012-06-29,26,74.13
2012-07-06,30,72.53
2012-07-13,27,72.81
2012-07-20,24,70.78
2012-07-27,29,73.56
2012-08-03,32,73.66
2012-08-10,27,72.74
2012-08-17,29,73.46
2012-08-24,27,74.25
2012-08-31,31,73.73
2012-09-07,35,75.07
2012-09-14,28,77.03
2012-09-21,34,75.93
2012-09-28,27,75.6
2012-10-05,22,78.13
2012-10-12,22,77.01
2012-10-19,28,80.52
2012-10-26,30,79.35
2012-11-02,22,77.5
2012-11-09,27,78.15
2012-11-16,25,77.3
2012-11-23,29,79.8
2012-11-30,27,79.23
2012-12-07,26,80.97
2012-12-14,32,79.32
2012-12-21,22,80.07
2012-12-28,22,78.97
2013-01-04,19,82.32
2013-01-11,31,82.76
2013-01-18,27,83.24
2013-01-25,20,85.34
2013-02-01,32,85.59
2013-02-08,30,86.2
2013-02-15,23,86.5
2013-02-22,22,86.69
2013-03-01,35,85.67
2013-03-08,30,86.98
2013-03-15,22,88.26
2013-03-22,24,88.32
2013-04-05,22,88.98
2013-04-12,21,91.99
2013-04-19,29,89.03
2013-04-26,28,88.94
2013-05-03,31,89.9
2013-05-10,17,91.6
2013-05-17,22,91.65
2013-05-24,22,89.78
2013-05-31,23,89.68
2013-06-07,19,89.88
2013-06-14,21,88.55
2013-06-21,28,86.15
2013-06-28,26,89.48
2013-07-05,29,90.12
2013-07-12,50,93.5
2013-07-19,29,94.74
2013-07-26,22,92.33
2013-08-02,25,91.95
2013-08-09,23,89.74
2013-08-16,27,89.55
2013-08-23,35,90.44
2013-08-30,24,87.72
2013-09-06,24,88.19
2013-09-13,20,91.67
2013-09-20,22,94.99
2013-09-27,28,94.32
2013-10-04,25,92.88
2013-10-11,25,94.1
2013-10-18,26,96.97
2013-10-25,22,96.14
2013-11-01,27,95.86
2013-11-08,36,98.28
2013-11-15,26,98.7
2013-11-22,25,102.59
2013-11-29,27,102.78
2013-12-06,21,101.95
2013-12-13,29,99.26
2013-12-20,20,101.19
2013-12-27,19,102.62
2014-01-03,24,101.44
2014-01-10,27,98.67
2014-01-17,23,97.1
2014-01-24,22,92.19
2014-01-31,31,93.81
2014-02-07,18,94.6
2014-02-14,31,96.97
2014-02-21,22,97.19
2014-02-28,28,97.87
2014-03-07,26,97.77
2014-03-14,39,97.78
2014-03-21,27,99.26
2014-03-28,32,97.89
2014-04-04,28,98.39
2014-04-11,34,99.31
2014-04-25,23,101.59
