"Date","WLP","Price"
2004-12-03,69,106.47
2005-03-11,50,122.81
2005-03-18,54,121.31
2005-04-01,49,124.65
2005-04-08,49,127.5
2005-04-15,49,121.2
2005-04-22,55,117.77
2005-04-29,62,127.75
2005-05-06,68,133.95
2005-05-13,75,131.86
2005-05-20,52,133.09
2005-05-27,55,134
2005-06-03,58,68.4
2005-06-10,51,67.8
2005-06-17,60,69.64
2005-06-24,69,68.19
2005-07-01,59,69.82
2005-07-08,79,70.75
2005-07-15,74,68.9
2005-07-22,67,67.02
2005-07-29,67,70.74
2005-08-05,59,70.92
2005-08-12,57,72.51
2005-08-19,58,73
2005-08-26,59,72.52
2005-09-02,63,73.98
2005-09-09,49,76.77
2005-09-16,58,74.04
2005-09-23,56,74.74
2005-09-30,61,75.82
2005-10-07,66,74.2
2005-10-14,57,73.58
2005-10-21,51,78
2005-10-28,51,74.7
2005-11-04,48,73.4
2005-11-11,50,73.77
2005-11-18,53,77.1
2005-11-25,47,78.15
2005-12-02,37,77.3
2005-12-09,49,79.4
2005-12-16,71,78.24
2005-12-23,54,78.3
2005-12-30,54,79.79
2006-01-06,54,78.93
2006-01-13,54,74.89
2006-01-20,75,73.23
2006-01-27,79,75.5
2006-02-03,51,77.3
2006-02-10,69,77.65
2006-02-17,36,77.36
2006-02-24,69,77.29
2006-03-03,42,75.68
2006-03-10,76,77.43
2006-03-17,95,79.62
2006-03-24,68,78.5
2006-03-31,65,77.43
2006-04-07,75,75.59
2006-04-21,62,71.72
2006-04-28,59,71
2006-05-05,59,70.01
2006-05-12,71,71.75
2006-05-19,61,71.9
2006-05-26,86,72.08
2006-06-02,64,72.84
2006-06-09,53,71.84
2006-06-16,67,71.05
2006-06-23,54,72.21
2006-06-30,56,72.77
2006-07-07,44,72.14
2006-07-14,44,74.56
2006-07-21,80,77.18
2006-07-28,73,75.07
2006-08-04,71,74.68
2006-08-11,79,74.83
2006-08-18,71,76
2006-08-25,67,77.29
2006-09-01,57,77.13
2006-09-08,57,75.85
2006-09-15,91,78.63
2006-09-22,51,76.73
2006-09-29,56,77.05
2006-10-06,86,78.41
2006-10-13,58,76.44
2006-10-20,77,78.06
2006-10-27,77,76.65
2006-11-03,59,73.8
2006-11-10,69,72.89
2006-11-17,68,72.92
2006-11-24,50,72.4
2006-12-01,84,75.95
2006-12-08,58,76.46
2006-12-15,70,77.13
2006-12-22,75,78.22
2006-12-29,46,78.69
2007-01-05,58,78.49
2007-01-12,70,77.8
2007-01-19,57,77.32
2007-01-26,76,75.98
2007-02-02,72,78.71
2007-02-09,60,80.68
2007-02-16,48,82.25
2007-02-23,77,81.5
2007-03-02,62,80.06
2007-03-09,57,78.32
2007-03-16,47,78.8
2007-03-23,69,81.67
2007-03-30,55,81.1
2007-04-13,49,82.24
2007-04-20,59,82.85
2007-04-27,53,79.19
2007-05-04,66,81.43
2007-05-11,62,83.5
2007-05-18,70,85.07
2007-05-25,49,83.98
2007-06-01,53,81.78
2007-06-08,82,81.56
2007-06-15,60,81.04
2007-06-22,59,79.51
2007-06-29,41,79.83
2007-07-06,46,82.23
2007-07-13,61,81.78
2007-07-20,77,81.2
2007-07-27,55,75.93
2007-08-03,49,75.05
2007-08-10,45,77.02
2007-08-17,45,79.55
2007-08-24,63,78.18
2007-08-31,49,80.59
2007-09-07,36,79.06
2007-09-14,31,79.32
2007-09-21,47,79.89
2007-09-28,46,78.92
2007-10-05,45,78.46
2007-10-12,38,79.59
2007-10-19,39,78.78
2007-10-26,42,78.7
2007-11-02,52,78.31
2007-11-09,34,79.9
2007-11-16,53,81.63
2007-11-23,39,81.76
2007-11-30,62,84.21
2007-12-07,34,85.97
2007-12-14,42,86.16
2007-12-21,35,89.46
2007-12-28,33,88.1
2008-01-04,52,87.57
2008-01-11,57,87.63
2008-01-18,44,82.88
2008-01-25,44,74.69
2008-02-01,43,78.92
2008-02-08,52,76.63
2008-02-15,44,75.07
2008-02-22,41,73.93
2008-02-29,59,70.08
2008-03-07,53,67.12
2008-03-14,100,47.09
2008-03-28,53,43.23
2008-04-04,60,46.2
2008-04-11,42,46
2008-04-18,45,48.44
2008-04-25,58,51.07
2008-05-02,44,51.33
2008-05-09,46,52.73
2008-05-16,46,51.53
2008-05-23,52,53.94
2008-05-30,63,55.82
2008-06-06,33,55.44
2008-06-13,46,53.81
2008-06-20,56,48.3
2008-06-27,53,48.08
2008-07-11,63,44.87
2008-07-18,47,46.25
2008-07-25,47,52.9
2008-08-01,51,51.57
2008-08-08,44,55.83
2008-08-15,42,57.57
2008-08-22,44,54.49
2008-08-29,36,52.79
2008-09-05,33,49.02
2008-09-12,45,51.14
2008-09-19,45,48.02
2008-09-26,60,46.69
2008-10-03,50,44.46
2008-10-10,48,35.3
2008-10-17,60,40.3
