"Date","sell.USB","Price"
2007-11-16,68,31.43
2008-09-05,62,32.74
2008-10-24,57,29.45
2008-12-05,55,28.91
2008-12-12,60,25.84
2008-12-19,64,24.85
2008-12-26,68,24.25
2009-01-02,52,25.25
2009-01-09,52,22.35
2009-01-16,52,18.32
2009-01-23,52,14.64
2009-01-30,52,14.84
2009-02-06,53,16.19
2009-02-13,53,12.4
2009-02-20,54,10.58
2009-02-27,54,14.31
2009-03-06,55,8.82
2009-03-13,60,13.57
2009-03-20,61,13.42
2009-06-19,52,17.95
2009-06-26,60,18.02
2009-08-14,50,22.49
2009-08-21,51,22.28
2009-08-28,52,22.43
2009-09-04,78,21.45
2009-09-11,45,21.86
2009-09-18,58,22.76
2009-09-25,56,22.06
2009-10-02,56,21.23
2009-10-09,56,22.93
2009-10-16,56,23.41
2009-10-23,42,24.95
2009-10-30,55,23.22
2009-11-06,55,23.73
2009-11-13,55,23.48
2009-11-20,55,23.29
2009-11-27,56,22.95
2009-12-04,49,23.5
2009-12-11,54,23.05
2009-12-18,59,22.3
2010-01-08,47,24.21
2010-01-15,47,24.62
2010-01-22,54,24.67
2010-01-29,72,25.08
2010-02-05,62,23.97
2010-02-12,69,23.26
2010-02-19,39,24.14
2010-02-26,49,24.61
2010-03-05,45,25.2
2010-03-12,45,25.67
2010-03-19,45,26.14
2010-03-26,49,26.05
2010-04-09,41,27.16
2010-04-16,41,27.45
2010-04-23,41,27.3
2010-04-30,38,26.77
2010-05-07,41,25.15
2010-05-14,43,25.51
2010-05-21,43,23.98
2010-05-28,43,23.96
2010-06-04,39,22.85
2010-06-11,39,23.31
2010-06-18,55,23.57
2010-06-25,51,23.36
2010-07-02,49,21.88
2010-07-09,49,23.91
2010-07-16,37,23.04
2010-07-23,52,23.7
2010-07-30,48,23.9
2010-08-06,51,23.22
2010-08-13,55,22.22
2010-08-20,41,21.74
2010-08-27,78,21.66
2010-09-03,86,22.67
2010-09-10,46,22.63
2010-09-17,37,22.81
2010-09-24,57,22.41
2010-10-01,53,21.71
2010-10-08,35,22.31
2010-10-15,35,22.54
2010-10-22,35,23.59
2010-10-29,45,24.2
2010-11-05,32,26.1
2010-11-12,41,24.62
2010-11-19,38,24.87
2010-11-26,41,23.97
2010-12-03,34,24.76
2010-12-10,53,26.45
2010-12-17,31,26.2
2010-12-31,50,26.97
2011-01-07,47,26.09
2011-01-14,65,27.37
2011-01-21,85,26.96
2011-01-28,53,26.8
2011-02-04,53,27.42
2011-02-11,49,28.37
2011-02-18,49,28.56
2011-02-25,42,27.52
2011-03-04,34,27.04
2011-03-11,60,27.16
2011-03-18,45,26.65
2011-03-25,42,26.92
2011-04-01,31,26.68
2011-04-08,49,26.18
2011-04-15,31,25.93
2011-04-29,36,25.82
2011-05-06,40,25.19
2011-05-13,68,25.02
2011-05-20,42,25.2
2011-05-27,51,25.42
2011-06-03,38,24.55
2011-06-10,53,24.33
2011-06-17,37,24.49
2011-06-24,28,23.92
2011-07-01,37,26.06
2011-07-08,32,25.35
2011-07-15,35,24.74
2011-07-22,28,26.91
2011-07-29,57,26.06
2011-08-05,40,23.72
2011-08-12,50,21.91
2011-08-19,56,20.56
2011-08-26,70,22.42
2011-09-02,85,21.61
2011-09-09,72,22
2011-09-16,49,24.11
2011-09-23,33,23.21
2011-09-30,33,23.54
2011-10-07,40,23.33
2011-10-14,63,24.7
2011-10-21,61,25.39
2011-10-28,28,26.03
2011-11-04,40,25.53
2011-11-11,45,25.94
2011-11-18,27,25.38
2011-11-25,39,24.03
2011-12-02,48,25.72
2011-12-09,70,26.29
2011-12-16,41,26
2011-12-23,53,27.49
2011-12-30,51,27.05
2012-01-06,41,27.75
2012-01-13,55,29.03
2012-01-20,63,28.74
2012-01-27,66,27.86
2012-02-03,40,29.2
2012-02-10,59,29.01
2012-02-17,68,29.35
2012-02-24,45,28.73
2012-03-02,65,29.27
2012-03-09,50,29.72
2012-03-16,38,31.65
2012-03-23,36,31.7
2012-03-30,36,31.68
2012-04-13,37,30.9
2012-04-20,53,31.29
2012-04-27,32,32.43
2012-05-04,32,31.67
2012-05-11,33,32.21
2012-05-18,48,30.27
2012-05-25,42,30.93
2012-06-01,45,29.6
2012-06-08,50,30.1
2012-06-15,46,31.58
2012-06-22,46,31.72
2012-06-29,42,32.16
2012-07-06,47,32.01
2012-07-13,48,32.7
2012-07-20,57,33.6
2012-07-27,49,33.92
2012-08-03,34,33.49
2012-08-10,43,33.16
2012-08-17,45,33.11
2012-08-24,66,33.03
2012-08-31,78,33.41
2012-09-07,67,33.98
2012-09-14,74,34.93
2012-09-21,49,33.85
2012-09-28,56,34.3
2012-10-05,50,34.92
2012-10-12,67,33.72
2012-10-19,60,34.23
2012-10-26,50,33.15
2012-11-02,65,33.43
2012-11-09,53,32.1
2012-11-16,59,31.55
2012-11-23,80,32.58
2012-11-30,54,32.26
2012-12-07,48,32.02
2012-12-14,56,31.4
2012-12-21,48,32.48
2012-12-28,59,31.68
2013-01-04,81,33.22
2013-01-11,52,33.5
2013-01-18,66,32.87
2013-01-25,53,33.17
2013-02-01,57,33.4
2013-02-08,50,33.65
2013-02-15,59,33.91
2013-02-22,55,33.88
2013-03-01,57,34.01
2013-03-08,50,34.23
