"Date","buy.LEG","Price"
2005-06-10,75,25.9
2005-12-16,72,24.12
2006-02-03,54,24.16
2006-10-13,50,24.97
2006-10-20,49,23.15
2006-10-27,49,23.39
2006-11-03,47,22.83
2006-11-10,47,23.71
2006-11-17,44,24.35
2006-11-24,44,23.88
2006-12-01,46,23.69
2006-12-08,46,23.79
2006-12-15,47,23.62
2006-12-22,48,23.47
2006-12-29,49,23.9
2007-01-05,36,23.46
2007-01-12,36,23.84
2007-02-23,57,24.24
2007-03-02,40,23.87
2007-03-09,37,23.81
2007-03-16,37,23.04
2007-03-23,37,23.38
2007-03-30,37,22.67
2007-04-13,32,23.08
2007-04-20,32,23.5
2007-04-27,49,23.84
2007-05-04,33,23.8
2007-05-11,38,23.64
2007-05-18,42,23.59
2007-05-25,30,24.29
2007-06-01,30,24.51
2007-06-08,34,23.92
2007-06-15,39,23.58
2007-06-22,36,21.6
2007-06-29,36,22.05
2007-07-06,33,22.5
2007-07-13,33,22.51
2007-07-20,33,21.94
2007-07-27,33,20.81
2007-08-03,42,20.45
2007-08-10,39,19.87
2007-08-17,48,19.96
2007-08-24,55,20.89
2007-08-31,48,20.4
2007-09-07,28,19.27
2007-09-14,38,19.55
2007-09-21,34,19.58
2007-09-28,34,19.16
2007-10-05,45,20.03
2007-10-12,27,19.42
2007-10-19,46,18.33
2007-10-26,53,18.99
2007-11-02,28,18.78
2007-11-09,54,18.19
2007-11-16,42,20.16
2007-11-23,47,20.25
2007-11-30,40,20.58
2007-12-07,62,20.35
2007-12-14,50,18.72
2007-12-21,36,17.64
2007-12-28,78,17.27
2008-01-04,36,16.32
2008-01-11,43,16.1
2008-01-18,39,16.14
2008-01-25,32,16.81
2008-02-01,34,19.22
2008-02-08,32,17.77
2008-02-15,52,17.58
2008-02-22,38,17.46
2008-02-29,52,16.7
2008-03-07,50,15.92
2008-03-14,37,15.05
2008-03-28,44,14.88
2008-04-04,26,15.68
2008-04-11,41,15.07
2008-04-18,26,16.85
2008-04-25,44,17.13
2008-05-02,34,16.88
2008-05-09,50,16.25
2008-05-16,47,17.5
2008-05-23,34,18.53
2008-05-30,38,19.1
2008-06-06,37,18.6
2008-06-13,39,18
2008-06-20,52,17.77
2008-06-27,46,17.21
2008-07-11,39,14.84
2008-07-18,42,18.03
2008-07-25,27,18.94
2008-08-01,48,19.84
2008-08-08,24,21.41
2008-08-15,58,21.4
2008-08-22,30,21.13
2008-08-29,31,22.31
2008-09-05,46,22.58
2008-09-12,51,23.45
2008-09-19,49,23.98
2008-09-26,56,22.28
2008-10-03,37,19.98
2008-10-10,49,17.65
2008-10-17,53,16.29
2008-10-24,54,15.71
2008-10-31,83,17.36
2008-11-07,61,16.3
2008-11-14,51,14.88
2008-11-21,52,13.13
2008-11-28,58,14.6
2008-12-05,39,14.94
2008-12-12,57,14.67
2008-12-19,60,14.76
2008-12-26,47,14.47
2009-01-02,37,15.68
2009-01-09,40,14.4
2009-01-16,40,13.78
2009-01-23,25,13
2009-01-30,39,12.49
2009-02-06,35,13.55
2009-02-13,26,12.84
2009-02-20,35,12.26
2009-02-27,55,11.43
2009-03-06,36,10.31
2009-03-13,21,11.98
2009-03-20,41,11.94
2009-03-27,42,13.78
2009-04-03,47,14.3
2009-04-17,48,15
2009-04-24,48,14.92
2009-05-01,44,14.51
2009-05-08,29,15.71
2009-05-15,30,14.69
2009-05-22,39,14.23
2009-05-29,51,14.68
2009-06-05,61,15.72
2009-06-12,36,15.5
2009-06-19,45,14.79
2009-06-26,38,14.89
2009-07-10,46,14.27
2009-07-17,29,15.77
2009-07-24,27,16.18
2009-07-31,39,17.35
2009-08-07,40,17.93
2009-08-14,51,17.4
2009-08-21,49,18.88
2009-08-28,52,18.54
2009-09-04,40,18.49
2009-09-11,50,18.64
2009-09-18,48,19.56
2009-09-25,42,18.81
2009-10-02,51,18.28
2009-10-09,56,18.89
2009-10-16,41,19.73
2009-10-23,64,20.82
2009-10-30,45,19.33
2009-11-06,34,19.44
2009-11-13,48,19.85
2009-11-20,39,19.53
2009-11-27,50,19.57
2009-12-04,41,20.03
2009-12-11,43,20.25
2009-12-18,40,19.97
2010-01-08,46,21.18
2010-01-15,34,20.99
2010-01-22,38,20.02
2010-01-29,42,18.26
2010-02-05,36,18.45
2010-02-12,37,18.78
2010-02-19,41,19.41
2010-02-26,39,18.95
2010-03-05,33,20.61
2010-03-12,43,21.29
2010-03-19,40,21.47
2010-03-26,47,21.61
2010-04-09,44,21.9
2010-04-16,43,22.07
2010-04-23,40,23.96
2010-04-30,53,24.53
2010-05-07,61,22.22
2010-05-14,45,24.08
2010-05-21,42,22.8
2010-05-28,48,23.28
2010-06-04,49,22.37
2010-06-11,54,22.74
2010-06-18,45,22.51
2010-06-25,46,21.46
2010-07-02,50,19.51
2010-07-09,49,20.64
2010-07-16,46,20
2010-07-23,46,21.37
2010-07-30,42,20.84
2010-08-06,45,21.07
2010-08-13,59,19.68
2010-08-20,38,19.58
2010-08-27,51,19.48
2010-09-03,43,21.04
2010-09-10,46,21.39
2010-09-17,54,21.6
2010-09-24,47,22.8
2010-10-01,59,23.02
2010-10-08,48,23.75
2010-10-15,51,23.8
2010-10-22,63,21.01
2010-10-29,55,20.38
2010-11-05,51,20.5
2010-11-12,42,20.12
2010-11-19,53,20.34
2010-11-26,53,20.53
2010-12-03,52,21.81
2010-12-10,70,22.18
2010-12-17,58,23.23
2010-12-31,43,22.76
2011-01-07,57,22.88
2011-01-14,47,22.95
2011-01-21,35,22.39
2011-01-28,65,22.62
2011-02-04,44,22.56
2011-02-11,53,23.63
2011-02-18,46,23.62
2011-02-25,41,22.93
2011-03-04,34,23.72
2011-03-11,48,23.22
2011-03-18,42,22.85
2011-03-25,38,23.75
2011-04-01,46,24.17
2011-04-08,45,23.2
2011-04-15,65,23.07
2011-04-29,54,26.29
2011-05-06,56,26.12
2011-05-13,44,25.97
2011-05-20,55,25.79
2011-05-27,57,25.59
2011-06-03,56,24.27
2011-06-10,52,23.28
2011-06-17,53,23.46
2011-06-24,59,22.88
2011-07-01,58,24.9
2011-07-08,37,24.23
2011-07-15,53,23.25
2011-07-22,61,23.5
2011-07-29,55,21.7
2011-08-05,56,19.3
2011-08-12,54,20.1
2011-08-19,47,19.33
2011-08-26,53,20.73
2011-09-02,36,21.49
2011-09-09,42,20.86
2011-09-16,59,21.56
2011-09-23,48,19.69
2011-09-30,54,19.79
2011-10-07,46,20.65
2011-10-14,56,22.03
2011-10-21,61,23.04
2011-10-28,74,22.4
2011-11-04,58,21.85
2011-11-11,56,22.65
2011-11-18,45,21.87
2011-11-25,67,20.48
2011-12-02,56,22.41
2011-12-09,57,23.1
2011-12-16,46,21.77
2011-12-23,64,23.67
2011-12-30,49,23.04
2012-01-06,48,22.76
2012-01-13,45,22.49
2012-01-20,53,23.18
2012-01-27,57,22.67
2012-02-03,51,23.22
2012-02-10,56,21.36
2012-02-17,44,21.95
2012-02-24,59,22.59
2012-03-02,53,21.97
2012-03-09,50,22.42
2012-03-16,37,23.26
2012-03-23,62,22.4
2012-03-30,42,23.01
2012-04-13,51,22.32
2012-04-20,48,23.07
2012-04-27,47,21.99
2012-05-04,49,21.49
2012-05-11,56,20.83
2012-05-18,53,19.89
2012-05-25,54,20.72
2012-06-01,43,20.3
2012-06-08,56,20.84
2012-06-15,42,20.55
2012-06-22,33,19.88
2012-06-29,40,21.13
2012-07-06,42,21.04
2012-07-13,55,21.36
2012-07-20,62,21.6
2012-07-27,38,22.63
2012-08-03,65,23.08
2012-08-10,40,23.12
2012-08-17,50,23.87
2012-08-24,46,23.89
2012-08-31,57,23.74
2012-09-07,50,24.23
2012-09-14,54,25
2012-09-21,53,25.1
2012-09-28,50,25.05
2012-10-05,57,25.09
2012-10-12,50,24.71
2012-10-19,63,25.86
2012-10-26,74,25.4
2012-11-02,50,27.19
2012-11-09,49,26.72
2012-11-16,59,26.56
2012-11-23,58,27.43
2012-11-30,63,27.85
2012-12-07,61,26.86
2012-12-14,62,26.36
2012-12-21,86,26.83
2012-12-28,77,26.44
2013-01-04,61,28.02
2013-01-11,53,28
2013-01-18,51,28.55
2013-01-25,55,29.57
2013-02-01,56,29.57
2013-02-08,46,29.74
2013-02-15,41,30.7
2013-02-22,44,29.78
2013-03-01,41,30.67
2013-03-08,39,31.89
2013-03-15,54,32.22
2013-03-22,61,32.84
2013-04-05,100,32.63
2013-04-12,50,33.79
2013-04-19,55,32.48
2013-04-26,49,32.58
2013-05-03,48,32.84
2013-05-10,54,33.48
2013-05-17,45,34.19
2013-05-24,57,33
2013-05-31,46,32
2013-06-07,52,31.86
2013-06-14,60,32.28
2013-06-21,57,30.58
2013-06-28,50,31.09
2013-07-05,46,31.27
2013-07-12,44,32.27
2013-07-19,46,31.94
2013-07-26,44,30.71
2013-08-02,59,31.92
