"Date","Emerson.Electric","Price"
2004-02-06,74,64.68
2004-02-13,51,63.73
2004-02-20,72,63.27
2004-02-27,59,62.48
2004-03-05,64,63.05
2004-03-12,70,61.07
2004-03-19,76,60.39
2004-03-26,82,59.56
2004-04-02,87,60.79
2004-04-16,50,62.45
2004-04-23,50,62.07
2004-04-30,51,60.22
2004-05-07,51,58.28
2004-05-14,41,57.33
2004-05-21,46,57.67
2004-05-28,54,59.7
2004-06-04,63,60.43
2004-06-18,61,58.77
2004-06-25,54,61.4
2004-07-02,43,62.53
2004-07-09,76,61.56
2004-07-16,65,61.3
2004-07-23,63,59.48
2004-07-30,44,60.7
2004-08-06,91,60.51
2004-08-13,50,60.27
2004-08-20,51,61.6
2004-08-27,51,62.17
2004-09-03,54,62.33
2004-09-10,83,63.68
2004-09-17,54,62.73
2004-09-24,37,61.99
2004-10-01,43,63.9
2004-10-08,60,62.94
2004-10-15,40,62.94
2004-10-22,45,62.12
2004-10-29,59,64.05
2004-11-05,61,67.43
2004-11-12,52,68.62
2004-11-19,47,67.33
2004-11-26,61,67.38
2004-12-03,33,68.06
2004-12-10,76,68.32
2004-12-17,53,70.1
2004-12-31,55,70.1
2005-01-07,66,67.13
2005-01-14,43,67.81
2005-01-21,40,65.19
2005-01-28,50,65.4
2005-02-04,44,68.73
2005-02-11,80,68.24
2005-02-18,41,66.91
2005-02-25,54,66.72
2005-03-04,52,66.86
2005-03-11,28,67.17
2005-03-18,47,66.02
2005-04-01,52,63.96
2005-04-08,66,65.25
2005-04-15,31,62.48
2005-04-22,77,64.18
2005-04-29,43,62.67
2005-05-06,66,66.86
2005-05-13,39,65.4
2005-05-20,50,67.41
2005-05-27,51,67.13
2005-06-03,53,66.23
2005-06-10,46,64.98
2005-06-17,57,66
2005-06-24,36,63.32
2005-07-01,28,62.73
2005-07-08,31,63.84
2005-07-15,38,64.26
2005-07-22,71,65.61
2005-07-29,35,65.8
2005-08-05,71,67.69
2005-08-12,30,68.55
2005-08-19,45,67.46
2005-08-26,48,66.64
2005-09-02,28,67.17
2005-09-09,35,68.15
2005-09-16,43,67.3
2005-09-23,38,69.61
2005-09-30,45,71.8
2005-10-07,39,69.92
2005-10-14,56,69.45
2005-10-21,52,68.65
2005-10-28,51,68.59
2005-11-04,48,70.59
2005-11-11,36,71.55
2005-11-18,52,72.51
2005-11-25,35,73.01
2005-12-02,46,77.3
2005-12-09,41,76.21
2005-12-16,29,75.52
2005-12-23,30,76.75
2005-12-30,34,74.7
2006-01-06,39,76.33
2006-01-13,30,78.72
2006-01-20,46,77.57
2006-01-27,48,77.93
2006-02-03,59,77.35
2006-02-10,40,82.85
2006-02-17,56,81.9
2006-02-24,40,82.8
2006-03-03,42,83.43
2006-03-10,28,84.5
2006-03-17,38,85.67
2006-03-24,36,85.31
2006-03-31,44,83.63
2006-04-07,28,81.61
2006-04-21,25,86.28
2006-04-28,36,84.95
2006-05-05,41,87.47
2006-05-12,39,85.03
2006-05-19,32,79.95
2006-05-26,39,82.54
2006-06-02,35,82.81
2006-06-09,39,80.15
2006-06-16,40,81.85
2006-06-23,43,82.2
2006-06-30,26,83.81
2006-07-07,39,81.82
2006-07-14,34,79
2006-07-21,55,76.15
2006-07-28,41,77.38
