"Date","Lam.Research","Price"
2004-03-19,83,23.44
2005-06-24,63,28.88
2005-07-01,57,29.04
2005-07-08,57,28.99
2005-07-15,57,30.52
2005-10-14,61,33.44
2005-12-09,55,36.3
2005-12-16,45,36.03
2005-12-23,45,36.53
2005-12-30,45,35.68
2006-01-06,45,39.07
2006-01-13,46,38.29
2006-01-20,47,42.02
2006-01-27,47,46.32
2006-02-03,43,46.23
2006-02-10,49,48.03
2006-02-17,35,44.62
2006-02-24,38,43.75
2006-03-03,41,43.83
2006-03-10,44,40.96
2006-03-17,37,42.92
2006-03-24,36,43.67
2006-03-31,36,43
2006-04-07,37,45.28
2006-04-21,38,46.32
2006-04-28,34,48.88
2006-05-05,34,53.49
2006-05-12,32,48.84
2006-05-19,32,47.61
2006-05-26,56,45.14
2006-06-02,36,45.19
2006-06-09,36,43.54
2006-06-16,36,45.05
2006-06-23,36,42.99
2006-06-30,36,46.72
2006-07-07,33,44.54
2006-07-14,33,42.68
2006-07-21,38,37.7
2006-07-28,44,41.08
2006-08-04,33,39.5
2006-08-11,33,39.04
2006-08-18,33,41.65
2006-08-25,36,39.8
2006-09-01,39,42.03
2006-09-08,33,39.44
2006-09-15,32,41.57
2006-09-22,54,41.36
2006-09-29,51,45.33
2006-10-06,28,47.69
2006-10-13,39,51.66
2006-10-20,44,48.43
2006-10-27,49,48.74
2006-11-03,42,48.99
2006-11-10,42,50.1
2006-11-17,26,54.34
2006-11-24,26,55.64
2006-12-01,36,51.59
2006-12-08,46,52.96
2006-12-15,41,53.34
2006-12-22,43,49.8
2006-12-29,45,50.62
2007-01-05,46,51.85
2007-01-12,48,54.54
2007-01-19,40,47.28
2007-01-26,28,47.39
2007-02-02,30,45.73
2007-02-09,29,44.01
2007-02-16,41,45.23
2007-02-23,28,45.79
2007-03-02,28,43.5
2007-03-09,23,45.51
2007-03-16,34,45.54
2007-03-23,39,47.32
2007-03-30,27,47.34
2007-04-13,23,51.86
2007-04-20,41,52.77
2007-04-27,24,54.46
2007-05-04,27,55.7
2007-05-11,30,53.93
2007-05-18,22,51.67
2007-05-25,26,52.99
2007-06-01,20,54.04
2007-06-08,28,52.18
2007-06-15,34,53.91
2007-06-22,32,53.11
2007-06-29,26,51.4
2007-07-06,20,51.95
2007-07-13,52,54.31
2007-07-20,43,59.16
2007-07-27,40,56.87
2007-08-03,34,54.82
2007-08-10,36,55.04
2007-08-17,38,54.12
2007-08-24,44,54.55
2007-08-31,22,53.63
2007-09-07,22,52.11
2007-09-14,32,50.38
2007-09-21,34,53.81
2007-09-28,33,53.26
2007-10-05,47,53.96
2007-10-12,34,54.7
2007-10-19,31,53.71
2007-10-26,20,48.91
2007-11-02,24,48.65
2007-11-09,26,47.19
2007-11-16,18,46
2007-11-23,18,44.91
2007-11-30,29,45.85
2007-12-07,28,47.2
2007-12-14,41,44.25
2007-12-21,24,44.42
2007-12-28,25,43.53
2008-01-04,26,40.02
2008-01-11,27,37.93
2008-01-18,21,41.59
2008-01-25,32,39.36
2008-02-01,23,40.71
2008-02-08,23,38.52
2008-02-15,24,38.25
2008-02-22,21,40.31
2008-02-29,29,40.24
2008-03-07,25,38.36
2008-03-14,23,38.54
2008-03-28,16,37.73
2008-04-04,32,43.76
2008-04-11,33,41
2008-04-18,14,42.85
2008-04-25,31,42.63
2008-05-02,19,42.75
2008-05-09,20,40.09
2008-05-16,27,41.91
2008-05-23,18,38.05
2008-05-30,27,40.7
2008-06-06,18,38.72
2008-06-13,23,37.01
2008-06-20,20,36.69
2008-06-27,18,37.12
2008-07-11,20,32.5
2008-07-18,28,33.27
2008-07-25,16,31.31
2008-08-01,16,32.6
2008-08-08,17,37.08
2008-08-15,18,38.52
2008-08-22,23,38.3
2008-08-29,24,36.76
2008-09-05,13,32.33
2008-09-12,17,31.98
2008-09-19,26,33.44
2008-09-26,22,32.07
2008-10-03,17,26.25
2008-10-10,19,22.86
2008-10-17,13,21.12
2008-10-24,29,19.23
2008-10-31,24,22.36
2008-11-07,22,21.04
2008-11-14,20,17.99
2008-11-21,23,17.82
2008-11-28,15,20.2
2008-12-05,15,20.31
2008-12-12,16,23.02
2008-12-19,17,22.06
2008-12-26,17,20.87
2009-01-02,17,22.04
2009-01-09,17,23.5
2009-01-16,13,22.17
2009-01-23,18,21.91
2009-01-30,18,20.21
2009-02-06,24,21.78
2009-02-13,19,21.69
2009-02-20,15,19.59
2009-02-27,34,19.56
2009-03-06,24,19.29
2009-03-13,24,23.35
2009-03-20,21,23.24
2009-03-27,20,24.03
2009-04-03,11,25.65
2009-04-17,20,27.81
2009-04-24,21,25.69
2009-05-01,22,27.47
2009-05-08,26,25.6
2009-05-15,16,24.39
2009-05-22,22,24.51
2009-05-29,13,26.19
2009-06-05,17,25.68
2009-06-12,12,25.64
2009-06-19,23,24.57
2009-06-26,17,24.77
2009-07-10,17,26.28
2009-07-17,24,30.21
2009-07-24,17,32.02
2009-07-31,26,30.06
2009-08-07,11,29.41
2009-08-14,11,29.17
2009-08-21,17,29.95
2009-08-28,21,31.33
2009-09-04,18,31.54
2009-09-11,15,34.76
2009-09-18,20,34.07
2009-09-25,18,33.75
2009-10-02,18,32.5
2009-10-09,14,36.19
2009-10-16,22,36.46
2009-10-23,21,36.33
2009-10-30,23,33.72
2009-11-06,16,34.14
2009-11-13,16,35.55
2009-11-20,16,34.02
2009-11-27,13,34.49
2009-12-04,18,38.2
2009-12-11,15,38.04
2009-12-18,23,38.03
2010-01-08,13,40.35
2010-01-15,31,36.82
2010-01-22,18,34.29
2010-01-29,18,33.01
2010-02-05,17,33.29
2010-02-12,13,35.05
2010-02-19,14,35.66
2010-02-26,16,33.91
2010-03-05,20,34.72
2010-03-12,19,34.26
2010-03-19,21,33.88
2010-03-26,15,36.5
2010-04-09,18,38.48
2010-04-16,28,39.94
2010-04-23,21,42.9
2010-04-30,12,40.54
2010-05-07,13,36.96
2010-05-14,20,38.18
2010-05-21,13,37.76
2010-05-28,21,37.86
2010-06-04,18,39.05
2010-06-11,13,40.15
2010-06-18,26,41.99
2010-06-25,18,40.25
2010-07-02,14,37.56
2010-07-09,17,39.68
2010-07-16,25,40.04
2010-07-23,21,42.3
2010-07-30,27,42.19
2010-08-06,15,41.87
2010-08-13,17,37.66
2010-08-20,18,38.12
2010-08-27,19,37.37
2010-09-03,21,37.93
2010-09-10,15,36.24
2010-09-17,21,39.16
2010-09-24,27,41.55
2010-10-01,14,42.19
2010-10-08,23,39.94
2010-10-15,19,41.36
2010-10-22,21,43.88
2010-10-29,24,45.79
2010-11-05,23,47.63
2010-11-12,28,45.31
2010-11-19,21,46.51
2010-11-26,18,46.61
2010-12-03,22,49.22
2010-12-10,19,51.61
2010-12-17,25,51.85
2010-12-31,16,51.78
2011-01-07,21,47.2
2011-01-14,30,52.69
2011-01-21,18,49.98
2011-01-28,24,49.63
2011-02-04,15,52.6
2011-02-11,19,53.96
2011-02-18,18,56.1
2011-02-25,19,55.35
2011-03-04,18,58.27
2011-03-11,29,52.16
2011-03-18,20,50.81
2011-03-25,27,54.62
2011-04-01,21,56.31
2011-04-08,25,52.42
2011-04-15,20,51.9
2011-04-29,20,48.31
2011-05-06,20,48.63
2011-05-13,19,47.46
2011-05-20,22,47.19
2011-05-27,20,45.96
2011-06-03,14,45.82
2011-06-10,26,44.48
2011-06-17,16,42.43
2011-06-24,16,43.22
2011-07-01,19,45.27
2011-07-08,20,44.17
2011-07-15,25,42.06
2011-07-22,27,44.26
2011-07-29,26,40.88
2011-08-05,26,37.2
2011-08-12,20,38.73
2011-08-19,29,35.99
2011-08-26,23,37.3
2011-09-02,18,36.22
2011-09-09,18,37.18
2011-09-16,23,39.75
2011-09-23,26,36.9
2011-09-30,20,37.98
2011-10-07,15,40.82
2011-10-14,20,43.81
2011-10-21,26,40.61
2011-10-28,30,44.32
2011-11-04,14,43.83
2011-11-11,22,44.88
2011-11-18,17,40.48
2011-11-25,17,36.76
2011-12-02,18,42.24
2011-12-09,20,42.63
2011-12-16,57,35.92
2011-12-23,23,36.93
2011-12-30,14,37.02
2012-01-06,16,37.84
2012-01-13,27,38.5
2012-01-20,25,42.23
2012-01-27,29,43.1
2012-02-03,15,44.19
2012-02-10,23,42.33
2012-02-17,20,41.98
2012-02-24,22,40.56
2012-03-02,21,41.04
2012-03-09,26,41.95
2012-03-16,20,43.28
2012-03-23,16,43.82
2012-03-30,14,44.62
2012-04-13,14,42.18
2012-04-20,26,40.39
2012-04-27,22,42.07
2012-05-04,14,40.24
2012-05-11,17,41.42
2012-05-18,18,37.57
2012-05-25,17,38.37
2012-06-01,17,36.13
2012-06-08,20,37.62
2012-06-15,21,37.76
2012-06-22,21,37.95
2012-06-29,23,37.74
2012-07-06,18,35.49
2012-07-13,20,34.23
2012-07-20,16,34.8
2012-07-27,21,34.14
2012-08-03,23,34.57
2012-08-10,17,35.54
2012-08-17,18,35.21
2012-08-24,25,34.62
2012-08-31,18,34.13
2012-09-07,20,34.72
2012-09-14,18,34.35
2012-09-21,21,32.91
2012-09-28,23,31.78
2012-10-05,18,32.26
2012-10-12,17,32.46
2012-10-19,17,35.37
2012-10-26,20,35.36
2012-11-02,19,36.06
2012-11-09,18,36.43
2012-11-16,25,34.52
2012-11-23,15,35.34
2012-11-30,20,35.12
2012-12-07,19,35.46
2012-12-14,14,36.37
2012-12-21,15,36.24
2012-12-28,9,35.67
2013-01-04,16,38.07
2013-01-11,18,38.44
2013-01-18,20,40.12
2013-01-25,22,41.84
2013-02-01,25,41.72
2013-02-08,19,42.61
2013-02-15,19,42.5
2013-02-22,16,42.03
2013-03-01,26,42.68
2013-03-08,20,42.88
2013-03-15,19,41.66
2013-03-22,18,40.56
2013-04-05,19,40.77
2013-04-12,22,41.81
2013-04-19,20,41.63
2013-04-26,28,45.67
2013-05-03,25,46.01
2013-05-10,20,46.92
2013-05-17,27,48.04
2013-05-24,26,46.61
2013-05-31,20,46.78
2013-06-07,26,48.4
2013-06-14,21,47.08
2013-06-21,24,45
2013-06-28,20,44.34
2013-07-05,17,45.98
2013-07-12,24,50.43
2013-07-19,25,50.59
2013-07-26,23,49.47
2013-08-02,26,50.13
2013-08-09,17,47.7
2013-08-16,19,47.84
2013-08-23,20,48.26
2013-08-30,26,46.67
2013-09-06,21,49.16
2013-09-13,22,49.85
2013-09-20,18,49.3
2013-09-27,25,51.14
2013-10-04,17,52
2013-10-11,17,52.83
2013-10-18,21,53.85
2013-10-25,24,54.77
2013-11-01,24,53.62
2013-11-08,22,52.85
2013-11-15,18,52.61
2013-11-22,17,51.58
2013-11-29,19,52.11
2013-12-06,16,51.16
2013-12-13,20,51.07
2013-12-20,14,53.9
2013-12-27,10,54.18
2014-01-03,19,53.94
2014-01-10,23,54.88
2014-01-17,26,54.23
2014-01-24,20,51.27
2014-01-31,22,50.61
2014-02-07,23,51.85
2014-02-14,19,52.48
2014-02-21,25,52.27
2014-02-28,22,51.73
2014-03-07,21,53.35
2014-03-14,24,52.6
2014-03-21,24,56.37
2014-03-28,21,54.49
2014-04-04,27,56
2014-04-11,30,52.63
2014-04-25,31,56.37
