"Date","TSS","Price"
2004-02-06,69,22.97
2004-02-13,53,22.27
2004-02-20,72,21.68
2004-02-27,63,21.23
2004-03-05,55,21.31
2004-03-12,40,20.17
2004-03-19,69,20.22
2004-03-26,72,20.3
2004-04-02,53,22.51
2004-04-16,56,22.51
2004-04-23,59,22.62
2004-04-30,55,22.2
2004-05-07,54,22.19
2004-05-14,64,22.19
2004-05-21,57,22.85
2004-05-28,71,22.98
2004-06-04,63,23.15
2004-06-18,52,21.55
2004-06-25,59,21.06
2004-07-02,48,21.51
2004-07-09,64,21.9
2004-07-16,61,20.98
2004-07-23,52,23.03
2004-07-30,73,22.74
2004-08-06,62,21.72
2004-08-13,71,21.12
2004-08-20,57,22.48
2004-08-27,69,22.5
2004-09-03,71,22.75
2004-09-10,75,24.26
2004-09-17,57,25.31
2004-09-24,47,25.35
2004-10-01,69,25.48
2004-10-08,79,25.26
2004-10-15,65,25.3
2004-10-22,65,23.1
2004-10-29,63,23.6
2004-11-05,73,24.78
2004-11-12,86,24.98
2004-11-19,76,25.92
2004-11-26,71,26.03
2004-12-03,67,26.36
2004-12-10,67,25.18
2004-12-17,59,24.78
2004-12-31,64,24.3
2005-01-07,68,23.48
2005-01-14,62,22.84
2005-01-21,62,22.97
2005-01-28,59,23.6
2005-02-04,68,24.39
2005-02-11,61,24.73
2005-02-18,77,23.75
2005-02-25,70,24.07
2005-03-04,73,24.42
2005-03-11,55,24.82
2005-03-18,71,25.32
2005-04-01,60,24.68
2005-04-08,52,24.54
2005-04-15,58,23.99
2005-04-22,59,24.13
2005-04-29,57,24.58
2005-05-06,58,23.98
2005-05-13,67,23.67
2005-05-20,65,24.29
2005-05-27,52,24.69
2005-06-03,66,24.39
2005-06-10,58,24.42
2005-06-17,68,23.95
2005-06-24,58,23.3
2005-07-01,65,23.8
2005-07-08,54,23.91
2005-07-15,58,23.96
2005-07-22,65,25
2005-07-29,63,24.56
2005-08-05,64,23.67
2005-08-12,65,23.78
2005-08-19,57,23.9
2005-08-26,65,23.47
2005-09-02,82,23.64
2005-09-09,61,23.61
2005-09-16,51,23.55
2005-09-23,57,23.22
2005-09-30,64,23.31
2005-10-07,62,22.62
2005-10-14,61,22.71
2005-10-21,59,20.73
2005-10-28,51,21.27
2005-11-04,60,21.74
2005-11-11,64,21.93
2005-11-18,53,21.55
2005-11-25,49,22.04
2005-12-02,60,22.48
2005-12-09,55,21.97
2005-12-16,64,22.46
2005-12-23,55,19.78
2005-12-30,47,19.79
2006-01-06,61,20.32
2006-01-13,61,20.31
2006-01-20,60,19.84
2006-01-27,61,19.72
2006-02-03,65,19.45
2006-02-10,61,19.5
2006-02-17,60,19.6
2006-02-24,53,19.87
2006-03-03,54,19.84
2006-03-10,56,19.85
2006-03-17,61,20.07
2006-03-24,66,20.08
2006-03-31,60,19.92
2006-04-07,64,19.96
2006-04-21,63,20.42
2006-04-28,61,20.03
2006-05-05,54,20.16
2006-05-12,62,19.07
2006-05-19,53,19.05
2006-05-26,64,18.23
2006-06-02,58,18.72
2006-06-09,58,18.5
2006-06-16,61,18.79
2006-06-23,50,19.11
2006-06-30,63,19.25
2006-07-07,69,18.96
2006-07-14,70,18.41
2006-07-21,63,20.2
2006-07-28,61,20.98
2006-08-04,69,21.36
2006-08-11,56,21.59
2006-08-18,63,22.84
2006-08-25,63,22.51
2006-09-01,57,22.44
2006-09-08,60,22.5
2006-09-15,66,23.52
2006-09-22,69,22.98
2006-09-29,74,22.83
2006-10-06,71,23.26
2006-10-13,57,23.18
2006-10-20,60,23.2
2006-10-27,53,24.27
2006-11-03,52,24.16
2006-11-10,58,24.89
2006-11-17,63,25.74
2006-11-24,59,25.41
2006-12-01,54,25.88
2006-12-08,55,25.95
2006-12-15,55,26.07
2006-12-22,60,26.07
2006-12-29,53,26.39
2007-01-05,56,25.96
2007-01-12,55,27.1
2007-01-19,59,29.27
2007-01-26,62,29.81
2007-02-02,64,31.49
2007-02-09,61,31.32
2007-02-16,58,32
2007-02-23,66,32.07
2007-03-02,73,30.81
2007-03-09,72,30.97
2007-03-16,62,30.73
2007-03-23,61,32.32
2007-03-30,65,31.85
2007-04-13,64,32.34
2007-04-20,62,32.84
2007-04-27,79,31.75
2007-05-04,72,31.31
2007-05-11,70,31.66
2007-05-18,65,32.26
2007-05-25,74,33.26
2007-06-01,56,33.2
2007-06-08,74,30.97
2007-06-15,62,30.47
2007-06-22,56,29.37
2007-06-29,64,29.51
2007-07-06,59,30
2007-07-13,63,29.8
2007-07-20,69,29.44
2007-07-27,56,28.76
2007-08-03,67,28.4
2007-08-10,64,27.28
2007-08-17,61,28.26
2007-08-24,65,28.54
2007-08-31,67,27.74
2007-09-07,61,26.94
2007-09-14,71,28.08
2007-09-21,68,28.03
2007-09-28,59,27.78
2007-10-05,67,28.55
2007-10-12,66,28.67
2007-10-19,62,27.77
2007-10-26,60,29.25
2007-11-02,67,29.9
2007-11-09,65,29.15
2007-11-16,66,28.25
2007-11-23,56,28.62
2007-11-30,67,28.04
2007-12-07,64,27.08
2007-12-14,60,28.81
2007-12-21,62,26.65
2007-12-28,60,28.12
2008-01-04,60,25.19
2008-01-11,65,22.58
2008-01-18,60,20.23
2008-01-25,61,22.24
2008-02-01,75,23.45
2008-02-08,77,21.85
2008-02-15,67,22.11
2008-02-22,67,22.85
