"Date","buy.XL","Price"
2005-06-24,40,72.56
2005-09-09,33,68.34
2005-12-30,35,67.38
2006-01-06,26,69.61
2006-01-13,26,71.13
2006-01-20,26,68.9
2006-01-27,26,69.31
2006-02-03,31,67.25
2006-02-10,37,66.13
2006-09-01,21,65.49
2006-10-27,19,70.82
2006-11-03,18,69.4
2006-11-10,18,71.16
2006-11-17,18,72.01
2006-11-24,18,71.64
2006-12-01,19,70.55
2006-12-08,20,70.87
2006-12-15,22,72.08
2006-12-22,23,71.24
2006-12-29,23,72.02
2007-01-05,24,71.01
2007-02-23,23,72.9
2007-03-02,20,69.69
2007-03-09,20,70.69
2007-03-16,20,68.31
2007-03-23,20,70.85
2007-03-30,20,69.96
2007-04-13,20,70.8
2007-04-20,20,73.09
2007-04-27,20,78.19
2007-05-04,21,79.43
2007-05-11,21,80.45
2007-05-18,14,81.58
2007-05-25,14,80.03
2007-06-01,20,81.9
2007-06-08,25,81.44
2007-06-15,26,83.42
2007-06-22,21,83.31
2007-06-29,14,84.29
2007-07-06,17,83.44
2007-07-13,14,84.33
2007-07-20,20,83
2007-07-27,22,78.01
2007-08-03,28,72.94
2007-08-10,18,75.16
2007-08-17,19,73.64
2007-08-24,20,78.45
2007-08-31,13,76.2
2007-09-07,13,73.5
2007-09-14,24,73.91
2007-09-21,21,76.62
2007-09-28,17,79.2
2007-10-05,17,81.24
2007-10-12,12,79.7
2007-10-19,12,74.06
2007-10-26,14,71.89
2007-11-02,17,64.9
2007-11-09,22,64.68
2007-11-16,17,63.2
2007-11-23,28,52.99
2007-11-30,29,58.53
2007-12-07,19,60.3
2007-12-14,17,52.46
2007-12-21,22,50.16
2007-12-28,26,50.02
2008-01-04,26,49.89
2008-01-11,24,49.69
2008-01-18,17,39.52
2008-01-25,19,44.69
2008-02-01,18,46.44
2008-02-08,14,42.68
2008-02-15,15,38.65
2008-02-22,14,36.86
2008-02-29,14,36.06
2008-03-07,16,32.58
2008-03-14,12,31.47
2008-03-28,11,29.5
2008-04-04,21,30.33
2008-04-11,14,29.95
2008-04-18,18,30.44
2008-04-25,18,32.28
2008-05-02,16,37.78
2008-05-09,13,34.26
2008-05-16,15,35.45
2008-05-23,16,33.87
2008-05-30,17,34.91
2008-06-06,19,32.31
2008-06-13,19,30.58
2008-06-20,25,28.36
2008-06-27,23,23.77
2008-07-11,24,16.25
2008-07-18,24,19.88
2008-07-25,22,18.77
2008-08-01,31,18.47
2008-08-08,21,19.87
2008-08-15,22,20.04
2008-08-22,21,19.5
2008-08-29,19,20.1
2008-09-05,16,19.08
2008-09-12,22,17.78
2008-09-19,15,20.59
2008-09-26,16,18.41
2008-10-03,12,14.99
2008-10-10,18,5.43
2008-10-17,17,9.85
2008-10-24,15,7.21
2008-10-31,15,9.7
2008-11-07,15,8.42
2008-11-14,21,6.14
2008-11-21,24,4.64
2008-11-28,30,5.03
2008-12-05,27,6.05
2008-12-12,28,2.68
2008-12-19,33,4
2008-12-26,26,3.33
2009-01-02,15,3.89
2009-01-09,25,4.3
2009-01-16,22,3.18
2009-01-23,20,3.32
2009-01-30,15,2.9
2009-02-06,17,3.03
2009-02-13,19,4.31
2009-02-20,23,3.38
2009-02-27,19,3.31
2009-03-06,17,2.95
2009-03-13,9,3.99
2009-03-20,16,4.24
2009-03-27,23,6.19
2009-04-03,23,6.13
2009-04-17,20,8.16
2009-04-24,18,8.96
2009-05-01,23,9.84
2009-05-08,28,11.12
2009-05-15,26,8.93
2009-05-22,21,9.86
2009-05-29,19,10.12
2009-06-05,19,10.67
2009-06-12,22,11.63
2009-06-19,25,11.23
2009-06-26,26,10.85
2009-07-10,18,11.05
2009-07-17,18,12.44
2009-07-24,27,13.61
2009-07-31,22,14.08
2009-08-07,26,14.98
2009-08-14,30,15.04
2009-08-21,18,15.77
2009-08-28,32,17.22
2009-09-04,23,16.85
2009-09-11,25,16.98
2009-09-18,16,16.89
2009-09-25,25,16.86
2009-10-02,21,16.78
2009-10-09,27,17.81
2009-10-16,34,17.88
2009-10-23,28,17.18
2009-10-30,20,16.41
2009-11-06,24,17.22
2009-11-13,28,17.45
2009-11-20,20,18
2009-11-27,52,17.7
2009-12-04,37,18.21
2009-12-11,36,18.15
2009-12-18,36,18.21
2010-01-08,25,18.2
2010-01-15,26,17.09
2010-01-22,23,16.48
2010-01-29,22,16.77
2010-02-05,18,16.46
2010-02-12,24,17.64
2010-02-19,24,18.42
2010-02-26,24,18.27
2010-03-05,36,19.34
2010-03-12,32,18.78
2010-03-19,32,18.83
2010-03-26,40,18.89
2010-04-09,45,19.09
2010-04-16,54,19.72
2010-04-23,47,19.96
2010-04-30,42,17.8
2010-05-07,31,17.26
2010-05-14,38,18.8
2010-05-21,43,17.37
2010-05-28,36,17.61
2010-06-04,36,16.41
2010-06-11,45,17.35
2010-06-18,39,17.99
2010-06-25,36,17.39
2010-07-02,44,15.97
2010-07-09,37,17.4
2010-07-16,57,16.8
2010-07-23,41,17.77
2010-07-30,42,17.73
2010-08-06,42,17.99
