"Date","CVC","Price"
2004-02-06,19,25.13
2004-02-13,21,25.7
2004-02-20,17,25.04
2004-02-27,18,25.48
2004-03-05,17,24.52
2004-03-12,12,23.9
2004-03-19,17,22.45
2004-03-26,14,22.33
2004-04-02,16,23.23
2004-04-16,20,22.51
2004-04-23,15,21.56
2004-04-30,15,21.83
2004-05-07,17,21.62
2004-05-14,19,20.38
2004-05-21,16,20.8
2004-05-28,18,21.92
2004-06-04,21,21.34
2004-06-18,18,22
2004-06-25,20,19.73
2004-07-02,21,19.65
2004-07-09,22,18.69
2004-07-16,19,18.67
2004-07-23,19,18.26
2004-07-30,18,17.47
2004-08-06,23,17.14
2004-08-13,20,17.75
2004-08-20,19,18.49
2004-08-27,18,18.33
2004-09-03,23,18.25
2004-09-10,19,19.57
2004-09-17,18,20.46
2004-09-24,24,20.87
2004-10-01,24,20.46
2004-10-08,21,20.25
2004-10-15,23,20.39
2004-10-22,22,19.64
2004-10-29,24,20.58
2004-11-05,22,21.09
2004-11-12,18,21.9
2004-11-19,21,22.45
2004-11-26,23,21.76
2004-12-03,25,21.55
2004-12-10,21,21.62
2004-12-17,25,22.33
2004-12-31,30,24.9
2005-01-07,35,24.68
2005-01-14,31,24.35
2005-01-21,27,28.84
2005-01-28,26,27.65
2005-02-04,23,27.32
2005-02-11,23,27.46
2005-02-18,22,27.94
2005-02-25,23,30.18
2005-03-04,20,28.49
2005-03-11,25,28.79
2005-03-18,22,29.72
2005-04-01,22,28
2005-04-08,19,28.23
2005-04-15,22,26.43
2005-04-22,21,26.7
2005-04-29,17,25.95
2005-05-06,20,26.9
2005-05-13,26,25.71
2005-05-20,25,25.92
2005-05-27,26,25.69
2005-06-03,30,26.64
2005-06-10,29,27.1
2005-06-17,28,26.87
2005-06-24,28,32.47
2005-07-01,32,32.38
2005-07-08,24,32.63
2005-07-15,28,31.63
2005-07-22,29,30.9
2005-07-29,24,30.97
2005-08-05,28,30.94
2005-08-12,26,31.48
2005-08-19,28,31.03
2005-08-26,26,31.03
2005-09-02,25,31.2
2005-09-09,27,31.32
2005-09-16,25,31.13
2005-09-23,31,30.83
2005-09-30,30,30.67
2005-10-07,32,29.75
2005-10-14,30,28.47
2005-10-21,34,27.8
2005-10-28,38,24.41
2005-11-04,32,25.4
2005-11-11,36,25.14
2005-11-18,30,24.83
2005-11-25,37,24.8
2005-12-02,34,23.3
2005-12-09,29,24.1
2005-12-16,29,24
2005-12-23,29,23.36
2005-12-30,38,23.47
2006-01-06,39,24.67
2006-01-13,39,25
2006-01-20,37,24.9
2006-01-27,34,24.91
2006-02-03,30,25.12
2006-02-10,28,25.2
2006-02-17,26,25
2006-02-24,27,25.2
2006-03-03,27,26.5
2006-03-10,27,26.48
2006-03-17,28,26.44
2006-03-24,25,26.46
2006-03-31,26,26.7
2006-04-07,24,27.25
2006-04-21,26,27.93
2006-04-28,29,20.27
2006-05-05,27,20.75
2006-05-12,27,21.02
2006-05-19,27,19.81
2006-05-26,29,19.89
2006-06-02,31,20.34
2006-06-09,27,20.3
2006-06-16,27,21.3
2006-06-23,32,20.89
2006-06-30,31,21.45
2006-07-07,35,21.45
2006-07-14,35,20.63
2006-07-21,34,21.61
2006-07-28,36,22.2
2006-08-04,31,22.23
2006-08-11,30,21.84
2006-08-18,34,22.78
2006-08-25,30,23.03
2006-09-01,31,23.53
2006-09-08,30,23.52
2006-09-15,39,24.23
2006-09-22,31,22.59
2006-09-29,32,22.71
2006-10-06,30,23.93
2006-10-13,28,26.94
2006-10-20,33,27.94
2006-10-27,35,27.74
2006-11-03,32,27.77
2006-11-10,35,27.95
2006-11-17,39,27.84
2006-11-24,36,27.78
2006-12-01,38,27.94
2006-12-08,33,28.19
2006-12-15,35,28.14
2006-12-22,28,28.35
2006-12-29,35,28.48
2007-01-05,49,28.99
2007-01-12,44,28.39
2007-01-19,40,30.66
2007-01-26,37,30.4
2007-02-02,35,29.59
2007-02-09,34,29.18
2007-02-16,33,29.99
2007-02-23,30,29.27
2007-03-02,31,29.22
2007-03-09,34,30.03
2007-03-16,30,30
2007-03-23,33,30.25
2007-03-30,32,30.43
2007-04-13,29,31.59
2007-04-20,30,32.69
2007-04-27,30,32.65
2007-05-04,31,35.6
2007-05-11,30,35.45
2007-05-18,37,35.38
2007-05-25,33,35.72
2007-06-01,34,36.35
2007-06-08,35,35.85
2007-06-15,33,35.52
2007-06-22,35,35.9
2007-06-29,36,36.19
2007-07-06,39,38.3
2007-07-13,37,38.23
2007-07-20,33,38.04
2007-07-27,29,35.44
2007-08-03,31,33.75
2007-08-10,34,33
2007-08-17,32,32.45
2007-08-24,32,32.81
2007-08-31,38,33.55
2007-09-07,32,33.95
2007-09-14,36,34.7
2007-09-21,42,34.5
2007-09-28,37,34.94
2007-10-05,38,34.27
2007-10-12,38,34.43
2007-10-19,42,31.51
2007-10-26,40,29.58
2007-11-02,44,28.2
2007-11-09,41,26.28
2007-11-16,39,26.3
2007-11-23,45,26.35
2007-11-30,43,27.03
2007-12-07,45,25.64
2007-12-14,40,24.51
2007-12-21,36,24.16
2007-12-28,45,24.19
2008-01-04,64,23.56
2008-01-11,56,23.61
2008-01-18,53,22.97
2008-01-25,42,21.57
2008-02-01,41,24.99
2008-02-08,38,25.07
2008-02-15,41,27.72
2008-02-22,41,27.92
2008-02-29,39,26.79
2008-03-07,36,23.62
2008-03-14,36,22.25
2008-03-28,37,21.43
2008-04-04,40,23.12
2008-04-11,36,22.43
2008-04-18,39,22.94
2008-04-25,40,22.93
2008-05-02,39,23.14
2008-05-09,38,24.97
2008-05-16,37,24.99
2008-05-23,36,25.82
2008-05-30,42,27.11
2008-06-06,47,26.94
2008-06-13,42,25.13
2008-06-20,41,24
2008-06-27,45,22.6
2008-07-11,59,19.88
2008-07-18,44,21.61
2008-07-25,45,21.49
2008-08-01,44,25.36
2008-08-08,42,28.8
2008-08-15,43,32.12
2008-08-22,41,32.4
2008-08-29,41,32.27
2008-09-05,43,30.54
2008-09-12,41,29.78
2008-09-19,43,27.53
2008-09-26,40,26.34
2008-10-03,43,21.64
2008-10-10,39,15.53
2008-10-17,44,18
2008-10-24,42,14.02
2008-10-31,50,17.73
2008-11-07,54,15.59
2008-11-14,48,13.9
2008-11-21,43,12.25
2008-11-28,44,14.66
2008-12-05,41,14.35
2008-12-12,44,14.42
2008-12-19,42,14.75
2008-12-26,40,15.23
2009-01-02,52,17.38
2009-01-09,68,18.28
2009-01-16,66,17.81
2009-01-23,60,16.21
2009-01-30,52,16.03
2009-02-06,48,15.11
2009-02-13,45,13.9
2009-02-20,44,12.12
2009-02-27,44,12.99
2009-03-06,45,10.35
2009-03-13,53,12.8
2009-03-20,68,12.6
2009-03-27,50,13.74
2009-04-03,67,14.71
2009-04-17,54,17.52
2009-04-24,58,16.36
2009-05-01,51,17.46
2009-05-08,53,19.46
2009-05-15,46,18.27
2009-05-22,53,19.19
2009-05-29,55,19.03
2009-06-05,48,18.73
2009-06-12,40,18.91
2009-06-19,49,18.65
2009-06-26,49,18.86
2009-07-10,47,17.68
2009-07-17,51,18.69
2009-07-24,48,19.15
2009-07-31,54,20.47
2009-08-07,52,21.44
2009-08-14,59,21.1
2009-08-21,52,21.59
2009-08-28,60,22.61
2009-09-04,62,23.17
2009-09-11,55,24.32
2009-09-18,64,25.08
2009-09-25,66,23.39
2009-10-02,64,22.64
2009-10-09,62,23.93
2009-10-16,59,23.5
2009-10-23,67,23.49
2009-10-30,61,22.96
2009-11-06,62,24.73
