"Date","buy.CMS","Price"
2009-06-12,90,12.3
2009-09-04,85,12.99
2009-09-11,84,12.99
2009-09-18,84,13.43
2009-09-25,84,13.35
2010-02-19,74,15.58
2010-04-23,77,16.38
2010-07-02,88,14.68
2010-09-10,98,17.7
2010-09-17,86,17.73
2010-09-24,86,18.06
2010-10-01,86,18.22
2010-10-08,87,18.84
2010-10-15,68,18.81
2010-10-22,72,18.69
2010-10-29,76,18.38
2010-11-05,80,18.38
2010-11-12,84,17.84
2010-11-19,77,17.83
2010-11-26,77,17.88
2010-12-03,81,18.62
2010-12-10,82,18.76
2010-12-17,84,19.09
2010-12-31,61,18.6
2011-01-07,61,18.91
2011-01-14,61,19
2011-01-21,55,19.13
2011-01-28,55,19.34
2011-02-04,99,19.35
2011-02-11,64,19.27
2011-02-18,64,19.62
2011-02-25,64,19.13
2011-03-04,53,19.17
2011-03-11,56,19.23
2011-03-18,59,18.91
2011-03-25,63,19.13
2011-04-01,59,19.7
2011-04-08,60,19.26
2011-04-15,61,19.28
2011-04-29,61,19.8
2011-05-06,63,20.15
2011-05-13,64,20.21
2011-05-20,64,20.28
2011-05-27,69,19.7
2011-06-03,53,19.74
2011-06-10,53,19.46
2011-06-17,53,19.68
2011-06-24,53,19.5
2011-07-01,64,20.11
2011-07-08,60,20.06
2011-07-15,60,19.7
2011-07-22,53,19.93
2011-07-29,53,19.14
2011-08-05,63,18.27
2011-08-12,74,18.24
2011-08-19,77,18.88
2011-08-26,81,19.23
2011-09-02,50,19.3
2011-09-09,54,18.81
2011-09-16,59,20.31
2011-09-23,58,19.66
2011-09-30,58,19.79
2011-10-07,100,19.82
2011-10-14,69,20.48
2011-10-21,62,20.97
2011-10-28,66,21.11
2011-11-04,61,20.59
2011-11-11,61,21.21
2011-11-18,55,20.88
2011-11-25,89,19.71
2011-12-02,54,20.79
2011-12-09,54,20.75
2011-12-16,78,20.87
2011-12-23,52,22.02
2011-12-30,55,22.08
2012-01-06,55,21.63
2012-01-13,60,21.91
2012-01-20,73,21.48
2012-01-27,42,22.09
2012-02-03,51,22.03
2012-02-10,88,21.63
2012-02-17,50,21.54
2012-02-24,50,21.68
2012-03-02,47,21.41
2012-03-09,68,21.89
2012-03-16,54,21.65
2012-03-23,46,21.91
2012-03-30,55,22
2012-04-13,53,21.54
2012-04-20,58,22.3
2012-04-27,42,22.83
2012-05-04,42,22.47
2012-05-11,41,22.84
2012-05-18,41,22.68
2012-05-25,46,23.12
2012-06-01,50,23.07
2012-06-08,54,23.56
2012-06-15,57,23.74
2012-06-22,46,23.24
2012-06-29,50,23.5
2012-07-06,54,23.68
2012-07-13,41,24.32
2012-07-20,41,24.54
2012-07-27,72,24.8
2012-08-03,42,24.19
2012-08-10,55,23.89
2012-08-17,51,23.38
2012-08-24,51,22.86
2012-10-05,59,23.82
2012-10-12,38,23.67
2012-10-19,41,24.3
2012-10-26,46,24.22
2012-11-02,37,23.98
2012-11-09,50,23
2012-11-16,63,23.22
2012-11-23,56,23.52
2012-11-30,40,24.43
2012-12-07,36,24.67
2012-12-14,40,24.03
2012-12-21,45,24.54
2012-12-28,39,24.05
2013-01-04,39,25.1
2013-01-11,46,24.89
2013-01-18,55,25.09
2013-01-25,52,25.23
2013-02-01,52,25.83
2013-02-08,55,25.66
2013-02-15,38,25.77
2013-02-22,67,26.4
2013-03-01,37,26.45
2013-03-08,33,27.08
2013-03-15,33,27.44
2013-03-22,33,27.33
2013-04-05,71,28.21
2013-04-12,43,28.73
2013-04-19,50,29.09
2013-04-26,37,29.43
2013-05-03,44,29.39
2013-05-10,40,28.42
2013-05-17,36,29.1
2013-05-24,40,27.53
2013-05-31,33,26.95
2013-06-07,33,27.04
2013-06-14,40,27.4
2013-06-21,37,26.4
2013-06-28,47,27.17
2013-07-05,41,26.7
2013-07-12,41,27.92
2013-07-19,49,28.48
2013-07-26,58,28.2
2013-08-02,57,28.52
2013-08-09,63,27.96
2013-08-16,68,26.87
2013-08-23,47,26.94
2013-08-30,53,26.53
2013-09-06,74,25.98
2013-09-13,48,26.19
2013-09-20,57,26.59
2013-09-27,32,26.21
2013-10-04,70,26.03
2013-10-11,51,27.06
2013-10-18,45,27.32
2013-10-25,40,28.03
2013-11-01,31,27.62
2013-11-08,34,27.28
2013-11-15,43,27.61
2013-11-22,43,27.31
2013-11-29,40,26.54
2013-12-06,63,26.49
2013-12-13,68,26.21
2013-12-20,32,26.92
2013-12-27,46,26.69
2014-01-03,59,26.29
2014-01-10,42,27.11
2014-01-17,47,26.43
2014-01-24,79,26.54
2014-01-31,58,27.79
2014-02-07,55,27.23
2014-02-14,55,28.53
2014-02-21,50,28.48
2014-02-28,43,28.43
2014-03-07,47,27.98
2014-03-14,55,28.8
2014-03-21,58,28.58
2014-03-28,63,28.83
2014-04-04,81,29.38
2014-04-11,52,29.45
2014-04-25,63,30.39
