"Date","buy.IBM","Price"
2004-02-06,31,98.94
2004-02-13,42,99.71
2004-02-20,34,97.31
2004-02-27,54,96.5
2004-03-05,51,96.45
2004-03-12,61,93.3
2004-03-19,38,91.62
2004-03-26,39,92.77
2004-04-02,39,94.2
2004-04-16,57,92.28
2004-04-23,34,91.28
2004-04-30,29,88.17
2004-05-07,31,88.19
2004-05-14,38,86.41
2004-05-21,45,87.13
2004-05-28,38,88.59
2004-06-04,24,87.56
2004-06-18,42,90.06
2004-06-25,34,89.55
2004-07-02,24,87.04
2004-07-09,47,83.89
2004-07-16,40,84.28
2004-07-23,29,84.85
2004-07-30,42,87.07
2004-08-06,47,83.48
2004-08-13,38,83.91
2004-08-20,38,85.25
2004-08-27,47,84.94
2004-09-03,35,84.39
2004-09-10,44,86.76
2004-09-17,25,85.74
2004-09-24,33,84.43
2004-10-01,37,86.72
2004-10-08,47,86.71
2004-10-15,37,84.85
2004-10-22,33,87.39
2004-10-29,23,89.75
2004-11-05,30,93.28
2004-11-12,38,95.32
2004-11-19,42,94.45
2004-11-26,44,94.72
2004-12-03,28,97.08
2004-12-10,56,96.67
2004-12-17,40,96.2
2004-12-31,50,98.58
2005-01-07,37,95.78
2005-01-14,31,94.1
2005-01-21,29,92.38
2005-01-28,30,92.89
2005-02-04,30,94.51
2005-02-11,26,93.3
2005-02-18,27,93.27
2005-02-25,32,92.8
2005-03-04,22,92.37
2005-03-11,38,91.51
2005-03-18,34,89.28
2005-04-01,38,90.44
2005-04-08,38,87.6
2005-04-15,17,76.7
2005-04-22,33,74.21
2005-04-29,29,76.38
2005-05-06,44,75.26
2005-05-13,33,73.16
2005-05-20,33,76.41
2005-05-27,36,77.1
2005-06-03,29,75.79
2005-06-10,36,74.77
2005-06-17,29,76.39
2005-06-24,30,74.01
2005-07-01,28,74.67
2005-07-08,28,79.3
2005-07-15,33,82.38
2005-07-22,19,84.44
2005-07-29,46,83.46
2005-08-05,23,83.36
2005-08-12,27,82.19
2005-08-19,35,82.76
2005-08-26,47,80.38
2005-09-02,35,79.46
2005-09-09,34,81.44
2005-09-16,15,80.33
2005-09-23,36,78
2005-09-30,34,80.22
