"Date","TSCO","Price"
2005-10-21,83,47.48
2006-02-03,78,63.3
2006-05-05,89,64.93
2006-09-01,59,42.83
2006-12-15,56,45.76
2006-12-22,71,44.2
2006-12-29,57,44.71
2007-01-05,57,47.99
2007-01-12,57,49.26
2007-01-19,47,49.4
2007-01-26,47,48.38
2007-02-02,55,48.02
2007-02-09,45,47.54
2007-02-16,48,48.97
2007-02-23,51,50.76
2007-03-02,78,50.99
2007-03-09,49,53.3
2007-03-16,53,50.72
2007-03-23,88,53.74
2007-03-30,53,51.5
2007-04-13,62,55.9
2007-04-20,43,55.21
2007-04-27,43,52.81
2007-05-04,51,51.33
2007-05-11,59,50.92
2007-05-18,55,51.28
2007-05-25,55,51.6
2007-06-01,40,54.54
2007-06-08,44,52.8
2007-06-15,48,53.62
2007-06-22,52,53
2007-06-29,62,52.05
2007-07-06,49,52.15
2007-07-13,44,52.31
2007-07-20,56,49.52
2007-07-27,56,46.23
2007-08-03,56,46.39
2007-08-10,56,48.98
2007-08-17,49,45.82
2007-08-24,49,48.13
2007-08-31,38,48.16
2007-09-07,39,46.06
2007-09-14,39,47.55
2007-09-21,50,48.43
2007-09-28,59,46.09
2007-10-05,49,48.3
2007-10-12,38,48.15
2007-10-19,41,44.65
2007-10-26,36,41.9
2007-11-02,68,40.74
2007-11-09,33,39.04
2007-11-16,59,39.66
2007-11-23,46,39.7
2007-11-30,57,41.02
2007-12-07,44,40.32
2007-12-14,82,36.86
2007-12-21,78,37.61
2007-12-28,78,35.36
2008-01-04,45,31.93
2008-01-11,44,30.54
2008-01-18,60,29.49
2008-01-25,57,33.01
2008-02-01,75,39.79
2008-02-08,34,40.27
2008-02-15,60,39.73
2008-02-22,59,38.56
2008-02-29,70,37.44
2008-03-07,57,36.44
2008-03-14,80,36.72
2008-03-28,84,39.4
2008-04-04,40,38.71
2008-04-11,51,37.12
2008-04-18,46,36.98
2008-04-25,58,35.96
2008-05-02,59,35.83
2008-05-09,46,33.29
2008-05-16,54,33.9
2008-05-23,53,32.47
2008-05-30,60,34.17
2008-06-06,33,33.32
2008-06-13,37,32.35
2008-06-20,54,31.72
2008-06-27,60,29.57
2008-07-11,50,28.58
2008-07-18,52,30.35
2008-07-25,58,38.08
2008-08-01,66,38.75
2008-08-08,49,41.81
2008-08-15,53,42.23
2008-08-22,74,41.75
2008-08-29,63,42.62
2008-09-05,40,43.6
2008-09-12,54,43.64
2008-09-19,75,45.03
2008-09-26,41,45.49
2008-10-03,77,36.86
2008-10-10,60,38.19
2008-10-17,69,34.67
2008-10-24,61,36.17
2008-10-31,57,41.56
2008-11-07,47,40.87
2008-11-14,100,34.48
2008-11-21,71,34.88
2008-11-28,79,38.38
2008-12-05,78,39.59
2008-12-12,80,38.98
2008-12-19,62,36.59
2008-12-26,79,34.52
2009-01-02,52,36.73
2009-01-09,51,32.46
2009-01-16,75,34.11
2009-01-23,54,33.82
2009-01-30,33,33.71
2009-02-06,50,35.3
2009-02-13,39,32.7
2009-02-20,37,32.53
2009-02-27,74,31.24
2009-03-06,41,29.58
2009-03-13,36,32.44
2009-03-20,39,34.96
2009-03-27,44,36.84
2009-04-03,45,39.34
2009-04-17,52,40.91
2009-04-24,59,39.83
2009-05-01,67,39.06
2009-05-08,47,37.34
2009-05-15,77,35.44
2009-05-22,64,36.53
2009-05-29,44,38.38
2009-06-05,45,41.99
2009-06-12,51,39.9
2009-06-19,53,39.86
2009-06-26,47,41.06
2009-07-10,59,44.99
2009-07-17,78,47.56
2009-07-24,59,47.63
2009-07-31,68,47.97
2009-08-07,53,48.78
2009-08-14,55,46.17
2009-08-21,67,47.08
2009-08-28,63,47.53
2009-09-04,47,47.13
2009-09-11,62,46.08
