"Date","buy.SEE","Price"
2004-02-06,66,49.38
2004-02-13,66,47.48
2004-02-20,66,47.2
2004-02-27,65,49.85
2004-03-05,66,50.46
2004-03-12,68,47.97
2004-03-19,69,48.25
2004-03-26,79,49.07
2004-04-02,90,51.8
2004-04-16,61,49.55
2004-04-23,61,49.66
2004-04-30,62,49.08
2004-05-07,63,48.14
2004-05-14,64,48.57
2004-05-21,59,49.25
2004-05-28,59,50.27
2004-06-04,62,51.18
2004-06-18,60,52.8
2004-06-25,60,52.93
2004-07-02,77,51.06
2004-07-09,73,50.19
2004-07-16,92,49.92
2004-07-23,100,47.87
2004-07-30,67,47.44
2004-08-06,73,46.94
2004-08-13,85,47.16
2004-08-20,97,48.35
2004-08-27,62,48.82
2004-09-03,56,49.87
2004-09-10,61,49.7
2004-09-17,67,45.49
2004-09-24,56,45.7
2004-10-01,61,46.55
2004-10-08,61,46.25
2004-10-15,62,45.55
2004-10-22,63,45.5
2004-10-29,74,49.54
2004-11-05,77,52.49
2004-11-12,66,52.83
2004-11-19,56,50.61
2004-11-26,73,51.75
2004-12-03,59,52.57
2004-12-10,51,51.61
2004-12-17,44,51.95
2004-12-31,60,53.27
2005-01-07,60,50.99
2005-01-14,52,49.36
2005-01-21,48,48.23
2005-01-28,62,47.15
2005-02-04,58,52.25
2005-02-11,76,52.38
2005-02-18,73,53.13
2005-02-25,73,52.93
2005-03-04,73,52.84
2005-03-11,48,51.87
2005-03-18,76,51.66
2005-04-01,66,52.03
2005-04-08,76,52.92
2005-04-15,43,52
2005-04-22,36,50.78
2005-04-29,82,48.44
2005-05-06,71,49.05
2005-05-13,34,47.75
2005-05-20,59,51.7
2005-05-27,43,52.41
2005-06-03,43,51.99
2005-06-10,38,51.42
2005-06-17,67,52.18
2005-06-24,90,49.67
2005-07-01,54,50.04
2005-07-08,47,50.2
2005-07-15,69,50.18
2005-07-22,46,51.4
2005-07-29,64,53.06
2005-08-05,57,53.51
2005-08-12,91,53.31
2005-08-19,63,50.97
2005-08-26,67,50.03
2005-09-02,73,49.99
2005-09-09,62,49.97
2005-09-16,61,48.24
2005-09-23,47,47
2005-09-30,57,47.46
2005-10-07,79,46.41
2005-10-14,51,46.69
2005-10-21,70,46.87
2005-10-28,46,49.51
2005-11-04,56,49.75
2005-11-11,50,50.81
2005-11-18,45,51.89
2005-11-25,49,51.68
2005-12-02,60,52.83
2005-12-09,56,52.72
2005-12-16,63,54.26
2005-12-23,64,55.86
2005-12-30,59,56.17
2006-01-06,43,56.49
2006-01-13,58,54.52
2006-01-20,40,54.99
2006-01-27,51,56
2006-02-03,67,54.26
2006-02-10,44,54.73
2006-02-17,60,56.07
2006-02-24,58,56.56
2006-03-03,41,57.78
2006-03-10,37,57.16
2006-03-17,37,58.75
2006-03-24,39,57.55
2006-03-31,48,57.87
2006-04-07,53,58.06
2006-04-21,48,57.85
2006-04-28,68,53.85
2006-05-05,62,56.2
2006-05-12,57,52.72
2006-05-19,63,50.89
2006-05-26,45,51.44
2006-06-02,37,52.38
2006-06-09,53,51.05
2006-06-16,54,52.01
2006-06-23,56,51.28
2006-06-30,46,52.08
2006-07-07,60,50.8
2006-07-14,46,49.34
2006-07-21,66,49.28
2006-07-28,56,46.9
2006-08-04,48,50
2006-08-11,52,50.01
2006-08-18,55,51.56
2006-08-25,45,50.98
2006-09-01,40,52.63
2006-09-08,31,52.29
2006-09-15,55,52.95
2006-09-22,53,53.16
2006-09-29,52,54.12
2006-10-06,57,55.58
2006-10-13,43,55.25
2006-10-20,42,55.24
2006-10-27,43,59.09
2006-11-03,54,58.9
2006-11-10,44,60.15
2006-11-17,38,60.8
2006-11-24,46,60.39
2006-12-01,54,59.15
2006-12-08,53,63.09
2006-12-15,46,63.11
2006-12-22,52,63.63
2006-12-29,50,64.92
2007-01-05,57,63.89
2007-01-12,48,65.34
2007-01-19,53,65.7
2007-01-26,51,64.14
2007-02-02,40,65.79
2007-02-09,39,64.08
2007-02-16,48,66.25
2007-02-23,68,66.82
2007-03-02,63,63.04
2007-03-09,57,62.61
2007-03-16,59,63.33
2007-03-23,38,32.55
2007-03-30,43,31.6
2007-04-13,61,31.87
2007-04-20,66,32.44
2007-04-27,58,33.21
2007-05-04,61,33.07
2007-05-11,61,33.53
2007-05-18,67,33.28
2007-05-25,76,32.17
2007-06-01,67,32.08
2007-06-08,63,31.15
2007-06-15,64,31.18
2007-06-22,43,31.25
2007-06-29,71,31.02
2007-07-06,74,31.33
2007-07-13,87,31.25
2007-07-20,66,29.9
2007-07-27,73,27.11
2007-08-03,76,25.47
2007-08-10,59,26.43
2007-08-17,70,26.91
2007-08-24,63,26.75
2007-08-31,65,26.45
2007-09-07,55,25.44
2007-09-14,73,25.37
2007-09-21,60,26.12
2007-09-28,38,25.56
2007-10-05,55,27.19
2007-10-12,50,26.54
2007-10-19,57,25.35
2007-10-26,59,24.72
2007-11-02,45,24.32
2007-11-09,50,24.19
2007-11-16,50,23.61
2007-11-23,56,23.18
2007-11-30,60,23.37
2007-12-07,64,23.57
2007-12-14,59,23.45
2007-12-21,62,23.51
2007-12-28,74,23.19
2008-01-04,54,21.74
2008-01-11,57,20.37
2008-01-18,47,22.04
2008-01-25,75,23.25
2008-02-01,38,26.41
2008-02-08,58,26.01
2008-02-15,50,25.78
2008-02-22,57,25.21
2008-02-29,61,24.21
2008-03-07,47,24.2
2008-03-14,43,24.66
2008-03-28,60,25
2008-04-04,60,27.06
2008-04-11,71,25.96
2008-04-18,52,28.11
2008-04-25,61,28.18
2008-05-02,62,24.53
2008-05-09,66,24
2008-05-16,58,25.32
2008-05-23,54,23.37
2008-05-30,55,24.36
2008-06-06,50,22.97
2008-06-13,48,22.63
2008-06-20,53,20.78
2008-06-27,65,19.53
2008-07-11,82,18.7
2008-07-18,70,20.1
2008-07-25,63,21.04
2008-08-01,63,21.71
2008-08-08,71,23.12
2008-08-15,54,23.72
2008-08-22,79,23.16
2008-08-29,49,24.23
2008-09-05,63,23.83
2008-09-12,57,25.01
2008-09-19,53,23.25
2008-09-26,76,23.13
2008-10-03,69,21.35
2008-10-10,52,21.8
2008-10-17,64,19.32
2008-10-24,58,18.95
2008-10-31,65,16.92
2008-11-07,62,16.42
2008-11-14,53,15.99
2008-11-21,51,12.7
2008-11-28,71,15.83
2008-12-05,61,15
2008-12-12,69,14.75
2008-12-19,54,14.85
2008-12-26,63,14.66
2009-01-02,58,15.25
2009-01-09,56,15.11
2009-01-16,56,14.32
2009-01-23,49,13.7
2009-01-30,65,13.55
2009-02-06,57,14.08
2009-02-13,55,12.85
2009-02-20,71,11.48
2009-02-27,62,11.16
2009-03-06,58,10.64
2009-03-13,53,12.59
2009-03-20,68,12.91
2009-03-27,60,14.17
2009-04-03,70,14.92
2009-04-17,54,15.73
2009-04-24,68,17.93
2009-05-01,65,19.15
2009-05-08,67,20.96
2009-05-15,56,18.73
2009-05-22,52,19.65
2009-05-29,72,20.01
2009-06-05,54,19.74
2009-06-12,85,19.12
2009-06-19,76,17.85
2009-06-26,69,17.81
2009-07-10,73,19.12
2009-07-17,60,20.53
2009-07-24,68,21.58
2009-07-31,74,18.39
2009-08-07,80,18.59
2009-08-14,67,18.37
2009-08-21,69,18.78
2009-08-28,73,19.24
2009-09-04,58,18.58
2009-09-11,76,19.05
2009-09-18,76,20.58
2009-09-25,58,19.41
2009-10-02,62,18.78
2009-10-09,79,19.8
2009-10-16,71,20.22
2009-10-23,49,20.24
2009-10-30,71,19.23
2009-11-06,68,20.96
2009-11-13,64,21.8
2009-11-20,77,22.15
2009-11-27,71,22.31
2009-12-04,76,22.62
2009-12-11,71,22.3
2009-12-18,72,21.75
2010-01-08,71,21.68
2010-01-15,64,21.12
2010-01-22,68,20.44
2010-01-29,63,19.84
2010-02-05,71,19.05
2010-02-12,54,19.57
2010-02-19,68,20.17
2010-02-26,52,20.43
2010-03-05,78,20.91
2010-03-12,68,21.1
2010-03-19,61,21.6
2010-03-26,60,21.31
2010-04-09,75,21.7
2010-04-16,77,22.45
2010-04-23,62,23.26
2010-04-30,73,21.5
2010-05-07,60,20.58
2010-05-14,73,21.14
