"Date","NetApp","Price"
2004-02-06,43,22.02
2004-02-13,50,21.7
2004-02-20,44,21.81
2004-02-27,35,21.66
2004-03-05,39,22.12
2004-03-12,46,20.64
2004-03-19,44,19.93
2004-03-26,44,21.17
2004-04-02,44,22.7
2004-04-16,40,21.69
2004-04-23,44,21.85
2004-04-30,47,18.61
2004-05-07,33,19.66
2004-05-14,38,20.53
2004-05-21,30,18.67
2004-05-28,35,19.8
2004-06-04,40,19.29
2004-06-18,45,19.34
2004-06-25,45,21.13
2004-07-02,41,21.04
2004-07-09,51,19.05
2004-07-16,46,17.07
2004-07-23,50,18.21
2004-07-30,51,19.29
2004-08-06,37,16.81
2004-08-13,50,16.85
2004-08-20,46,19.84
2004-08-27,45,20.36
2004-09-03,51,20.1
2004-09-10,35,22.43
2004-09-17,42,22.97
2004-09-24,43,22.94
2004-10-01,37,24.27
2004-10-08,39,23.52
2004-10-15,43,23.65
2004-10-22,47,23.41
2004-10-29,46,24.47
2004-11-05,46,25.69
2004-11-12,30,25.3
2004-11-19,36,28.93
2004-11-26,31,30.35
2004-12-03,47,32.21
2004-12-10,39,33.06
2004-12-17,49,34.07
2004-12-31,29,33.22
2005-01-07,40,30.48
2005-01-14,42,32.04
2005-01-21,48,31.49
2005-01-28,44,31.21
2005-02-04,49,31.92
2005-02-11,46,32.54
2005-02-18,47,31
2005-02-25,43,29.82
2005-03-04,36,30.32
2005-03-11,38,28.71
2005-03-18,44,28
2005-04-01,45,27.25
2005-04-08,43,28.56
2005-04-15,38,25.91
2005-04-22,45,26.57
2005-04-29,40,26.67
2005-05-06,44,28.18
2005-05-13,51,29.3
2005-05-20,40,30.04
2005-05-27,48,28.94
2005-06-03,41,28.77
2005-06-10,46,29.43
2005-06-17,43,30.04
2005-06-24,57,29.03
2005-07-01,46,28.18
2005-07-08,50,27.81
2005-07-15,42,29
2005-07-22,46,27.37
2005-07-29,45,25.51
2005-08-05,46,24.56
2005-08-12,43,23.17
2005-08-19,45,24.63
2005-08-26,53,23.8
2005-09-02,40,23.39
2005-09-09,38,23.32
2005-09-16,42,23.86
2005-09-23,53,24.29
2005-09-30,38,23.74
2005-10-07,55,23.56
2005-10-14,47,25.12
2005-10-21,37,26.5
2005-10-28,50,27.12
2005-11-04,44,28.05
2005-11-11,43,28
