"Date","XEL","Price"
2004-02-06,61,17.22
2004-02-13,40,17.24
2004-02-20,46,17.47
2004-02-27,51,17.47
2004-04-30,44,16.73
2004-05-07,39,16.12
2004-05-14,39,15.8
2004-05-21,40,16.05
2004-05-28,41,16.99
2004-06-04,41,16.73
2004-06-18,40,16.85
2004-06-25,48,17.09
2004-07-02,48,16.67
2004-07-09,56,16.8
2004-07-16,56,17.16
2004-07-23,56,16.56
2004-07-30,49,17.1
2004-08-06,52,17.24
2004-08-13,36,17.23
2004-08-20,36,17.53
2004-08-27,47,17.42
2004-09-03,58,17.54
2004-09-10,51,17.39
2004-09-17,51,17.33
2004-09-24,50,17.36
2004-10-01,50,17.52
2004-10-08,41,17.58
2004-10-15,64,17.44
2004-10-22,36,17.03
2004-10-29,38,17.1
2004-11-05,40,17.65
2004-11-12,53,18.33
2004-11-19,54,18.01
2004-11-26,52,18.31
2004-12-03,37,17.85
2004-12-10,40,17.98
2004-12-17,41,18.34
2004-12-31,53,18.2
2005-01-07,66,17.42
2005-01-14,51,17.95
2005-01-21,45,18.04
2005-01-28,60,18.06
2005-02-04,57,18.41
2005-02-11,53,17.92
2005-02-18,44,17.86
2005-02-25,35,18
2005-03-04,41,17.84
2005-03-11,32,17.66
2005-03-18,44,17.19
2005-04-01,45,17.23
2005-04-08,51,17.12
2005-04-15,38,16.93
2005-04-22,46,17.53
2005-04-29,43,17.18
2005-05-06,52,17.3
2005-05-13,28,17.93
2005-05-20,49,18.13
2005-05-27,46,18.41
2005-06-03,31,18.81
2005-06-10,39,19.16
2005-06-17,40,19.57
2005-06-24,53,19.44
2005-07-01,53,19.66
2005-07-08,44,19.65
2005-07-15,36,19.3
2005-07-22,50,19.26
2005-07-29,43,19.41
2005-08-05,39,19.02
2005-08-12,40,19.14
2005-08-19,42,19.15
2005-08-26,32,19.01
2005-09-02,33,19.49
2005-09-09,44,19.49
2005-09-16,51,19.82
2005-09-23,51,19.73
2005-09-30,40,19.61
2005-10-07,45,19.05
2005-10-14,65,18.2
2005-10-21,55,18.34
2005-10-28,31,18.25
2005-11-04,41,17.98
2005-11-11,47,18.26
2005-11-18,45,18.56
2005-11-25,35,18.89
2005-12-02,36,18.55
2005-12-09,39,18.64
2005-12-16,37,18.9
2005-12-23,51,18.86
2005-12-30,44,18.46
2006-01-06,35,18.72
2006-01-13,44,18.82
2006-01-20,51,19.03
2006-01-27,39,19.45
2006-02-03,47,18.96
2006-02-10,42,18.59
2006-02-17,40,18.93
2006-02-24,37,19.03
2006-03-03,47,18.23
2006-03-10,47,18.19
2006-03-17,45,18.5
2006-03-24,46,18.43
2006-03-31,54,18.15
2006-04-07,39,18.07
2006-04-21,45,18.3
2006-04-28,31,18.84
2006-05-05,29,19.05
2006-05-12,43,18.4
2006-05-19,38,18.25
2006-05-26,38,18.59
2006-06-02,36,19.01
2006-06-09,36,19.55
2006-06-16,43,19.22
2006-06-23,44,18.86
2006-06-30,35,19.18
2006-07-07,46,19.37
2006-07-14,31,19.23
2006-07-21,36,19.78
2006-07-28,39,20.17
2006-08-04,46,20.41
2006-08-11,30,20.48
2006-08-18,40,20.81
2006-08-25,35,20.35
2006-09-01,46,20.77
2006-09-08,29,20.29
2006-09-15,45,20.54
2006-09-22,41,20.67
2006-09-29,31,20.65
2006-10-06,40,20.73
2006-10-13,29,20.89
2006-10-20,30,21.85
2006-10-27,44,21.88
2006-11-03,42,21.94
2006-11-10,39,22.23
2006-11-17,42,22.63
2006-11-24,25,22.69
2006-12-01,41,22.85
2006-12-08,45,22.82
2006-12-15,34,23.32
2006-12-22,51,23.22
2006-12-29,33,23.06
2007-01-05,34,22.98
2007-01-12,54,22.87
2007-01-19,48,22.97
2007-01-26,48,23.17
2007-02-02,37,23.55
2007-02-09,35,24
2007-02-16,44,24.26
2007-02-23,43,24.18
2007-03-02,45,23.29
2007-03-09,51,23.43
2007-03-16,54,23.51
2007-03-23,42,24.55
2007-03-30,45,24.69
2007-04-13,43,24.5
2007-04-20,47,24.66
2007-04-27,44,24.39
2007-05-04,44,24.13
2007-05-11,42,23.67
2007-05-18,35,24.21
2007-05-25,53,22.92
2007-06-01,29,22.76
2007-06-08,52,21.5
2007-06-15,36,21.85
2007-06-22,41,20.8
2007-06-29,45,20.47
2007-07-06,45,20.47
2007-07-13,46,20.98
2007-07-20,69,20.87
2007-07-27,54,20.31
2007-08-03,45,19.8
2007-08-10,44,20.91
2007-08-17,41,20.7
2007-08-24,37,20.98
2007-08-31,39,20.61
2007-09-07,30,20.77
2007-09-14,32,21.06
2007-09-21,32,22.02
2007-09-28,39,21.54
2007-10-05,59,22.08
2007-10-12,49,21.73
2007-10-19,61,21.02
2007-10-26,42,22.1
2007-11-02,46,21.63
2007-11-09,37,22.15
2007-11-16,45,22.15
2007-11-23,39,22.16
2007-11-30,56,23.11
2007-12-07,46,23.42
2007-12-14,39,22.94
2007-12-21,45,23.2
2007-12-28,51,22.72
2008-01-04,73,22.05
2008-01-11,57,22.56
2008-01-18,47,21.31
2008-01-25,64,20.26
2008-02-01,52,21.19
2008-02-08,43,20.61
2008-02-15,59,20.72
2008-02-22,57,20.38
2008-02-29,45,19.82
2008-03-07,50,19.72
2008-03-14,62,19.88
2008-03-28,53,19.87
2008-04-04,46,20.62
2008-04-11,53,20.59
2008-04-18,60,21.06
2008-04-25,56,20.62
2008-05-02,51,21.45
2008-05-09,57,21.15
2008-05-16,53,21.47
2008-05-23,47,21
2008-05-30,53,21.31
2008-06-06,43,20.6
2008-06-13,58,20.71
2008-06-20,49,20.45
2008-06-27,46,19.76
2008-07-11,64,20.31
2008-07-18,51,19.94
2008-07-25,60,19.8
2008-08-01,50,19.89
2008-08-08,52,20.54
2008-08-15,53,20.63
2008-08-22,46,20.66
2008-08-29,52,20.51
2008-09-05,43,20.2
2008-09-12,43,20.56
2008-09-19,55,21.41
2008-09-26,48,20.51
2008-10-03,52,19.35
2008-10-10,48,16.73
2008-10-17,57,16.64
2008-10-24,58,16.71
2008-10-31,59,17.42
2008-11-07,46,17.77
2008-11-14,53,17.98
2008-11-21,50,18.04
2008-11-28,49,18.81
2008-12-05,39,18.18
2008-12-12,59,18
2008-12-19,52,18.35
2008-12-26,59,17.98
2009-01-02,65,18.84
2009-01-09,68,18.24
2009-01-16,61,18.28
2009-01-23,68,18.38
2009-01-30,64,18.46
2009-02-06,57,19.03
2009-02-13,62,18.03
2009-02-20,64,17.73
2009-02-27,66,17.74
2009-03-06,62,16.57
2009-03-13,59,17.2
2009-03-20,66,18.27
2009-03-27,63,18.25
2009-04-03,75,18.16
2009-04-17,53,18.37
2009-04-24,68,18.39
2009-05-01,47,18.39
2009-05-08,61,18.26
2009-05-15,54,17.2
2009-05-22,46,16.94
2009-05-29,52,17.15
2009-06-05,56,17.47
2009-06-12,64,18.24
2009-06-19,66,18.11
2009-06-26,63,18.2
2009-07-10,61,18.09
2009-07-17,63,18.79
2009-07-24,76,19.75
2009-07-31,62,19.94
2009-08-07,60,19.77
2009-08-14,65,19.66
2009-08-21,54,19.87
2009-08-28,57,19.89
2009-09-04,59,19.61
2009-09-11,53,19.47
2009-09-18,57,20.02
2009-09-25,49,19.51
2009-10-02,51,19.2
2009-10-09,48,19.32
2009-10-16,58,19.65
2009-10-23,50,19.45
2009-10-30,60,18.86
2009-11-06,59,19.01
