"Date","CAG","Price"
2004-02-06,23,26.01
2004-02-13,19,26.16
2004-02-20,43,26.49
2004-02-27,41,27.19
2004-03-05,37,27.57
2004-03-12,43,27.44
2004-03-19,28,26.23
2004-03-26,31,26.62
2004-04-02,23,27.47
2004-04-16,36,28.82
2004-04-23,31,29.3
2004-04-30,35,28.89
2004-05-07,26,29.23
2004-05-14,26,28.53
2004-05-21,27,27.66
2004-05-28,23,28.12
2004-06-04,26,27.89
2004-06-18,20,27.54
2004-06-25,29,27.11
2004-07-02,24,26.87
2004-07-09,27,27.52
2004-07-16,33,27.1
2004-07-23,31,26.74
2004-07-30,36,26
2004-08-06,32,25.76
2004-08-13,32,26.01
2004-08-20,33,26.18
2004-08-27,26,26.25
2004-09-03,36,27.14
2004-09-10,22,26.94
2004-09-17,31,26.94
2004-09-24,22,25.84
2004-10-01,25,25.86
2004-10-08,30,25.96
2004-10-15,28,26.1
2004-10-22,34,25.62
2004-10-29,20,26.4
2004-11-05,24,27.29
2004-11-12,27,28.13
2004-11-19,28,27.28
2004-11-26,28,27.2
2004-12-03,30,27.53
2004-12-10,28,26.97
2004-12-17,28,27.52
2004-12-31,23,29.45
2005-01-07,25,28.92
2005-01-14,26,29.2
2005-01-21,38,30
2005-01-28,27,29.25
2005-02-04,36,28.74
2005-02-11,34,28.47
2005-02-18,29,28.53
2005-02-25,35,27.43
2005-03-04,27,28.23
2005-03-11,22,27.76
2005-03-18,30,27.1
2005-04-01,40,26.67
2005-04-08,43,26.85
2005-04-15,27,26.38
2005-04-22,35,26.39
2005-04-29,31,26.75
2005-05-06,30,27.04
2005-05-13,35,26.4
2005-05-20,38,27.34
2005-05-27,35,26.59
2005-06-03,35,25.82
2005-06-10,40,23.71
2005-06-17,27,24.15
2005-06-24,30,23.28
2005-07-01,32,23.17
2005-07-08,32,22.99
2005-07-15,28,23.3
2005-07-22,35,22.93
2005-07-29,35,22.71
2005-08-05,28,22.23
2005-08-12,26,22.68
2005-08-19,29,22.66
2005-08-26,27,22.4
2005-09-02,31,23.39
2005-09-09,28,23.03
2005-09-16,39,22.7
2005-09-23,26,23.18
2005-09-30,31,24.75
2005-10-07,35,24.24
2005-10-14,37,24.02
2005-10-21,35,23.35
2005-10-28,34,23.37
2005-11-04,37,23.29
2005-11-11,37,23.42
2005-11-18,44,22.75
2005-11-25,32,21.94
2005-12-02,38,21.4
2005-12-09,37,20.13
2005-12-16,34,20.51
2005-12-23,31,20.35
2005-12-30,36,20.28
2006-01-06,33,20.43
2006-01-13,37,20.52
2006-01-20,36,20.72
2006-01-27,28,20.81
2006-02-03,36,21.15
2006-02-10,32,20.47
2006-02-17,30,20.61
2006-02-24,40,20.95
2006-03-03,28,21.12
2006-03-10,35,20.82
2006-03-17,35,19.64
2006-03-24,23,20.89
2006-03-31,32,21.46
2006-04-07,35,21.54
2006-04-21,36,21.82
2006-04-28,35,22.68
2006-05-05,34,23
2006-05-12,30,22.75
2006-05-19,31,22.38
2006-05-26,39,22.72
2006-06-02,28,22.67
2006-06-09,40,22.13
2006-06-16,38,22.12
2006-06-23,30,21.81
2006-06-30,31,22.11
2006-07-07,26,21.86
2006-07-14,30,21.91
2006-07-21,31,21.9
2006-07-28,30,21.74
2006-08-04,36,21.87
2006-08-11,31,22.36
2006-08-18,30,22.7
2006-08-25,29,23.72
2006-09-01,41,23.87
2006-09-08,31,23.52
2006-09-15,44,23.35
2006-09-22,38,23.5
2006-09-29,32,24.48
2006-10-06,34,24.99
2006-10-13,33,25.12
2006-10-20,31,25.94
2006-10-27,31,25.95
2006-11-03,38,25.58
2006-11-10,32,25.55
2006-11-17,34,25.22
2006-11-24,39,25.02
2006-12-01,34,25.76
2006-12-08,35,26.06
2006-12-15,38,26.48
2006-12-22,32,27.22
2006-12-29,25,27
2007-01-05,29,27.33
2007-01-12,40,27.05
2007-01-19,40,26.66
2007-01-26,37,26.09
2007-02-02,42,25.8
2007-02-09,40,25.48
2007-02-16,40,25.94
2007-02-23,37,25.53
2007-03-02,44,24.41
2007-03-09,41,25.14
2007-03-16,43,24.35
2007-03-23,42,24.9
2007-03-30,35,24.91
2007-04-13,42,24.72
2007-04-20,39,25.2
2007-04-27,46,24.59
2007-05-04,42,24.67
2007-05-11,39,24.39
2007-05-18,43,25.37
2007-05-25,46,25.66
2007-06-01,42,26.01
2007-06-08,36,25.46
2007-06-15,41,25.8
2007-06-22,39,25.46
2007-06-29,44,26.86
2007-07-06,35,27.24
2007-07-13,32,27.2
2007-07-20,37,26.57
2007-07-27,44,25.74
2007-08-03,33,25.76
2007-08-10,36,25.97
2007-08-17,34,25.15
2007-08-24,42,25.6
2007-08-31,39,25.71
2007-09-07,34,25.52
2007-09-14,45,26.36
2007-09-21,39,26.31
2007-09-28,46,26.13
2007-10-05,37,25.76
2007-10-12,40,24.8
2007-10-19,42,24.1
2007-10-26,44,23.82
2007-11-02,37,23.22
2007-11-09,39,23.16
2007-11-16,45,23.77
2007-11-23,39,23.82
2007-11-30,49,25.02
2007-12-07,41,25.92
2007-12-14,38,25.16
2007-12-21,41,24.14
2007-12-28,39,23.97
2008-01-04,44,22.98
2008-01-11,50,23.68
2008-01-18,43,22.31
2008-01-25,46,21.06
2008-02-01,40,22.06
2008-02-08,48,21
2008-02-15,41,21.72
2008-02-22,40,22.13
2008-02-29,40,22.1
2008-03-07,40,21.25
2008-03-14,43,21.28
2008-03-28,47,24.09
2008-04-04,45,24.6
2008-04-11,44,24.24
2008-04-18,50,24.05
2008-04-25,44,22.91
2008-05-02,43,23.51
2008-05-09,41,22.83
2008-05-16,38,23.76
2008-05-23,40,23.38
2008-05-30,45,23.58
2008-06-06,42,23.29
2008-06-13,37,22.82
2008-06-20,37,22.18
2008-06-27,44,19.67
2008-07-11,46,20.96
2008-07-18,40,20.76
2008-07-25,39,21.62
2008-08-01,39,21.34
2008-08-08,47,21.98
2008-08-15,44,22.58
2008-08-22,41,22.1
2008-08-29,49,21.27
2008-09-05,44,19.66
2008-09-12,38,20.04
2008-09-19,46,19.73
2008-09-26,43,19.73
2008-10-03,39,19.84
2008-10-10,40,17.77
2008-10-17,41,18.17
2008-10-24,38,16.81
2008-10-31,40,17.42
2008-11-07,43,16.71
2008-11-14,43,15.18
2008-11-21,38,14.55
2008-11-28,44,14.75
2008-12-05,38,14.23
2008-12-12,41,14.48
2008-12-19,44,15.98
2008-12-26,40,16.23
2009-01-02,44,16.8
2009-01-09,44,16.73
2009-01-16,44,16.99
2009-01-23,48,17.66
2009-01-30,41,17.1
2009-02-06,45,17.48
2009-02-13,45,16.22
2009-02-20,46,15.66
2009-02-27,49,15.08
2009-03-06,46,14.71
2009-03-13,45,14.81
2009-03-20,42,15.07
2009-03-27,42,16.95
2009-04-03,47,17.1
2009-04-17,41,18.27
2009-04-24,45,17.89
2009-05-01,40,17.95
2009-05-08,39,17.57
2009-05-15,34,17.66
2009-05-22,43,18.44
2009-05-29,41,18.59
2009-06-05,46,19.84
2009-06-12,43,19.46
2009-06-19,39,18.76
2009-06-26,40,19.34
2009-07-10,40,18.69
2009-07-17,40,18.91
2009-07-24,49,19.67
2009-07-31,47,19.63
2009-08-07,42,19.59
2009-08-14,38,19.2
2009-08-21,40,20.21
2009-08-28,47,20.27
2009-09-04,43,20.72
2009-09-11,49,22.22
2009-09-18,41,22.32
2009-09-25,43,21.47
2009-10-02,33,21.41
2009-10-09,41,21.41
2009-10-16,43,21.7
2009-10-23,39,21.56
2009-10-30,38,21
2009-11-06,44,21.4
2009-11-13,38,22.41
2009-11-20,41,22.35
2009-11-27,46,22.18
2009-12-04,39,22.6
2009-12-11,41,22.47
2009-12-18,41,22.16
2010-01-08,41,23.02
2010-01-15,36,23.26
2010-01-22,38,23.14
2010-01-29,38,22.74
2010-02-05,37,22.83
2010-02-12,47,23.4
2010-02-19,40,24.64
2010-02-26,41,24.46
2010-03-05,39,25.29
2010-03-12,42,25.37
2010-03-19,38,25.84
2010-03-26,35,24.64
2010-04-09,42,25.23
2010-04-16,42,24.88
2010-04-23,41,24.91
2010-04-30,40,24.47
2010-05-07,39,23.58
2010-05-14,36,24.37
2010-05-21,44,24.76
2010-05-28,37,24.18
2010-06-04,38,24.21
2010-06-11,39,24.88
2010-06-18,41,24.97
2010-06-25,37,23.92
2010-07-02,35,23.16
2010-07-09,34,23.91
2010-07-16,39,23.66
2010-07-23,42,23.93
2010-07-30,38,23.48
2010-08-06,46,22.21
2010-08-13,44,21.62
2010-08-20,37,21.45
2010-08-27,37,21.74
2010-09-03,40,21.99
2010-09-10,37,21.95
2010-09-17,44,22.09
2010-09-24,46,21.78
2010-10-01,41,22.13
2010-10-08,36,21.87
2010-10-15,40,22.42
2010-10-22,40,22.95
2010-10-29,43,22.49
2010-11-05,40,22.14
2010-11-12,52,22.01
2010-11-19,69,21.48
2010-11-26,51,21.62
2010-12-03,47,22.08
2010-12-10,57,22.33
2010-12-17,51,22.49
2010-12-31,43,22.58
2011-01-07,46,22.61
2011-01-14,50,23.11
2011-01-21,45,23.47
2011-01-28,45,22.44
2011-02-04,48,22.78
2011-02-11,48,22.52
2011-02-18,43,22.76
2011-02-25,49,23
2011-03-04,43,23.16
2011-03-11,43,23.37
2011-03-18,43,22.77
2011-03-25,47,23.83
2011-04-01,45,23.84
2011-04-08,46,23.65
2011-04-15,47,24.69
2011-04-29,43,24.45
2011-05-06,47,25.17
2011-05-13,43,25.52
2011-05-20,39,25.52
2011-05-27,40,25.04
2011-06-03,42,24.47
2011-06-10,39,24.18
2011-06-17,52,24.65
2011-06-24,47,25.2
2011-07-01,45,25.9
2011-07-08,40,26.31
2011-07-15,44,26.37
2011-07-22,43,26.52
2011-07-29,42,25.61
2011-08-05,74,24.44
2011-08-12,66,23.19
2011-08-19,52,23.28
2011-08-26,50,23.91
2011-09-02,43,24.09
2011-09-09,63,23.8
2011-09-16,64,23.93
2011-09-23,52,23.62
2011-09-30,44,24.22
2011-10-07,44,25.03
2011-10-14,45,25.63
2011-10-21,44,25.52
2011-10-28,42,25.27
2011-11-04,42,25.39
2011-11-11,42,24.77
2011-11-18,47,24.28
2011-11-25,49,23.95
2011-12-02,44,25.29
2011-12-09,38,25.7
2011-12-16,40,25.45
2011-12-23,40,26.6
2011-12-30,41,26.4
2012-01-06,45,26.42
2012-01-13,43,26.85
2012-01-20,42,27.06
2012-01-27,41,26.71
2012-02-03,42,26.8
2012-02-10,46,26.65
2012-02-17,47,26.48
2012-02-24,42,26.84
2012-03-02,42,26.14
2012-03-09,38,26.17
2012-03-16,39,26.43
2012-03-23,62,26.05
2012-03-30,54,26.26
2012-04-13,45,25.77
2012-04-20,48,26.25
2012-04-27,46,25.92
2012-05-04,41,25.75
2012-05-11,41,25.74
2012-05-18,41,25.11
2012-05-25,45,25.25
2012-06-01,51,24.59
2012-06-08,45,25.14
2012-06-15,43,24.97
2012-06-22,44,25.35
2012-06-29,45,25.93
2012-07-06,39,25.72
2012-07-13,40,25.28
2012-07-20,43,24.13
2012-07-27,44,24.3
2012-08-03,44,24.57
2012-08-10,45,24.83
2012-08-17,98,24.73
2012-08-24,100,24.85
2012-08-31,94,25.11
2012-09-07,70,25.58
2012-09-14,62,25.59
2012-09-21,52,27.51
2012-09-28,50,27.59
2012-10-05,58,27.79
2012-10-12,52,27.94
2012-10-19,46,28.26
2012-10-26,42,28.21
2012-11-02,46,28.07
2012-11-09,48,27.77
2012-11-16,53,27.74
2012-11-23,55,28.41
2012-11-30,54,29.86
2012-12-07,44,29.75
2012-12-14,48,30.15
2012-12-21,47,29.8
2012-12-28,43,29.2
2013-01-04,42,30.24
2013-01-11,46,30.8
2013-01-18,43,31.7
2013-01-25,42,32.33
2013-02-01,47,33.07
2013-02-08,53,33.38
2013-02-15,52,33.73
2013-02-22,44,33.92
2013-03-01,44,34.3
2013-03-08,49,34.77
2013-03-15,45,34.97
2013-03-22,45,35.13
2013-04-05,46,34.42
2013-04-12,43,35.16
2013-04-19,45,36.06
2013-04-26,47,35.28
2013-05-03,39,35.66
2013-05-10,44,34.86
2013-05-17,41,35.92
2013-05-24,61,34.77
2013-05-31,48,33.69
2013-06-07,46,33.75
2013-06-14,46,34.09
2013-06-21,46,33.25
2013-06-28,48,34.93
2013-07-05,42,35.62
2013-07-12,42,36.58
2013-07-19,39,37.02
2013-07-26,42,36.74
2013-08-02,47,37.04
2013-08-09,46,36.65
2013-08-16,48,34.78
2013-08-23,45,35.08
2013-08-30,47,33.82
2013-09-06,51,33.7
2013-09-13,53,31.88
2013-09-20,47,31
2013-09-27,45,30.27
2013-10-04,49,30.37
2013-10-11,43,30.85
2013-10-18,38,31.17
2013-10-25,41,31.72
2013-11-01,38,31.8
2013-11-08,42,32.64
2013-11-15,42,33
2013-11-22,45,32.68
2013-11-29,45,32.99
2013-12-06,44,33.07
2013-12-13,41,31.67
2013-12-20,41,33.54
2013-12-27,41,33.55
2014-01-03,56,33.49
2014-01-10,48,33.86
2014-01-17,44,33.42
2014-01-24,47,32.75
2014-01-31,45,31.79
2014-02-07,45,30.85
2014-02-14,50,29.36
2014-02-21,48,28.5
2014-02-28,42,28.4
2014-03-07,42,29.47
2014-03-14,40,29.42
2014-03-21,42,30.07
2014-03-28,42,30.69
2014-04-04,41,30.98
2014-04-11,42,30.5
2014-04-25,44,31
