"Date","buy.CAT","Price"
2004-02-06,91,78.5
2004-02-13,52,77.42
2004-02-20,88,76.82
2004-02-27,59,75.75
2004-03-05,65,76.37
2004-03-12,65,74.93
2004-03-19,65,76.3
2004-03-26,89,77.44
2004-04-02,75,81.2
2004-04-16,48,81.97
2004-04-23,48,81.96
2004-04-30,48,77.73
2004-05-07,77,77.12
2004-05-14,57,75.69
2004-05-21,47,73.03
2004-05-28,57,75.35
2004-06-04,52,75.5
2004-06-18,43,74.42
2004-06-25,62,78.15
2004-07-02,59,76.72
2004-07-09,56,77.08
2004-07-16,92,77.81
2004-07-23,74,73.22
2004-07-30,64,73.49
2004-08-06,63,70.25
2004-08-13,61,71.75
2004-08-20,93,72.24
2004-08-27,72,73.7
2004-09-03,98,73.56
2004-09-10,84,75.1
2004-09-17,48,76.12
2004-09-24,47,74.76
2004-10-01,53,80.6
2004-10-08,63,79.5
2004-10-15,68,81.09
2004-10-22,82,77.34
2004-10-29,45,80.54
2004-11-05,54,87.17
2004-11-12,57,89.97
2004-11-19,71,90.18
2004-11-26,63,92.8
2004-12-03,74,90.92
2004-12-10,80,91.62
2004-12-17,90,94.24
2004-12-31,68,97.51
2005-01-07,51,93.38
2005-01-14,67,93.69
2005-01-21,64,89.23
2005-01-28,75,87.46
2005-02-04,72,91.9
2005-02-11,53,92.78
2005-02-18,64,90.84
2005-02-25,59,94.82
2005-03-04,51,99.96
2005-03-11,39,99
2005-03-18,81,96.4
2005-04-01,58,90.15
2005-04-08,80,90.69
2005-04-15,68,83.46
2005-04-22,70,89.81
2005-04-29,69,88.05
2005-05-06,84,90.16
2005-05-13,39,89
2005-05-20,58,93.63
2005-05-27,48,94.31
2005-06-03,31,93.97
2005-06-10,55,97.02
2005-06-17,47,100.2
2005-06-24,56,96.86
2005-07-01,50,95.93
2005-07-08,34,98.7
2005-07-15,51,50.67
2005-07-22,64,52.41
2005-07-29,73,53.91
2005-08-05,57,53.61
2005-08-12,84,54.8
2005-08-19,61,54.82
2005-08-26,61,53.49
2005-09-02,40,58.25
2005-09-09,74,58.86
2005-09-16,67,57.72
2005-09-23,57,58.92
2005-09-30,56,58.75
2005-10-07,63,56.62
2005-10-14,63,54.74
2005-10-21,64,48.92
2005-10-28,46,51.07
2005-11-04,65,53.55
2005-11-11,62,54.87
2005-11-18,71,57.28
2005-11-25,79,57.95
2005-12-02,74,58.81
2005-12-09,61,58.09
2005-12-16,70,59.64
2005-12-23,63,58.51
2005-12-30,65,57.77
2006-01-06,61,60.45
2006-01-13,61,62.33
2006-01-20,65,60.78
2006-01-27,72,67.53
2006-02-03,71,68.13
2006-02-10,57,68.75
2006-02-17,51,72.05
2006-02-24,54,72.7
2006-03-03,65,74.61
2006-03-10,53,70.95
2006-03-17,45,76.23
2006-03-24,49,75.5
2006-03-31,56,71.81
2006-04-07,46,74.92
2006-04-21,59,77.87
2006-04-28,54,75.74
2006-05-05,57,79.98
2006-05-12,55,77.81
2006-05-19,46,72.78
2006-05-26,55,74.42
2006-06-02,44,72.81
2006-06-09,58,67.52
2006-06-16,54,70.55
2006-06-23,60,72.14
2006-06-30,43,74.48
2006-07-07,53,72.58
2006-07-14,49,69.19
2006-07-21,52,68.35
2006-07-28,53,71.21
2006-08-04,59,73.1
2006-08-11,58,67.03
2006-08-18,49,68.31
2006-08-25,54,65.99
2006-09-01,54,67.27
2006-09-08,51,67.32
2006-09-15,43,65.43
2006-09-22,53,62.77
2006-09-29,52,65.8
2006-10-06,53,68.05
2006-10-13,67,69.08
2006-10-20,51,59
2006-10-27,55,61.27
2006-11-03,48,60.43
2006-11-10,45,59.6
2006-11-17,61,60.94
2006-11-24,57,62.87
2006-12-01,62,61.19
2006-12-08,62,63.4
2006-12-15,54,61.82
2006-12-22,55,60.59
2006-12-29,45,61.33
2007-01-05,56,60.22
2007-01-12,43,59.74
2007-01-19,51,59.37
2007-01-26,61,61.09
2007-02-02,52,65.25
2007-02-09,53,64.8
2007-02-16,54,67.67
2007-02-23,45,67.26
2007-03-02,48,63.04
2007-03-09,54,64.4
2007-03-16,51,63.16
2007-03-23,68,66.88
2007-03-30,55,67.03
2007-04-13,63,66.79
2007-04-20,54,71.82
2007-04-27,60,73.76
2007-05-04,66,73.1
2007-05-11,47,74.88
2007-05-18,60,74.77
2007-05-25,40,75.71
2007-06-01,47,78.14
2007-06-08,52,78.52
2007-06-15,49,81.11
2007-06-22,52,80.9
2007-06-29,67,78.3
2007-07-06,59,78.81
2007-07-13,54,85.13
2007-07-20,53,83.2
2007-07-27,73,76.02
2007-08-03,58,78.96
2007-08-10,68,77.55
2007-08-17,64,72.64
2007-08-24,74,76.32
2007-08-31,67,75.77
2007-09-07,59,73.44
2007-09-14,60,73.16
2007-09-21,60,78.16
2007-09-28,63,78.43
2007-10-05,58,80.33
2007-10-12,56,80.3
2007-10-19,62,73.57
2007-10-26,59,75.04
2007-11-02,54,74.76
2007-11-09,57,70.41
2007-11-16,62,69.44
2007-11-23,71,68.63
2007-11-30,68,71.9
2007-12-07,93,74.2
2007-12-14,67,73.39
2007-12-21,63,72.73
2007-12-28,70,73.16
2008-01-04,70,68.53
2008-01-11,64,66.01
2008-01-18,54,62.81
2008-01-25,54,65.93
2008-02-01,71,71.76
2008-02-08,59,68.01
2008-02-15,54,69.95
2008-02-22,68,71.18
2008-02-29,55,72.33
2008-03-07,72,69.84
2008-03-14,58,74.79
2008-03-28,52,77.09
2008-04-04,52,77.83
2008-04-11,54,74.8
2008-04-18,54,85.28
2008-04-25,43,82.25
2008-05-02,61,82.8
2008-05-09,51,81.76
2008-05-16,64,83.7
2008-05-23,56,81.55
2008-05-30,58,82.64
2008-06-06,44,79.99
2008-06-13,54,81.5
2008-06-20,60,79.08
2008-06-27,55,73.75
2008-07-11,62,69.81
2008-07-18,71,70.89
2008-07-25,69,70.48
2008-08-01,73,68.14
2008-08-08,64,70.9
2008-08-15,64,70.35
2008-08-22,72,70.27
2008-08-29,60,70.73
2008-09-05,49,64.07
2008-09-12,64,65.46
2008-09-19,67,66.49
2008-09-26,73,64.13
2008-10-03,75,51.21
2008-10-10,61,43.13
2008-10-17,63,39.32
2008-10-24,81,33.3
2008-10-31,75,38.2
2008-11-07,58,38.45
2008-11-14,59,36.96
2008-11-21,67,34.67
2008-11-28,65,40.99
2008-12-05,68,38.26
2008-12-12,94,42.08
2008-12-19,78,42.69
2008-12-26,77,42.72
2009-01-02,68,46.91
2009-01-09,71,43.2
2009-01-16,74,39.55
2009-01-23,57,35.66
2009-01-30,78,30.85
2009-02-06,76,33.28
2009-02-13,50,30.94
2009-02-20,74,26.66
2009-02-27,63,24.61
2009-03-06,68,23.23
2009-03-13,60,26.78
2009-03-20,63,27.07
2009-03-27,75,30.35
2009-04-03,74,32.15
2009-04-17,56,32.29
2009-04-24,59,33.63
2009-05-01,63,37.26
2009-05-08,57,39.64
2009-05-15,68,35.74
2009-05-22,56,34.31
2009-05-29,62,35.46
2009-06-05,59,38.47
2009-06-12,57,37.73
2009-06-19,67,33.65
2009-06-26,60,34.56
2009-07-10,66,30.53
2009-07-17,61,33.99
2009-07-24,70,42
2009-07-31,72,44.06
2009-08-07,77,47.78
2009-08-14,73,46
2009-08-21,69,47.3
2009-08-28,70,46.71
2009-09-04,72,46.11
2009-09-11,79,48.53
2009-09-18,66,53.42
2009-09-25,77,51.2
2009-10-02,65,48.83
2009-10-09,71,53.64
2009-10-16,71,54.57
2009-10-23,75,57.6
2009-10-30,80,55.06
2009-11-06,65,57.6
2009-11-13,75,58.78
2009-11-20,75,57.95
2009-11-27,88,57.45
2009-12-04,76,58.3
2009-12-11,83,57.51
2009-12-18,75,57.19
2010-01-08,70,60.34
2010-01-15,65,60.12
2010-01-22,66,54.25
2010-01-29,81,52.24
2010-02-05,57,51.75
2010-02-12,63,56.2
2010-02-19,71,58.25
2010-02-26,63,57.05
2010-03-05,71,59.23
2010-03-12,67,60.36
2010-03-19,61,59.37
2010-03-26,73,62.44
2010-04-09,69,65.27
2010-04-16,63,66.88
2010-04-23,67,68.78
2010-04-30,73,68.09
2010-05-07,73,62.1
2010-05-14,73,64.88
2010-05-21,67,60.09
2010-05-28,65,60.76
2010-06-04,59,57.76
2010-06-11,60,60.23
2010-06-18,65,65.85
2010-06-25,69,64.71
2010-07-02,60,59.18
2010-07-09,69,64.72
2010-07-16,74,63.94
2010-07-23,70,69.31
2010-07-30,85,69.75
2010-08-06,76,71.56
2010-08-13,67,68.01
2010-08-20,72,68.86
2010-08-27,82,65.9
2010-09-03,63,70.08
2010-09-10,66,71.26
2010-09-17,81,73.18
2010-09-24,78,79.73
2010-10-01,71,78.22
2010-10-08,69,80.37
2010-10-15,77,79.75
2010-10-22,67,78.33
2010-10-29,86,78.6
2010-11-05,70,83.54
2010-11-12,73,81.04
2010-11-19,83,83.97
2010-11-26,76,84.13
2010-12-03,80,89.38
2010-12-10,80,89.94
2010-12-17,82,92.59
2010-12-31,73,93.66
2011-01-07,73,93.73
2011-01-14,75,94.01
2011-01-21,67,92.75
2011-01-28,71,95.68
2011-02-04,66,99.59
2011-02-11,65,103.54
2011-02-18,73,105.86
2011-02-25,66,102
2011-03-04,72,103.04
2011-03-11,65,100.02
2011-03-18,63,105.06
2011-03-25,67,109.09
2011-04-01,72,113.12
2011-04-08,71,109.82
2011-04-15,75,107.21
2011-04-29,75,115.41
2011-05-06,67,110.34
2011-05-13,76,106.33
2011-05-20,70,104.33
2011-05-27,78,104.6
2011-06-03,74,101.1
2011-06-10,68,96.79
2011-06-17,68,95.95
2011-06-24,67,100.01
2011-07-01,74,108.62
2011-07-08,73,110.41
2011-07-15,77,109.36
