"Date","Varian.Medical.Systems","Price"
2006-02-03,88,59.9
2007-03-23,49,48.17
2007-03-30,52,47.69
2007-04-13,57,45.38
2007-04-20,60,45.39
2007-04-27,62,41.66
2007-06-15,44,40.97
2007-06-22,49,40.35
2007-06-29,54,42.51
2007-07-06,58,43.91
2007-07-13,63,44.47
2007-07-20,58,43.6
2007-07-27,58,41.67
2007-08-03,58,41.36
2007-08-10,41,41.98
2007-08-17,41,41.95
2007-08-24,41,41.74
2007-08-31,41,40.39
2007-09-07,41,40.47
2007-09-14,43,39.41
2007-09-21,45,39.28
2007-09-28,47,41.89
2007-10-05,39,44.35
2007-10-12,47,41.9
2007-10-19,55,41.09
2007-10-26,63,48.41
2007-11-02,39,48.6
2007-11-09,39,49.37
2007-11-16,39,49.31
2008-01-18,51,51.33
2008-01-25,47,51.82
2008-02-01,38,53.59
2008-02-08,38,51.43
2008-02-15,41,52.61
2008-02-22,36,52.97
2008-02-29,36,52.45
2008-03-07,45,48.45
2008-03-14,32,45.53
2008-03-28,43,47.18
2008-04-04,48,49.78
2008-04-11,48,46.96
2008-04-18,48,45.43
2008-04-25,42,47.7
2008-05-02,42,46.9
2008-05-09,42,45.89
2008-05-16,38,45.95
2008-05-23,34,45.64
2008-05-30,32,47.54
2008-06-06,40,47.78
2008-06-13,35,51.33
2008-07-25,36,58.78
2008-08-01,32,59.15
2008-08-08,32,63.9
2008-08-15,38,64.97
2008-08-22,44,64.15
2008-08-29,37,63.16
2008-09-05,40,62.84
2008-09-12,43,63.03
2008-09-19,46,60.54
2008-09-26,29,61.18
2008-10-03,46,54.56
2008-10-10,62,39.05
2008-10-17,31,43.11
2008-10-24,38,41.76
2008-10-31,54,45.51
2008-11-07,70,43.2
2008-11-14,29,40.69
2008-11-21,42,35.06
2008-11-28,27,40.36
2008-12-05,48,39.35
2008-12-12,43,36.5
2008-12-19,27,34.6
2008-12-26,27,34
2009-01-02,28,36.28
2009-01-09,29,32.29
2009-01-16,32,35.63
2009-01-23,35,33.16
2009-01-30,30,37.13
2009-02-06,49,38.89
2009-02-13,29,37.17
2009-02-20,37,34.57
2009-02-27,32,30.51
2009-03-06,34,27.73
2009-03-13,36,31.3
2009-03-20,39,28.78
2009-03-27,28,30.87
2009-04-03,48,29.77
2009-04-17,42,34.83
2009-04-24,55,33.92
2009-05-01,68,33.28
2009-05-08,55,35.83
2009-05-15,47,35.01
2009-05-22,35,35.4
2009-05-29,44,35.76
2009-06-05,53,36.18
2009-06-12,30,37.84
2009-06-19,46,37.37
2009-06-26,27,35.68
2009-07-10,71,31.64
2009-07-17,47,32.79
2009-07-24,45,35.2
2009-07-31,100,35.27
2009-08-07,55,36.17
2009-08-14,45,36.8
2009-08-21,49,40.04
2009-08-28,41,40.83
2009-09-04,31,42.9
2009-09-11,52,43.75
2009-09-18,37,43.21
2009-09-25,32,41.6
2009-10-02,36,40.01
2009-10-09,47,40.09
2009-10-16,52,41.36
2009-10-23,43,41.63
2009-10-30,49,40.98
2009-11-06,45,43.49
2009-11-13,38,45.22
2009-11-20,34,45.61
2009-11-27,25,46.83
2009-12-04,31,46.03
2009-12-11,36,46
2009-12-18,26,44.98
2010-01-08,31,47.39
2010-01-15,38,48.35
2010-01-22,50,48.5
2010-01-29,62,50.29
2010-02-05,42,47.77
2010-02-12,40,47.58
2010-02-19,43,48.36
2010-02-26,34,48.97
2010-03-05,27,52.38
2010-03-12,42,52.84
2010-03-19,45,53.3
2010-03-26,35,55.65
2010-04-09,32,55.37
2010-04-16,38,56.41
2010-04-23,42,55.44
2010-04-30,44,56.38
2010-05-07,42,50.93
2010-05-14,41,52.83
2010-05-21,54,48.52
2010-05-28,40,50.09
2010-06-04,36,49.5
2010-06-11,36,50.47
2010-06-18,42,53.38
