"Date","TECO.Energy","Price"
2007-02-09,77,17
2007-02-16,82,16.74
2007-02-23,88,16.93
2007-04-20,81,18.01
2007-07-13,76,17.67
2007-08-31,59,15.84
2008-02-08,72,16.22
2008-02-15,50,15.44
2008-02-22,50,15.37
2008-02-29,50,14.98
2008-03-07,50,14.96
2008-03-14,50,14.9
2008-03-28,46,15.6
2008-04-04,45,16.3
2008-04-11,45,16.22
2008-04-18,45,16.69
2008-04-25,57,16.76
2008-05-02,70,16.64
2008-05-09,44,19.05
2008-05-16,44,19.36
2008-05-23,44,19.83
2008-05-30,44,20.37
2008-06-06,45,21.29
2008-06-13,45,21.42
2008-06-20,46,21.54
2008-06-27,47,20.88
2008-07-11,50,20.56
2008-07-18,55,19.61
2008-07-25,46,19.22
2008-08-01,45,17.59
2008-08-08,50,17.19
2008-08-15,43,17.28
2008-08-22,43,17.34
2008-08-29,43,17.84
2008-09-05,60,16.17
2008-09-12,77,16.95
2008-09-19,53,17.22
2008-09-26,52,16.84
2008-10-03,56,14.82
2008-10-10,59,12.3
2008-10-17,62,13.96
2008-10-24,42,13.54
2008-10-31,75,11.54
2008-11-07,39,11.99
2008-11-14,49,12.08
2008-11-21,67,11.78
2008-11-28,45,13
2008-12-05,74,11.36
2008-12-12,45,12.11
2008-12-19,60,11.96
2008-12-26,64,11.62
2009-01-02,50,12.71
2009-01-09,62,12.01
2009-01-16,50,12.09
2009-01-23,49,11.89
2009-01-30,87,12.01
2009-02-06,58,12.5
2009-02-13,61,11.26
2009-02-20,76,9.71
2009-02-27,62,9.59
2009-03-06,50,9.27
2009-03-13,80,10.12
2009-03-20,61,11
2009-03-27,43,11.05
2009-04-03,57,11.09
2009-04-17,82,10.6
2009-04-24,47,10.5
2009-05-01,64,11.27
2009-05-08,50,12.2
2009-05-15,69,11.09
2009-05-22,68,10.91
2009-05-29,68,11.22
2009-06-05,58,11.51
2009-06-12,67,12.04
2009-06-19,64,11.96
2009-06-26,54,11.73
2009-07-10,66,11.27
2009-07-17,80,12.09
2009-07-24,60,12.92
2009-07-31,100,13.49
2009-08-07,97,13.33
2009-08-14,73,13.05
2009-08-21,69,13.59
2009-08-28,51,13.43
2009-09-04,86,13.28
2009-09-11,43,13.2
2009-09-18,75,14.07
2009-09-25,63,14.07
2009-10-02,74,13.59
2009-10-09,86,14.32
2009-10-16,38,14.4
2009-10-23,57,14.24
2009-10-30,60,14.34
2009-11-06,79,14.64
2009-11-13,56,14.65
2009-11-20,81,14.54
2009-11-27,46,14.53
2009-12-04,85,15.34
2009-12-11,53,15.88
2009-12-18,87,16.2
2010-01-08,74,16.21
2010-01-15,61,16.32
2010-01-22,63,15.57
2010-01-29,66,15.57
2010-02-05,83,14.93
2010-02-12,75,14.9
2010-02-19,60,15.64
2010-02-26,63,15.33
2010-03-05,87,15.79
2010-03-12,73,15.86
2010-03-19,71,15.9
2010-03-26,66,15.75
2010-04-09,72,16.21
2010-04-16,71,16.34
2010-04-23,56,17
2010-04-30,28,16.93
2010-05-07,75,15.48
2010-05-14,63,16.02
2010-05-21,68,15.04
2010-05-28,63,15.55
2010-06-04,53,14.97
2010-06-11,52,15.65
2010-06-18,48,16.19
2010-06-25,55,15.6
2010-07-02,42,15.11
2010-07-09,48,16.15
2010-07-16,45,16.09
2010-07-23,63,16.66
2010-07-30,67,16.34
2010-08-06,68,17.17
2010-08-13,67,16.14
2010-08-20,45,16.41
2010-08-27,43,17.09
2010-09-03,51,17.45
2010-09-10,52,17.05
2010-09-17,59,16.96
2010-09-24,64,17.48
2010-10-01,57,17.5
2010-10-08,62,17.62
2010-10-15,40,17.53
2010-10-22,50,17.75
2010-10-29,52,17.59
2010-11-05,50,17.59
2010-11-12,64,16.97
