"Date","AMT","Price"
2004-02-06,56,11.8
2004-02-13,45,12
2004-02-20,46,11.15
2004-02-27,48,11.05
2004-03-05,45,11.79
2004-03-12,51,11.03
2004-03-19,48,11.2
2004-03-26,45,10.93
2004-04-02,48,11.69
2004-04-16,52,12.8
2004-04-23,46,13.45
2004-04-30,46,12.45
2004-05-07,47,13.14
2004-05-14,42,13
2004-05-21,36,13.05
2004-05-28,48,13.83
2004-06-04,48,14.05
2004-06-18,47,14.89
2004-06-25,48,15
2004-07-02,49,15.3
2004-07-09,50,15.07
2004-07-16,48,14.94
2004-07-23,43,14.29
2004-07-30,48,14.46
2004-08-06,45,13.69
2004-08-13,50,14.46
2004-08-20,53,14.73
2004-08-27,46,14.92
2004-09-03,50,14.89
2004-09-10,52,15.08
2004-09-17,46,14.95
2004-09-24,49,14.57
2004-10-01,47,15.24
2004-10-08,53,15.58
2004-10-15,47,16.26
2004-10-22,45,16.41
2004-10-29,47,17.19
2004-11-05,42,17.45
2004-11-12,39,18.25
2004-11-19,41,17.79
2004-11-26,41,17.9
2004-12-03,44,18.48
2004-12-10,40,17.5
2004-12-17,43,18.5
2004-12-31,100,18.4
2005-01-07,64,18.24
2005-01-14,54,18.66
2005-01-21,49,18.5
2005-01-28,45,18.23
2005-02-04,42,18.03
2005-02-11,49,17.68
2005-02-18,47,18.61
2005-02-25,48,18.6
2005-03-04,48,18.78
2005-03-11,48,19
2005-03-18,41,18.79
2005-04-01,41,18.15
2005-04-08,41,17.92
2005-04-15,48,17.15
2005-04-22,44,17.09
2005-04-29,42,17.23
2005-05-06,39,17.18
2005-05-13,43,16.66
2005-05-20,44,17.2
2005-05-27,42,17.79
2005-06-03,46,18.68
2005-06-10,48,18.37
2005-06-17,44,19.01
2005-06-24,40,20.36
2005-07-01,44,20.93
2005-07-08,46,21.64
2005-07-15,47,21.44
2005-07-22,59,21.43
2005-07-29,57,22.98
2005-08-05,56,22.63
2005-08-12,55,22.43
2005-08-19,49,23
2005-08-26,45,23.46
2005-09-02,48,23.67
2005-09-09,44,24.79
2005-09-16,46,24.94
2005-09-23,45,23.82
2005-09-30,46,24.95
2005-10-07,42,24.16
2005-10-14,43,23.57
2005-10-21,43,23.38
2005-10-28,42,23.43
2005-11-04,41,25.09
2005-11-11,44,26.36
2005-11-18,40,25.84
2005-11-25,39,26.24
2005-12-02,38,27.98
2005-12-09,39,27.48
2005-12-16,39,27.09
2005-12-23,34,27.03
2005-12-30,33,27.1
2006-01-06,43,28.48
2006-01-13,46,28.85
2006-01-20,43,28.8
2006-01-27,43,29.41
2006-02-03,44,30.72
2006-02-10,53,31.27
2006-02-17,46,31.45
2006-02-24,43,32.21
2006-03-03,41,30.83
2006-03-10,42,30.4
2006-03-17,41,31.16
2006-03-24,40,30.87
2006-03-31,42,30.32
2006-04-07,43,31.7
2006-04-21,37,33.01
2006-04-28,45,34.14
2006-05-05,40,35.35
2006-05-12,41,33.5
2006-05-19,41,30.88
2006-05-26,35,31.54
2006-06-02,40,31.37
2006-06-09,35,29.86
2006-06-16,34,30.12
2006-06-23,38,30.95
2006-06-30,37,31.12
2006-07-07,38,31.47
2006-07-14,39,30.38
2006-07-21,42,31.53
2006-07-28,38,33.53
2006-08-04,39,33.26
2006-08-11,41,34.14
2006-08-18,41,35.61
2006-08-25,41,35.5
2006-09-01,54,35.72
2006-09-08,43,35.14
2006-09-15,39,36.71
2006-09-22,45,36.25
2006-09-29,40,36.5
2006-10-06,36,36.76
2006-10-13,37,37.92
2006-10-20,38,37.45
2006-10-27,37,36.86
2006-11-03,35,37.02
2006-11-10,33,36.06
2006-11-17,34,37.62
2006-11-24,34,38.04
2006-12-01,34,37.65
2006-12-08,32,37.11
2006-12-15,33,36.85
2006-12-22,34,36.16
2006-12-29,25,37.28
2007-01-05,38,37.52
2007-01-12,39,39.79
2007-01-19,34,40
2007-01-26,35,40.02
2007-02-02,36,39.94
2007-02-09,34,39.92
2007-02-16,35,40.32
2007-02-23,34,40.25
2007-03-02,32,37.77
2007-03-09,34,37.83
2007-03-16,34,37.55
2007-03-23,33,39.66
2007-03-30,35,38.95
2007-04-13,33,39.54
2007-04-20,36,39.21
2007-04-27,32,38.64
2007-05-04,29,38.41
2007-05-11,30,39.83
2007-05-18,27,41.31
2007-05-25,30,41.87
2007-06-01,31,42.95
2007-06-08,30,41.62
2007-06-15,33,42.93
2007-06-22,32,41.45
2007-06-29,33,42
2007-07-06,34,43.49
2007-07-13,33,44.42
2007-07-20,33,45.02
2007-07-27,33,40.83
2007-08-03,33,40.12
2007-08-10,32,40.69
2007-08-17,32,39.63
2007-08-24,33,39.64
2007-08-31,34,39.62
2007-09-07,32,38.12
2007-09-14,32,39.56
2007-09-21,33,42.23
2007-09-28,35,43.54
2007-10-05,30,42.75
2007-10-12,31,43.67
2007-10-19,31,41.78
2007-10-26,31,45.28
2007-11-02,31,45.24
2007-11-09,33,42.24
2007-11-16,32,45
2007-11-23,30,44.13
2007-11-30,30,45.54
2007-12-07,34,42.68
2007-12-14,33,40.85
2007-12-21,41,42.18
2007-12-28,29,42.42
2008-01-04,35,39.38
2008-01-11,36,39.03
2008-01-18,34,36.64
2008-01-25,32,36.18
2008-02-01,34,38.65
2008-02-08,33,37.61
2008-02-15,32,38.94
2008-02-22,32,39.8
2008-02-29,31,38.44
2008-03-07,32,36.79
2008-03-14,31,37.39
2008-03-28,27,38.94
2008-04-04,31,40.66
2008-04-11,33,38.94
2008-04-18,30,40.99
2008-04-25,28,43.58
2008-05-02,25,44.26
2008-05-09,28,43.72
2008-05-16,27,45.58
2008-05-23,28,43.5
2008-05-30,31,45.72
2008-06-06,28,41.81
2008-06-13,29,43.2
2008-06-20,29,43.3
2008-06-27,30,41.49
2008-07-11,32,40.05
2008-07-18,31,39.75
2008-07-25,31,41.39
2008-08-01,31,41.63
2008-08-08,31,42.36
2008-08-15,30,42.29
2008-08-22,29,40.91
2008-08-29,31,41.33
2008-09-05,34,38.77
2008-09-12,31,39.34
2008-09-19,30,39.71
2008-09-26,32,38.19
2008-10-03,32,34.63
2008-10-10,30,29.6
2008-10-17,29,33.81
2008-10-24,27,27.13
2008-10-31,28,32.31
2008-11-07,27,30.57
2008-11-14,28,26.64
2008-11-21,25,20.92
2008-11-28,33,27.24
2008-12-05,30,29.62
2008-12-12,30,26.82
2008-12-19,26,29.45
2008-12-26,19,28.28
2009-01-02,22,30.19
2009-01-09,31,28.39
2009-01-16,31,29.07
2009-01-23,31,30.12
2009-01-30,31,30.34
2009-02-06,29,30.2
2009-02-13,30,28.85
2009-02-20,30,26.6
2009-02-27,31,29.12
2009-03-06,28,27.28
2009-03-13,30,29.24
2009-03-20,28,30.6
2009-03-27,28,32.01
2009-04-03,28,34.39
2009-04-17,30,32.9
2009-04-24,27,32.79
2009-05-01,34,30.81
2009-05-08,28,29.48
2009-05-15,27,28.21
2009-05-22,25,29.54
2009-05-29,30,31.87
2009-06-05,27,30.49
2009-06-12,31,30.43
2009-06-19,32,29.65
2009-06-26,29,31.87
2009-07-10,31,30.78
2009-07-17,30,32.22
2009-07-24,31,33.48
2009-07-31,30,34.09
2009-08-07,29,32.27
2009-08-14,34,32.13
2009-08-21,27,33.12
2009-08-28,30,32.11
2009-09-04,29,33.38
2009-09-11,27,35.43
2009-09-18,28,37.63
2009-09-25,29,36.39
2009-10-02,28,35.65
2009-10-09,26,36.68
2009-10-16,26,39.45
2009-10-23,26,38.46
2009-10-30,27,36.82
2009-11-06,27,38.76
2009-11-13,24,39.77
2009-11-20,24,40.64
2009-11-27,25,40.88
2009-12-04,23,41
2009-12-11,23,40.04
2009-12-18,22,42.12
2010-01-08,26,44.38
2010-01-15,27,44
2010-01-22,27,42.18
2010-01-29,25,42.45
2010-02-05,26,40.1
2010-02-12,24,42.62
2010-02-19,25,43.92
2010-02-26,26,42.66
2010-03-05,26,43.41
2010-03-12,26,43.38
2010-03-19,25,44.29
2010-03-26,24,41.65
2010-04-09,26,42.62
2010-04-16,29,41.97
2010-04-23,25,42.37
