"Date","buy.APA","Price"
2008-12-05,78,62.61
2009-03-20,72,64.86
2009-11-27,67,95.75
2009-12-04,72,94.2
2009-12-11,77,94.63
2010-02-26,64,103.64
2010-03-05,59,107.41
2010-03-12,59,106.85
2010-03-19,60,101.68
2010-03-26,61,98.31
2010-04-09,62,106.76
2010-04-16,59,105.44
2010-04-23,59,109.87
2010-04-30,65,101.76
2010-05-07,66,93.53
2010-05-14,66,94.28
2010-07-16,63,82.75
2010-07-23,52,92.79
2010-07-30,52,95.58
2010-08-06,52,95.95
2010-08-13,52,91.26
2010-08-20,49,90.53
2010-08-27,49,89.97
2010-09-03,49,92.62
2010-09-10,51,93.73
2010-09-17,53,94.48
2010-09-24,67,98.13
2010-10-01,46,98.28
2010-10-08,47,101.53
2010-10-15,45,104.14
2010-10-22,45,101.3
2010-10-29,45,101.02
2010-11-05,50,108.69
2010-11-12,49,109.51
2010-11-19,49,109.11
2010-11-26,59,107.19
2010-12-03,100,115.11
2010-12-10,71,114.92
2010-12-17,49,116.45
2010-12-31,46,119.23
2011-01-07,46,123.17
2011-01-14,46,125.63
2011-01-21,46,125.6
2011-01-28,54,114.84
2011-02-04,63,116.84
2011-02-11,44,119.73
2011-02-18,44,120.01
2011-02-25,40,123.53
2011-03-04,84,122.62
2011-03-11,44,118.82
2011-03-18,60,120.11
2011-03-25,56,125.94
2011-04-01,40,129.98
2011-04-08,57,130.16
2011-04-15,53,122.4
2011-04-29,66,133.37
2011-05-06,44,124.21
2011-06-17,44,117.16
2011-07-29,40,123.72
2011-08-05,48,106.7
2011-08-12,56,103.18
2011-08-19,63,97.03
2011-08-26,38,100.29
2011-09-02,41,98.65
2011-09-09,43,95.12
2011-09-16,45,98.2
2011-09-23,47,82.73
2011-09-30,69,80.24
2011-10-07,47,84.84
2011-10-14,59,91.36
2011-10-21,36,94.73
2011-10-28,43,104.99
2011-11-04,52,100.2
2011-11-11,42,104.71
2011-11-18,48,98.56
2011-11-25,81,86.83
2011-12-02,100,96.47
2011-12-09,51,97.48
2011-12-16,48,88.74
2011-12-23,32,91.17
2011-12-30,32,90.58
2012-01-06,32,97.04
2012-01-13,32,92.84
2012-01-20,38,96.8
2012-01-27,38,98
2012-02-03,41,101.15
2012-02-10,41,105.13
2012-02-17,61,109.45
2012-02-24,44,111.57
2012-03-02,48,106.45
2012-03-09,39,107.45
2012-03-16,31,108.98
2012-03-23,54,101.76
2012-03-30,54,100.44
2012-04-13,66,93.65
2012-04-20,53,91.47
2012-04-27,37,94.91
2012-05-04,58,89.06
2012-05-11,50,87.26
2012-05-18,31,80.52
2012-05-25,31,82.38
2012-06-01,38,79.37
2012-06-08,44,82.97
2012-06-15,54,87.8
2012-06-22,65,82.25
2012-06-29,40,87.89
2012-07-06,40,85.53
2012-07-13,40,83.58
2012-07-20,57,85.08
2012-07-27,54,87.57
2012-08-03,54,84.85
2012-08-10,32,87.86
2012-08-17,35,89.06
2012-08-24,51,87.5
2012-08-31,31,85.75
2012-09-07,34,89.9
2012-09-14,69,92.48
2012-09-21,48,88.59
2012-09-28,41,86.47
2012-10-05,47,85.89
2012-10-12,46,85.33
2012-10-19,85,86.87
2012-10-26,40,82.36
2012-11-02,37,81.22
2012-11-09,54,78.56
2012-11-16,51,75.3
2012-11-23,59,77.14
2012-11-30,60,77.09
2012-12-07,87,76.51
2012-12-14,43,77.02
2012-12-21,48,80
2012-12-28,34,77.05
2013-01-04,34,83.2
2013-01-11,34,80.57
2013-01-18,39,81.82
2013-01-25,44,84.15
2013-02-01,62,85.36
2013-02-08,49,84.65
2013-02-15,44,76.85
2013-02-22,38,75.4
2013-03-01,35,73.75
2013-03-08,66,75.65
2013-03-15,62,75.68
2013-03-22,47,74.47
2013-04-05,43,74.2
2013-04-12,35,75.09
2013-04-19,55,68.84
2013-04-26,50,72.27
2013-05-03,51,75.24
2013-05-10,58,83.33
2013-05-17,45,81.3
2013-05-24,32,81.66
2013-05-31,28,82.13
2013-06-07,55,84.73
2013-06-14,30,84.89
2013-06-21,35,85.04
2013-06-28,28,83.83
2013-07-05,47,82.17
2013-07-12,36,82.41
2013-07-19,36,84.98
2013-07-26,36,82.06
2013-08-02,41,82
2013-08-09,33,83.2
2013-08-16,37,78.99
2013-08-23,40,79.8
2013-08-30,40,85.68
2013-09-06,46,86.51
2013-09-13,46,86.81
2013-09-20,62,87.85
2013-09-27,60,86.25
2013-10-04,50,87
2013-10-11,43,87.95
2013-10-18,68,91.26
2013-10-25,49,90.45
2013-11-01,71,89.24
2013-11-08,65,89.8
2013-11-15,52,92.5
2013-11-22,59,94.42
2013-11-29,82,91.49
2013-12-06,73,89.02
2013-12-13,53,86.16
2013-12-20,45,86.41
2013-12-27,26,86.68
2014-01-03,30,85.54
2014-01-10,27,86.2
2014-01-17,27,84.31
2014-01-24,62,82.42
2014-01-31,42,80.26
2014-02-07,41,81.4
2014-02-14,61,83.39
2014-02-21,44,84.56
2014-02-28,52,79.29
2014-03-07,61,80.05
2014-03-14,48,79.23
2014-03-21,50,80.71
2014-03-28,46,83.02
2014-04-04,28,85.47
2014-04-11,67,82.09
2014-04-25,50,87.28
