"Date","buy.CA","Price"
2004-02-06,12,26.59
2004-02-13,25,27.3
2004-02-20,21,26.85
2004-02-27,21,26.56
2004-03-05,23,26.84
2004-03-12,24,26.46
2004-03-19,25,26.01
2004-03-26,24,26.75
2004-04-02,15,28.35
2004-04-16,29,26.33
2004-04-23,22,28.42
2004-04-30,25,26.81
2004-05-07,17,26.3
2004-05-14,16,26.09
2004-05-21,19,25.76
2004-05-28,16,27.06
2004-06-04,21,27.17
2004-06-18,23,27.05
2004-06-25,14,26.73
2004-07-02,22,27.22
2004-07-09,14,25.81
2004-07-16,25,24.63
2004-07-23,28,24.52
2004-07-30,27,25.24
2004-08-06,19,23.76
2004-08-13,21,23
2004-08-20,20,23.85
2004-08-27,26,24.51
2004-09-03,13,24.08
2004-09-10,18,25.09
2004-09-17,17,25.7
2004-09-24,22,27.06
2004-10-01,29,27.18
2004-10-08,27,26.54
2004-10-15,22,26.03
2004-10-22,23,26.74
2004-10-29,16,27.71
2004-11-05,25,28.71
2004-11-12,22,29.7
2004-11-19,28,29.86
2004-11-26,22,30.62
2004-12-03,22,31.51
2004-12-10,21,30.88
2004-12-17,22,30.17
2004-12-31,37,31.06
2005-01-07,31,28.53
2005-01-14,32,28
2005-01-21,20,28.12
2005-01-28,26,26.42
2005-02-04,25,27.84
2005-02-11,21,26.75
2005-02-18,15,26.77
2005-02-25,17,26.95
2005-03-04,20,27.72
2005-03-11,24,27.85
2005-03-18,19,27.69
2005-04-01,31,27.26
2005-04-08,39,27.36
2005-04-15,22,27.2
2005-04-22,21,27.07
2005-04-29,24,26.9
2005-05-06,17,27.82
2005-05-13,28,27.8
2005-05-20,28,28.98
2005-05-27,31,27.3
2005-06-03,28,27
2005-06-10,30,26.94
2005-06-17,32,27.42
2005-06-24,27,27.58
2005-07-01,28,27.36
2005-07-08,24,28.16
2005-07-15,21,29.07
2005-07-22,24,29.23
2005-07-29,32,27.45
2005-08-05,30,27.17
2005-08-12,25,26.92
2005-08-19,31,26.88
2005-08-26,31,26.41
2005-09-02,30,26.84
2005-09-09,30,27.96
2005-09-16,25,27.82
2005-09-23,29,27.69
2005-09-30,25,27.81
2005-10-07,32,26.69
2005-10-14,26,26.87
2005-10-21,27,26.8
2005-10-28,25,27.84
2005-11-04,24,28.96
2005-11-11,35,29.14
2005-11-18,28,28.44
2005-11-25,38,28.82
2005-12-02,25,29.18
2005-12-09,35,28.86
2005-12-16,39,29.03
2005-12-23,41,28.52
2005-12-30,45,28.19
2006-01-06,27,28.64
2006-01-13,30,29.36
2006-01-20,33,29.01
2006-01-27,24,27.45
2006-02-03,34,27.28
2006-02-10,25,27.07
2006-02-17,26,27.08
2006-02-24,27,27.04
2006-03-03,30,27
2006-03-10,24,27.51
2006-03-17,26,27.66
2006-03-24,20,27.21
2006-03-31,26,27.21
2006-04-07,30,26.8
2006-04-21,32,25.76
2006-04-28,29,25.36
2006-05-05,29,25.6
2006-05-12,33,24.43
2006-05-19,25,22.25
2006-05-26,27,22.16
2006-06-02,24,21.63
2006-06-09,28,21.77
2006-06-16,27,21.36
2006-06-23,28,20.89
2006-06-30,33,20.55
2006-07-07,32,20.18
2006-07-14,26,19.21
2006-07-21,28,19.56
2006-07-28,39,20.35
2006-08-04,38,21.83
2006-08-11,35,21.66
2006-08-18,34,23.87
2006-08-25,31,23.38
2006-09-01,38,23.58
2006-09-08,28,23.57
2006-09-15,31,23.5
2006-09-22,25,23.05
2006-09-29,27,23.69
2006-10-06,33,23.95
2006-10-13,37,23.88
2006-10-20,29,25.08
2006-10-27,27,24.51
2006-11-03,28,22.91
2006-11-10,31,23.38
2006-11-17,39,22.45
2006-11-24,36,22.22
2006-12-01,33,21.5
2006-12-08,39,22.35
2006-12-15,37,22.8
2006-12-22,52,22.73
2006-12-29,60,22.65
2007-01-05,39,24.04
2007-01-12,34,24.86
2007-01-19,28,24.41
2007-01-26,31,24.66
2007-02-02,29,26.69
2007-02-09,32,26.69
2007-02-16,34,26.81
2007-02-23,32,27.02
2007-03-02,26,25.49
2007-03-09,32,25.39
2007-03-16,32,25.22
2007-03-23,26,26.77
2007-03-30,32,25.91
2007-04-13,34,26.35
2007-04-20,30,26.65
2007-04-27,34,27.3
2007-05-04,29,28.16
2007-05-11,34,28.01
2007-05-18,33,27.6
2007-05-25,34,26.01
2007-06-01,36,26.19
2007-06-08,32,25.63
2007-06-15,34,25.85
2007-06-22,34,25.76
2007-06-29,39,25.83
2007-07-06,34,25.82
2007-07-13,40,26
2007-07-20,44,26.55
2007-07-27,40,25.23
2007-08-03,42,25.32
2007-08-10,45,24.14
2007-08-17,37,23.73
2007-08-24,38,24.94
2007-08-31,36,25.19
2007-09-07,35,25.14
2007-09-14,35,24.65
2007-09-21,36,25.95
2007-09-28,35,25.72
2007-10-05,42,26.02
2007-10-12,34,26.7
2007-10-19,33,25.6
2007-10-26,33,25.46
2007-11-02,39,27.18
2007-11-09,41,25.73
2007-11-16,34,25.65
2007-11-23,43,24.65
2007-11-30,44,24.49
2007-12-07,38,26.38
2007-12-14,42,26.46
2007-12-21,50,25.72
2007-12-28,67,25.39
2008-01-04,51,23.77
2008-01-11,39,22.48
2008-01-18,38,22.22
2008-01-25,41,21.94
2008-02-01,36,26.31
2008-02-08,39,24.07
2008-02-15,36,23.75
2008-02-22,43,23.3
2008-02-29,37,22.88
2008-03-07,42,22.21
2008-03-14,38,22.07
2008-03-28,40,22.53
2008-04-04,40,23.24
2008-04-11,38,21.79
2008-04-18,36,23.04
2008-04-25,40,22.66
2008-05-02,38,22.86
2008-05-09,39,22.68
2008-05-16,44,25
2008-05-23,39,25.1
2008-05-30,49,26.54
2008-06-06,46,24.94
2008-06-13,54,24.12
2008-06-20,44,23.53
2008-06-27,52,23.28
2008-07-11,52,22.15
2008-07-18,47,23.73
2008-07-25,48,23.41
2008-08-01,50,22.29
2008-08-08,45,23.87
2008-08-15,56,24.63
2008-08-22,47,24.48
2008-08-29,48,23.91
2008-09-05,49,22.1
2008-09-12,48,21.7
2008-09-19,53,21.93
2008-09-26,48,21
2008-10-03,43,19.37
2008-10-10,40,15.84
2008-10-17,48,15.9
2008-10-24,45,14.65
2008-10-31,47,17.8
2008-11-07,43,16.89
2008-11-14,50,17.02
2008-11-21,49,14.96
2008-11-28,52,16.84
2008-12-05,54,16.06
2008-12-12,50,17.45
2008-12-19,59,18.13
2008-12-26,82,18.02
2009-01-02,67,18.9
2009-01-09,54,18.42
2009-01-16,48,18
2009-01-23,44,17.44
2009-01-30,43,17.99
2009-02-06,46,18.56
2009-02-13,48,18.65
2009-02-20,42,17.46
2009-02-27,48,16.95
2009-03-06,50,16.01
2009-03-13,45,16.9
2009-03-20,51,15.95
2009-03-27,45,17.21
2009-04-03,45,18.17
2009-04-17,47,17.95
2009-04-24,46,18.13
2009-05-01,45,17.58
2009-05-08,52,17.53
2009-05-15,47,18.04
2009-05-22,47,17.26
2009-05-29,50,17.45
2009-06-05,49,17.51
2009-06-12,50,17.73
2009-06-19,54,17.22
2009-06-26,50,17.21
2009-07-10,53,16.44
2009-07-17,51,18.03
2009-07-24,48,20.64
2009-07-31,54,21.14
2009-08-07,55,21.99
2009-08-14,58,22.56
2009-08-21,55,22.99
2009-08-28,57,22.6
2009-09-04,52,21.45
2009-09-11,48,22.59
2009-09-18,53,22.51
2009-09-25,50,21.67
2009-10-02,53,21.39
2009-10-09,50,22.79
2009-10-16,50,23.71
2009-10-23,51,21.61
2009-10-30,53,20.92
2009-11-06,48,21.52
2009-11-13,47,22.1
2009-11-20,50,21.86
2009-11-27,58,22
2009-12-04,56,22.65
2009-12-11,57,22.83
2009-12-18,65,22.51
2010-01-08,55,23.11
2010-01-15,51,23.29
2010-01-22,49,22.8
2010-01-29,48,22.04
2010-02-05,51,21.71
2010-02-12,46,21.59
2010-02-19,49,22.51
2010-02-26,48,22.5
2010-03-05,49,22.84
2010-03-12,48,22.78
2010-03-19,46,23.45
2010-03-26,45,23.41
2010-04-09,53,22.94
2010-04-16,46,22.84
2010-04-23,49,23.54
2010-04-30,52,22.82
2010-05-07,53,20.49
2010-05-14,51,20.51
2010-05-21,48,19.89
2010-05-28,49,20.25
2010-06-04,52,19.41
2010-06-11,54,19.66
2010-06-18,51,20.11
2010-06-25,57,19.46
2010-07-02,60,17.96
2010-07-09,58,18.77
2010-07-16,63,19
2010-07-23,59,19.38
2010-07-30,61,19.56
2010-08-06,67,19.82
2010-08-13,65,18.32
2010-08-20,65,18.35
2010-08-27,60,18.3
2010-09-03,61,19.09
2010-09-10,59,19.78
2010-09-17,54,20.44
2010-09-24,55,21.15
2010-10-01,55,21.25
2010-10-08,54,21.82
2010-10-15,51,22.17
2010-10-22,54,22.87
2010-10-29,56,23.2
2010-11-05,52,23.46
2010-11-12,53,23.15
2010-11-19,59,23.16
2010-11-26,72,23.34
2010-12-03,64,24.15
2010-12-10,68,24.14
2010-12-17,74,24.89
2010-12-31,82,24.44
2011-01-07,64,24.64
2011-01-14,60,25.24
2011-01-21,57,25.31
2011-01-28,56,23.38
2011-02-04,59,24.53
2011-02-11,59,25
2011-02-18,59,25.21
2011-02-25,57,24.74
2011-03-04,54,23.98
2011-03-11,60,23.08
