"Date","sell.L","Price"
2006-11-03,100,38.82
2007-07-06,63,52.06
2008-02-29,53,41.84
2008-05-02,68,43.32
2008-05-09,43,46.29
2008-05-16,43,49.41
2008-05-23,43,47.09
2008-05-30,44,49.57
2008-06-06,44,49.95
2008-06-13,44,50.4
2008-06-20,44,49.49
2008-06-27,47,47.52
2008-08-29,43,43.43
2008-09-05,45,42.29
2008-09-12,40,41.85
2008-09-19,40,40.98
2008-09-26,40,42.99
2008-10-03,40,35.82
2008-10-10,39,26.1
2008-10-17,39,31.41
2008-10-24,39,31.31
2008-10-31,39,33.2
2008-11-07,39,30.19
2009-02-13,44,22.82
2009-02-20,49,20.15
2009-02-27,55,19.85
2009-03-06,60,18.13
2009-03-13,40,20.32
2009-03-20,44,22.7
2009-03-27,33,22.34
2009-04-03,41,23.49
2009-04-17,39,25.18
2009-04-24,39,25.02
2009-05-01,32,25.19
2009-05-08,32,29.01
2009-05-15,32,25.21
2009-05-22,35,25.76
2009-05-29,38,27.05
2009-06-05,41,27.69
2009-06-12,44,28.13
2009-06-19,35,27.43
2009-06-26,37,27.17
2009-08-21,49,33.15
2009-08-28,42,34.13
2009-09-04,42,32.82
2009-09-11,33,33.78
2009-09-18,32,34.79
2009-09-25,37,33.52
2009-10-02,41,33.52
2009-10-09,43,34.81
2009-10-16,46,35.89
2009-10-23,28,35.88
2009-10-30,34,33.1
2009-11-06,40,34.6
2009-11-13,47,35.48
2009-11-20,31,35.5
2009-11-27,31,35
2009-12-04,41,35.45
2009-12-11,36,35.58
2009-12-18,28,36.12
2010-01-08,36,37.89
2010-01-15,39,37.21
2010-01-22,28,35.73
2010-01-29,30,35.77
2010-02-05,30,35.37
2010-02-12,31,35.17
2010-02-19,31,36.55
2010-02-26,25,36.46
2010-03-05,38,37.5
2010-03-12,27,37.56
2010-03-19,42,37.17
2010-03-26,32,37.24
2010-04-09,29,38.44
2010-04-16,32,37.8
2010-04-23,32,38.37
2010-04-30,33,37.24
2010-05-07,33,33.6
2010-05-14,33,34.1
2010-05-21,41,31.97
2010-05-28,31,32.51
2010-06-04,31,31.6
2010-06-11,31,32.55
2010-06-18,35,33.9
2010-06-25,39,33.88
2010-07-02,25,33.57
2010-07-09,25,35.7
2010-07-16,24,35.56
2010-07-23,25,37.17
2010-07-30,29,37.15
2010-08-06,42,37.98
2010-08-13,36,37.05
2010-08-20,27,36.29
2010-08-27,33,35.96
2010-09-03,34,36.9
2010-09-10,42,36.51
2010-09-17,38,37.23
2010-09-24,26,37.62
2010-10-01,44,38.02
2010-10-08,39,38.91
2010-10-15,30,39.66
2010-10-22,28,39.7
2010-10-29,34,39.49
2010-11-05,23,40.08
2010-11-12,24,39.23
2010-11-19,25,38.3
2010-11-26,37,37.54
2010-12-03,39,38.13
2010-12-10,37,38.77
2010-12-17,33,38.65
2010-12-31,45,38.91
2011-01-07,46,39.98
2011-01-14,29,40.35
2011-01-21,29,40.23
2011-01-28,35,39.96
2011-02-04,50,41.4
2011-02-11,42,43.03
2011-02-18,30,43.19
2011-02-25,33,42.91
2011-03-04,22,42.77
2011-03-11,28,41.97
2011-03-18,39,42.14
2011-03-25,20,43.04
2011-04-01,32,43.51
2011-04-08,36,43
2011-04-15,21,42.48
2011-04-29,25,44.26
2011-05-06,30,41.72
2011-05-13,38,41.65
2011-05-20,35,41.74
2011-05-27,30,41.84
2011-06-03,58,41.31
2011-06-10,35,40.7
2011-06-17,35,40.56
2011-06-24,28,40.79
2011-07-01,32,42.12
2011-07-08,51,42.36
2011-07-15,32,40.77
2011-07-22,52,40.9
2011-07-29,37,39.87
2011-08-05,34,37.58
2011-08-12,37,36.26
2011-08-19,41,35.25
2011-08-26,41,35.88
2011-09-02,46,36.07
2011-09-09,31,35.96
2011-09-16,29,37.57
2011-09-23,37,34.4
2011-09-30,24,34.55
2011-10-07,32,34.67
2011-10-14,29,36.56
2011-10-21,42,38.66
2011-10-28,23,41.28
2011-11-04,28,39.28
2011-11-11,34,39.5
2011-11-18,32,38.18
2011-11-25,37,35.85
2011-12-02,50,38.25
2011-12-09,30,38.58
2011-12-16,37,36.96
2011-12-23,22,38.22
2011-12-30,35,37.65
2012-01-06,32,37.72
2012-01-13,29,38.23
2012-01-20,36,38.56
2012-01-27,36,37.63
2012-02-03,49,38.61
2012-02-10,44,38.1
2012-02-17,21,38.3
2012-02-24,45,39.14
2012-03-02,42,38.87
2012-03-09,33,38.65
2012-03-16,46,39.48
2012-03-23,43,39.19
2012-03-30,36,39.87
2012-04-13,37,38.91
2012-04-20,32,39.84
2012-04-27,44,41.01
2012-05-04,43,40.77
2012-05-11,41,40.64
2012-05-18,29,38.32
2012-05-25,46,39.22
2012-06-01,25,38.36
2012-06-08,42,39.87
2012-06-15,29,40.46
2012-06-22,53,40.07
2012-06-29,42,40.91
2012-07-06,37,40.5
2012-07-13,42,40.9
2012-07-20,45,40.55
2012-07-27,51,41.7
2012-08-03,46,40.35
2012-08-10,36,40.51
2012-08-17,43,40.48
2012-08-24,40,40.23
2012-08-31,32,40.65
2012-09-07,41,41.18
2012-09-14,37,42.69
2012-09-21,25,41.43
2012-09-28,26,41.26
2012-10-05,47,41.96
2012-10-12,45,41.48
2012-10-19,53,42.51
2012-10-26,32,42.39
2012-11-02,38,42.16
2012-11-09,45,41.13
2012-11-16,34,40.72
2012-11-23,30,41.3
2012-11-30,37,40.88
2012-12-07,51,41.28
2012-12-14,45,40.65
2012-12-21,32,40.9
2012-12-28,33,40.18
2013-01-04,36,42.06
2013-01-11,38,42.65
2013-01-18,40,42.82
2013-01-25,38,43.47
2013-02-01,43,44.08
2013-02-08,31,43.85
2013-02-15,30,43.91
2013-02-22,36,43.68
2013-03-01,42,43.18
2013-03-08,35,43.58
2013-03-15,44,44.6
2013-03-22,43,43.98
2013-04-05,48,43.8
2013-04-12,41,43.99
2013-04-19,38,43.18
2013-04-26,34,44.44
2013-05-03,36,45.42
2013-05-10,48,45.45
2013-05-17,33,46.44
2013-05-24,27,45.95
2013-05-31,43,45.82
2013-06-07,37,45.74
2013-06-14,39,44.58
2013-06-21,34,43.58
2013-06-28,34,44.4
2013-07-05,37,44.87
2013-07-12,37,45.68
2013-07-19,30,46.51
2013-07-26,48,46.05
2013-08-02,48,46.29
2013-08-09,31,46.18
2013-08-16,31,46.41
2013-08-23,47,45.95
2013-08-30,43,44.46
2013-09-06,41,44.69
2013-09-13,38,46.23
2013-09-20,41,47.44
2013-09-27,36,46.95
2013-10-04,31,47.06
2013-10-11,47,48.33
2013-10-18,36,49.07
2013-10-25,37,48.81
2013-11-01,31,48.34
2013-11-08,40,48.57
2013-11-15,51,48.07
2013-11-22,47,48.24
2013-11-29,35,47.35
2013-12-06,43,47.29
2013-12-13,26,46.56
2013-12-20,42,47.62
2013-12-27,42,47.67
2014-01-03,37,47.26
2014-01-10,32,46.86
2014-01-17,41,47.33
2014-01-24,47,44.65
2014-01-31,36,44.59
2014-02-07,54,45.18
2014-02-14,33,44.03
2014-02-21,38,43.5
2014-02-28,32,43.48
2014-03-07,48,45.05
2014-03-14,32,43.97
2014-03-21,39,44.23
2014-03-28,56,43.42
2014-04-04,45,44.7
2014-04-11,27,43.44
2014-04-25,46,44.14
