"Date","E.Trade","Price"
2004-02-06,48,14.15
2004-02-13,44,14.73
2004-02-20,48,14.31
2004-02-27,33,14.31
2004-03-05,61,14.3
2004-03-12,62,12.5
2004-03-19,59,12.66
2004-03-26,46,13.1
2004-04-02,60,13.36
2004-04-16,38,12.32
2004-04-23,42,12.16
2004-04-30,44,11.36
2004-05-07,34,11.11
2004-05-14,41,10.8
2004-05-21,40,10.99
2004-05-28,48,11.41
2004-06-04,38,11.32
2004-06-18,38,10.91
2004-06-25,34,11.25
2004-07-02,43,11.06
2004-07-09,43,10.13
2004-07-16,52,9.99
2004-07-23,41,10.67
2004-07-30,45,11.07
2004-08-06,53,10.5
2004-08-13,39,10.81
2004-08-20,45,11.9
2004-08-27,35,12.13
2004-09-03,36,11.55
2004-09-10,34,12.14
2004-09-17,34,11.89
2004-09-24,46,11.37
2004-10-01,44,11.72
2004-10-08,42,11.27
2004-10-15,43,11.62
2004-10-22,38,12.02
2004-10-29,22,12.9
2004-11-05,32,13.19
2004-11-12,59,14.1
2004-11-19,52,13.95
2004-11-26,36,14.5
2004-12-03,53,14.47
2004-12-10,45,14.8
2004-12-17,48,14.67
2004-12-31,51,14.95
2005-01-07,27,13.65
2005-01-14,50,13.22
2005-01-21,33,13.1
2005-01-28,51,13.55
2005-02-04,44,13
2005-02-11,47,13.39
2005-02-18,42,13.12
2005-02-25,46,13.46
2005-03-04,57,13.61
2005-03-11,44,12.87
2005-03-18,49,12.35
2005-04-01,53,11.8
2005-04-08,34,11.8
2005-04-15,56,11.02
2005-04-22,43,11.03
2005-04-29,45,11.11
2005-05-06,38,11.93
2005-05-13,36,12.1
2005-05-20,44,12.27
2005-05-27,42,12.1
2005-06-03,34,12.4
2005-06-10,41,13.12
2005-06-17,38,13.13
2005-06-24,55,13.63
2005-07-01,61,14.09
2005-07-08,44,15.05
2005-07-15,64,14.93
2005-07-22,49,15.67
2005-07-29,39,15.51
2005-08-05,54,14.86
2005-08-12,61,16.33
2005-08-19,43,16.5
2005-08-26,60,16.08
2005-09-02,49,16.34
2005-09-09,37,17.24
2005-09-16,50,16.93
2005-09-23,42,16.4
2005-09-30,45,17.6
2005-10-07,42,17.26
2005-10-14,47,16.28
2005-10-21,52,17.88
2005-10-28,44,18.07
2005-11-04,47,18.6
2005-11-11,54,19.33
2005-11-18,66,19.18
2005-11-25,52,19.47
2005-12-02,62,20.02
2005-12-09,53,20.15
2005-12-16,63,21.22
2005-12-23,66,21.55
2005-12-30,71,20.86
2006-01-06,74,22.3
2006-01-13,73,22.35
2006-01-20,83,21.5
2006-01-27,90,23.35
2006-02-03,88,23.09
2006-02-10,64,23.41
2006-02-17,72,24.23
2006-02-24,66,25
2006-03-03,57,25.62
2006-03-10,51,24.34
2006-03-17,55,26.33
2006-03-24,59,25.85
2006-03-31,64,26.98
2006-04-07,71,26.94
2006-04-21,58,27.57
2006-04-28,55,24.88
2006-05-05,50,26.11
2006-05-12,50,24.9
2006-05-19,44,24.4
2006-05-26,68,24.35
