"Date","buy.MAS","Price"
2007-11-23,71,21.65
2007-11-30,78,22.4
2007-12-07,85,23.93
2007-12-14,92,21.97
2008-02-22,57,19.27
2008-07-11,71,14.48
2008-07-18,73,16.38
2008-07-25,75,15.83
2008-08-01,77,16.64
2008-08-08,79,17.92
2008-09-26,55,18.98
2008-10-03,64,16.13
2008-10-10,73,13.18
2008-10-17,73,13.08
2008-10-24,73,10.29
2008-10-31,73,10.15
2008-11-07,73,8.8
2008-11-14,70,7.69
2008-11-21,70,7.44
2008-11-28,70,9.58
2008-12-05,45,10.18
2008-12-12,70,10.21
2008-12-19,60,11.67
2008-12-26,77,10.62
2009-01-02,94,11.37
2009-01-09,54,11.3
2009-01-16,47,10.36
2009-01-23,47,9.04
2009-01-30,49,7.82
2009-02-06,51,8.13
2009-02-13,52,6.44
2009-02-20,54,5.66
2009-02-27,55,5.15
2009-03-06,59,3.9
2009-03-13,41,5.09
2009-03-20,41,6.6
2009-03-27,41,7.4
2009-04-03,56,7.66
2009-04-17,53,8.65
2009-04-24,53,10.09
2009-05-01,53,8.99
2009-05-08,53,10.84
2009-05-15,49,9.54
2009-05-22,49,9.96
2009-05-29,49,10.36
2009-06-05,50,10.71
2009-06-12,50,9.93
2009-06-19,51,9.07
2009-06-26,63,9.41
2009-07-10,49,8.35
2009-07-17,50,9.68
2009-07-24,52,11.05
2009-07-31,53,13.93
2009-08-07,74,15.13
2009-08-14,49,14.11
2009-08-21,49,14.36
2009-08-28,49,14.51
2009-09-04,49,13.08
2009-09-11,45,14.18
2009-09-18,41,14.13
2009-09-25,45,12.83
2009-10-02,62,12.1
2009-10-09,58,12.88
2009-10-16,58,13.7
2009-10-23,39,13.54
2009-10-30,42,11.75
2009-11-06,45,12.6
2009-11-13,52,14.01
2009-11-20,58,14.04
2009-11-27,85,13.53
2009-12-04,85,14.6
2009-12-11,69,13.55
2009-12-18,45,13.39
2010-01-08,57,15.58
2010-01-15,36,15
2010-01-22,45,13.91
2010-01-29,60,13.56
2010-02-05,76,14.14
2010-02-12,79,13.81
