"Date","buy.PNR","Price"
2011-10-28,64,36.83
2011-12-16,68,33.19
2011-12-23,68,33.51
2011-12-30,68,33.29
2012-01-06,68,35.25
2012-06-08,62,39.81
2012-06-15,70,38.98
2012-06-22,79,38.59
2012-10-12,56,43.63
2012-10-19,72,42.58
2012-10-26,62,41.09
2012-11-02,64,45.75
2012-11-09,66,44.41
2012-11-16,56,44.84
2012-11-23,54,47.66
2012-11-30,54,48.49
2012-12-07,54,48.04
2012-12-14,54,47.96
2012-12-21,55,48.23
2012-12-28,56,47.51
2013-01-04,47,49.94
2013-01-11,47,50.39
2013-01-18,61,52.58
2013-01-25,75,53.25
2013-02-01,51,51.01
2013-02-08,51,51.05
2013-02-15,45,52.91
2013-02-22,45,51.56
2013-04-05,46,51.99
2013-04-12,45,53.35
2013-04-19,45,50.24
2013-04-26,45,53.8
2013-05-03,51,54.22
2013-05-10,57,55.75
2013-05-17,63,57.82
2013-05-24,50,57.47
2013-05-31,45,58.24
2013-06-07,52,59.05
2013-06-14,59,59.72
2013-06-21,54,56.87
2013-06-28,57,57.69
2013-07-05,60,58.78
2013-07-12,57,60.97
2013-07-19,57,60.74
2013-09-27,48,65.52
2013-10-04,68,66.31
2013-10-11,56,66.39
2013-10-18,78,65.24
2013-10-25,60,66.67
2013-11-01,60,67.48
2013-11-08,67,67.36
2013-11-15,57,70.48
2013-11-22,57,70.37
2013-11-29,46,70.72
2013-12-06,53,70.95
2013-12-13,63,70.01
2013-12-20,56,75.4
2013-12-27,75,77.57
2014-01-03,72,76.63
2014-01-10,40,77.02
2014-01-17,40,77.6
2014-01-24,44,72.22
2014-01-31,40,74.33
2014-02-07,46,76.37
2014-02-14,51,78.38
2014-02-21,48,79.17
2014-02-28,53,80.81
2014-03-07,58,82.81
2014-03-14,63,77.43
2014-03-21,47,78.25
2014-03-28,47,77.66
2014-04-04,57,78.23
2014-04-11,66,77.05
2014-04-25,56,73.83
