"Date","VRSN","Price"
2005-08-05,71,24.94
2005-09-30,49,21.37
2005-10-07,66,19.94
2005-10-14,83,20.69
2005-10-21,100,22.48
2005-10-28,95,22.69
2005-11-04,67,23.35
2005-12-16,63,22.89
2005-12-23,47,22.06
2005-12-30,47,21.9
2006-01-06,47,20.96
2006-01-13,73,21.79
2006-01-20,76,21.81
2006-01-27,79,22.55
2006-02-03,74,23.29
2006-02-10,52,23.7
2006-03-31,37,23.99
2006-04-07,42,24.46
2006-04-21,51,24.43
2006-08-04,41,17.58
2006-08-11,48,17.11
2006-08-18,46,19.41
2006-08-25,46,19.39
2006-09-01,33,20.27
2006-09-08,33,19.48
2006-09-15,33,21.6
2006-12-01,43,25.24
2007-01-12,38,24.52
2007-01-19,26,23.39
2007-01-26,29,23.95
2007-02-02,47,25.55
2007-03-23,30,25.33
2007-03-30,27,25.12
2007-04-13,27,26.34
2007-04-20,27,26.7
2007-04-27,34,27.03
2007-05-04,42,26.25
2007-05-11,25,26.32
2007-05-18,25,26.76
2007-05-25,25,27.25
2007-06-01,36,30.36
2007-06-08,39,29.54
2007-06-15,27,29.32
2007-06-22,23,29.42
2007-06-29,23,31.73
2007-07-06,23,32.6
2007-07-13,23,33.91
2007-07-20,37,32.22
2007-07-27,48,29.51
2007-08-03,48,29.25
2007-08-10,36,29.26
2007-08-17,36,29.67
2007-08-24,30,31.9
2007-08-31,27,32.2
2007-09-07,27,32.49
2007-09-14,28,31.67
2007-09-21,29,33.58
2007-09-28,29,33.74
2007-10-05,30,34.19
2007-10-12,28,34
2007-10-19,31,32.99
2007-10-26,21,34.62
2007-11-02,21,32.42
2007-11-09,19,32.85
2007-11-16,39,36.06
2007-11-23,30,36.75
2007-11-30,32,40.9
2007-12-07,29,39.72
2007-12-14,24,36.31
2007-12-21,24,37.85
2007-12-28,25,37.88
2008-01-04,26,35.82
2008-01-11,31,34.67
2008-01-18,21,33.54
2008-01-25,38,32.41
2008-02-01,40,35.85
2008-02-08,18,33.36
2008-02-15,29,36.21
2008-02-22,19,36.71
2008-02-29,20,34.8
2008-03-07,21,33.76
2008-03-14,19,32.91
2008-03-28,19,33.09
2008-04-04,19,33.97
2008-04-11,19,33.21
2008-04-18,30,34.74
2008-04-25,25,35.24
2008-05-02,24,36.83
2008-05-09,26,37.9
2008-05-16,31,40.26
2008-05-23,45,38.91
2008-05-30,18,40.04
2008-06-06,27,39.91
2008-06-13,26,39.82
2008-06-20,21,39.88
2008-06-27,18,38.24
2008-07-11,21,35.4
2008-07-18,22,34.16
2008-07-25,25,33.13
2008-08-01,31,32.02
2008-08-08,36,30.95
2008-08-15,24,32.45
2008-08-22,22,32.16
2008-08-29,22,31.97
2008-09-05,20,28.67
2008-09-12,18,27.07
2008-09-19,31,28.14
2008-09-26,23,26.44
2008-10-03,15,23.06
2008-10-10,22,22.17
2008-10-17,23,23.13
2008-10-24,22,19.66
2008-10-31,15,21.2
2008-11-07,21,21.25
2008-11-14,19,18.64
2008-11-21,19,17.57
2008-11-28,15,21.59
2008-12-05,15,20.34
2008-12-12,17,21.29
2008-12-19,22,20.96
2008-12-26,20,19.27
2009-01-02,20,20.62
2009-01-09,19,18.7
2009-01-16,19,18.61
2009-01-23,13,18.46
2009-01-30,13,19.31
2009-02-06,31,20.09
2009-02-13,14,19.89
2009-02-20,14,19.3
2009-02-27,13,19.33
2009-03-06,13,20.06
2009-03-13,18,20.17
2009-03-20,19,19.78
2009-03-27,14,19.23
2009-04-03,14,20.16
2009-04-17,15,19.83
2009-04-24,16,19.36
2009-05-01,16,21.29
2009-05-08,17,24.26
2009-05-15,15,22.98
2009-05-22,15,22.72
2009-05-29,15,23.41
2009-06-05,15,23.19
2009-06-12,15,19.24
2009-06-19,13,18.59
2009-06-26,13,19.14
2009-07-10,12,18.06
2009-07-17,22,19.86
2009-07-24,24,20.24
2009-07-31,25,20.44
2009-08-07,26,18.66
2009-08-14,19,20.99
2009-08-21,12,20.94
2009-08-28,13,21.46
