"Date","buy.EBAY","Price"
2004-02-06,30,67.76
2004-02-13,25,68.6
2004-02-20,25,69.27
2004-02-27,32,68.7
2004-03-05,32,69.31
2004-03-12,30,69.13
2004-03-19,27,68.3
2004-03-26,27,66.8
2004-04-02,28,73.77
2004-04-16,32,74.86
2004-04-23,30,82.14
2004-04-30,34,80.03
2004-05-07,33,79.82
2004-05-14,29,78.95
2004-05-21,36,80.34
2004-05-28,27,88.8
2004-06-04,34,88.08
2004-06-18,32,86.5
2004-06-25,35,90.72
2004-07-02,37,91.27
2004-07-09,35,83.78
2004-07-16,38,80.36
2004-07-23,43,75.01
2004-07-30,38,78.33
2004-08-06,41,73.76
2004-08-13,35,77.36
2004-08-20,33,81.37
2004-08-27,37,85.91
2004-09-03,35,89.38
2004-09-10,32,90.07
2004-09-17,37,93.1
2004-09-24,31,89.22
2004-10-01,30,92.44
2004-10-08,40,92.59
2004-10-15,33,93.76
2004-10-22,34,95.91
2004-10-29,29,97.63
2004-11-05,37,99.68
2004-11-12,34,109.89
2004-11-19,41,108.34
2004-11-26,47,111.5
2004-12-03,51,116.41
2004-12-10,44,114.41
2004-12-17,50,114.75
2004-12-31,40,116.34
2005-01-07,37,106.58
2005-01-14,36,105.2
2005-01-21,39,86.05
2005-01-28,37,81.1
2005-02-04,38,75.88
2005-02-11,44,82.07
2005-02-18,42,42.46
2005-02-25,38,42.24
2005-03-04,40,41.75
2005-03-11,38,38.25
2005-03-18,41,35.01
2005-04-01,42,37.07
2005-04-08,38,35.16
2005-04-15,38,31.97
2005-04-22,35,31.51
2005-04-29,39,31.71
2005-05-06,39,33.79
2005-05-13,40,35.06
2005-05-20,35,36.56
2005-05-27,38,38.3
2005-06-03,42,37.8
2005-06-10,38,36.63
2005-06-17,35,38.05
2005-06-24,42,34.37
2005-07-01,40,32.88
2005-07-08,38,34.5
2005-07-15,41,35.08
2005-07-22,40,41.02
2005-07-29,49,41.78
2005-08-05,42,43.34
2005-08-12,39,40.96
2005-08-19,48,40.01
2005-08-26,41,38.97
2005-09-02,39,39.69
2005-09-09,42,38.62
2005-09-16,42,37.1
2005-09-23,38,38.78
2005-09-30,38,41.2
2005-10-07,40,39.9
2005-10-14,39,39.7
2005-10-21,39,39.29
2005-10-28,41,38.43
2005-11-04,42,41.58
2005-11-11,46,43.89
2005-11-18,48,44.67
2005-11-25,57,46.71
2005-12-02,62,45.19
2005-12-09,59,43.42
2005-12-16,65,45.94
2005-12-23,55,44.61
2005-12-30,58,43.22
2006-01-06,51,46.65
2006-01-13,48,45.97
2006-01-20,43,44.97
2006-01-27,42,44.07
2006-02-03,41,40.58
2006-02-10,45,39.53
2006-02-17,44,41.31
2006-02-24,45,41.49
2006-03-03,46,40.37
2006-03-10,44,37.85
2006-03-17,44,38.22
2006-03-24,43,37.3
2006-03-31,45,39
2006-04-07,38,38.26
2006-04-21,42,35.09
2006-04-28,40,34.41
2006-05-05,48,32.39
2006-05-12,43,31.49
2006-05-19,40,29.7
2006-05-26,42,34.2
2006-06-02,48,32.63
2006-06-09,45,30.58
2006-06-16,42,30.28
2006-06-23,40,30
2006-06-30,47,29.29
2006-07-07,45,26.62
2006-07-14,45,25.58
2006-07-21,48,24.48
2006-07-28,48,24.43
2006-08-04,51,24.2
2006-08-11,44,24.2
2006-08-18,50,27.25
2006-08-25,47,25.3
2006-09-01,47,28.15
2006-09-08,47,28.51
2006-09-15,48,27.85
2006-09-22,48,26.11
2006-09-29,51,28.36
2006-10-06,51,29.39
2006-10-13,45,29.75
2006-10-20,49,30.49
2006-10-27,46,32.07
2006-11-03,48,32.39
2006-11-10,52,32.81
2006-11-17,62,33.74
2006-11-24,72,33.39
2006-12-01,68,31.5
2006-12-08,65,31.76
2006-12-15,69,32.92
2006-12-22,59,30.22
2006-12-29,66,30.07
2007-01-05,59,30.78
2007-01-12,52,30
2007-01-19,51,29.66
2007-01-26,53,31.65
2007-02-02,56,32.4
2007-02-09,51,33.51
2007-02-16,54,33.62
2007-02-23,53,33.99
2007-03-02,48,30.83
2007-03-09,53,30.82
2007-03-16,44,31.74
2007-03-23,45,31.83
2007-03-30,48,33.15
2007-04-13,49,34.78
2007-04-20,47,33.52
2007-04-27,48,34.17
2007-05-04,50,34.15
2007-05-11,55,34.2
2007-05-18,49,32.7
2007-05-25,51,32.65
2007-06-01,54,32.27
2007-06-08,56,31.42
2007-06-15,55,32.04
2007-06-22,55,31.76
2007-06-29,55,32.18
2007-07-06,61,33.39
2007-07-13,53,33.95
2007-07-20,63,33.53
2007-07-27,58,32.57
2007-08-03,53,33.32
2007-08-10,57,36
2007-08-17,58,34.14
2007-08-24,61,34.08
2007-08-31,59,34.1
2007-09-07,54,35.25
2007-09-14,54,37.81
2007-09-21,54,39
2007-09-28,58,39.02
2007-10-05,57,38.75
2007-10-12,58,39.9
2007-10-19,60,36.72
2007-10-26,55,36.64
2007-11-02,59,35.02
2007-11-09,66,33.46
2007-11-16,66,32.74
2007-11-23,94,31.94
2007-11-30,93,33.53
2007-12-07,90,33.73
2007-12-14,77,32.7
2007-12-21,74,34.3
2007-12-28,81,33.78
2008-01-04,73,31.3
2008-01-11,63,29.68
2008-01-18,62,28.33
2008-01-25,63,26.83
2008-02-01,59,28.81
2008-02-08,59,28.07
2008-02-15,58,27.79
2008-02-22,60,27.71
2008-02-29,60,26.36
2008-03-07,56,25.78
2008-03-14,60,26.25
2008-03-28,61,30.22
2008-04-04,59,32.94
2008-04-11,60,30.87
2008-04-18,59,31.71
2008-04-25,60,31.3
2008-05-02,62,31.11
2008-05-09,63,30
2008-05-16,63,31.17
2008-05-23,62,30.18
2008-05-30,66,30.01
2008-06-06,67,29.26
2008-06-13,66,28.38
2008-06-20,65,28.17
2008-06-27,66,27.61
2008-07-11,70,28.01
2008-07-18,68,23.98
2008-07-25,67,25.4
2008-08-01,70,24.58
2008-08-08,73,26.36
2008-08-15,72,25.98
2008-08-22,68,25.03
2008-08-29,67,24.93
2008-09-05,71,23.77
2008-09-12,64,22.55
2008-09-19,67,23.17
2008-09-26,65,22.57
2008-10-03,64,18.94
2008-10-10,62,16.73
2008-10-17,67,15.35
2008-10-24,65,14.89
2008-10-31,62,15.27
2008-11-07,65,14.19
2008-11-14,69,12.36
2008-11-21,75,12.01
2008-11-28,88,13.13
2008-12-05,85,13.96
2008-12-12,87,14.27
2008-12-19,82,14.45
2008-12-26,80,13.6
2009-01-02,91,14.66
2009-01-09,72,14.19
2009-01-16,70,13.26
2009-01-23,70,12
2009-01-30,71,12.02
2009-02-06,71,13.63
2009-02-13,66,13.19
2009-02-20,71,12.18
2009-02-27,65,10.87
2009-03-06,67,10.43
2009-03-13,64,11.93
2009-03-20,63,12.09
2009-03-27,65,12.85
2009-04-03,63,14.31
2009-04-17,63,14.39
2009-04-24,61,16.78
2009-05-01,63,16.51
2009-05-08,68,17.38
2009-05-15,65,16.91
2009-05-22,63,17.36
2009-05-29,66,17.62
2009-06-05,68,17.84
2009-06-12,67,17.8
2009-06-19,71,17.28
2009-06-26,65,17.35
2009-07-10,71,16.3
2009-07-17,77,18.55
2009-07-24,74,21.24
2009-07-31,77,21.25
2009-08-07,75,22.55
2009-08-14,76,21.64
2009-08-21,74,22.08
2009-08-28,70,22.46
2009-09-04,68,21.91
2009-09-11,70,23.56
2009-09-18,68,24.34
2009-09-25,66,23.45
2009-10-02,68,22.7
2009-10-09,72,24.42
2009-10-16,72,24.49
2009-10-23,68,23.56
2009-10-30,68,22.27
2009-11-06,67,23.34
2009-11-13,74,23.74
2009-11-20,74,22.79
2009-11-27,91,23.22
2009-12-04,84,23.67
2009-12-11,80,22.7
2009-12-18,76,22.67
2010-01-08,72,23.51
2010-01-15,66,22.47
2010-01-22,69,23.58
2010-01-29,68,23.02
2010-02-05,71,22.71
2010-02-12,70,21.77
2010-02-19,73,23.42
2010-02-26,67,23.02
2010-03-05,67,24.63
2010-03-12,65,25.97
2010-03-19,64,27.19
2010-03-26,69,27.45
2010-04-09,69,26.55
2010-04-16,68,26.33
2010-04-23,68,24.55
2010-04-30,70,23.78
2010-05-07,68,21.48
2010-05-14,70,22.25
2010-05-21,67,21.42
2010-05-28,67,21.41
2010-06-04,70,21.99
2010-06-11,72,22.65
2010-06-18,72,22.16
2010-06-25,71,20.95
2010-07-02,70,19.26
2010-07-09,72,20.29
2010-07-16,72,20.09
2010-07-23,74,21.09
2010-07-30,73,20.91
2010-08-06,76,21.45
2010-08-13,76,21.5
2010-08-20,78,23.37
2010-08-27,76,23.18
2010-09-03,72,24.13
2010-09-10,72,24.1
2010-09-17,72,24.22
2010-09-24,72,24.74
2010-10-01,71,24.46
2010-10-08,72,24.61
2010-10-15,73,25.68
2010-10-22,71,28.07
2010-10-29,72,29.86
2010-11-05,73,30.87
2010-11-12,76,30.14
2010-11-19,82,30.3
2010-11-26,90,31.15
2010-12-03,88,29.61
2010-12-10,88,30.69
2010-12-17,84,29.82
2010-12-31,89,27.83
2011-01-07,83,27.7
2011-01-14,73,29.18
2011-01-21,73,30.02
2011-01-28,72,30.31
2011-02-04,72,32.21
2011-02-11,74,34.51
2011-02-18,68,34.53
2011-02-25,70,33.63
2011-03-04,75,32.01
2011-03-11,69,30.92
2011-03-18,66,30.47
2011-03-25,69,31.7
2011-04-01,73,31.36
2011-04-08,73,31.14
2011-04-15,68,31.61
2011-04-29,70,34.39
2011-05-06,69,32.72
2011-05-13,69,33.57
2011-05-20,67,32.48
2011-05-27,67,30.68
2011-06-03,72,30.3
2011-06-10,71,29.96
2011-06-17,74,28.83
2011-06-24,70,28.35
2011-07-01,69,32.74
2011-07-08,73,33.42
2011-07-15,74,32.81
2011-07-22,73,33.5
