"Date","MYL","Price"
2004-12-03,47,18.35
2005-03-18,40,17.88
2005-04-01,42,17.63
2005-04-08,40,17.45
2005-04-15,40,16.86
2005-04-22,44,16.66
2005-04-29,44,16.5
2005-05-06,45,16.33
2005-05-13,45,16.01
2005-05-20,42,16.13
2005-05-27,40,16.65
2005-06-03,40,16.96
2005-06-10,40,17.4
2005-06-17,40,19.68
2005-06-24,40,19.06
2005-07-01,43,19.06
2005-07-08,51,19.41
2005-07-15,48,19.4
2005-07-22,51,17.52
2005-07-29,58,17.36
2005-08-05,67,17.9
2005-08-12,56,17.89
2005-08-19,56,18.18
2005-08-26,56,17.93
2005-09-02,56,18.35
2005-09-09,56,18.61
2005-09-16,37,18.33
2005-09-23,52,18.05
2005-09-30,49,19.26
2005-10-07,63,20.2
2005-10-14,66,19.79
2005-10-21,38,20.47
2005-10-28,38,20.3
2005-11-04,51,19.99
2005-11-11,52,19.82
2005-11-18,52,20.82
2005-11-25,70,21.15
2005-12-02,33,20.81
2005-12-09,54,20.81
2005-12-16,34,20.96
2005-12-23,43,20.3
2005-12-30,53,19.96
2006-01-06,44,20.65
2006-01-13,69,20.56
2006-01-20,44,20.03
2006-01-27,61,19.85
2006-02-03,49,21.32
2006-02-10,61,21.55
2006-02-17,58,22.58
2006-02-24,54,23.21
2006-03-03,53,22.68
2006-03-10,56,22.94
2006-03-17,59,24.92
2006-03-24,38,24.31
2006-03-31,53,23.4
2006-04-07,63,22.78
2006-04-21,65,21.53
2006-04-28,35,21.84
2006-05-05,34,21.59
2006-05-12,48,20.85
2006-05-19,47,20.58
2006-05-26,65,20.94
2006-06-02,64,20.91
2006-06-09,70,20.42
2006-06-16,64,20.88
2006-06-23,55,20.56
2006-06-30,50,20
2006-07-07,73,19.58
2006-07-14,40,19.31
2006-07-21,51,19.09
2006-07-28,48,22
2006-08-04,47,23.01
2006-08-11,73,19.92
2006-08-18,100,21.03
2006-08-25,59,20.6
2006-09-01,62,20.34
2006-09-08,36,20.24
2006-09-15,49,21.24
2006-09-22,56,20.04
2006-09-29,75,20.13
2006-10-06,65,20.84
2006-10-13,53,21.16
2006-10-20,60,22.07
2006-10-27,64,21.1
2006-11-03,64,20.4
2006-11-10,56,20.64
2006-11-17,52,20.87
2006-11-24,70,20.34
2006-12-01,73,20.34
2006-12-08,66,20.55
2006-12-15,69,20.56
2006-12-22,72,20.09
2006-12-29,65,19.96
2007-01-05,45,20.28
2007-01-12,34,20.8
2007-01-19,56,20.95
2007-01-26,61,21.57
2007-02-02,42,22.61
2007-02-09,48,22.35
2007-02-16,54,22.05
2007-02-23,48,21.82
2007-03-02,43,19.87
2007-03-09,48,19.87
2007-03-16,41,19.42
2007-03-23,47,20.32
2007-03-30,54,21.14
2007-04-13,43,21.75
2007-04-20,43,21.92
2007-04-27,57,22.05
2007-05-04,63,22.29
2007-05-11,54,22.4
2007-05-18,89,19.75
2007-05-25,93,19.68
2007-06-01,70,19.7
2007-06-08,69,18.8
2007-06-15,57,18.55
2007-06-22,60,18.9
2007-06-29,53,18.19
2007-07-06,53,18.05
2007-07-13,84,17.9
2007-07-20,69,17.44
2007-07-27,70,15.8
2007-08-03,67,15.74
2007-08-10,64,14.66
2007-08-17,72,15
2007-08-24,66,15.23
2007-08-31,61,15.1
2007-09-07,64,15.08
2007-09-14,65,15.29
2007-09-21,71,15.35
2007-09-28,60,15.96
2007-10-05,69,16.48
2007-10-12,80,15.69
2007-10-19,73,15.01
2007-10-26,60,15
2007-11-02,67,15.06
2007-11-09,64,15.21
2007-11-16,53,13.65
2007-11-23,92,13.61
2007-11-30,92,14.38
2007-12-07,50,14.14
2007-12-14,52,13.7
2007-12-21,59,13.5
2007-12-28,44,14.05
2008-01-04,58,13.69
2008-01-11,47,15.4
2008-01-18,57,15.1
2008-01-25,46,14.57
2008-02-01,51,14.92
2008-02-08,54,12.98
2008-02-15,48,12.96
2008-02-22,52,12.94
2008-02-29,61,11.84
2008-03-07,65,10.6
2008-03-14,65,11.07
2008-03-28,74,11.49
2008-04-04,63,12.33
2008-04-11,69,12.19
2008-04-18,53,12.51
2008-04-25,63,12.96
2008-05-02,62,13.22
2008-05-09,90,11.42
2008-05-16,83,12.22
2008-05-23,82,12.6
2008-05-30,71,13.35
2008-06-06,86,12.74
2008-06-13,67,12.59
2008-06-20,65,11.99
2008-06-27,77,12.16
2008-07-11,60,11.99
2008-07-18,67,12.83
2008-07-25,64,13.26
2008-08-01,63,12.76
2008-08-08,70,14.02
2008-08-15,81,13.72
2008-08-22,82,13.44
2008-08-29,61,12.89
2008-09-05,75,12.5
2008-09-12,49,11.55
2008-09-19,69,11.8
2008-09-26,57,11.7
2008-10-03,57,10.27
2008-10-10,65,7.22
2008-10-17,55,8.21
2008-10-24,66,6.26
2008-10-31,51,8.57
2008-11-07,79,9.33
2008-11-14,73,9.13
2008-11-21,68,7.82
2008-11-28,55,9.41
2008-12-05,66,9.73
2008-12-12,57,9.31
2008-12-19,67,9.65
2008-12-26,74,9.47
2009-01-02,53,10.02
2009-01-09,55,10.68
2009-01-16,69,11
2009-01-23,54,10.93
2009-01-30,48,11.33
2009-02-06,50,11.81
2009-02-13,65,11.8
2009-02-20,57,12.61
2009-02-27,73,12.43
