"Date","Cerner","Price"
2004-02-06,88,46.09
2004-02-13,68,44.05
2004-02-20,50,43.45
2004-02-27,53,44.76
2004-03-05,55,47.63
2004-03-12,58,45.49
2004-03-19,61,43.64
2004-03-26,75,45.23
2004-04-02,88,44.81
2004-04-16,73,45.05
2004-04-23,49,45.28
2004-04-30,56,42.82
2004-05-07,62,42.1
2004-05-14,66,41.95
2004-05-21,95,39.89
2004-05-28,58,42.78
2004-06-04,63,42.12
2004-06-18,51,44.42
2004-06-25,80,45.03
2004-07-02,59,42.74
2004-07-09,63,43.17
2004-07-16,59,43.18
2004-07-23,90,44.26
2004-07-30,89,45
2004-08-06,50,44.94
2004-08-13,64,43.55
2004-08-20,67,46.05
2004-08-27,73,45.22
2004-09-03,74,43.93
2004-09-10,83,44.08
2004-09-17,54,44.79
2004-09-24,98,42.99
2004-10-01,81,44.61
2004-10-08,77,45.02
2004-10-15,60,46.06
2004-10-22,41,44.37
2004-10-29,50,45.15
2004-11-05,56,46.8
2004-11-12,67,48.92
2004-11-19,66,50.82
2004-11-26,46,52.65
2004-12-03,55,51.73
2004-12-10,99,51.17
2004-12-17,81,52.76
2004-12-31,51,53.17
2005-01-07,43,49.2
2005-01-14,74,48.76
2005-01-21,56,48.44
2005-01-28,61,49.11
2005-02-04,63,52.67
2005-02-11,86,51.43
2005-02-18,58,50.56
2005-02-25,82,52.1
2005-03-04,67,53
2005-03-11,72,50.67
2005-03-18,80,49.89
2005-04-01,65,51.95
2005-04-08,67,55.5
2005-04-15,59,56.18
2005-04-22,84,59.79
2005-04-29,50,58.05
2005-05-06,65,61.47
2005-05-13,59,61.82
2005-05-20,59,63.37
2005-05-27,63,65.8
2005-06-03,100,62.81
2005-06-10,85,63.66
2005-06-17,63,62.81
2005-06-24,69,64.69
2005-07-01,81,67.72
2005-07-08,61,69.75
2005-07-15,69,69.64
2005-07-22,66,75.01
2005-07-29,94,75.42
2005-08-05,86,77.2
2005-08-12,65,78.55
2005-08-19,65,77.16
2005-08-26,54,77.97
2005-09-02,54,78.8
2005-09-09,42,83
2005-09-16,85,82.25
2005-09-23,90,81.59
2005-09-30,78,86.93
2005-10-07,68,83.65
2005-10-14,78,86.51
2005-10-21,70,85.75
2005-10-28,91,83.44
2005-11-04,91,88.12
2005-11-11,60,89.09
2005-11-18,71,96
2005-11-25,54,97.13
2005-12-02,70,96.61
2005-12-09,65,96.11
2005-12-16,80,86.68
2005-12-23,46,93.6
2005-12-30,49,90.91
2006-01-06,58,94.37
2006-01-13,69,46.27
2006-01-20,77,46.06
2006-01-27,79,44.8
2006-02-03,69,44.11
2006-02-10,74,42.96
2006-02-17,81,43.63
2006-02-24,68,41.8
2006-03-03,67,44.35
2006-03-10,68,43.62
2006-03-17,79,47.11
2006-03-24,61,46.68
2006-03-31,99,47.45
2006-04-07,62,46.26
2006-04-21,72,42.58
2006-04-28,71,39.65
2006-05-05,65,41.4
2006-05-12,62,37.1
2006-05-19,53,37.43
2006-05-26,67,36.61
2006-06-02,70,38.38
2006-06-09,66,38.07
2006-06-16,66,38.62
2006-06-23,62,38.08
2006-06-30,70,37.11
2006-07-07,65,36.99
2006-07-14,73,34
2006-07-21,93,39
2006-07-28,46,39.73
2006-08-04,74,42
2006-08-11,80,43.84
2006-08-18,50,46.25
2006-08-25,52,44.92
2006-09-01,60,46.39
2006-09-08,68,45.19
2006-09-15,64,46.33
2006-09-22,71,45.63
2006-09-29,72,45.4
2006-10-06,62,46.46
2006-10-13,64,46.63
2006-10-20,67,46.95
2006-10-27,67,47.66
2006-11-03,61,49.09
2006-11-10,48,49.03
2006-11-17,78,49.07
2006-11-24,37,48.2
2006-12-01,63,47.4
2006-12-08,50,47.67
2006-12-15,58,48.29
2006-12-22,55,46.03
2006-12-29,33,45.5
2007-01-05,50,45.46
2007-01-12,52,46.88
2007-01-19,68,46.02
2007-01-26,68,46.55
2007-02-02,78,50.61
2007-02-09,68,49.85
2007-02-16,65,52.27
2007-02-23,66,54.27
2007-03-02,53,50.67
2007-03-09,49,53.81
2007-03-16,53,55.64
2007-03-23,49,55.64
2007-03-30,54,54.45
2007-04-13,47,55.43
2007-04-20,62,55.09
2007-04-27,50,54.12
2007-05-04,48,53.78
2007-05-11,57,54.1
2007-05-18,47,53.96
2007-05-25,61,57.25
2007-06-01,59,56.66
2007-06-08,56,55.52
2007-06-15,74,55.91
2007-06-22,62,55.78
2007-06-29,58,55.47
2007-07-06,34,58.23
2007-07-13,73,58.51
2007-07-20,68,58.03
2007-07-27,64,53.2
2007-08-03,67,54.25
2007-08-10,76,58.4
2007-08-17,75,57.48
2007-08-24,64,57.46
2007-08-31,66,57.04
2007-09-07,57,55.16
2007-09-14,59,57.82
2007-09-21,65,60.1
2007-09-28,58,59.81
2007-10-05,60,61.41
2007-10-12,62,64.05
2007-10-19,55,59.52
2007-10-26,57,58.2
2007-11-02,72,58.79
2007-11-09,54,53.93
2007-11-16,66,54.14
2007-11-23,49,57.44
2007-11-30,68,59.75
2007-12-07,65,59.35
2007-12-14,52,57.06
2007-12-21,47,57.33
2007-12-28,28,57.58
2008-01-04,39,55.71
2008-01-11,58,57.71
2008-01-18,81,52.71
2008-01-25,61,52.33
2008-02-01,60,47.03
2008-02-08,56,47.87
2008-02-15,56,47.05
2008-02-22,57,45.94
2008-02-29,52,43.45
2008-03-07,51,42
2008-03-14,51,40.22
2008-03-28,53,38.4
2008-04-04,51,38.4
2008-04-11,57,38.05
2008-04-18,49,41.04
2008-04-25,53,46.32
2008-05-02,68,47.19
2008-05-09,56,46.25
2008-05-16,41,47.84
2008-05-23,44,45.91
2008-05-30,48,45.37
2008-06-06,52,47.3
2008-06-13,55,48
2008-06-20,51,48
2008-06-27,51,45.7
2008-07-11,49,44.46
2008-07-18,55,45.23
2008-07-25,62,45.84
2008-08-01,50,44.31
2008-08-08,57,47.1
2008-08-15,61,48.05
2008-08-22,53,47.28
2008-08-29,43,46.05
2008-09-05,50,46.42
2008-09-12,62,46.67
2008-09-19,58,49.34
2008-09-26,43,47.32
2008-10-03,50,40.47
2008-10-10,54,34.98
2008-10-17,54,34.54
2008-10-24,53,33.63
2008-10-31,50,37.23
2008-11-07,44,38.18
2008-11-14,53,36.19
2008-11-21,54,32.08
2008-11-28,39,35.98
2008-12-05,53,34.88
2008-12-12,50,38.66
2008-12-19,37,38
2008-12-26,25,38.54
2009-01-02,36,39.18
2009-01-09,44,36.12
2009-01-16,47,40.1
2009-01-23,42,35.38
2009-01-30,55,33.72
2009-02-06,56,35.88
2009-02-13,62,38.64
2009-02-20,52,37.94
2009-02-27,48,36.6
2009-03-06,62,36.72
2009-03-13,53,42.56
2009-03-20,57,42.97
2009-03-27,52,43.75
2009-04-03,46,43.29
2009-04-17,48,48.02
2009-04-24,53,47.42
2009-05-01,50,52.68
2009-05-08,45,57.03
2009-05-15,49,55.5
2009-05-22,45,56.52
2009-05-29,47,58.29
2009-06-05,47,57.5
2009-06-12,44,59.06
2009-06-19,47,59.67
2009-06-26,43,61.59
2009-07-10,40,57.61
2009-07-17,46,62.79
2009-07-24,45,65.89
2009-07-31,41,65.08
2009-08-07,49,63.82
2009-08-14,39,63.71
2009-08-21,46,64.94
2009-08-28,46,62.73
2009-09-04,43,63.71
2009-09-11,43,66.87
2009-09-18,46,70.93
2009-09-25,52,73.06
2009-10-02,54,72.5
2009-10-09,54,84.41
2009-10-16,57,84.37
2009-10-23,48,82.02
2009-10-30,46,76.04
2009-11-06,45,77.45
2009-11-13,40,80.14
2009-11-20,44,75.84
2009-11-27,36,75.38
2009-12-04,45,77.22
2009-12-11,44,76.95
2009-12-18,33,77.89
2010-01-08,40,90.53
2010-01-15,44,87.04
2010-01-22,47,83.5
2010-01-29,48,75.66
2010-02-05,48,76.54
2010-02-12,44,78.72
2010-02-19,53,81.72
2010-02-26,46,82.95
2010-03-05,50,84.62
2010-03-12,48,85.2
2010-03-19,42,87.19
2010-03-26,41,86.3
2010-04-09,47,88.19
2010-04-16,51,88.53
2010-04-23,38,91.58
2010-04-30,47,84.77
2010-05-07,40,81.97
2010-05-14,42,84.06
2010-05-21,35,83.13
2010-05-28,39,83.71
2010-06-04,34,81.58
2010-06-11,40,79.82
2010-06-18,42,80.62
2010-06-25,48,78.07
2010-07-02,34,76.1
2010-07-09,38,80.23
2010-07-16,55,74.62
2010-07-23,51,76.67
2010-07-30,45,77.45
2010-08-06,45,77.84
2010-08-13,48,76.08
2010-08-20,45,75.34
2010-08-27,37,74.67
2010-09-03,44,77.48
2010-09-10,43,79.63
2010-09-17,46,79.18
2010-09-24,45,79.96
2010-10-01,46,85.03
2010-10-08,55,86.24
2010-10-15,54,86.49
2010-10-22,52,88.11
2010-10-29,50,87.83
2010-11-05,47,87.82
2010-11-12,53,86.72
2010-11-19,49,86.87
2010-11-26,35,88.03
2010-12-03,50,91.22
2010-12-10,46,91.82
2010-12-17,46,97.01
2010-12-31,35,94.74
2011-01-07,41,94.88
2011-01-14,51,96.89
2011-01-21,52,96.39
2011-01-28,51,96.49
2011-02-04,51,98.88
2011-02-11,56,98.71
2011-02-18,46,99.78
2011-02-25,43,100.79
2011-03-04,43,104.29
2011-03-11,50,103.2
2011-03-18,49,103.1
2011-03-25,51,108.98
2011-04-01,52,112.9
2011-04-08,56,109.07
2011-04-15,48,111.72
2011-04-29,47,120.18
2011-05-06,56,119.14
2011-05-13,48,119.28
2011-05-20,55,123.56
2011-05-27,51,120.28
2011-06-03,42,116.27
2011-06-10,53,115.95
2011-06-17,44,117.08
2011-06-24,51,116.04
2011-07-01,52,62.54
2011-07-08,47,64.06
2011-07-15,52,61.9
2011-07-22,59,65.05
