"Date","sell.K","Price"
2007-11-30,81,54.04
2008-06-06,52,50.05
2008-06-13,53,52
2008-06-20,53,51
2008-06-27,54,47.96
2008-07-11,55,50.87
2008-12-19,50,42.63
2008-12-26,52,42.3
2009-01-02,55,45.05
2009-01-09,53,43.54
2009-01-16,56,44.63
2009-01-23,60,44.23
2009-01-30,63,43.69
2009-02-06,67,43.58
2009-02-13,70,41.38
2009-02-20,41,40.17
2009-02-27,41,38.92
2009-03-06,41,37.16
2009-03-13,41,36.99
2009-03-20,42,36.43
2009-03-27,44,36.89
2009-04-03,70,38.01
2009-04-17,63,40.1
2009-04-24,52,38.94
2009-05-01,52,43.4
2009-05-08,52,42.83
2009-05-15,39,43.19
2009-05-22,39,43.68
2009-05-29,39,43.25
2009-06-05,39,43.78
2009-06-12,51,44.55
2009-06-19,47,45.09
2009-06-26,42,46.23
2009-07-10,44,47.24
2009-07-17,44,47.18
2009-07-24,53,47.92
2009-07-31,61,47.5
2009-08-07,69,46.16
2009-08-14,64,46.06
2009-08-21,49,47.35
2009-08-28,49,46.52
2009-09-04,49,47.22
2009-09-11,45,48.39
2009-09-18,51,48.82
2009-09-25,40,49.09
2009-10-02,50,48.66
2009-10-09,50,49.82
2009-10-16,46,50.48
2009-10-23,47,50.2
2009-10-30,48,51.54
2009-11-06,34,52.2
2009-11-13,34,53.37
2009-11-20,43,53.12
2009-11-27,52,52.97
2009-12-04,34,52.96
2009-12-11,34,53.7
2009-12-18,65,52.27
2010-01-08,40,53.38
2010-01-15,35,54.34
2010-01-22,41,54.34
2010-01-29,34,54.42
2010-02-05,34,52.72
2010-02-12,41,52.34
2010-02-19,44,53.2
2010-02-26,48,52.15
2010-03-05,52,52.93
2010-03-12,49,52.49
2010-03-19,34,53.43
2010-03-26,49,53.76
2010-04-09,43,52.81
2010-04-16,46,54.04
2010-04-23,31,53.62
2010-04-30,44,54.94
2010-05-07,47,52.84
2010-05-14,35,54.5
2010-05-21,44,54.08
2010-05-28,35,53.43
2010-06-04,35,53.22
2010-06-11,44,53.66
2010-06-18,48,54.47
2010-06-25,35,52.42
2010-07-02,58,50.67
2010-07-09,70,51.77
2010-07-16,54,51.05
2010-07-23,36,51.1
2010-07-30,51,50.05
2010-08-06,45,50.15
2010-08-13,48,50.64
2010-08-20,57,49.75
2010-08-27,43,50.49
2010-09-03,48,50.41
2010-09-10,51,51.27
2010-09-17,55,50.58
2010-09-24,41,51
2010-10-01,43,50.91
2010-10-08,59,49.97
2010-10-15,54,50.08
2010-10-22,39,49.55
2010-10-29,34,50.26
2010-11-05,52,49.32
2010-11-12,49,48.95
2010-11-19,49,48.98
2010-11-26,61,49.48
2010-12-03,53,49.5
2010-12-10,61,49.78
2010-12-17,38,51.23
2010-12-31,76,51.08
2011-01-07,64,51
2011-01-14,53,51
2011-01-21,58,51.95
2011-01-28,45,50.49
2011-02-04,54,53.42
2011-02-11,50,53.09
2011-02-18,49,53.01
2011-02-25,48,53.15
2011-03-04,66,54.33
2011-03-11,55,55.04
2011-03-18,56,54.17
2011-03-25,48,53.39
2011-04-01,65,54
2011-04-08,40,53.94
2011-04-15,26,55.37
2011-04-29,34,57.27
2011-05-06,40,56.75
2011-05-13,65,57.56
2011-05-20,39,57.14
2011-05-27,39,56.44
2011-06-03,54,54.92
2011-06-10,52,54.89
2011-06-17,64,54.92
2011-06-24,41,54.76
2011-07-01,56,55.4
2011-07-08,72,55.17
2011-07-15,77,55.24
2011-07-22,55,55.91
2011-07-29,32,55.78
2011-08-05,67,53.36
2011-08-12,52,52.89
2011-08-19,59,52.26
2011-08-26,51,53.18
2011-09-02,48,53.61
2011-09-09,46,53.09
2011-09-16,57,53.99
2011-09-23,54,52.6
2011-09-30,54,53.19
2011-10-07,66,53.61
2011-10-14,42,54.84
2011-10-21,60,54.98
2011-10-28,49,54.78
2011-11-04,58,49.91
2011-11-11,66,49.72
2011-11-18,43,49.37
2011-11-25,44,48.75
2011-12-02,53,49.12
2011-12-09,63,49.81
2011-12-16,53,48.77
2011-12-23,87,50.34
2011-12-30,78,50.57
2012-01-06,65,50.51
2012-01-13,69,50.81
2012-01-20,56,51.07
2012-01-27,64,49.73
2012-02-03,45,50.84
2012-02-10,51,49.81
2012-02-17,64,52.53
2012-02-24,53,52.75
2012-03-02,55,52.11
2012-03-09,59,52.44
