"Date","Hess.Corporation","Price"
2006-10-27,70,43.31
2007-03-30,48,55.47
2007-04-13,50,57.87
2007-04-20,51,57.56
2007-04-27,52,57.02
2007-08-10,43,59.24
2007-08-17,43,57.3
2007-08-24,49,59.09
2007-08-31,57,61.37
2007-09-07,59,61.65
2007-09-14,62,63.34
2007-09-21,39,67.85
2007-09-28,45,66.53
2007-10-05,37,66.07
2007-10-12,46,67.62
2007-10-19,41,67.69
2007-10-26,41,70.96
2007-11-02,41,70.58
2007-11-09,38,71.69
2007-11-16,38,67.94
2007-11-23,55,70.26
2007-11-30,54,71.22
2007-12-07,53,78.63
2007-12-14,45,84.98
2007-12-21,40,98
2007-12-28,42,101.98
2008-01-04,43,93.35
2008-01-11,44,91.74
2008-01-18,46,85.48
2008-01-25,42,89.32
2008-02-01,42,92.07
2008-02-08,36,88.96
2008-02-15,32,90.65
2008-02-22,48,93.66
2008-02-29,59,93.18
2008-03-07,31,91.69
2008-03-14,31,99.04
2008-03-28,41,88.37
2008-04-04,46,94.92
2008-04-11,31,92.76
2008-04-18,37,105.25
2008-04-25,37,109.98
2008-05-02,45,106.34
2008-05-09,38,115.74
2008-05-16,34,128.03
2008-05-23,49,125.09
2008-05-30,39,122.81
2008-06-06,37,123.92
2008-06-13,37,125.58
2008-06-20,53,122.55
2008-06-27,38,127.06
2008-07-11,34,111.76
2008-07-18,38,97.85
2008-07-25,48,93.87
2008-08-01,31,101.13
2008-08-08,57,95.87
2008-08-15,45,95.32
2008-08-22,65,106.27
2008-08-29,36,104.71
2008-09-05,37,91.44
2008-09-12,36,92.28
2008-09-19,45,94.78
2008-09-26,33,89.53
2008-10-03,42,72
2008-10-10,60,52.92
2008-10-17,43,50.58
2008-10-24,42,49.94
2008-10-31,42,60.21
2008-11-07,46,61.23
2008-11-14,36,55.53
2008-11-21,36,44.87
2008-11-28,36,54.04
2008-12-05,33,38.49
2008-12-12,37,47.7
2008-12-19,39,47.34
2008-12-26,35,49.05
2009-01-02,30,57.25
2009-01-09,30,55.51
2009-01-16,32,52.98
2009-01-23,43,57.54
2009-01-30,39,55.61
2009-02-06,40,60.45
2009-02-13,45,58.41
