"Date","Avon.Products","Price"
2004-02-06,73,68.27
2004-02-13,73,67.61
2004-02-20,73,71.19
2004-02-27,78,70.6
2004-03-05,79,72.25
2004-03-12,79,72.51
2004-03-19,80,72.35
2004-03-26,50,74.74
2004-04-02,50,76.02
2004-04-16,72,79.01
2004-04-23,72,78.71
2004-04-30,68,84
2004-05-07,63,84.56
2004-05-14,56,84.39
2004-05-21,81,85.31
2004-05-28,71,88.66
2004-06-04,74,44.82
2004-06-18,70,44.18
2004-06-25,68,45.43
2004-07-02,77,45.53
2004-07-09,64,46
2004-07-16,75,45.18
2004-07-23,87,43.08
2004-07-30,49,43.01
2004-08-06,51,42
2004-08-13,53,45.58
2004-08-20,66,43.55
2004-08-27,68,44.75
2004-09-03,69,45.42
2004-09-10,70,42.14
2004-09-17,71,43.44
2004-09-24,58,43.64
2004-10-01,49,44.12
2004-10-08,74,41.27
2004-10-15,74,41.51
2004-10-22,64,41.63
2004-10-29,63,39.55
2004-11-05,63,39.2
2004-11-12,64,39.75
2004-11-19,58,37.85
2004-11-26,56,38.58
2004-12-03,56,39.58
2004-12-10,56,39.53
2004-12-17,50,38.4
2004-12-31,99,38.7
2005-01-07,52,39.59
2005-01-14,49,40.67
2005-01-21,56,41.07
2005-01-28,61,41.81
2005-02-04,60,45.07
2005-02-11,59,44.44
2005-02-18,60,42.46
2005-02-25,77,42.62
2005-03-04,40,42.4
2005-03-11,45,42.07
2005-03-18,48,40.41
2005-04-01,49,42.42
2005-04-08,54,44.6
2005-04-15,60,40.9
2005-04-22,38,40.28
2005-04-29,47,40.08
2005-05-06,59,38.69
2005-05-13,63,38.65
2005-05-20,37,41.06
2005-05-27,50,39.72
2005-06-03,47,39.75
2005-06-10,57,38
2005-06-17,68,37.61
2005-06-24,51,36.11
2005-07-01,53,37.8
2005-07-08,41,37.23
2005-07-15,41,37.35
2005-07-22,69,31
2005-07-29,50,32.71
2005-08-05,50,33.04
2005-08-12,37,32.31
2005-08-19,61,33.18
2005-08-26,42,32.32
2005-09-02,61,32.69
2005-09-09,77,31.97
2005-09-16,40,32.24
2005-09-23,52,27.35
2005-09-30,63,27
2005-10-07,50,26.29
2005-10-14,42,27.02
2005-10-21,66,26.63
2005-10-28,59,27.79
2005-11-04,62,28.38
2005-11-11,52,27.57
2005-11-18,52,25.72
2005-11-25,48,27.63
2005-12-02,55,27.57
2005-12-09,48,27.81
2005-12-16,49,29.3
2005-12-23,37,29
2005-12-30,40,28.55
2006-01-06,43,28.31
2006-01-13,32,28.32
2006-01-20,49,28.66
2006-01-27,57,29.07
2006-02-03,42,27.18
2006-02-10,62,27.21
2006-02-17,42,28.43
2006-02-24,43,28.29
2006-03-03,63,28.79
2006-03-10,47,29.1
2006-03-17,49,30.13
2006-03-24,60,31.11
2006-03-31,52,31.17
2006-04-07,51,30.85
2006-04-21,38,30.74
2006-04-28,65,32.61
2006-05-05,46,32.23
2006-05-12,56,31.95
2006-05-19,55,31.62
2006-05-26,54,31.6
2006-06-02,41,31.58
2006-06-09,38,31.03
2006-06-16,45,29.93
2006-06-23,49,29.83
2006-06-30,44,31
2006-07-07,34,30.75
2006-07-14,73,30.4
2006-07-21,43,31.72
2006-07-28,55,32.81
2006-08-04,74,27.51
2006-08-11,43,27.66
2006-08-18,52,28.5
2006-08-25,28,27.91
2006-09-01,55,28.85
2006-09-08,37,29.45
2006-09-15,46,29.54
2006-09-22,48,30.12
2006-09-29,73,30.66
2006-10-06,45,30.57
2006-10-13,61,29.36
2006-10-20,32,30.12
2006-10-27,36,29.2
2006-11-03,60,32.06
2006-11-10,32,33.14
2006-11-17,63,33.67
2006-11-24,34,33.28
2006-12-01,43,32.27
2006-12-08,48,33.69
2006-12-15,50,33.08
2006-12-22,50,33.49
2006-12-29,24,33.04
2007-01-05,45,33.45
2007-01-12,42,34.41
2007-01-19,26,34.59
2007-01-26,47,33.53
2007-02-02,27,35.17
2007-02-09,55,39.06
2007-02-16,36,38.99
2007-02-23,33,38.56
2007-03-02,40,36.45
2007-03-09,49,37.46
2007-03-16,45,37.56
2007-03-23,40,38.02
2007-03-30,51,37.26
2007-04-13,37,38.05
2007-04-20,37,38.95
2007-04-27,48,39.51
2007-05-04,36,40.81
2007-05-11,41,38.19
2007-05-18,49,38.13
2007-05-25,41,37.03
2007-06-01,45,39.21
2007-06-08,55,38.33
2007-06-15,42,38.38
2007-06-22,43,36.82
2007-06-29,53,36.75
2007-07-06,34,38.2
2007-07-13,41,39.09
2007-07-20,51,39.4
2007-07-27,57,38.7
2007-08-03,46,35
2007-08-10,43,34.16
2007-08-17,53,34.18
2007-08-24,39,34.48
2007-08-31,46,34.35
2007-09-07,51,32.34
