"Date","MPC","Price"
2011-06-24,24,37.25
2011-07-01,25,42.2
2011-07-08,25,41.41
2011-07-15,26,39.16
2011-07-22,24,40.57
2011-07-29,25,43.79
2011-08-05,25,37.31
2011-08-12,26,37.41
2011-08-19,25,34.99
2011-08-26,25,34.87
2011-09-02,25,35.42
2011-09-09,24,36.35
2011-09-16,24,35.1
2011-09-23,24,29.53
2011-09-30,24,27.06
2011-10-07,24,31.6
2011-10-14,24,36.14
2011-10-21,25,37.35
2011-10-28,24,37.32
2011-11-04,24,38.62
2011-11-11,24,37.77
2011-11-18,24,32.82
2011-11-25,23,32.27
2011-12-02,25,33.31
2011-12-09,23,34.88
2011-12-16,25,31.96
2011-12-23,25,33.53
2011-12-30,25,33.29
2012-01-06,29,31.66
2012-01-13,28,33.03
2012-01-20,28,37.17
2012-01-27,26,37.53
2012-02-03,27,43.98
2012-02-10,26,44.08
2012-02-17,26,43.44
2012-02-24,25,42.86
2012-03-02,26,42.18
2012-03-09,26,43.9
2012-03-16,24,44.19
2012-03-23,23,44
2012-03-30,23,43.36
2012-04-13,24,41.62
2012-04-20,25,39.9
2012-04-27,25,41.29
2012-05-04,23,39.74
2012-05-11,23,37.21
2012-05-18,22,34.92
2012-05-25,24,36.88
2012-06-01,21,35.24
2012-06-08,22,37.36
2012-06-15,22,40.15
2012-06-22,23,41.79
2012-06-29,23,44.92
2012-07-06,23,44.51
2012-07-13,23,44.95
2012-07-20,23,45.56
2012-07-27,22,47.04
2012-08-03,21,49.39
2012-08-10,21,49.56
2012-08-17,21,49.25
2012-08-24,23,48.75
2012-08-31,23,51.75
2012-09-07,22,51.89
2012-09-14,22,55.61
2012-09-21,23,53.72
2012-09-28,23,54.59
2012-10-05,23,54.87
2012-10-12,22,54.3
2012-10-19,22,54.94
2012-10-26,23,55.61
2012-11-02,22,53.05
2012-11-09,23,53.12
2012-11-16,23,54.34
2012-11-23,22,58.98
2012-11-30,23,59.54
2012-12-07,23,60.7
2012-12-14,22,62.83
2012-12-21,23,62.14
2012-12-28,23,61.11
2013-01-04,22,62.55
2013-01-11,22,61.99
2013-01-18,22,65.2
2013-01-25,23,68.67
2013-02-01,23,76.21
2013-02-08,23,81.43
2013-02-15,23,82.56
2013-02-22,21,81.53
2013-03-01,22,85.01
2013-03-08,22,89.02
2013-03-15,22,87.93
2013-03-22,22,90.91
2013-04-05,21,82.37
2013-04-12,21,80.29
2013-04-19,22,78.75
2013-04-26,23,81.35
2013-05-03,21,78.1
2013-05-10,21,77.38
2013-05-17,21,82.68
2013-05-24,20,82.06
2013-05-31,20,82.5
2013-06-07,20,83.63
2013-06-14,21,79.61
2013-06-21,20,72.81
2013-06-28,21,71.06
2013-07-05,20,68.99
2013-07-12,20,73.24
2013-07-19,20,69.6
2013-07-26,20,71.91
2013-08-02,21,71.93
2013-08-09,21,73.24
2013-08-16,21,70
2013-08-23,20,75.06
2013-08-30,21,72.51
2013-09-06,19,70.85
2013-09-13,21,67.89
2013-09-20,20,64.51
2013-09-27,20,64.94
2013-10-04,21,65.23
2013-10-11,21,67.25
2013-10-18,20,70.74
2013-10-25,22,69.89
2013-11-01,22,70.86
2013-11-08,21,71.65
2013-11-15,22,78.84
2013-11-22,22,80.25
2013-11-29,20,82.74
2013-12-06,21,87.2
2013-12-13,22,85.21
2013-12-20,21,87.26
2013-12-27,19,89.13
2014-01-03,18,88.26
2014-01-10,22,90.97
2014-01-17,21,85.28
2014-01-24,22,82.98
2014-01-31,23,87.05
2014-02-07,23,84.47
2014-02-14,23,87.71
2014-02-21,22,87.31
2014-02-28,21,84
2014-03-07,22,90
2014-03-14,22,93.98
2014-03-21,21,90.69
2014-03-28,22,87.67
2014-04-04,22,87.1
2014-04-11,22,83.29
2014-04-25,23,90.73
