"Date","Salesforce.com","Price"
2004-06-25,100,15.8
2004-07-02,36,16.98
2004-07-09,29,16.4
2004-07-16,35,16
2004-07-23,43,13.04
2004-07-30,37,13.01
2004-08-06,38,10.77
2004-08-13,23,9.59
2004-08-20,34,12.6
2004-08-27,33,13.15
2004-09-03,24,13.75
2004-09-10,35,14.25
2004-09-17,24,15.67
2004-09-24,29,16.04
2004-10-01,36,16.65
2004-10-08,41,17.62
2004-10-15,18,17.98
2004-10-22,20,17.4
2004-10-29,22,20.32
2004-11-05,35,20.86
2004-11-12,26,20
2004-11-19,26,17.75
2004-11-26,24,17.73
2004-12-03,28,16.63
2004-12-10,31,15.92
2004-12-17,22,16.1
2004-12-31,23,16.94
2005-01-07,36,17.55
2005-01-14,28,15
2005-01-21,27,14.45
2005-01-28,29,13.46
2005-02-04,25,14.06
2005-02-11,29,13.45
2005-02-18,29,15.95
2005-02-25,25,16.47
2005-03-04,30,16.6
2005-03-11,28,15.5
2005-03-18,31,15.01
2005-04-01,27,15
2005-04-08,32,15.36
2005-04-15,34,14.43
2005-04-22,29,14.55
2005-04-29,47,14.43
2005-05-06,30,15.35
2005-05-13,31,14.88
2005-05-20,37,18.49
2005-05-27,40,19.86
2005-06-03,34,20.55
2005-06-10,31,19.74
2005-06-17,32,20.48
2005-06-24,35,20.8
2005-07-01,36,19.52
2005-07-08,26,19.5
2005-07-15,37,22.8
2005-07-22,32,22.59
2005-07-29,36,23.55
2005-08-05,39,23.68
2005-08-12,40,23.53
2005-08-19,28,20.48
2005-08-26,32,19.25
2005-09-02,36,19.37
2005-09-09,30,21.95
2005-09-16,39,23.6
2005-09-23,46,23.13
2005-09-30,30,23.12
2005-10-07,40,22.81
2005-10-14,43,22.22
2005-10-21,32,24.54
2005-10-28,29,24.59
2005-11-04,58,26.7
2005-11-11,46,27.46
2005-11-18,42,28.75
2005-11-25,34,31.43
2005-12-02,24,31.58
2005-12-09,43,35.5
2005-12-16,49,35.02
2005-12-23,52,33.81
2005-12-30,28,32.05
2006-01-06,31,39.85
2006-01-13,42,38.13
2006-01-20,40,39.93
2006-01-27,36,41.6
2006-02-03,55,38.23
2006-02-10,55,35.1
2006-02-17,49,34.34
2006-02-24,34,33.79
2006-03-03,39,38.04
2006-03-10,41,37.83
2006-03-17,38,39.15
2006-03-24,27,37.61
2006-03-31,35,36.33
2006-04-07,33,34.5
2006-04-21,44,33.11
2006-04-28,34,35.05
2006-05-05,32,34.12
2006-05-12,36,31.2
2006-05-19,36,28.55
2006-05-26,45,30.4
2006-06-02,37,29.87
2006-06-09,37,26.03
2006-06-16,42,27.74
2006-06-23,28,27.8
2006-06-30,36,26.66
2006-07-07,34,24.91
2006-07-14,41,22.02
2006-07-21,41,21.9
2006-07-28,39,25.31
2006-08-04,38,26.15
2006-08-11,39,26
2006-08-18,39,32.85
2006-08-25,48,33.56
2006-09-01,45,34.4
2006-09-08,43,33.33
2006-09-15,35,35
2006-09-22,35,36.17
2006-09-29,48,35.88
2006-10-06,45,40.36
2006-10-13,47,40.98
2006-10-20,43,39.87
2006-10-27,38,40.11
2006-11-03,45,40.48
2006-11-10,38,42.2
2006-11-17,45,41.72
2006-11-24,43,41.16
2006-12-01,35,38.35
2006-12-08,35,38.53
2006-12-15,35,39.94
2006-12-22,29,36.05
2006-12-29,31,36.45
2007-01-05,28,39.52
2007-01-12,43,42.42
2007-01-19,49,41.61
2007-01-26,35,42.23
2007-02-02,43,46.75
2007-02-09,40,47.01
2007-02-16,37,49.63
2007-02-23,50,47.44
2007-03-02,47,42.64
2007-03-09,50,42.97
2007-03-16,47,41.63
2007-03-23,44,43.3
2007-03-30,48,42.82
2007-04-13,51,42.58
2007-04-20,39,41.75
2007-04-27,42,42.1
2007-05-04,43,43.05
2007-05-11,42,42.42
2007-05-18,43,45.8
2007-05-25,53,46.09
2007-06-01,45,47.88
2007-06-08,57,46.25
2007-06-15,46,45.59
2007-06-22,45,40.55
2007-06-29,47,42.86
2007-07-06,39,44.68
2007-07-13,44,44.54
2007-07-20,51,43.45
2007-07-27,51,40.89
2007-08-03,39,39.94
2007-08-10,44,44.68
2007-08-17,45,40.02
2007-08-24,34,41.43
2007-08-31,48,40.43
2007-09-07,47,43.21
2007-09-14,46,46.38
2007-09-21,46,46.25
2007-09-28,45,51.32
2007-10-05,47,53.23
2007-10-12,43,57.06
2007-10-19,41,52.28
2007-10-26,40,51.44
2007-11-02,48,54.4
2007-11-09,45,50
2007-11-16,49,57.35
2007-11-23,34,55.16
