"Date","TEL","Price"
2007-06-15,78,38.8
2007-06-22,81,38.95
2007-06-29,78,39.06
2007-07-06,81,39.82
2007-07-13,80,39.47
2007-07-20,80,38.03
2007-07-27,81,36.95
2007-08-03,78,35.09
2007-08-10,79,32.81
2007-08-17,80,35.1
2007-08-24,77,36.27
2007-08-31,80,34.87
2007-09-07,79,33.5
2007-09-14,77,33.06
2007-09-21,80,33.45
2007-09-28,76,35.43
2007-10-05,77,36.05
2007-10-12,77,37
2007-10-19,79,36.24
2007-10-26,79,33.7
2007-11-02,75,35.37
2007-11-09,79,32.57
2007-11-16,81,35.02
2007-11-23,80,35.43
2007-11-30,79,37.39
2007-12-07,80,37.42
2007-12-14,83,36.54
2007-12-21,81,37.28
2007-12-28,75,37.8
2008-01-04,76,35.52
2008-01-11,85,33.42
2008-01-18,81,32.26
2008-01-25,80,33.23
2008-02-01,82,33.89
2008-02-08,82,34.6
2008-02-15,83,35.08
2008-02-22,81,34.53
2008-02-29,80,32.9
2008-03-07,82,32.43
2008-03-14,83,31.73
2008-03-28,78,33.83
2008-04-04,82,35.84
2008-04-11,84,34.14
2008-04-18,82,36.87
2008-04-25,82,37.61
2008-05-02,79,39.81
2008-05-09,85,38.15
2008-05-16,81,39.17
2008-05-23,81,38.13
2008-05-30,84,40.12
2008-06-06,83,38.29
2008-06-13,85,38.55
2008-06-20,87,36.81
2008-06-27,88,36.03
2008-07-11,88,34.91
2008-07-18,89,36.38
2008-07-25,88,36.38
2008-08-01,86,32.74
2008-08-08,88,34.3
2008-08-15,85,34.38
2008-08-22,88,32.9
2008-08-29,87,32.91
2008-09-05,88,30.5
2008-09-12,88,29.89
2008-09-19,87,30.15
2008-09-26,85,27.39
2008-10-03,77,25.65
2008-10-10,86,20.37
2008-10-17,84,20.14
2008-10-24,84,17.69
2008-10-31,83,19.44
2008-11-07,84,17.68
2008-11-14,82,14.5
2008-11-21,84,14.6
2008-11-28,84,16.48
2008-12-05,85,17.27
2008-12-12,79,16.06
2008-12-19,86,15.72
2008-12-26,78,15.23
2009-01-02,77,17.23
2009-01-09,88,16.92
2009-01-16,88,15.82
2009-01-23,87,15.64
2009-01-30,88,14.16
2009-02-06,88,14.77
2009-02-13,87,13.85
2009-02-20,87,11.01
2009-02-27,85,9.48
2009-03-06,88,7.88
2009-03-13,85,9.51
2009-03-20,87,10.35
2009-03-27,87,11.98
2009-04-03,85,12.82
2009-04-17,79,16.23
2009-04-24,79,17.05
2009-05-01,79,17.74
2009-05-08,84,17.95
2009-05-15,87,16.8
2009-05-22,81,16.86
2009-05-29,85,17.37
2009-06-05,83,19.86
2009-06-12,85,19.87
2009-06-19,86,20.22
