"Date","FCX","Price"
2004-03-19,5,41.95
2004-03-26,6,38.58
2004-04-02,6,39.7
2004-07-16,6,36
2004-07-23,5,33.36
2004-07-30,5,34.85
2004-08-06,5,32.07
2004-08-13,5,32.3
2004-08-20,5,36.24
2004-12-03,5,37.39
2004-12-10,4,36.61
2004-12-17,4,37.61
2004-12-31,4,38.23
2005-01-07,4,35.62
2005-01-14,5,36.61
2005-01-21,3,37.34
2005-01-28,4,35.96
2005-02-04,4,37.13
2005-02-11,3,38.08
2005-02-18,3,39.73
2005-02-25,3,41.1
2005-03-04,3,43.73
2005-03-11,3,40.84
2005-03-18,4,41.19
2005-04-01,3,40.01
2005-04-08,3,38.44
2005-04-15,3,34.18
2005-04-22,6,36.24
2005-04-29,3,34.66
2005-05-06,3,36.25
2005-05-13,4,32.06
2005-05-20,4,33.76
2005-05-27,3,35.54
2005-06-03,5,36.82
2005-06-10,7,35.73
2005-06-17,4,38.54
2005-06-24,5,36.68
2005-07-01,9,37.93
2005-07-08,11,38.81
2005-07-15,7,38.6
2005-07-22,6,40.3
2005-07-29,4,40.28
2005-08-05,3,41.02
2005-08-12,3,43.35
2005-08-19,3,41.12
2005-08-26,4,39.85
2005-09-02,4,42.97
2005-09-09,5,43.73
2005-09-16,4,43.8
2005-09-23,3,45.76
2005-09-30,3,48.59
2005-10-07,4,47.02
2005-10-14,4,46.15
2005-10-21,6,46.2
2005-10-28,6,49.36
2005-11-04,13,50.28
2005-11-11,6,50.97
2005-11-18,5,51.37
2005-11-25,6,53.23
2005-12-02,3,53.7
2005-12-09,4,55.06
2005-12-16,4,53.8
2005-12-23,7,55.11
2005-12-30,4,53.8
2006-01-06,4,59.04
2006-01-13,4,60.75
2006-01-20,7,57.38
2006-01-27,3,62.97
2006-02-03,4,61.66
2006-02-10,8,51.93
2006-02-17,6,52.95
2006-02-24,6,52.87
2006-03-03,3,53.55
2006-03-10,7,50.11
2006-03-17,6,53.22
2006-03-24,3,53.69
2006-03-31,5,59.77
2006-04-07,4,61
2006-04-21,6,66.5
2006-04-28,3,64.58
2006-05-05,5,66.47
2006-05-12,3,65.42
2006-05-19,5,54.75
2006-05-26,7,56.69
2006-06-02,6,56.74
2006-06-09,7,49.03
2006-06-16,5,48.3
2006-06-23,4,49.8
2006-06-30,5,55.41
2006-07-07,4,56.14
2006-07-14,4,54.4
2006-07-21,4,50.5
2006-07-28,4,52.9
2006-08-04,4,55.13
2006-08-11,4,53.5
2006-08-18,4,54.57
2006-08-25,3,57.4
2006-09-01,7,59.36
2006-09-08,3,58.31
2006-09-15,4,52.1
2006-09-22,3,50.79
2006-09-29,11,53.26
2006-10-06,5,52.79
2006-10-13,6,56.5
2006-10-20,7,56.49
2006-10-27,5,59.05
2006-11-03,6,61.15
2006-11-10,6,58.82
2006-11-17,6,57.4
2006-11-24,6,61.86
2006-12-01,6,61.5
2006-12-08,6,61.81
2006-12-15,5,60.08
2006-12-22,5,53.84
2006-12-29,5,55.73
2007-01-05,8,51.48
2007-01-12,7,55.01
2007-01-19,5,53.95
2007-01-26,5,58.49
2007-02-02,8,55.24
2007-02-09,6,53.65
2007-02-16,6,57.56
2007-02-23,4,59.91
2007-03-02,6,54.63
2007-03-09,6,56.74
2007-03-16,7,60.71
2007-03-23,10,62.3
2007-03-30,10,66.19
2007-04-13,7,71.17
2007-04-20,11,70.01
2007-04-27,7,68.01
2007-05-04,11,71.63
2007-05-11,8,72.92
2007-05-18,11,71.15
2007-05-25,8,74.61
2007-06-01,8,79.5
2007-06-08,9,76.18
2007-06-15,8,84.42
2007-06-22,7,82.85
2007-06-29,8,82.82
2007-07-06,9,88.41
2007-07-13,9,94.24
2007-07-20,10,99.03
2007-07-27,12,89.95
2007-08-03,9,86.14
2007-08-10,10,86.46
2007-08-17,10,76.9
2007-08-24,8,87.13
2007-08-31,8,87.42
2007-09-07,8,90.18
2007-09-14,8,97.7
2007-09-21,9,108.67
2007-09-28,8,104.89
2007-10-05,8,110.66
2007-10-12,8,116.42
2007-10-19,7,109.74
2007-10-26,9,116.85
2007-11-02,10,112.8
2007-11-09,11,109.61
2007-11-16,25,100.04
2007-11-23,30,93.16
2007-11-30,24,98.93
2007-12-07,19,108.1
2007-12-14,13,102.11
