"Date","ABT","Price"
2004-02-06,85,44.37
2004-02-13,73,44.31
2004-02-20,80,43.38
2004-02-27,71,42.8
2004-03-05,75,43.58
2004-03-12,72,41.44
2004-03-19,81,40.21
2004-03-26,88,40.14
2004-04-02,94,42.37
2004-04-16,69,44.13
2004-04-23,86,43.9
2004-04-30,91,44.02
2004-05-07,87,41.5
2004-05-14,83,41.15
2004-05-21,91,39.95
2004-05-28,86,41.21
2004-06-04,73,41.74
2004-06-18,84,43
2004-06-25,88,40.56
2004-07-02,93,40.59
2004-07-09,92,39.9
2004-07-16,89,39.1
2004-07-23,82,38.63
2004-07-30,81,39.35
2004-08-06,75,38.69
2004-08-13,86,39.59
2004-08-20,88,41.01
2004-08-27,84,41.51
2004-09-03,77,42.67
2004-09-10,88,42.31
2004-09-17,82,42.92
2004-09-24,80,42.34
2004-10-01,75,42.19
2004-10-08,80,40.83
2004-10-15,86,41.36
2004-10-22,86,40.86
2004-10-29,73,42.63
2004-11-05,77,44.45
2004-11-12,81,44.18
2004-11-19,84,42.75
2004-11-26,95,42.59
2004-12-03,88,43.43
2004-12-10,77,43.74
2004-12-17,88,46.99
2004-12-31,100,46.65
2005-01-07,84,47.5
2005-01-14,82,46.25
2005-01-21,79,45.98
2005-01-28,75,45.27
2005-02-04,74,45.52
2005-02-11,77,46.2
2005-02-18,73,46.4
2005-02-25,70,46.27
2005-03-04,71,46.41
2005-03-11,72,46
2005-03-18,79,44.47
2005-04-01,78,46.19
2005-04-08,66,47.86
2005-04-15,72,49.87
2005-04-22,70,47.57
2005-04-29,73,49.16
2005-05-06,82,49.02
2005-05-13,76,48.76
2005-05-20,73,48.88
2005-05-27,78,48
2005-06-03,75,48.27
2005-06-10,74,48.9
2005-06-17,72,49.43
2005-06-24,80,49.02
2005-07-01,81,49.03
2005-07-08,66,49.35
2005-07-15,85,46.87
2005-07-22,89,46.04
2005-07-29,87,46.63
2005-08-05,85,46.49
2005-08-12,86,46.54
2005-08-19,82,45.83
2005-08-26,81,44.73
2005-09-02,68,44.88
2005-09-09,63,45.57
2005-09-16,71,43.74
2005-09-23,69,44.22
2005-09-30,73,42.4
2005-10-07,77,42.7
2005-10-14,80,42.64
2005-10-21,74,42.75
2005-10-28,75,42.75
2005-11-04,75,42.57
2005-11-11,69,43.73
2005-11-18,78,40.9
2005-11-25,79,38.98
2005-12-02,90,38.56
2005-12-09,78,38.99
2005-12-16,72,40.17
2005-12-23,91,40.86
2005-12-30,69,39.43
2006-01-06,78,40.89
2006-01-13,75,41.19
2006-01-20,71,40.35
2006-01-27,74,43
2006-02-03,76,42.49
2006-02-10,73,42.47
2006-02-17,71,44.34
2006-02-24,81,43.95
2006-03-03,79,43.78
2006-03-10,72,43.92
2006-03-17,71,45.18
2006-03-24,76,43.87
2006-03-31,73,42.47
2006-04-07,70,42.09
2006-04-21,78,42
2006-04-28,69,42.74
2006-05-05,74,42.77
2006-05-12,69,41.42
2006-05-19,69,41.82
2006-05-26,69,42.67
2006-06-02,72,43.13
2006-06-09,67,43
2006-06-16,69,42.78
2006-06-23,68,41.95
2006-06-30,67,43.61
2006-07-07,73,43.8
2006-07-14,70,44.01
2006-07-21,79,46.84
2006-07-28,70,47.82
2006-08-04,74,47.24
2006-08-11,79,47.41
2006-08-18,65,49
2006-08-25,77,48.79
2006-09-01,70,48.37
2006-09-08,70,48.9
2006-09-15,68,49.48
2006-09-22,66,47.9
2006-09-29,69,48.56
2006-10-06,68,46.19
2006-10-13,75,46.93
2006-10-20,73,48.78
2006-10-27,69,47.67
2006-11-03,65,47.64
2006-11-10,68,45.97
2006-11-17,70,47.67
2006-11-24,73,46.95
2006-12-01,64,46.57
2006-12-08,76,47.96
2006-12-15,77,48.47
2006-12-22,78,47.73
2006-12-29,75,48.71
2007-01-05,73,49.9
2007-01-12,73,50.45
2007-01-19,69,53.52
2007-01-26,73,52.55
2007-02-02,71,52.67
2007-02-09,70,52.27
2007-02-16,69,52.49
2007-02-23,68,53.59
2007-03-02,69,53.01
2007-03-09,75,54.39
2007-03-16,65,52.88
2007-03-23,70,53.86
2007-03-30,72,55.8
2007-04-13,75,58.49
2007-04-20,78,57.85
2007-04-27,73,56.76
2007-05-04,73,58.3
2007-05-11,78,57.84
2007-05-18,70,59.43
2007-05-25,74,56.37
2007-06-01,75,56.3
2007-06-08,70,54.29
2007-06-15,70,54.72
2007-06-22,66,52.86
2007-06-29,72,53.55
2007-07-06,67,54
2007-07-13,68,53.24
2007-07-20,71,52.87
2007-07-27,69,50.03
2007-08-03,65,51.09
2007-08-10,66,55.22
2007-08-17,68,52.73
2007-08-24,74,52.53
2007-08-31,70,51.91
2007-09-07,59,51.86
2007-09-14,61,52.1
2007-09-21,59,54.44
2007-09-28,64,53.62
2007-10-05,61,55
2007-10-12,68,52.64
2007-10-19,66,51.4
2007-10-26,62,54.07
2007-11-02,64,54.05
2007-11-09,69,54.12
2007-11-16,65,55.21
2007-11-23,69,55.49
2007-11-30,72,57.51
2007-12-07,73,58.22
2007-12-14,65,57.51
2007-12-21,72,58.26
2007-12-28,74,57.23
2008-01-04,69,55.79
2008-01-11,69,60.5
2008-01-18,66,59.43
2008-01-25,67,55.48
2008-02-01,71,57.55
2008-02-08,69,56.8
2008-02-15,67,55.55
2008-02-22,63,54.54
2008-02-29,63,53.55
2008-03-07,63,51.04
2008-03-14,67,51.38
2008-03-28,62,53.07
2008-04-04,63,54.84
2008-04-11,67,52.8
2008-04-18,66,50.72
2008-04-25,68,51.28
2008-05-02,67,53.17
2008-05-09,66,51.78
2008-05-16,64,54.71
2008-05-23,63,54.26
2008-05-30,62,56.35
2008-06-06,62,54.76
2008-06-13,63,54.11
2008-06-20,61,53.35
2008-06-27,62,53
2008-07-11,68,56.43
2008-07-18,65,57.58
2008-07-25,67,57.42
2008-08-01,57,56.07
2008-08-08,62,59.03
2008-08-15,60,59.62
2008-08-22,62,58.48
2008-08-29,61,57.43
2008-09-05,60,57.01
2008-09-12,64,59.09
2008-09-19,65,58.71
2008-09-26,62,59.4
2008-10-03,64,58.51
2008-10-10,63,49.45
2008-10-17,59,55.46
2008-10-24,61,54.3
2008-10-31,65,55.15
2008-11-07,64,55.3
2008-11-14,62,55.06
2008-11-21,60,51.52
2008-11-28,67,52.39
2008-12-05,64,52.75
2008-12-12,59,50.75
2008-12-19,66,52.27
2008-12-26,67,52.51
2009-01-02,65,53.56
2009-01-09,64,51.17
2009-01-16,64,49.92
2009-01-23,66,52.81
2009-01-30,65,55.44
2009-02-06,67,57.15
2009-02-13,67,54.94
2009-02-20,61,54.03
2009-02-27,62,47.34
2009-03-06,65,46.89
2009-03-13,59,46.85
2009-03-20,63,47.54
2009-03-27,65,46.6
2009-04-03,64,44.12
2009-04-17,65,43.89
2009-04-24,63,43.09
2009-05-01,69,41.52
2009-05-08,62,44.93
2009-05-15,63,43.32
2009-05-22,59,43.94
2009-05-29,66,45.06
2009-06-05,59,44.98
2009-06-12,65,45.42
2009-06-19,65,47.58
2009-06-26,63,47.43
2009-07-10,61,45.41
2009-07-17,68,44.47
2009-07-24,62,45.01
2009-07-31,64,44.99
2009-08-07,63,43.84
2009-08-14,66,44.36
2009-08-21,67,45.39
2009-08-28,62,45.92
2009-09-04,64,45.63
2009-09-11,60,46.83
2009-09-18,66,45.97
2009-09-25,65,47.33
2009-10-02,60,49.84
2009-10-09,62,50.08
2009-10-16,61,51.43
2009-10-23,63,51.31
2009-10-30,62,50.57
2009-11-06,59,51.53
2009-11-13,56,52.95
2009-11-20,63,53.64
2009-11-27,67,54.08
2009-12-04,61,53.78
2009-12-11,58,53.77
2009-12-18,60,53.34
2010-01-08,61,55.05
2010-01-15,60,55.49
2010-01-22,57,54.51
2010-01-29,55,52.94
2010-02-05,56,53.97
2010-02-12,59,53.93
2010-02-19,56,54.38
2010-02-26,55,54.28
2010-03-05,62,54.32
2010-03-12,62,54.52
2010-03-19,59,53.46
2010-03-26,60,52.9
2010-04-09,59,52.73
2010-04-16,64,52.26
2010-04-23,62,51.2
2010-04-30,62,51.16
2010-05-07,61,48.72
2010-05-14,60,48.5
2010-05-21,63,46.94
2010-05-28,63,47.56
2010-06-04,60,46.53
2010-06-11,57,47.2
2010-06-18,57,48.77
2010-06-25,59,47.19
2010-07-02,60,46.46
2010-07-09,68,48.03
2010-07-16,58,47.07
2010-07-23,58,48.93
2010-07-30,60,49.08
2010-08-06,56,50.57
2010-08-13,61,50.06
2010-08-20,65,49.34
2010-08-27,59,49.84
2010-09-03,59,50.74
2010-09-10,65,51.54
2010-09-17,57,51.64
2010-09-24,59,51.94
2010-10-01,59,52.58
2010-10-08,65,52.81
2010-10-15,57,53.17
2010-10-22,59,52.56
2010-10-29,57,51.32
2010-11-05,58,50.92
2010-11-12,55,48.58
