"Date","Transocean","Price"
2004-02-06,16,26.59
2004-02-13,14,28.93
2004-02-20,14,29.07
2004-02-27,14,29.48
2004-03-05,14,30.77
2004-03-12,15,28.68
2004-03-19,17,29.12
2004-03-26,14,28.15
2004-04-02,10,27.18
2004-04-16,10,27.73
2004-04-23,13,27.33
2004-04-30,15,27.77
2004-05-07,10,26.22
2004-05-14,7,26.1
2004-05-21,7,25.72
2004-05-28,11,26.73
2004-06-04,10,25.47
2004-06-18,10,27.77
2004-06-25,16,27.86
2004-07-02,13,29
2004-07-09,12,29.04
2004-07-16,9,30.02
2004-07-23,14,28.25
2004-07-30,13,28.4
2004-08-06,11,26.21
2004-08-13,14,27.13
2004-08-20,12,29.12
2004-08-27,13,29.79
2004-09-03,10,32.08
2004-09-10,13,32.26
2004-09-17,21,33.8
2004-09-24,17,34.3
2004-10-01,9,36.51
2004-10-08,9,36.56
2004-10-15,9,35.05
2004-10-22,10,36.5
2004-10-29,9,35.25
2004-11-05,8,35.01
2004-11-12,11,37.07
2004-11-19,13,39.97
2004-11-26,11,41.12
2004-12-03,15,38.49
2004-12-10,8,38.36
2004-12-17,7,41.02
2004-12-31,15,42.39
2005-01-07,12,40.22
2005-01-14,12,43.11
2005-01-21,10,43.27
2005-01-28,10,43.51
2005-02-04,10,45
2005-02-11,12,46.95
2005-02-18,10,48.45
2005-02-25,8,49.05
2005-03-04,12,49.31
2005-03-11,12,48.43
2005-03-18,14,49.41
2005-04-01,7,53.23
2005-04-08,9,52.06
2005-04-15,14,47.45
2005-04-22,10,50.45
2005-04-29,9,46.37
2005-05-06,11,47.55
2005-05-13,11,44.03
2005-05-20,11,45.61
2005-05-27,16,49.5
2005-06-03,7,51.37
2005-06-10,11,53.24
2005-06-17,12,57.73
2005-06-24,13,56.88
2005-07-01,10,54.14
2005-07-08,10,54.96
2005-07-15,15,54.72
2005-07-22,11,58.67
2005-07-29,9,56.43
2005-08-05,11,58.64
2005-08-12,15,58.37
2005-08-19,12,56.81
2005-08-26,8,56.25
2005-09-02,17,58.08
2005-09-09,13,60.58
2005-09-16,13,59.65
2005-09-23,13,59.75
2005-09-30,12,61.31
2005-10-07,14,56.65
2005-10-14,11,55.55
2005-10-21,16,54.94
2005-10-28,10,57.93
2005-11-04,11,59.89
2005-11-11,11,57.48
2005-11-18,10,59.72
2005-11-25,8,65.1
2005-12-02,9,66.16
2005-12-09,11,68.66
2005-12-16,12,67.59
2005-12-23,14,70.65
2005-12-30,9,69.69
2006-01-06,16,74.93
2006-01-13,15,76.03
2006-01-20,12,78.72
2006-01-27,14,79.33
2006-02-03,11,80.62
2006-02-10,11,78.88
2006-02-17,14,71
2006-02-24,14,72.78
2006-03-03,16,79.33
2006-03-10,14,76.15
2006-03-17,15,80.09
2006-03-24,13,80.72
2006-03-31,12,80.3
2006-04-07,13,82.31
2006-04-21,14,87
2006-04-28,12,81.07
2006-05-05,12,88.31
2006-05-12,13,84.36
2006-05-19,9,78.46
2006-05-26,10,81.12
2006-06-02,14,83.15
2006-06-09,11,75.77
2006-06-16,10,76.27
2006-06-23,9,76.41
2006-06-30,10,80.32
2006-07-07,11,78.24
2006-07-14,12,78.4
2006-07-21,11,70.99
2006-07-28,13,76.3
2006-08-04,13,70.08
2006-08-11,13,66.8
2006-08-18,10,68.03
2006-08-25,11,68.96
2006-09-01,11,71.08
2006-09-08,10,71.24
2006-09-15,16,69.69
2006-09-22,10,69.96
2006-09-29,11,73.23
2006-10-06,10,69.28
2006-10-13,9,70.23
2006-10-20,14,70.28
2006-10-27,9,72.11
2006-11-03,13,75.07
2006-11-10,12,75.67
2006-11-17,12,73.39
2006-11-24,10,75.22
2006-12-01,9,78.84
2006-12-08,11,80
2006-12-15,9,83.46
2006-12-22,12,80.77
2006-12-29,7,80.89
2007-01-05,10,76.55
2007-01-12,12,74.67
2007-01-19,12,75.8
2007-01-26,11,75.62
2007-02-02,10,76.37
2007-02-09,13,77.4
2007-02-16,10,76.24
2007-02-23,13,78.75
2007-03-02,15,75.43
2007-03-09,10,77.57
2007-03-16,12,76.3
2007-03-23,11,82.1
2007-03-30,12,81.7
2007-04-13,17,83.02
2007-04-20,14,82.88
2007-04-27,12,88.06
2007-05-04,14,90.31
2007-05-11,12,90.24
2007-05-18,11,95.52
2007-05-25,10,96.54
2007-06-01,12,98.99
2007-06-08,12,96.96
2007-06-15,9,102.84
2007-06-22,14,109.2
2007-06-29,11,105.98
2007-07-06,11,110.5
2007-07-13,12,108.94
2007-07-20,14,109.97
2007-07-27,32,109.9
2007-08-03,16,100.06
2007-08-10,15,100.77
2007-08-17,15,99.6
2007-08-24,16,103.94
2007-08-31,15,105.09
2007-09-07,11,108.52
2007-09-14,16,106.16
2007-09-21,13,114.19
2007-09-28,9,113.05
2007-10-05,9,112.87
2007-10-12,14,115.91
2007-10-19,14,110.7
2007-10-26,13,116.93
2007-11-02,16,124.43
2007-11-09,14,125.36
2007-11-16,13,118.25
2007-11-23,13,126.28
2007-11-30,26,137.29
2007-12-07,19,135.07
2007-12-14,15,136
2007-12-21,10,143.92
2007-12-28,11,146.02
2008-01-04,13,142.46
2008-01-11,16,136.39
2008-01-18,15,128.41
2008-01-25,12,127.11
2008-02-01,15,125.44
2008-02-08,14,125.18
2008-02-15,15,129.07
2008-02-22,16,137.96
2008-02-29,13,140.51
2008-03-07,11,136.31
2008-03-14,15,137.55
2008-03-28,15,134.17
2008-04-04,17,143.54
2008-04-11,17,145.08
2008-04-18,15,158.69
2008-04-25,16,154.73
2008-05-02,13,151.92
2008-05-09,14,153.66
2008-05-16,13,160.54
2008-05-23,15,152.01
2008-05-30,15,150.19
2008-06-06,13,143.5
2008-06-13,15,146
2008-06-20,16,148.81
2008-06-27,14,152.5
2008-07-11,18,145.02
2008-07-18,17,144.02
2008-07-25,15,133.02
2008-08-01,14,137.61
2008-08-08,19,127.16
2008-08-15,16,126.24
2008-08-22,14,129.74
2008-08-29,16,127.2
2008-09-05,15,122.27
2008-09-12,15,122.69
2008-09-19,13,125.4
2008-09-26,11,121.83
2008-10-03,11,94.65
2008-10-10,17,69.05
2008-10-17,15,70.26
2008-10-24,14,66.26
2008-10-31,14,82.33
2008-11-07,14,77.11
2008-11-14,12,70.89
2008-11-21,12,57.08
2008-11-28,12,66.88
2008-12-05,13,49.5
2008-12-12,13,56.75
2008-12-19,12,46.72
2008-12-26,13,44.18
2009-01-02,8,52.01
2009-01-09,15,54.5
2009-01-16,15,50.09
2009-01-23,13,52.22
2009-01-30,15,54.62
2009-02-06,12,59.73
2009-02-13,13,60.15
2009-02-20,16,59.52
2009-02-27,12,59.77
2009-03-06,12,51.11
2009-03-13,13,55.24
2009-03-20,11,59.63
2009-03-27,12,61.46
2009-04-03,13,65.52
2009-04-17,12,68.97
