"Date","Kimberly.Clark","Price"
2004-02-06,100,59.36
2004-02-13,53,60.64
2004-02-20,37,62.87
2004-02-27,54,64.68
2004-03-05,44,64.11
2004-03-12,44,62.32
2004-03-19,44,61.43
2004-03-26,41,62.02
2004-04-02,41,63.59
2004-04-16,59,64.24
2004-04-23,59,65.94
2004-04-30,60,65.45
2004-05-07,60,64.97
2004-05-14,46,63.61
2004-05-21,31,64.17
2004-05-28,53,65.9
2004-06-04,32,64.73
2004-06-18,47,66.35
2004-06-25,57,64.85
2004-07-02,40,65.84
2004-07-09,43,65.93
2004-07-16,64,65.71
2004-07-23,57,64.41
2004-07-30,67,64.07
2004-08-06,75,62.64
2004-08-13,33,63.92
2004-08-20,53,65.24
2004-08-27,64,65.8
2004-09-03,50,68.13
2004-09-10,36,67.03
2004-09-17,49,66.62
2004-09-24,48,65.01
2004-10-01,48,64.99
2004-10-08,29,63.95
2004-10-15,29,62.95
2004-10-22,32,63.06
2004-10-29,46,59.67
2004-11-05,35,62.08
2004-11-12,41,63.25
2004-11-19,44,62.48
2004-11-26,56,63.72
2004-12-03,63,63.98
2004-12-10,37,64
2004-12-17,54,64.18
2004-12-31,46,65.81
2005-01-07,37,64.14
2005-01-14,51,64.37
2005-01-21,45,63.78
2005-01-28,46,65.18
2005-02-04,47,66.9
2005-02-11,37,67.67
2005-02-18,51,65.92
2005-02-25,37,66.3
2005-03-04,38,65.86
2005-03-11,55,65.59
2005-03-18,43,64.9
2005-04-01,34,65.46
2005-04-08,33,65.77
2005-04-15,41,64.53
2005-04-22,56,63.53
2005-04-29,51,62.45
2005-05-06,44,61.53
2005-05-13,48,61.98
2005-05-20,48,65.2
2005-05-27,24,64.75
2005-06-03,33,64.42
2005-06-10,37,64.78
2005-06-17,41,65.26
2005-06-24,28,62.81
2005-07-01,43,63.13
2005-07-08,45,61.29
2005-07-15,32,62.18
2005-07-22,76,64.38
2005-07-29,67,63.76
2005-08-05,70,62.27
2005-08-12,43,63.11
2005-08-19,43,63.18
2005-08-26,39,61.93
2005-09-02,24,61.97
2005-09-09,41,61.68
2005-09-16,49,62.58
2005-09-23,45,60.75
2005-09-30,40,59.53
2005-10-07,55,58.29
2005-10-14,46,57.24
2005-10-21,45,56.82
2005-10-28,43,57.33
2005-11-04,49,56.59
2005-11-11,22,59.05
2005-11-18,36,59.84
2005-11-25,34,59.09
2005-12-02,45,59.56
2005-12-09,44,58.24
2005-12-16,33,59.12
2005-12-23,23,59.83
2005-12-30,23,59.65
2006-01-06,24,60.22
2006-01-13,32,61.41
2006-01-20,49,59.84
2006-01-27,53,58.8
2006-02-03,38,57.3
2006-02-10,42,57.07
2006-02-17,50,58.56
2006-02-24,38,59.69
2006-03-03,40,59.36
2006-03-10,38,58.6
2006-03-17,55,58.99
2006-03-24,36,59.04
2006-03-31,34,57.8
2006-04-07,57,57.33
2006-04-21,45,57.19
2006-04-28,58,58.53
2006-05-05,38,59.64
2006-05-12,39,61.41
2006-05-19,30,59.8
2006-05-26,26,60.12
2006-06-02,31,60.8
2006-06-09,29,61.06
2006-06-16,29,60.84
2006-06-23,35,61
2006-06-30,28,61.7
2006-07-07,38,60.61
2006-07-14,44,59.43
2006-07-21,38,59.07
2006-07-28,39,60.94
2006-08-04,35,60.99
2006-08-11,33,61.16
2006-08-18,27,61.79
2006-08-25,34,61.69
2006-09-01,28,64.28
2006-09-08,29,64
2006-09-15,34,65.31
2006-09-22,34,64.91
2006-09-29,33,65.36
2006-10-06,32,66.1
2006-10-13,32,66.3
2006-10-20,43,67.42
2006-10-27,29,66.25
2006-11-03,32,65.91
2006-11-10,31,65.99
2006-11-17,36,66.52
2006-11-24,28,66.29
2006-12-01,35,66.34
2006-12-08,30,66.27
2006-12-15,28,67.23
2006-12-22,21,67.76
2006-12-29,23,67.95
2007-01-05,24,68.44
2007-01-12,31,69.01
2007-01-19,45,68.91
2007-01-26,28,68.25
2007-02-02,34,69.47
2007-02-09,44,68.34
2007-02-16,34,69.34
2007-02-23,36,70
2007-03-02,23,67.24
2007-03-09,35,67.26
2007-03-16,25,66.72
2007-03-23,28,68.99
2007-03-30,34,68.49
2007-04-13,31,70.14
2007-04-20,29,71.94
2007-04-27,30,71.63
2007-05-04,26,71.25
2007-05-11,30,71.27
2007-05-18,40,71.91
2007-05-25,28,71.01
2007-06-01,28,71.67
2007-06-08,16,70.26
2007-06-15,35,69.38
2007-06-22,28,66.68
2007-06-29,21,66.89
2007-07-06,30,67.4
2007-07-13,32,67.03
2007-07-20,36,66.56
2007-07-27,34,68.18
2007-08-03,26,67.63
2007-08-10,26,68.21
2007-08-17,29,69.07
2007-08-24,21,70.33
2007-08-31,25,68.69
2007-09-07,33,67.76
2007-09-14,27,69.55
2007-09-21,31,69.96
2007-09-28,21,70.26
2007-10-05,24,70.03
2007-10-12,30,70.5
2007-10-19,34,67.14
2007-10-26,26,70.88
2007-11-02,29,69.16
2007-11-09,35,68.13
2007-11-16,25,69.15
2007-11-23,34,68.25
2007-11-30,32,69.81
2007-12-07,30,69.33
2007-12-14,28,68.11
2007-12-21,21,69.29
2007-12-28,10,69.94
2008-01-04,20,68.97
2008-01-11,22,66.77
2008-01-18,32,65.06
2008-01-25,36,64.08
2008-02-01,34,67.04
2008-02-08,28,64.57
2008-02-15,32,64.43
2008-02-22,31,65.04
2008-02-29,25,65.18
2008-03-07,31,63.52
2008-03-14,29,62.99
2008-03-28,25,64.08
2008-04-04,24,65.28
2008-04-11,31,63.38
2008-04-18,27,63.34
2008-04-25,30,63.77
2008-05-02,26,64.63
2008-05-09,21,62.35
2008-05-16,20,63.42
2008-05-23,26,62.79
2008-05-30,27,63.8
2008-06-06,27,62.11
2008-06-13,28,62.62
2008-06-20,21,61.18
2008-06-27,26,59.87
2008-07-11,32,59.32
2008-07-18,29,54.99
2008-07-25,28,55.99
2008-08-01,23,57.85
2008-08-08,25,61.42
2008-08-15,27,62.92
2008-08-22,22,62.03
2008-08-29,22,61.68
2008-09-05,31,62.19
2008-09-12,18,64.58
2008-09-19,23,66.06
2008-09-26,27,66.07
2008-10-03,22,64.39
2008-10-10,21,56.62
2008-10-17,18,59.99
2008-10-24,23,55.01
2008-10-31,26,61.29
2008-11-07,19,57.94
2008-11-14,23,57.37
2008-11-21,20,55.56
2008-11-28,17,57.79
2008-12-05,27,54.95
2008-12-12,20,51.53
2008-12-19,16,51.11
2008-12-26,15,52.04
2009-01-02,11,53.65
2009-01-09,24,50.45
2009-01-16,20,53.22
2009-01-23,20,51.99
2009-01-30,21,51.47
2009-02-06,21,51.48
2009-02-13,24,49.76
2009-02-20,19,47.99
2009-02-27,21,47.11
2009-03-06,21,43.92
2009-03-13,24,46.02
2009-03-20,25,45.98
2009-03-27,20,47.54
2009-04-03,19,49
2009-04-17,25,50.24
2009-04-24,22,49.31
2009-05-01,23,49.75
2009-05-08,19,51.95
2009-05-15,14,50.49
2009-05-22,16,51.15
2009-05-29,17,51.89
2009-06-05,20,52.41
2009-06-12,16,52.73
2009-06-19,14,50.67
2009-06-26,19,52.35
2009-07-10,17,51.95
2009-07-17,20,54.47
2009-07-24,18,58.02
2009-07-31,16,58.45
2009-08-07,23,57.56
2009-08-14,22,58.94
2009-08-21,15,59.53
2009-08-28,18,59.76
2009-09-04,15,58.2
2009-09-11,16,58.5
2009-09-18,17,57.88
2009-09-25,19,57.7
2009-10-02,15,58.87
2009-10-09,15,59.26
2009-10-16,17,59.07
2009-10-23,21,61.57
2009-10-30,17,61.16
2009-11-06,13,63.71
2009-11-13,17,64.04
2009-11-20,18,64.75
2009-11-27,14,65.56
2009-12-04,15,65.87
2009-12-11,13,64.71
2009-12-18,11,63.33
2010-01-08,14,62.71
2010-01-15,13,62.22
2010-01-22,17,60.23
2010-01-29,12,59.39
2010-02-05,17,58.96
2010-02-12,16,58.86
2010-02-19,14,60.25
2010-02-26,15,60.74
