"Date","sell.MO","Price"
2006-03-03,95,72.11
2006-05-26,100,72.47
2006-08-04,100,79.9
2007-03-02,67,83.48
2007-04-13,81,69.56
2007-06-08,55,70.3
2007-06-15,57,70.67
2007-06-22,59,68.2
2007-06-29,61,70.14
2007-07-06,63,71.6
2007-07-13,62,71.7
2007-07-20,62,69.8
2007-07-27,58,65.17
2007-08-03,58,66.6
2007-08-10,58,67.39
2007-08-17,58,67.59
2007-08-24,58,69.19
2007-08-31,54,69.41
2007-09-07,54,67.39
2007-09-14,54,67.03
2007-09-21,54,68.54
2007-09-28,54,69.53
2007-10-05,55,69.56
2007-10-12,56,70.06
2007-10-19,57,70.5
2007-10-26,57,72.97
2007-11-02,57,72.11
2007-11-09,57,72.71
2007-11-16,58,73.18
2007-11-23,53,72.97
2007-11-30,53,77.56
2007-12-07,53,77.6
2007-12-14,53,76.82
2007-12-21,55,77.43
2007-12-28,57,75.96
2008-01-04,59,74.9
2008-01-11,61,79.02
2008-01-18,63,75.42
2008-01-25,64,73.95
2008-02-01,64,75.44
2008-02-08,65,73.09
2008-02-15,42,72.53
2008-02-22,58,73.6
2008-02-29,49,73.14
2008-03-07,49,74.52
2008-03-14,48,71.78
2008-03-28,73,73.83
2008-04-04,52,21.71
2008-04-11,40,21.37
2008-04-18,40,22.1
2008-04-25,40,21.7
2008-05-02,45,20.43
2008-05-09,43,20.94
2008-05-16,43,22.45
2008-05-23,51,22.28
2008-05-30,39,22.26
2008-07-11,49,21.26
2008-07-18,53,20.45
2008-07-25,82,21.07
2008-08-01,40,20.9
2008-08-08,69,20.95
2008-08-15,58,21.6
2008-08-22,43,20.92
2008-08-29,42,21.03
2008-09-05,78,20.95
2008-09-12,47,21.16
2008-09-19,46,20.54
2008-09-26,46,20.89
2008-10-03,46,20.29
2008-10-10,53,17.16
2008-10-17,41,19.32
2008-10-24,41,19.22
2008-10-31,40,19.19
2008-11-07,51,17.98
2008-11-14,63,16.26
2008-11-21,34,15.49
2008-11-28,34,16.08
2008-12-05,53,15
2008-12-12,34,15.34
2008-12-19,44,15.28
2008-12-26,49,15.06
2009-01-02,56,15.2
2009-01-09,45,15.48
2009-01-16,35,16.84
2009-01-23,40,16.84
2009-01-30,34,16.54
2009-02-06,46,16.96
2009-02-13,49,15.92
2009-02-20,34,15.46
2009-02-27,41,15.44
2009-03-06,48,15.72
2009-03-13,30,16.68
2009-03-20,39,16.78
2009-03-27,47,16.56
2009-04-03,33,16.16
2009-04-17,55,16.99
2009-04-24,45,16.92
2009-05-01,63,16.37
2009-05-08,33,17.1
2009-05-15,58,16.98
2009-05-22,35,16.64
2009-05-29,52,17.09
2009-06-05,58,17.03
2009-06-12,68,16.64
2009-06-19,57,16.41
2009-06-26,45,16.48
2009-07-10,56,16.47
2009-07-17,53,17.34
2009-07-24,50,17.34
2009-07-31,39,17.53
2009-08-07,60,17.71
2009-08-14,56,17.56
2009-08-21,44,18.04
2009-08-28,31,18.22
2009-09-04,52,18.5
2009-09-11,54,18.14
2009-09-18,48,17.96
2009-09-25,35,17.5
2009-10-02,58,17.47
2009-10-09,39,18.06
2009-10-16,49,18.27
2009-10-23,56,17.93
2009-10-30,35,18.11
2009-11-06,50,18.54
2009-11-13,35,19.26
2009-11-20,67,18.98
2009-11-27,46,19
2009-12-04,27,19.32
2009-12-11,42,19.52
2009-12-18,30,19.65
2010-01-08,36,20.11
2010-01-15,42,20.42
2010-01-22,56,19.71
2010-01-29,62,19.86
2010-02-05,46,19.38
2010-02-12,48,19.63
2010-02-19,30,20.16
2010-02-26,36,20.12
2010-03-05,27,20.71
2010-03-12,29,20.2
2010-03-19,32,20.34
2010-03-26,48,20.42
2010-04-09,31,20.93
2010-04-16,34,20.87
2010-04-23,52,21.36
2010-04-30,53,21.19
2010-05-07,53,20.76
2010-05-14,40,21.61
2010-05-21,49,21.01
2010-05-28,40,20.29
2010-06-04,52,20.02
2010-06-11,44,20.08
2010-06-18,42,20.02
2010-06-25,66,19.7
2010-07-02,42,20.31
2010-07-09,67,21.3
2010-07-16,71,21.26
2010-07-23,93,22.12
2010-07-30,66,22.16
2010-08-06,65,22.54
2010-08-13,44,22.35
2010-08-20,59,22.71
2010-08-27,49,22.54
2010-09-03,68,22.91
2010-09-10,58,23.84
2010-09-17,57,23.5
2010-09-24,67,24
2010-10-01,51,23.78
2010-10-08,51,24.51
2010-10-15,43,24.88
2010-10-22,64,24.92
2010-10-29,61,25.42
2010-11-05,38,26.11
2010-11-12,55,24.85
2010-11-19,44,24.74
2010-11-26,36,24.36
2010-12-03,57,23.81
2010-12-10,56,24.85
2010-12-17,66,24.99
2010-12-31,53,24.62
2011-01-07,65,24.39
2011-01-14,59,24.16
2011-01-21,53,24.09
2011-01-28,66,23.79
2011-02-04,50,24
2011-02-11,42,24.44
2011-02-18,49,24.79
2011-02-25,59,24.94
2011-03-04,50,25.32
2011-03-11,51,25.05
2011-03-18,39,24.8
2011-03-25,44,25.82
2011-04-01,44,25.98
2011-04-08,65,26.24
2011-04-15,36,27.01
2011-04-29,46,26.84
2011-05-06,46,26.96
2011-05-13,65,27.31
2011-05-20,54,27.74
2011-05-27,54,27.94
2011-06-03,64,27.6
2011-06-10,46,27.01
2011-06-17,51,27.08
2011-06-24,49,26.79
2011-07-01,53,26.53
2011-07-08,55,26.89
2011-07-15,59,26.69
2011-07-22,68,26.36
2011-07-29,71,26.3
2011-08-05,51,25.89
2011-08-12,52,25.2
2011-08-19,62,25.71
2011-08-26,52,26.3
2011-09-02,65,26.72
2011-09-09,37,26.37
2011-09-16,45,26.9
2011-09-23,43,25.77
2011-09-30,58,26.81
2011-10-07,64,27.43
2011-10-14,59,27.67
2011-10-21,44,27.45
2011-10-28,36,27.56
2011-11-04,62,27.37
2011-11-11,69,27.78
2011-11-18,51,27.64
2011-11-25,33,27.25
2011-12-02,52,28.41
2011-12-09,60,28.78
2011-12-16,60,29.14
2011-12-23,68,29.84
2011-12-30,63,29.65
2012-01-06,58,28.72
2012-01-13,60,28.96
2012-01-20,69,28.7
2012-01-27,46,28.14
2012-02-03,49,28.84
2012-02-10,60,29.21
2012-02-17,50,29.65
2012-02-24,51,29.99
2012-03-02,56,29.96
2012-03-09,55,30.46
2012-03-16,46,30.03
2012-03-23,48,30.4
2012-03-30,53,30.87
2012-04-13,49,31.49
2012-04-20,70,31.89
2012-04-27,66,32.13
2012-05-04,66,32.43
2012-05-11,56,31.79
2012-05-18,61,31.68
2012-05-25,67,32.11
2012-06-01,68,31.69
2012-06-08,65,32.91
2012-06-15,81,33.77
2012-06-22,57,33.87
2012-06-29,59,34.55
2012-07-06,80,34.97
2012-07-13,60,35.62
2012-07-20,68,35.91
2012-07-27,64,35.9
2012-08-03,67,35.92
2012-08-10,71,34.96
2012-08-17,71,35.41
2012-08-24,58,34.08
2012-08-31,71,33.96
2012-09-07,57,34.27
2012-09-14,57,32.94
2012-09-21,66,34.06
2012-09-28,75,33.39
2012-10-05,64,34
2012-10-12,65,33.12
2012-10-19,56,32.63
2012-10-26,64,31.76
2012-11-02,44,31.7
2012-11-09,66,31.48
2012-11-16,45,31.24
2012-11-23,64,33.48
2012-11-30,73,33.81
2012-12-07,68,33.47
2012-12-14,56,33.16
2012-12-21,68,31.85
2012-12-28,60,31.09
2013-01-04,65,32.54
2013-01-11,64,32.93
2013-01-18,67,33.27
2013-01-25,45,33.45
2013-02-01,64,34.2
2013-02-08,48,34.69
2013-02-15,44,34.38
2013-02-22,46,35.32
2013-03-01,45,33.49
2013-03-08,59,34
2013-03-15,67,33.68
2013-03-22,63,33.91
2013-04-05,53,34.84
2013-04-12,62,35.91
2013-04-19,69,35.02
2013-04-26,67,36.07
2013-05-03,78,36.51
2013-05-10,78,36.68
2013-05-17,63,37.44
2013-05-24,56,37.09
2013-05-31,56,36.1
2013-06-07,58,36.15
2013-06-14,62,35.58
2013-06-21,61,34.93
2013-06-28,65,34.99
2013-07-05,50,35.49
2013-07-12,81,36.92
2013-07-19,82,37.15
2013-07-26,50,35.9
2013-08-02,66,35.68
2013-08-09,64,35.37
2013-08-16,63,34.29
2013-08-23,61,34.28
2013-08-30,73,33.88
2013-09-06,48,34.4
2013-09-13,45,34.84
2013-09-20,55,35.55
2013-09-27,63,34.71
2013-10-04,55,34.65
2013-10-11,53,35.54
2013-10-18,57,35.86
2013-10-25,56,36.25
2013-11-01,44,37.33
2013-11-08,72,37.55
2013-11-15,60,38
2013-11-22,43,37.27
2013-11-29,54,36.98
2013-12-06,40,37.46
2013-12-13,55,37.1
2013-12-20,49,38.57
2013-12-27,55,38.31
2014-01-03,50,37.72
2014-01-10,45,37.26
2014-01-17,61,37.03
2014-01-24,57,37.3
2014-01-31,62,35.22
2014-02-07,54,35.3
2014-02-14,57,35.57
2014-02-21,54,35.37
2014-02-28,50,36.26
2014-03-07,51,36.81
2014-03-14,56,36.34
2014-03-21,47,36.45
2014-03-28,66,37.12
2014-04-04,54,37.57
2014-04-11,52,37.65
2014-04-25,67,39.11
