"Date","Fidelity.National.Information.Services","Price"
2007-02-16,33,47.55
2007-06-29,48,54.28
2007-07-06,94,56.3
2007-07-13,49,56.94
2007-07-20,35,56.24
2007-07-27,29,50.51
2007-08-03,29,49.38
2007-08-10,29,49.55
2007-08-17,29,48.06
2007-08-24,29,48.21
2007-08-31,30,47.4
2007-09-07,30,44.92
2007-09-14,31,46.29
2007-09-21,31,45.12
2007-09-28,25,44.37
2007-10-05,30,46.19
2007-10-12,27,47.86
2007-10-19,27,46.75
2007-11-30,26,43.22
2007-12-07,25,44.9
2007-12-14,25,43.51
2007-12-21,25,42.27
2007-12-28,25,42.01
2008-01-04,25,39.87
2008-01-11,25,37.21
2008-01-18,26,38.45
2008-01-25,26,40.17
2008-02-01,31,43.48
2008-02-08,24,41.59
2008-02-15,24,42.04
2008-02-22,28,41.52
2008-02-29,29,41.49
2008-03-07,21,39
2008-03-14,31,37.67
2008-03-28,30,37.85
2008-04-04,39,38.15
2008-04-11,41,35.23
2008-04-18,31,38.07
2008-04-25,31,36.38
2008-05-02,24,37.49
2008-05-09,23,37
2008-05-16,20,39.22
2008-05-23,20,38.12
2008-05-30,25,40.28
2008-06-06,29,40.11
2008-06-13,33,39.99
2008-06-20,37,38.5
2008-06-27,23,36.97
2008-07-11,35,20.8
2008-07-18,36,20.84
2008-07-25,34,19.56
2008-08-01,29,19.13
2008-08-08,25,23.21
2008-08-15,23,23.09
2008-08-22,23,22.33
2008-08-29,26,21.85
2008-09-05,21,20.86
2008-09-12,28,21.83
2008-09-19,26,20.36
2008-09-26,30,19.74
2008-10-03,42,17.04
2008-10-10,25,15.14
2008-10-17,29,15.56
2008-10-24,16,13.37
2008-10-31,16,15.09
2008-11-07,23,16.16
2008-11-14,29,15.85
2008-11-21,21,13.8
2008-11-28,24,17.18
2008-12-05,29,17.05
2008-12-12,30,16.48
2008-12-19,28,16.95
2008-12-26,23,16.09
2009-01-02,23,17.05
2009-01-09,28,16.82
2009-01-16,20,16.44
2009-01-23,19,15.79
2009-01-30,28,15.91
2009-02-06,27,17.55
2009-02-13,27,18.29
2009-02-20,22,17.63
2009-02-27,27,17.5
2009-03-06,34,16.39
2009-03-13,35,17.11
2009-03-20,30,17.55
2009-03-27,20,17.8
2009-04-03,100,17.84
2009-04-17,30,19.72
2009-04-24,26,19.05
2009-05-01,26,17.76
2009-05-08,25,18.86
2009-05-15,24,18.33
2009-05-22,27,18.61
2009-05-29,36,19.26
2009-06-05,25,20.2
2009-06-12,18,20.1
2009-06-19,26,19.76
2009-06-26,25,19.96
2009-07-10,24,19.48
2009-07-17,31,20.62
2009-07-24,31,21.41
2009-07-31,31,23.42
2009-08-07,20,24.45
2009-08-14,35,24.24
2009-08-21,30,24.85
2009-08-28,28,24.72
2009-09-04,20,24.18
2009-09-11,25,24.82
2009-09-18,31,24.93
2009-09-25,28,25.4
2009-10-02,27,23.99
2009-10-09,33,24.35
2009-10-16,24,24.43
2009-10-23,34,22.82
2009-10-30,20,21.76
2009-11-06,22,22.46
2009-11-13,17,22.59
2009-11-20,18,22.73
2009-11-27,15,22.53
2009-12-04,38,23.46
2009-12-11,30,23.73
2009-12-18,23,23.53
2010-01-08,24,24.05
2010-01-15,27,23.99
2010-01-22,20,23.96
2010-01-29,17,23.56
2010-02-05,20,23.04
2010-02-12,21,22.36
2010-02-19,28,22.68
2010-02-26,28,22.54
2010-03-05,24,23.48
2010-03-12,26,23.19
2010-03-19,14,23.63
2010-03-26,22,23.66
2010-04-09,16,24.52
2010-04-16,19,25.19
2010-04-23,19,25.76
2010-04-30,22,26.29
2010-05-07,51,28.76
2010-05-14,43,29.69
2010-05-21,30,26.17
2010-05-28,25,27.52
2010-06-04,18,27.14
2010-06-11,22,27.21
2010-06-18,21,27.48
2010-06-25,22,27.54
2010-07-02,23,26.41
2010-07-09,29,27.7
2010-07-16,32,27.52
2010-07-23,22,28.1
2010-07-30,18,28.67
2010-08-06,13,27.7
2010-08-13,13,26.5
2010-08-20,16,26.49
2010-08-27,14,26.59
2010-09-03,15,27.5
2010-09-10,11,27.37
2010-09-17,15,27.4
2010-09-24,12,27.54
2010-10-01,15,26.99
2010-10-08,15,26.8
2010-10-15,10,28.07
2010-10-22,17,28.6
2010-10-29,21,27.1
2010-11-05,15,27.95
2010-11-12,15,27.2
2010-11-19,16,27.38
2010-11-26,16,27.29
2010-12-03,16,28.48
2010-12-10,14,28.25
2010-12-17,11,27.44
2010-12-31,18,27.39
2011-01-07,11,28.49
2011-01-14,11,30.12
2011-01-21,11,30.01
2011-01-28,11,30.28
2011-02-04,11,30.96
2011-02-11,11,31.89
2011-02-18,11,32.14
2011-02-25,12,32.03
2011-03-04,12,31.53
2011-03-11,14,31.23
2011-03-18,9,30.9
2011-03-25,11,32.04
2011-04-01,10,33.23
2011-04-08,10,32.82
2011-04-15,11,33.26
2011-04-29,13,33.11
2011-05-06,14,32.49
2011-05-13,15,32.23
2011-05-20,9,31.96
2011-05-27,9,31.86
2011-06-03,11,31.21
2011-06-10,13,31.57
