"Date","Goldman.Sachs.Group","Price"
2004-11-05,78,100.85
2005-06-10,65,99.05
2005-06-17,68,103.8
2005-06-24,71,103.67
2005-07-01,75,102.71
2005-07-08,78,105.65
2005-07-15,81,108.5
2005-10-14,68,114.55
2005-10-21,58,118.77
2005-10-28,58,124.56
2005-11-04,58,130.96
2005-11-11,58,130
2005-11-18,58,131.58
2006-01-06,49,128.84
2006-01-13,53,133.26
2006-01-20,57,131.44
2006-01-27,61,138.94
2006-02-03,48,142.74
2006-02-10,46,140.81
2006-02-17,46,145.54
2006-02-24,44,144.16
2006-03-03,44,146
2006-03-10,44,141.53
2006-03-17,56,150.36
2006-03-24,39,152.17
2006-03-31,39,156.96
2006-04-07,41,161.02
2006-04-21,41,165.89
2006-04-28,55,160.29
2006-05-05,49,164.39
2006-05-12,39,156.11
2006-05-19,45,149.41
2006-05-26,51,152.94
2006-06-02,56,154.09
2006-06-09,48,149.89
2006-06-16,48,144
2006-06-23,52,147.92
2006-06-30,59,150.43
2006-07-07,66,148.51
2006-08-25,48,150.07
2006-09-01,35,149.14
2006-09-08,36,149.8
2006-09-15,49,162.71
2006-09-22,44,167.52
2006-09-29,34,169.17
2006-10-06,44,175.65
2006-10-13,37,183.85
2006-10-20,39,180.4
2006-10-27,39,188.67
2006-11-03,40,187.13
2006-11-10,41,187.06
2006-11-17,46,195.04
2006-11-24,47,201.6
2006-12-01,48,194.5
2006-12-08,36,205.1
2006-12-15,77,199.84
2006-12-22,59,198.09
2006-12-29,39,199.35
2007-01-05,44,199.05
2007-01-12,54,213.99
2007-01-19,53,210.29
2007-01-26,54,213.5
2007-02-02,41,213.43
2007-02-09,54,213.28
2007-02-16,33,216.92
2007-02-23,45,216.5
2007-03-02,50,195.67
2007-03-09,37,201.7
2007-03-16,59,199
2007-03-23,37,211.89
2007-03-30,37,206.63
2007-04-13,40,206.5
2007-04-20,41,220
2007-04-27,46,224.28
2007-05-04,31,227.34
2007-05-11,43,227.5
2007-05-18,41,230.34
2007-05-25,48,225.53
2007-06-01,34,230.71
2007-06-08,43,225.06
2007-06-15,28,226.19
2007-06-22,48,222.4
2007-06-29,38,216.75
2007-07-06,44,223.64
2007-07-13,43,222.18
2007-07-20,56,205.94
2007-07-27,46,192.65
2007-08-03,48,179.68
2007-08-10,36,180.5
2007-08-17,41,175
2007-08-24,43,179.73
2007-08-31,30,176.01
2007-09-07,47,178.98
2007-09-14,60,190.59
2007-09-21,52,209.98
2007-09-28,42,216.74
2007-10-05,51,228.5
2007-10-12,50,233.56
2007-10-19,34,217.69
2007-10-26,52,235.92
2007-11-02,33,229.6
2007-11-09,45,211.33
2007-11-16,52,225.25
2007-11-23,38,216.48
2007-11-30,38,226.64
