"Date","LyondellBasell","Price"
2010-04-30,11,22.3
2010-05-07,10,18.6
2010-05-14,7,18.75
2010-05-21,11,16.55
2010-05-28,6,17.77
2010-06-04,8,17.05
2010-06-11,7,17.14
2010-06-18,6,17.21
2010-06-25,6,16.82
2010-07-02,5,15.48
2010-07-09,6,15.8
2010-07-16,7,16.2
2010-07-23,7,16.78
2010-07-30,6,18
2010-08-06,7,18
2010-08-13,6,18.02
2010-08-20,8,19.89
2010-08-27,9,20.44
2010-09-03,7,21.13
2010-09-10,5,20.79
2010-09-17,6,22.25
2010-09-24,6,22.46
2010-10-01,4,23.87
2010-10-08,7,25.25
2010-10-15,8,26.5
2010-10-22,8,27.55
2010-10-29,8,26.86
2010-11-05,6,28.35
2010-11-12,8,27.4
2010-11-19,6,28.75
2010-11-26,6,29.38
2010-12-03,5,30.52
2010-12-10,7,31.1
2010-12-17,6,31.87
2010-12-31,5,34.4
2011-01-07,7,34.62
2011-01-14,6,36.61
2011-01-21,8,35.05
2011-01-28,7,34.86
2011-02-04,7,36.17
2011-02-11,11,37.07
2011-02-18,9,37.95
2011-02-25,7,38.17
2011-03-04,7,39.64
2011-03-11,8,39.16
2011-03-18,6,38.4
2011-03-25,7,40.36
2011-04-01,5,40.27
2011-04-08,7,42.58
2011-04-15,6,41.01
2011-04-29,5,44.5
2011-05-06,6,41.08
2011-05-13,7,39.68
2011-05-20,7,40
2011-05-27,7,42.74
2011-06-03,9,39.89
2011-06-10,6,39.3
2011-06-17,8,36.88
2011-06-24,7,37.58
2011-07-01,7,38.92
2011-07-08,6,40.88
2011-07-15,6,38.09
2011-07-22,7,39.54
2011-07-29,7,39.46
2011-08-05,8,33.11
2011-08-12,9,33.9
2011-08-19,7,27.98
2011-08-26,8,31.85
2011-09-02,6,32.11
2011-09-09,6,31.19
2011-09-16,8,34
2011-09-23,8,28.47
2011-09-30,18,24.43
2011-10-07,12,26.52
2011-10-14,9,29.2
2011-10-21,7,31.02
2011-10-28,7,34.5
2011-11-04,9,35.01
2011-11-11,6,36.08
2011-11-18,7,34.53
2011-11-25,8,28.65
2011-12-02,6,32.8
2011-12-09,8,33.18
2011-12-16,7,32.05
2011-12-23,5,32.99
2011-12-30,4,32.49
2012-01-06,7,34.45
2012-01-13,7,38.91
2012-01-20,8,39.9
2012-01-27,9,41.23
2012-02-03,8,44.8
2012-02-10,9,44.75
2012-02-17,7,43.98
2012-02-24,8,44.15
2012-03-02,7,43.71
2012-03-09,6,42.14
2012-03-16,4,42.9
2012-03-23,5,42.52
2012-03-30,6,43.65
2012-04-13,8,44.07
2012-04-20,6,44.16
2012-04-27,6,45.73
2012-05-04,6,39.48
2012-05-11,5,40.08
2012-05-18,5,37.04
2012-05-25,6,39.6
2012-06-01,5,37.26
2012-06-08,6,38.23
2012-06-15,6,38.94
2012-06-22,6,39.62
2012-06-29,5,40.27
2012-07-06,6,41.15
2012-07-13,6,40.78
2012-07-20,6,41.6
2012-07-27,7,44.51
2012-08-03,7,45.37
2012-08-10,7,47.28
2012-08-17,5,49.24
2012-08-24,7,47.9
2012-08-31,7,48.84
2012-09-07,8,49.46
2012-09-14,7,53.42
2012-09-21,7,52.37
2012-09-28,6,51.66
2012-10-05,6,52.68
2012-10-12,6,50.86
2012-10-19,7,54.33
2012-10-26,8,53.75
2012-11-02,6,53.06
2012-11-09,6,50.85
2012-11-16,6,46.87
2012-11-23,5,48.62
2012-11-30,7,49.73
2012-12-07,6,53.81
2012-12-14,6,53.79
2012-12-21,5,55.14
2012-12-28,2,55.51
2013-01-04,4,58.41
2013-01-11,6,60.91
2013-01-18,6,62.59
2013-01-25,8,62.75
2013-02-01,7,61.37
2013-02-08,6,62.11
2013-02-15,7,60.4
2013-02-22,7,59.32
2013-03-01,8,59.69
2013-03-08,8,63.6
2013-03-15,7,64.01
2013-03-22,8,64.5
2013-04-05,6,58.98
2013-04-12,6,59.46
2013-04-19,6,57.86
2013-04-26,7,60.14
2013-05-03,6,60.95
2013-05-10,7,61.55
2013-05-17,7,67.32
2013-05-24,5,65.72
2013-05-31,6,66.65
2013-06-07,6,64.87
2013-06-14,6,67.42
2013-06-21,7,66.75
2013-06-28,6,66.26
2013-07-05,5,67.68
2013-07-12,7,70
2013-07-19,5,68.41
2013-07-26,6,67.4
2013-08-02,5,68.95
2013-08-09,6,68.7
2013-08-16,6,68.87
2013-08-23,6,70.12
2013-08-30,7,70.15
2013-09-06,7,70.32
2013-09-13,7,71
2013-09-20,6,73.03
2013-09-27,8,73.39
2013-10-04,6,75.39
2013-10-11,7,75.97
2013-10-18,6,77.91
2013-10-25,6,77.1
2013-11-01,6,73.93
2013-11-08,7,75.39
2013-11-15,6,78.57
2013-11-22,5,79.29
2013-11-29,5,77.18
2013-12-06,6,76.55
2013-12-13,6,76.19
2013-12-20,6,78.6
2013-12-27,3,79.43
2014-01-03,4,78.71
2014-01-10,6,80.35
2014-01-17,7,81.4
2014-01-24,7,75.92
2014-01-31,7,78.76
2014-02-07,7,80.83
2014-02-14,7,84.47
2014-02-21,7,85.65
2014-02-28,6,88.08
2014-03-07,6,90.9
2014-03-14,6,88.92
2014-03-21,6,90.04
2014-03-28,6,88.38
2014-04-04,7,89.03
2014-04-11,5,87.11
2014-04-25,6,91.05
