"Date","OKE","Price"
2004-02-06,8,22.14
2004-02-13,11,22.42
2004-02-20,9,22.09
2004-02-27,7,22.21
2004-03-05,9,23.18
2004-03-12,9,22.92
2004-03-19,7,22.75
2004-03-26,5,21.79
2004-04-02,9,22.82
2004-04-16,5,22.28
2004-04-23,8,21.9
2004-04-30,8,20.95
2004-05-07,20,20.53
2004-05-14,12,20.5
2004-05-21,18,20.75
2004-05-28,8,21.37
2004-06-04,11,21.22
2004-06-18,27,21.15
2004-06-25,9,22.05
2004-07-02,6,22
2004-07-09,8,21.93
2004-07-16,8,21.8
2004-07-23,3,21.16
2004-07-30,5,21
2004-08-06,5,22.29
2004-08-13,8,22.6
2004-08-20,6,23.21
2004-08-27,7,23.22
2004-09-03,10,23.66
2004-09-10,15,24.24
2004-09-17,13,25
2004-09-24,11,25.38
2004-10-01,14,26.24
2004-10-08,11,26.49
2004-10-15,8,26.29
2004-10-22,12,26.26
2004-10-29,12,26.82
2004-11-05,8,27.04
2004-11-12,6,28.28
2004-11-19,10,27.37
2004-11-26,19,28.37
2004-12-03,21,27.63
2004-12-10,26,27.56
2004-12-17,29,28.41
2004-12-31,11,28.42
2005-01-07,30,27.19
2005-01-14,27,27.63
2005-01-21,14,28.18
2005-01-28,16,27.42
2005-02-04,17,29
2005-02-11,21,28.83
2005-02-18,17,28.95
2005-02-25,16,29.31
2005-03-04,17,30.55
2005-03-11,19,30.59
2005-03-18,20,30.54
2005-04-01,16,31.05
2005-04-08,24,30.63
2005-04-15,20,28.68
2005-04-22,22,29.75
2005-04-29,50,28.86
2005-05-06,47,29.92
2005-05-13,43,29.1
2005-05-20,44,30
2005-05-27,22,30.42
2005-06-03,23,30.59
2005-06-10,25,31.69
2005-06-17,39,31.93
2005-06-24,30,31.7
2005-07-01,64,33.13
2005-07-08,12,33.25
2005-07-15,13,33.41
2005-07-22,12,34.22
2005-07-29,9,34.95
2005-08-05,8,33.97
2005-08-12,7,33.32
2005-08-19,8,33.14
2005-08-26,8,32.96
2005-09-02,15,33.4
2005-09-09,18,34.2
2005-09-16,17,33.79
2005-09-23,17,33.03
2005-09-30,18,34.02
2005-10-07,14,32.44
2005-10-14,13,29.85
2005-10-21,16,28.47
2005-10-28,16,28.44
2005-11-04,13,28.25
2005-11-11,14,26.9
2005-11-18,17,27.55
2005-11-25,21,28.02
2005-12-02,19,27.68
2005-12-09,18,27.37
2005-12-16,45,27.55
2005-12-23,41,27.29
2005-12-30,17,26.63
2006-01-06,27,27.86
2006-01-13,26,28.5
2006-01-20,22,28.8
2006-01-27,20,28.04
2006-02-03,17,26.92
2006-02-10,18,26.59
2006-02-17,22,30.36
2006-02-24,20,31.29
2006-03-03,25,29.97
2006-03-10,20,29.25
2006-03-17,21,30.45
2006-03-24,23,30.76
2006-03-31,24,32.25
2006-04-07,40,33.15
2006-04-21,24,33.37
2006-04-28,59,33.01
2006-05-05,71,32.62
2006-05-12,56,31.86
2006-05-19,55,31.16
2006-05-26,27,31.82
2006-06-02,26,34.8
2006-06-09,23,34.17
2006-06-16,55,33.54
