"Date","Family.Dollar.Stores","Price"
2005-09-23,77,19.78
2005-11-18,57,23.24
2005-11-25,79,23.11
2005-12-02,100,23.09
2006-02-24,75,25.51
2006-03-03,57,25.81
2006-03-10,57,25.51
2006-03-17,48,26.42
2006-05-26,46,25.37
2006-06-02,47,24.69
2006-06-09,47,23.98
2006-06-16,47,24.41
2006-06-23,47,24.46
2006-06-30,47,24.43
2006-08-25,61,23.58
2006-09-01,40,26.29
2006-09-08,40,26.75
2006-09-15,40,28.9
2006-09-22,40,28.03
2006-09-29,46,29.24
2006-10-06,51,29.2
2006-10-13,56,29.75
2006-10-20,54,30.01
2006-10-27,54,29.81
2006-11-03,39,27.66
2006-11-10,39,27.67
2006-11-17,40,28.45
2006-11-24,38,28.43
2006-12-01,97,28
2006-12-08,64,28.58
2006-12-15,77,28.97
2006-12-22,98,29.76
2006-12-29,40,29.33
2007-01-05,40,28.95
2007-01-12,40,30.3
2007-01-19,40,32.13
2007-01-26,40,31.18
2007-02-02,36,32.5
2007-02-09,32,31.2
2007-02-16,36,31.01
2007-02-23,40,30.14
2007-03-02,50,28.72
2007-03-09,38,28.78
2007-03-16,38,28.94
2007-03-23,47,29.7
2007-03-30,36,29.62
2007-04-13,35,30.73
2007-04-20,42,31.96
2007-04-27,49,31.86
2007-05-04,37,32.63
2007-05-11,54,33.16
2007-05-18,54,33.51
2007-05-25,34,33.38
2007-06-01,43,33.86
2007-06-08,66,34.34
2007-06-15,39,35.06
2007-06-22,40,34.11
2007-06-29,51,34.32
2007-07-06,52,34.6
2007-07-13,40,34.8
2007-07-20,58,34.52
2007-07-27,51,30.24
2007-08-03,37,28.26
2007-08-10,40,26.11
2007-08-17,60,27
2007-08-24,33,28.15
2007-08-31,73,29.28
2007-09-07,40,28
2007-09-14,33,28.59
2007-09-21,41,27.13
2007-09-28,38,26.56
2007-10-05,55,27.29
2007-10-12,45,27.41
2007-10-19,53,24.56
2007-10-26,64,25.34
2007-11-02,32,23.61
2007-11-09,40,22.53
2007-11-16,59,22.13
2007-11-23,39,22.82
2007-11-30,89,23.55
2007-12-07,56,20.3
2007-12-14,66,18.53
2007-12-21,44,19.48
2007-12-28,36,18.99
2008-01-04,48,17
2008-01-11,34,15.9
2008-01-18,45,17.69
2008-01-25,47,18.23
2008-02-01,45,21.65
2008-02-08,57,19.66
2008-02-15,56,19.77
2008-02-22,30,20.04
2008-02-29,50,19.15
2008-03-07,33,18.8
2008-03-14,45,18.52
2008-03-28,44,19.12
2008-04-04,39,20.38
2008-04-11,49,19.18
2008-04-18,55,20.51
2008-04-25,43,21.65
2008-05-02,44,22.08
2008-05-09,45,21.56
2008-05-16,28,21.65
2008-05-23,44,19.5
2008-05-30,38,21.4
2008-06-06,40,22.2
2008-06-13,29,21.59
2008-06-20,45,19.4
2008-06-27,31,19.42
2008-07-11,29,22.57
2008-07-18,29,23.81
2008-07-25,59,22.74
2008-08-01,33,24.06
2008-08-08,29,24.92
2008-08-15,45,25.37
2008-08-22,38,24.56
2008-08-29,27,24.92
2008-09-05,28,27.17
2008-09-12,35,27.27
2008-09-19,37,27.93
2008-09-26,20,26.95
2008-10-03,44,24.55
2008-10-10,52,22.3
2008-10-17,48,24.66
2008-10-24,38,25.05
2008-10-31,61,26.91
2008-11-07,32,26.36
2008-11-14,42,26.67
2008-11-21,25,25.38
2008-11-28,34,27.78
2008-12-05,45,25.09
2008-12-12,31,24.51
