"Date","buy.CB","Price"
2007-11-16,67,53.31
2007-11-23,84,52.17
2008-02-22,67,52.81
2008-02-29,73,50.9
2008-03-07,79,49.62
2008-03-14,85,49
2008-03-28,73,49.55
2008-08-01,91,48
2008-08-08,64,48.93
2008-08-15,64,48.61
2008-08-22,64,47.95
2008-08-29,60,48.01
2008-09-05,60,47.49
2008-09-12,59,49.57
2008-09-19,59,64.5
2008-11-07,79,49.36
2008-11-14,60,49.6
2008-11-21,60,42.76
2008-11-28,60,51.36
2008-12-05,60,51.85
2008-12-12,60,49.07
2008-12-19,66,49.25
2008-12-26,67,48.21
2009-01-02,51,50.32
2009-01-09,51,45.25
2009-01-16,51,43.8
2009-01-23,50,40.88
2009-01-30,50,42.58
2009-02-06,50,43.09
2009-02-13,55,41.52
2009-02-20,60,38.89
2009-02-27,55,39.04
2009-03-06,59,35.73
2009-04-24,58,40.36
2009-05-01,52,38.55
2009-05-08,52,40.88
2009-05-15,52,38.94
2009-05-22,56,38.95
2009-05-29,61,39.65
2009-06-05,65,41.2
2009-06-12,56,40.82
2009-06-19,55,40.18
2009-06-26,61,39.51
2009-07-10,48,39.18
2009-07-17,62,40.64
2009-07-24,53,45.37
2009-07-31,63,46.18
2009-08-07,73,48.15
2009-08-14,53,48.76
2009-08-21,48,49.04
2009-08-28,44,49.07
2009-09-04,44,48.84
2009-09-11,44,48.77
2009-09-18,44,49.16
2009-09-25,61,48.82
2009-10-02,68,49.47
2009-10-09,43,50.62
2009-10-16,60,51.31
2009-10-23,41,50.64
2009-10-30,49,48.52
2009-11-06,58,49.76
2009-11-13,68,50.62
2009-11-20,77,50.04
2009-11-27,71,49.54
2009-12-04,40,48.69
2009-12-11,44,48.68
2009-12-18,49,48.06
2010-01-08,47,48.84
2010-01-15,53,49.57
2010-01-22,45,48.02
2010-01-29,52,50
2010-02-05,52,48.53
2010-02-12,42,49.07
2010-02-19,42,51.49
2010-02-26,52,50.46
2010-03-05,63,51.62
2010-03-12,44,50.73
2010-03-19,51,51.71
2010-03-26,81,52.23
2010-04-09,58,51.61
2010-04-16,58,51.9
2010-04-23,58,53.75
2010-04-30,63,52.87
2010-05-07,41,50.22
2010-05-14,60,51.35
2010-05-21,64,50.39
2010-05-28,53,50.24
2010-06-04,62,49.3
2010-06-11,45,51.88
2010-06-18,54,52.97
2010-06-25,50,52.4
2010-07-02,57,49.37
2010-07-09,66,52.13
2010-07-16,36,51.55
2010-07-23,65,52.88
2010-07-30,43,52.63
2010-08-06,51,53.76
2010-08-13,50,53.1
2010-08-20,54,53.39
2010-08-27,38,54.48
2010-09-03,54,56.45
2010-09-10,51,56.05
2010-09-17,46,57.66
2010-09-24,55,57.16
2010-10-01,74,56.37
2010-10-08,45,56.33
2010-10-15,51,57.59
2010-10-22,41,57.92
2010-10-29,37,58.02
2010-11-05,50,59.47
2010-11-12,49,57.85
2010-11-19,68,57.79
2010-11-26,49,56.81
2010-12-03,57,58.63
2010-12-10,67,59.11
2010-12-17,73,59.2
2010-12-31,86,59.64
2011-01-07,61,58.3
2011-01-14,40,57.32
2011-01-21,60,57.42
2011-01-28,48,57.97
2011-02-04,38,58.7
2011-02-11,53,59.17
2011-02-18,44,61.31
2011-02-25,44,60.11
2011-03-04,60,59.4
2011-03-11,41,59.06
2011-03-18,44,58.07
2011-03-25,33,60.28
2011-04-01,39,61.43
2011-04-08,59,62.12
2011-04-15,50,61.87
2011-04-29,46,65.19
2011-05-06,30,65.41
2011-05-13,36,64.87
2011-05-20,47,65.58
2011-05-27,64,64.93
2011-06-03,42,65.12
2011-06-10,57,63.6
2011-06-17,41,62.66
2011-06-24,44,60.93
2011-07-01,36,63.03
2011-07-08,61,62.75
2011-07-15,53,62.22
2011-07-22,41,64.45
2011-07-29,58,62.48
2011-08-05,57,59.62
2011-08-12,57,60.17
2011-08-19,57,58.84
2011-08-26,50,59.38
2011-09-02,52,60.38
2011-09-09,45,59.24
2011-09-16,58,60.39
2011-09-23,45,57.89
2011-09-30,62,59.99
2011-10-07,42,59.77
2011-10-14,43,62.87
2011-10-21,56,68.71
2011-10-28,41,68.62
2011-11-04,63,67.53
2011-11-11,60,67.78
2011-11-18,47,65.7
2011-11-25,53,63.82
2011-12-02,40,66.22
2011-12-09,54,68.82
2011-12-16,50,67.38
2011-12-23,52,69.87
2011-12-30,57,69.22
2012-01-06,61,69.28
2012-01-13,40,69.09
2012-01-20,44,70.97
2012-01-27,66,67.42
2012-02-03,48,68.58
2012-02-10,76,68.8
2012-02-17,65,69.09
2012-02-24,39,68.6
2012-03-02,57,67.37
2012-03-09,59,67.23
2012-03-16,43,68.39
2012-03-23,44,67.76
2012-03-30,57,69.11
2012-04-13,52,69.66
2012-04-20,43,71.92
2012-04-27,54,73.24
2012-05-04,42,73.39
2012-05-11,68,73.42
2012-05-18,51,70.8
2012-05-25,41,71.75
2012-06-01,57,69.99
2012-06-08,36,71.54
2012-06-15,68,71.52
2012-06-22,45,71.33
2012-06-29,38,72.82
2012-07-06,37,72.23
2012-07-13,45,71.81
2012-07-20,36,70.59
2012-07-27,53,72.32
2012-08-03,61,72.88
2012-08-10,57,72.45
2012-08-17,31,73.42
2012-08-24,56,73.66
2012-08-31,63,73.89
2012-09-07,54,74.91
2012-09-14,53,76.08
2012-09-21,39,75.43
2012-09-28,71,76.28
2012-10-05,36,78.18
2012-10-12,45,76.99
2012-10-19,33,80.3
2012-10-26,39,77.96
2012-11-02,54,74.48
2012-11-09,33,74.75
2012-11-16,60,75.41
2012-11-23,54,77.23
2012-11-30,51,76.99
2012-12-07,24,77.54
2012-12-14,51,76.12
2012-12-21,62,75.41
2012-12-28,74,74.4
2013-01-04,49,78.06
2013-01-11,67,77.78
2013-01-18,46,79.03
2013-01-25,56,81.01
2013-02-01,50,82.89
2013-02-08,46,83.44
2013-02-15,34,83.77
2013-02-22,38,84.57
2013-03-01,50,84.68
2013-03-08,38,85.74
2013-03-15,48,85.52
2013-03-22,50,86.41
2013-04-05,56,87.63
2013-04-12,52,89.14
2013-04-19,43,87.89
2013-04-26,45,87.81
2013-05-03,68,88.12
2013-05-10,52,89.14
2013-05-17,48,89.88
2013-05-24,48,88.02
2013-05-31,61,87.1
2013-06-07,39,86.96
2013-06-14,50,86.3
2013-06-21,63,83.15
2013-06-28,47,84.65
2013-07-05,48,85.94
2013-07-12,39,87.76
2013-07-19,40,88.64
2013-07-26,55,87.23
2013-08-02,45,87.07
2013-08-09,40,85.49
2013-08-16,35,84.98
2013-08-23,38,85.15
2013-08-30,38,83.17
2013-09-06,49,84.3
2013-09-13,61,87.61
2013-09-20,37,89.98
2013-09-27,35,89.65
2013-10-04,44,88.87
2013-10-11,36,90.16
2013-10-18,43,92.71
2013-10-25,43,92.2
2013-11-01,52,92.09
2013-11-08,46,94.32
2013-11-15,53,94.82
2013-11-22,57,96.84
