"Date","BSX","Price"
2004-02-06,69,42.08
2004-04-02,45,44.92
2004-04-16,100,43.6
2004-04-23,43,41.81
2004-04-30,55,41.19
2004-05-07,59,39.77
2004-05-14,50,39.57
2004-05-21,50,37.9
2004-05-28,50,44.3
2004-06-04,64,42.9
2004-06-18,65,40.96
2004-06-25,48,41.56
2004-07-02,75,42.67
2004-07-09,56,41.4
2004-07-16,71,37.4
2004-07-23,91,33.59
2004-07-30,57,38.26
2004-08-06,56,33.21
2004-08-13,39,32.37
2004-08-20,39,34.52
2004-08-27,52,37.29
2004-09-03,51,39.06
2004-09-10,51,39.47
2004-09-17,37,38.34
2004-09-24,44,38.28
2004-10-01,47,39.46
2004-10-08,41,37.96
2004-10-15,33,37
2004-10-22,33,35.21
2004-10-29,34,35.3
2004-11-05,36,36.65
2004-11-12,47,34.7
2004-11-19,32,34.02
2004-11-26,32,34.32
2004-12-03,52,34.54
2004-12-10,62,34.26
2004-12-17,34,35.47
2004-12-31,77,35.55
2005-01-07,34,34.74
2005-01-14,60,33.14
2005-01-21,48,32.91
2005-01-28,44,32.2
2005-02-04,41,34.12
2005-02-11,51,33
2005-02-18,30,32.76
2005-02-25,40,33.31
2005-03-04,54,31.39
2005-03-11,68,30
2005-03-18,34,29.87
2005-04-01,42,28.67
2005-04-08,55,30.5
2005-04-15,62,29.93
2005-04-22,55,29.35
2005-04-29,54,29.58
2005-05-06,45,29.61
2005-05-13,54,30.3
2005-05-20,30,30.32
2005-05-27,41,27.95
2005-06-03,36,27.8
2005-06-10,45,28.6
2005-06-17,50,29
2005-06-24,52,27.51
2005-07-01,57,26.89
2005-07-08,36,27.8
2005-07-15,70,27.66
2005-07-22,62,28.43
2005-07-29,36,28.95
2005-08-05,49,28.68
2005-08-12,28,28.31
2005-08-19,48,27.56
2005-08-26,46,26.23
2005-09-02,47,26.34
2005-09-09,60,25.1
2005-09-16,44,24.2
2005-09-23,57,24.36
2005-09-30,66,23.37
2005-10-07,43,23.6
2005-10-14,39,23.86
2005-10-21,27,23.89
2005-10-28,38,24.59
2005-11-04,53,25.56
2005-11-11,62,25.45
2005-11-18,50,26.1
2005-11-25,46,26.57
2005-12-02,51,27.33
2005-12-09,71,26.17
2005-12-16,48,25.64
2005-12-23,41,25.84
2005-12-30,42,24.49
2006-01-06,52,26.24
2006-01-13,51,25.2
2006-01-20,45,23.59
2006-01-27,56,21.63
2006-02-03,61,21.8
2006-02-10,44,21.86
2006-02-17,46,24.45
2006-02-24,40,24.3
2006-03-03,53,23.53
2006-03-10,37,22.62
2006-03-17,33,22.62
2006-03-24,42,23.49
2006-03-31,44,23.05
2006-04-07,30,21.57
2006-04-21,58,22.49
2006-04-28,56,23.24
2006-05-05,57,21.91
2006-05-12,41,20.7
2006-05-19,52,20.15
2006-05-26,42,20.47
